Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,6,8,2023,12,38,7,245,0,0,0,0,0,0,
2,6,8,2023,12,38,7,255,0,0,0,0,0,0,
3,6,8,2023,12,38,7,265,0,0,0,0,0,0,
4,6,8,2023,12,38,7,275,0,0,0,0,0,0,
5,6,8,2023,12,38,7,285,0,0,0,0,0,0,
6,6,8,2023,12,38,7,295,0,0,0,0,0,0,
7,6,8,2023,12,38,7,305,-1912,-486,3548,-9,-16,-14,
8,6,8,2023,12,38,7,315,-1895,-504,3555,-8,-20,-10,
9,6,8,2023,12,38,7,325,-1915,-498,3553,0,-4,-1,
10,6,8,2023,12,38,7,335,-1919,-498,3539,-5,3,-7,
11,6,8,2023,12,38,7,345,-1914,-492,3552,-3,-16,-6,
12,6,8,2023,12,38,7,355,-1910,-504,3561,-9,1,-8,
13,6,8,2023,12,38,7,365,-1915,-495,3542,-9,8,-9,
14,6,8,2023,12,38,7,375,-1917,-505,3554,-9,-10,-12,
15,6,8,2023,12,38,7,385,-1912,-499,3556,-10,-6,-10,
16,6,8,2023,12,38,7,395,-1922,-498,3543,-13,4,-10,
17,6,8,2023,12,38,7,405,-1906,-512,3559,-12,-12,-14,
18,6,8,2023,12,38,7,415,-1902,-510,3554,-7,-7,-7,
19,6,8,2023,12,38,7,425,-1910,-523,3543,-10,5,-8,
20,6,8,2023,12,38,7,435,-1907,-513,3548,-2,-7,-5,
21,6,8,2023,12,38,7,445,-1899,-508,3550,-3,-8,-3,
22,6,8,2023,12,38,7,455,-1914,-493,3544,1,-1,1,
23,6,8,2023,12,38,7,465,-1915,-501,3551,-2,-7,-1,
24,6,8,2023,12,38,7,475,-1915,-503,3556,-5,-11,0,
25,6,8,2023,12,38,7,485,-1911,-497,3548,-2,1,-1,
26,6,8,2023,12,38,7,495,-1910,-501,3548,-4,-10,-3,
27,6,8,2023,12,38,7,505,-1901,-506,3557,-6,-7,-5,
28,6,8,2023,12,38,7,515,-1908,-506,3547,-6,4,-4,
29,6,8,2023,12,38,7,525,-1909,-514,3554,-4,-5,-2,
30,6,8,2023,12,38,7,535,-1906,-500,3559,-2,-3,-1,
31,6,8,2023,12,38,7,545,-1912,-501,3554,-2,6,-2,
32,6,8,2023,12,38,7,555,-1911,-510,3551,-5,-6,-1,
33,6,8,2023,12,38,7,565,-1903,-502,3557,-3,-9,0,
34,6,8,2023,12,38,7,575,-1904,-498,3548,-1,-5,2,
35,6,8,2023,12,38,7,585,-1902,-503,3556,-1,-11,3,
36,6,8,2023,12,38,7,595,-1910,-503,3557,0,-3,1,
37,6,8,2023,12,38,7,605,-1906,-500,3558,0,-1,2,
38,6,8,2023,12,38,7,615,-1892,-506,3559,-1,-6,4,
39,6,8,2023,12,38,7,625,-1898,-507,3548,-1,-1,3,
40,6,8,2023,12,38,7,635,-1905,-495,3543,-6,9,1,
41,6,8,2023,12,38,7,645,-1907,-507,3558,-7,3,1,
42,6,8,2023,12,38,7,655,-1906,-506,3552,-5,3,5,
43,6,8,2023,12,38,7,665,-1907,-491,3551,-4,9,1,
44,6,8,2023,12,38,7,675,-1909,-507,3554,-8,1,-2,
45,6,8,2023,12,38,7,685,-1901,-505,3549,-4,8,-2,
46,6,8,2023,12,38,7,695,-1904,-501,3555,-2,8,1,
47,6,8,2023,12,38,7,705,-1896,-517,3542,1,5,4,
