Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,8,15,2023,13,16,31,226,0,0,0,0,0,0,
2,8,15,2023,13,16,31,236,0,0,0,0,0,0,
3,8,15,2023,13,16,31,246,0,0,0,0,0,0,
4,8,15,2023,13,16,31,256,0,0,0,0,0,0,
5,8,15,2023,13,16,31,266,0,0,0,0,0,0,
6,8,15,2023,13,16,31,276,0,0,0,0,0,0,
7,8,15,2023,13,16,31,286,2273,417,3369,-6,-2,-4,
8,8,15,2023,13,16,31,296,2277,413,3365,-5,0,-4,
9,8,15,2023,13,16,31,306,2273,409,3371,-3,-1,4,
10,8,15,2023,13,16,31,316,2273,412,3373,-2,-1,1,
11,8,15,2023,13,16,31,326,2274,421,3368,-2,-4,1,
12,8,15,2023,13,16,31,336,2279,418,3375,-3,-5,6,
13,8,15,2023,13,16,31,346,2272,410,3377,-5,-4,5,
14,8,15,2023,13,16,31,356,2268,414,3372,-4,1,5,
15,8,15,2023,13,16,31,366,2271,416,3373,-6,1,6,
16,8,15,2023,13,16,31,376,2270,409,3383,-4,-1,1,
17,8,15,2023,13,16,31,386,2272,413,3378,-3,0,2,
18,8,15,2023,13,16,31,396,2273,410,3380,-3,-2,4,
19,8,15,2023,13,16,31,406,2275,414,3385,-1,-2,3,
20,8,15,2023,13,16,31,416,2269,421,3375,-1,0,1,
21,8,15,2023,13,16,31,426,2274,416,3373,-2,-4,1,
22,8,15,2023,13,16,31,436,2268,422,3374,-4,3,-2,
23,8,15,2023,13,16,31,446,2273,418,3376,-4,3,2,
24,8,15,2023,13,16,31,456,2276,413,3376,-4,0,1,
25,8,15,2023,13,16,31,466,2276,410,3378,-6,0,2,
26,8,15,2023,13,16,31,476,2271,413,3374,-3,0,4,
27,8,15,2023,13,16,31,486,2268,416,3367,-4,2,2,
28,8,15,2023,13,16,31,496,2274,425,3378,-3,1,2,
29,8,15,2023,13,16,31,506,2263,418,3376,0,1,3,
30,8,15,2023,13,16,31,516,2268,410,3375,-3,-3,5,
31,8,15,2023,13,16,31,526,2276,414,3374,-5,-1,5,
32,8,15,2023,13,16,31,536,2273,411,3383,-5,3,0,
33,8,15,2023,13,16,31,546,2275,410,3380,-4,2,1,
34,8,15,2023,13,16,31,556,2273,404,3379,1,-1,1,
35,8,15,2023,13,16,31,566,2267,406,3381,1,0,0,
36,8,15,2023,13,16,31,576,2270,418,3378,-1,0,0,
