Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,8,25,2023,12,45,6,428,-2155,-386,3330,-16,649,314,
2,8,25,2023,12,45,6,438,-2264,-399,3344,-10,687,332,
3,8,25,2023,12,45,6,448,-2371,-224,3334,-18,692,329,
4,8,25,2023,12,45,6,458,-2392,-175,3389,-80,704,253,
5,8,25,2023,12,45,6,468,-2372,-170,3406,-161,751,133,
6,8,25,2023,12,45,6,478,-2261,-323,3462,-217,833,28,
7,8,25,2023,12,45,6,488,-2272,-436,3500,-248,951,-4,
8,8,25,2023,12,45,6,498,-2241,-439,3504,-277,1072,19,
9,8,25,2023,12,45,6,508,-2176,-408,3541,-318,1230,46,
10,8,25,2023,12,45,6,518,-2188,-334,3550,-362,1458,46,
11,8,25,2023,12,45,6,528,-2204,-257,3565,-432,1714,26,
12,8,25,2023,12,45,6,538,-2158,-246,3621,-492,2013,-8,
13,8,25,2023,12,45,6,548,-2146,-437,3682,-541,2398,-43,
14,8,25,2023,12,45,6,558,-2167,-756,3680,-518,2845,8,
15,8,25,2023,12,45,6,568,-2048,-881,3782,-421,3389,215,
16,8,25,2023,12,45,6,578,-1842,-850,3958,-344,4113,452,
17,8,25,2023,12,45,6,588,-1593,-921,4064,-296,5085,603,
18,8,25,2023,12,45,6,598,-918,-1014,4131,-229,6218,736,
19,8,25,2023,12,45,6,608,-788,-1053,4140,-250,7604,802,
20,8,25,2023,12,45,6,618,-1134,-749,4189,-210,9322,894,
21,8,25,2023,12,45,6,628,-1148,-728,4163,-191,11314,976,
22,8,25,2023,12,45,6,638,-1309,-933,4209,-138,13651,1030,
23,8,25,2023,12,45,6,648,-2008,-1592,4518,-43,16108,1209,
24,8,25,2023,12,45,6,658,-3745,-1594,5247,19,18220,1650,
25,8,25,2023,12,45,6,668,-7095,-425,5994,-294,19675,2182,
26,8,25,2023,12,45,6,678,-11258,-384,7250,-1054,20000,2706,
27,8,25,2023,12,45,6,688,-11723,-1307,8643,-1455,18635,3345,
28,8,25,2023,12,45,6,698,-9173,-2248,8526,-1067,16398,4196,
29,8,25,2023,12,45,6,708,-7843,-4069,8397,26,14962,4879,
