Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,6,2,2023,12,7,2,854,0,0,0,0,0,0,
2,6,2,2023,12,7,2,864,0,0,0,0,0,0,
3,6,2,2023,12,7,2,874,0,0,0,0,0,0,
4,6,2,2023,12,7,2,884,0,0,0,0,0,0,
5,6,2,2023,12,7,2,894,0,0,0,0,0,0,
6,6,2,2023,12,7,2,904,0,0,0,0,0,0,
7,6,2,2023,12,7,2,914,-1351,-1519,3525,3,15,23,
8,6,2,2023,12,7,2,924,-1347,-1510,3531,-9,12,18,
9,6,2,2023,12,7,2,934,-1349,-1512,3530,1,16,20,
10,6,2,2023,12,7,2,944,-1341,-1523,3520,-1,13,22,
11,6,2,2023,12,7,2,954,-1345,-1514,3531,-4,12,25,
12,6,2,2023,12,7,2,964,-1345,-1516,3526,-7,10,25,
13,6,2,2023,12,7,2,974,-1350,-1527,3523,-3,5,28,
14,6,2,2023,12,7,2,984,-1355,-1524,3509,9,1,29,
15,6,2,2023,12,7,2,994,-1349,-1526,3520,9,-2,24,
16,6,2,2023,12,7,3,4,-1354,-1515,3525,15,-4,22,
17,6,2,2023,12,7,3,14,-1353,-1517,3512,15,-2,20,
18,6,2,2023,12,7,3,24,-1349,-1522,3513,16,0,24,
19,6,2,2023,12,7,3,34,-1353,-1515,3529,20,7,26,
20,6,2,2023,12,7,3,44,-1353,-1512,3525,17,5,22,
21,6,2,2023,12,7,3,54,-1343,-1499,3531,14,13,21,
22,6,2,2023,12,7,3,64,-1360,-1496,3538,9,18,24,
23,6,2,2023,12,7,3,74,-1355,-1511,3528,8,19,20,
24,6,2,2023,12,7,3,84,-1361,-1508,3525,7,11,13,
25,6,2,2023,12,7,3,94,-1358,-1511,3526,4,8,10,
26,6,2,2023,12,7,3,104,-1354,-1519,3528,1,8,5,
27,6,2,2023,12,7,3,114,-1355,-1507,3519,9,8,4,
28,6,2,2023,12,7,3,124,-1346,-1511,3526,12,3,7,
29,6,2,2023,12,7,3,134,-1347,-1514,3524,11,9,11,
30,6,2,2023,12,7,3,144,-1355,-1516,3517,9,25,14,
31,6,2,2023,12,7,3,154,-1360,-1514,3542,1,28,13,
32,6,2,2023,12,7,3,164,-1361,-1517,3519,-1,16,9,
33,6,2,2023,12,7,3,174,-1363,-1511,3510,13,9,9,
34,6,2,2023,12,7,3,184,-1369,-1503,3514,21,4,7,
35,6,2,2023,12,7,3,194,-1361,-1507,3517,28,0,0,
36,6,2,2023,12,7,3,204,-1351,-1514,3517,32,-1,-2,
37,6,2,2023,12,7,3,214,-1350,-1489,3540,41,-1,0,
38,6,2,2023,12,7,3,224,-1365,-1522,3513,34,4,0,
39,6,2,2023,12,7,3,234,-1362,-1513,3515,27,7,5,
40,6,2,2023,12,7,3,244,-1358,-1497,3532,19,7,4,
41,6,2,2023,12,7,3,254,-1362,-1487,3528,17,7,1,
42,6,2,2023,12,7,3,264,-1355,-1501,3514,5,8,6,
43,6,2,2023,12,7,3,274,-1366,-1512,3521,-2,5,5,
44,6,2,2023,12,7,3,284,-1372,-1507,3531,6,2,5,
45,6,2,2023,12,7,3,294,-1359,-1496,3530,1,1,3,
46,6,2,2023,12,7,3,304,-1358,-1505,3522,-12,-1,4,
47,6,2,2023,12,7,3,314,-1365,-1489,3532,-13,-6,1,
48,6,2,2023,12,7,3,324,-1364,-1500,3528,-12,-11,-4,
49,6,2,2023,12,7,3,334,-1352,-1491,3530,-19,-14,-8,
50,6,2,2023,12,7,3,344,-1356,-1500,3532,-27,-15,-10,
51,6,2,2023,12,7,3,354,-1364,-1496,3530,-36,-17,-7,
52,6,2,2023,12,7,3,364,-1364,-1498,3528,-49,-21,-9,
53,6,2,2023,12,7,3,374,-1364,-1501,3528,-58,-26,-9,
54,6,2,2023,12,7,3,384,-1358,-1506,3527,-71,-29,-11,
55,6,2,2023,12,7,3,394,-1353,-1508,3533,-79,-27,-10,
56,6,2,2023,12,7,3,404,-1350,-1506,3529,-88,-23,-3,
57,6,2,2023,12,7,3,414,-1350,-1515,3524,-87,-18,-3,
58,6,2,2023,12,7,3,424,-1361,-1515,3523,-83,-18,-3,
59,6,2,2023,12,7,3,434,-1357,-1516,3520,-81,-19,0,
60,6,2,2023,12,7,3,444,-1350,-1516,3522,-75,-23,-1,
61,6,2,2023,12,7,3,454,-1356,-1519,3522,-67,-25,-3,
62,6,2,2023,12,7,3,464,-1348,-1528,3512,-56,-23,-6,
63,6,2,2023,12,7,3,474,-1349,-1522,3517,-40,-21,-6,
64,6,2,2023,12,7,3,484,-1349,-1526,3526,-35,-18,-3,
65,6,2,2023,12,7,3,494,-1347,-1523,3523,-34,-17,-2,
66,6,2,2023,12,7,3,504,-1345,-1526,3513,-29,-17,0,
67,6,2,2023,12,7,3,514,-1349,-1520,3519,-29,-13,0,
