Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,8,15,2023,13,16,44,381,2324,-163,3375,-145,-65,117,
2,8,15,2023,13,16,44,391,2339,-212,3380,-182,-91,146,
3,8,15,2023,13,16,44,401,2354,-218,3398,-212,-101,164,
4,8,15,2023,13,16,44,411,2381,-256,3416,-241,-116,190,
5,8,15,2023,13,16,44,421,2385,-318,3380,-257,-122,207,
6,8,15,2023,13,16,44,431,2365,-332,3375,-265,-127,213,
7,8,15,2023,13,16,44,441,2364,-370,3366,-264,-135,219,
8,8,15,2023,13,16,44,451,2367,-408,3351,-255,-130,211,
9,8,15,2023,13,16,44,461,2382,-428,3331,-235,-123,195,
10,8,15,2023,13,16,44,471,2388,-434,3318,-208,-112,176,
11,8,15,2023,13,16,44,481,2380,-418,3311,-181,-99,166,
12,8,15,2023,13,16,44,491,2388,-428,3311,-157,-80,153,
13,8,15,2023,13,16,44,501,2386,-442,3329,-137,-66,140,
14,8,15,2023,13,16,44,511,2389,-452,3329,-117,-50,130,
15,8,15,2023,13,16,44,521,2397,-460,3322,-100,-36,120,
16,8,15,2023,13,16,44,531,2388,-463,3329,-81,-22,103,
17,8,15,2023,13,16,44,541,2389,-458,3334,-59,-7,90,
18,8,15,2023,13,16,44,551,2385,-445,3340,-39,4,73,
19,8,15,2023,13,16,44,561,2374,-406,3349,-31,8,57,
20,8,15,2023,13,16,44,571,2380,-377,3354,-27,10,56,
21,8,15,2023,13,16,44,581,2392,-349,3359,-32,11,63,
22,8,15,2023,13,16,44,591,2388,-356,3360,-42,5,72,
23,8,15,2023,13,16,44,601,2386,-383,3367,-54,-2,82,
24,8,15,2023,13,16,44,611,2386,-399,3375,-61,-4,89,
25,8,15,2023,13,16,44,621,2376,-405,3380,-71,-11,90,
26,8,15,2023,13,16,44,631,2377,-426,3373,-76,-20,89,
27,8,15,2023,13,16,44,641,2388,-423,3361,-80,-22,87,
28,8,15,2023,13,16,44,651,2380,-407,3344,-79,-23,84,
29,8,15,2023,13,16,44,661,2382,-404,3333,-75,-18,85,
30,8,15,2023,13,16,44,671,2393,-410,3335,-76,-9,91,
31,8,15,2023,13,16,44,681,2400,-428,3338,-77,-1,92,
32,8,15,2023,13,16,44,691,2399,-433,3321,-73,6,91,
33,8,15,2023,13,16,44,701,2411,-426,3317,-64,15,88,
34,8,15,2023,13,16,44,711,2414,-440,3315,-53,30,86,
35,8,15,2023,13,16,44,721,2435,-435,3310,-43,50,91,
36,8,15,2023,13,16,44,731,2455,-448,3334,-33,79,93,
37,8,15,2023,13,16,44,741,2490,-450,3351,-16,106,93,
38,8,15,2023,13,16,44,751,2498,-430,3353,5,136,100,
39,8,15,2023,13,16,44,761,2446,-396,3375,17,174,110,
40,8,15,2023,13,16,44,771,2432,-403,3360,17,196,123,
41,8,15,2023,13,16,44,781,2455,-427,3307,18,218,130,
42,8,15,2023,13,16,44,791,2427,-459,3254,32,261,131,
43,8,15,2023,13,16,44,801,2310,-507,3234,56,305,120,
44,8,15,2023,13,16,44,811,2199,-505,3244,86,328,92,
45,8,15,2023,13,16,44,821,2112,-575,3292,101,321,54,
46,8,15,2023,13,16,44,831,2260,-581,3325,135,295,10,
47,8,15,2023,13,16,44,841,2345,-456,3369,166,295,-25,
48,8,15,2023,13,16,44,851,2204,-351,3432,162,285,-30,
49,8,15,2023,13,16,44,861,2206,-432,3443,132,242,-28,
50,8,15,2023,13,16,44,871,2292,-449,3426,111,200,-28,
51,8,15,2023,13,16,44,881,2317,-339,3470,92,170,-24,
52,8,15,2023,13,16,44,891,2356,-286,3476,66,147,-8,
53,8,15,2023,13,16,44,901,2353,-333,3458,35,133,18,
54,8,15,2023,13,16,44,911,2339,-389,3430,14,121,35,
55,8,15,2023,13,16,44,921,2335,-407,3416,9,115,38,
56,8,15,2023,13,16,44,931,2314,-373,3413,6,116,40,
57,8,15,2023,13,16,44,941,2154,-363,3384,-7,108,47,
58,8,15,2023,13,16,44,951,2094,-439,3405,-16,70,37,
59,8,15,2023,13,16,44,961,2271,-491,3370,-18,33,21,
60,8,15,2023,13,16,44,971,2286,-467,3377,2,25,3,
61,8,15,2023,13,16,44,981,2280,-404,3420,19,25,-16,
62,8,15,2023,13,16,44,991,2329,-406,3391,20,22,-20,
63,8,15,2023,13,16,45,1,2295,-422,3376,29,24,-15,
64,8,15,2023,13,16,45,11,2259,-410,3402,29,22,-14,
65,8,15,2023,13,16,45,21,2281,-408,3390,26,18,-15,
66,8,15,2023,13,16,45,31,2284,-393,3391,29,20,-20,
67,8,15,2023,13,16,45,41,2271,-404,3396,29,17,-19,
68,8,15,2023,13,16,45,51,2284,-406,3398,24,14,-16,
69,8,15,2023,13,16,45,61,2283,-421,3394,20,10,-16,
70,8,15,2023,13,16,45,71,2275,-429,3410,21,4,-19,
71,8,15,2023,13,16,45,81,2278,-425,3422,23,-6,-28,
72,8,15,2023,13,16,45,91,2287,-421,3409,22,-11,-31,
73,8,15,2023,13,16,45,101,2275,-403,3417,18,-13,-34,
74,8,15,2023,13,16,45,111,2291,-392,3409,13,-20,-32,
75,8,15,2023,13,16,45,121,2320,-382,3417,8,-29,-25,
76,8,15,2023,13,16,45,131,2322,-402,3421,3,-28,-23,
77,8,15,2023,13,16,45,141,2300,-395,3415,-2,-27,-15,
78,8,15,2023,13,16,45,151,2307,-368,3406,-12,-22,-12,
79,8,15,2023,13,16,45,161,2296,-293,3420,-31,-30,3,
80,8,15,2023,13,16,45,171,2322,-286,3427,-63,-43,34,
81,8,15,2023,13,16,45,181,2341,-326,3422,-100,-52,67,
82,8,15,2023,13,16,45,191,2313,-419,3401,-122,-49,83,
83,8,15,2023,13,16,45,201,2313,-401,3408,-130,-50,88,
84,8,15,2023,13,16,45,211,2322,-397,3410,-140,-59,95,
85,8,15,2023,13,16,45,221,2316,-469,3405,-144,-61,99,
86,8,15,2023,13,16,45,241,2310,-497,3388,-107,-57,71,
87,8,15,2023,13,16,45,251,2316,-502,3380,-87,-53,60,
88,8,15,2023,13,16,45,261,2290,-510,3373,-62,-47,43,
89,8,15,2023,13,16,45,271,2297,-461,3375,-42,-45,29,
90,8,15,2023,13,16,45,281,2321,-421,3372,-32,-33,20,
91,8,15,2023,13,16,45,291,2321,-415,3393,-29,-23,20,
92,8,15,2023,13,16,45,301,2327,-434,3398,-26,-17,24,
93,8,15,2023,13,16,45,311,2325,-454,3374,-24,-11,25,
94,8,15,2023,13,16,45,321,2312,-427,3387,-20,-9,22,
95,8,15,2023,13,16,45,331,2323,-422,3387,-20,-7,24,
96,8,15,2023,13,16,45,341,2318,-421,3387,-23,-5,29,
97,8,15,2023,13,16,45,351,2305,-415,3390,-30,-5,34,
98,8,15,2023,13,16,45,361,2301,-421,3393,-33,-7,36,
99,8,15,2023,13,16,45,371,2302,-445,3379,-39,-10,41,
100,8,15,2023,13,16,45,381,2298,-473,3385,-37,-13,38,
101,8,15,2023,13,16,45,391,2289,-468,3382,-30,-14,30,
102,8,15,2023,13,16,45,401,2301,-477,3372,-21,-11,23,
103,8,15,2023,13,16,45,411,2310,-478,3362,-14,-7,19,
104,8,15,2023,13,16,45,421,2293,-444,3378,-11,-5,15,
105,8,15,2023,13,16,45,431,2304,-438,3378,-11,-9,12,
106,8,15,2023,13,16,45,441,2324,-451,3375,-7,-9,9,
107,8,15,2023,13,16,45,451,2320,-461,3376,-8,-5,6,
108,8,15,2023,13,16,45,461,2311,-468,3376,1,3,1,
109,8,15,2023,13,16,45,471,2327,-460,3365,8,8,-5,
110,8,15,2023,13,16,45,481,2318,-447,3374,14,14,-2,
111,8,15,2023,13,16,45,491,2299,-428,3387,15,15,-3,
112,8,15,2023,13,16,45,501,2301,-428,3388,10,7,-1,
113,8,15,2023,13,16,45,511,2309,-438,3394,0,5,2,
114,8,15,2023,13,16,45,521,2315,-444,3393,1,1,9,
115,8,15,2023,13,16,45,531,2311,-446,3398,3,-1,7,
116,8,15,2023,13,16,45,541,2308,-440,3391,-2,2,4,
117,8,15,2023,13,16,45,551,2310,-443,3374,-1,1,4,
118,8,15,2023,13,16,45,561,2316,-450,3379,3,3,-1,
119,8,15,2023,13,16,45,571,2314,-458,3378,6,5,-2,
120,8,15,2023,13,16,45,581,2308,-458,3384,9,5,0,
121,8,15,2023,13,16,45,591,2315,-457,3381,8,3,-2,
122,8,15,2023,13,16,45,601,2313,-449,3387,12,5,-2,
123,8,15,2023,13,16,45,611,2299,-430,3391,12,5,0,
124,8,15,2023,13,16,45,621,2307,-431,3386,6,1,1,
125,8,15,2023,13,16,45,631,2310,-430,3395,2,-1,3,
126,8,15,2023,13,16,45,641,2305,-414,3393,-5,-2,5,
127,8,15,2023,13,16,45,651,2320,-408,3391,-10,-7,8,
128,8,15,2023,13,16,45,661,2320,-398,3401,-20,-9,19,
129,8,15,2023,13,16,45,671,2315,-390,3389,-31,-9,31,
130,8,15,2023,13,16,45,681,2307,-401,3384,-42,-13,41,
131,8,15,2023,13,16,45,691,2318,-438,3391,-54,-15,52,
132,8,15,2023,13,16,45,701,2311,-448,3391,-62,-17,58,
133,8,15,2023,13,16,45,711,2305,-456,3381,-63,-20,58,
