Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,8,25,2023,12,44,59,879,5392,913,4725,1222,-5231,474,
2,8,25,2023,12,44,59,889,1770,2624,4425,1062,-4362,-46,
3,8,25,2023,12,44,59,899,1618,2777,4527,519,-4787,-561,
4,8,25,2023,12,44,59,909,2852,1017,4383,-12,-5026,-793,
5,8,25,2023,12,44,59,919,2889,-1238,4004,-171,-4840,-784,
6,8,25,2023,12,44,59,929,2960,-2297,3751,201,-4950,-731,
7,8,25,2023,12,44,59,939,3911,-1770,3982,696,-5174,-772,
8,8,25,2023,12,44,59,949,4975,-146,3908,1106,-5030,-1059,
9,8,25,2023,12,44,59,959,5058,372,3885,1378,-4352,-1307,
10,8,25,2023,12,44,59,969,4639,-896,3324,1569,-3565,-1304,
11,8,25,2023,12,44,59,979,3948,-1873,3524,1684,-2667,-1151,
12,8,25,2023,12,44,59,989,4287,-202,3419,1770,-2061,-1269,
13,8,25,2023,12,44,59,999,3321,925,3576,1663,-1161,-1296,
14,8,25,2023,12,45,0,9,2883,-9,3560,1473,-835,-1101,
15,8,25,2023,12,45,0,19,2925,6,3477,1266,-663,-956,
16,8,25,2023,12,45,0,29,2806,612,3591,1089,-460,-858,
17,8,25,2023,12,45,0,39,2593,608,3578,857,-397,-679,
18,8,25,2023,12,45,0,49,2413,558,3619,584,-448,-471,
19,8,25,2023,12,45,0,59,2487,668,3641,314,-565,-272,
20,8,25,2023,12,45,0,69,2559,380,3492,-203,-757,145,
21,8,25,2023,12,45,0,79,2562,212,3409,-346,-790,261,
22,8,25,2023,12,45,0,89,2513,96,3373,-422,-782,310,
23,8,25,2023,12,45,0,99,2460,-85,3320,-437,-781,325,
24,8,25,2023,12,45,0,109,2444,-139,3303,-409,-771,302,
25,8,25,2023,12,45,0,119,2506,-174,3279,-368,-760,271,
26,8,25,2023,12,45,0,129,2515,-231,3251,-333,-744,245,
27,8,25,2023,12,45,0,139,2498,-226,3239,-307,-733,229,
28,8,25,2023,12,45,0,149,2545,-142,3209,-293,-733,225,
29,8,25,2023,12,45,0,159,2549,-106,3218,-272,-719,211,
30,8,25,2023,12,45,0,169,2533,-140,3238,-235,-719,180,
31,8,25,2023,12,45,0,179,2555,-107,3222,-200,-706,151,
32,8,25,2023,12,45,0,189,2580,-132,3218,-165,-694,130,
33,8,25,2023,12,45,0,199,2598,-198,3165,-141,-685,110,
34,8,25,2023,12,45,0,209,2550,-224,3154,-105,-649,71,
35,8,25,2023,12,45,0,219,2576,-173,3164,-74,-621,30,
36,8,25,2023,12,45,0,229,2594,-148,3167,-65,-603,5,
37,8,25,2023,12,45,0,239,2628,-140,3157,-57,-585,-15,
38,8,25,2023,12,45,0,249,2627,-145,3139,-51,-560,-35,
39,8,25,2023,12,45,0,259,2655,-83,3130,-46,-541,-47,
40,8,25,2023,12,45,0,269,2630,-110,3110,-57,-520,-58,
41,8,25,2023,12,45,0,279,2548,-194,3131,-57,-511,-74,
42,8,25,2023,12,45,0,289,2599,-159,3077,-38,-509,-119,
43,8,25,2023,12,45,0,299,2604,-142,3092,-13,-496,-172,
44,8,25,2023,12,45,0,309,2611,-172,3074,2,-498,-214,
