Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,7,27,2023,12,43,50,239,2417,405,3308,-10,8,11,
2,7,27,2023,12,43,50,249,2407,402,3309,-6,1,8,
3,7,27,2023,12,43,50,259,2372,414,3292,0,-21,2,
4,7,27,2023,12,43,50,269,2384,412,3284,9,-45,4,
5,7,27,2023,12,43,50,279,2419,415,3284,9,-58,8,
6,7,27,2023,12,43,50,289,2435,429,3279,6,-59,6,
7,7,27,2023,12,43,50,299,2421,426,3281,5,-55,11,
8,7,27,2023,12,43,50,309,2390,420,3277,3,-56,15,
9,7,27,2023,12,43,50,319,2407,418,3289,-1,-66,16,
10,7,27,2023,12,43,50,329,2451,400,3274,-1,-70,18,
11,7,27,2023,12,43,50,339,2441,409,3271,-1,-59,15,
12,7,27,2023,12,43,50,349,2418,406,3268,3,-53,12,
13,7,27,2023,12,43,50,359,2423,404,3260,2,-55,9,
14,7,27,2023,12,43,50,369,2415,423,3245,4,-52,5,
15,7,27,2023,12,43,50,379,2400,417,3248,3,-49,7,
16,7,27,2023,12,43,50,389,2422,407,3257,3,-47,11,
17,7,27,2023,12,43,50,399,2433,437,3260,0,-36,15,
18,7,27,2023,12,43,50,409,2451,437,3266,-5,-28,23,
19,7,27,2023,12,43,50,419,2460,416,3269,-10,-18,27,
20,7,27,2023,12,43,50,429,2440,412,3273,-9,-1,25,
21,7,27,2023,12,43,50,439,2410,421,3278,-8,0,21,
22,7,27,2023,12,43,50,449,2399,410,3277,-12,-9,20,
23,7,27,2023,12,43,50,459,2411,411,3277,-10,-19,23,
24,7,27,2023,12,43,50,469,2435,409,3275,-9,-25,21,
25,7,27,2023,12,43,50,479,2434,403,3279,-6,-24,16,
26,7,27,2023,12,43,50,489,2437,416,3279,-5,-27,14,
27,7,27,2023,12,43,50,499,2439,420,3268,-6,-25,16,
28,7,27,2023,12,43,50,509,2435,417,3266,-8,-18,16,
29,7,27,2023,12,43,50,519,2412,403,3262,-11,-22,16,
30,7,27,2023,12,43,50,529,2415,403,3263,-9,-27,18,
31,7,27,2023,12,43,50,539,2447,418,3259,-8,-22,21,
32,7,27,2023,12,43,50,549,2453,405,3257,-4,-12,16,
33,7,27,2023,12,43,50,559,2428,400,3254,-5,1,16,
34,7,27,2023,12,43,50,569,2423,410,3265,-10,9,13,
35,7,27,2023,12,43,50,579,2426,407,3280,-11,10,13,
36,7,27,2023,12,43,50,589,2427,405,3266,-10,8,14,
37,7,27,2023,12,43,50,599,2428,404,3266,-8,7,12,
38,7,27,2023,12,43,50,609,2432,398,3269,-5,2,12,
39,7,27,2023,12,43,50,619,2443,411,3273,-9,4,12,
40,7,27,2023,12,43,50,629,2446,415,3285,-10,11,11,
41,7,27,2023,12,43,50,639,2430,411,3273,-5,11,9,
42,7,27,2023,12,43,50,649,2414,414,3273,-4,9,11,
43,7,27,2023,12,43,50,659,2434,411,3274,-6,3,12,
44,7,27,2023,12,43,50,669,2439,410,3274,-3,-4,13,
45,7,27,2023,12,43,50,679,2435,406,3271,-7,-3,12,
46,7,27,2023,12,43,50,689,2425,398,3263,-6,2,7,
47,7,27,2023,12,43,50,699,2421,396,3264,-3,6,6,
48,7,27,2023,12,43,50,709,2416,411,3262,-5,9,5,
49,7,27,2023,12,43,50,719,2411,421,3272,-6,14,3,
50,7,27,2023,12,43,50,729,2410,412,3275,-14,17,11,
51,7,27,2023,12,43,50,739,2425,425,3268,-11,17,15,
52,7,27,2023,12,43,50,749,2432,405,3271,-11,7,13,
53,7,27,2023,12,43,50,759,2421,378,3280,-16,17,12,
54,7,27,2023,12,43,50,769,2424,381,3274,-7,13,8,
55,7,27,2023,12,43,50,779,2415,422,3273,1,6,5,
56,7,27,2023,12,43,50,789,2403,424,3285,2,-1,8,
57,7,27,2023,12,43,50,799,2412,428,3277,1,-13,14,
58,7,27,2023,12,43,50,809,2432,432,3272,-4,-20,18,
59,7,27,2023,12,43,50,819,2438,430,3261,-13,-14,25,
60,7,27,2023,12,43,50,829,2437,410,3268,-13,-4,31,
61,7,27,2023,12,43,50,839,2439,403,3270,-18,5,37,
62,7,27,2023,12,43,50,849,2430,393,3280,-18,15,28,
63,7,27,2023,12,43,50,859,2433,376,3282,-17,17,25,
64,7,27,2023,12,43,50,869,2416,380,3279,-10,12,21,
65,7,27,2023,12,43,50,879,2422,385,3284,-6,10,13,
66,7,27,2023,12,43,50,889,2435,405,3265,2,2,7,
67,7,27,2023,12,43,50,899,2421,427,3280,6,0,2,
68,7,27,2023,12,43,50,909,2426,411,3283,0,-6,8,
69,7,27,2023,12,43,50,919,2438,408,3284,-1,-5,11,
70,7,27,2023,12,43,50,929,2422,415,3279,-4,-5,12,
71,7,27,2023,12,43,50,939,2419,405,3274,-4,-6,13,
72,7,27,2023,12,43,50,949,2413,398,3278,-4,-7,14,
73,7,27,2023,12,43,50,959,2409,404,3273,-6,-17,13,
74,7,27,2023,12,43,50,969,2414,402,3272,-2,-29,16,
75,7,27,2023,12,43,50,979,2416,402,3276,-3,-33,16,
76,7,27,2023,12,43,50,989,2435,399,3278,0,-35,16,
77,7,27,2023,12,43,50,999,2442,399,3278,0,-31,15,
78,7,27,2023,12,43,51,9,2428,397,3273,-3,-25,15,
79,7,27,2023,12,43,51,19,2407,403,3265,-5,-25,10,
80,7,27,2023,12,43,51,29,2416,408,3271,-5,-32,10,
81,7,27,2023,12,43,51,39,2432,411,3275,-3,-37,14,
82,7,27,2023,12,43,51,49,2437,404,3271,-3,-36,17,
83,7,27,2023,12,43,51,59,2440,396,3285,0,-35,13,
84,7,27,2023,12,43,51,69,2437,402,3279,-1,-30,10,
85,7,27,2023,12,43,51,79,2427,402,3273,-3,-30,12,
86,7,27,2023,12,43,51,99,2473,368,3268,-6,-31,12,
87,7,27,2023,12,43,51,109,2457,415,3266,3,-22,27,
88,7,27,2023,12,43,51,119,2399,372,3253,4,-27,31,
89,7,27,2023,12,43,51,129,2339,472,3318,7,-26,12,
90,7,27,2023,12,43,51,139,2448,387,3243,-4,-32,5,
91,7,27,2023,12,43,51,149,2442,411,3256,-1,-21,1,
92,7,27,2023,12,43,51,159,2416,408,3258,-8,-17,5,
93,7,27,2023,12,43,51,169,2427,393,3265,-9,-19,10,
94,7,27,2023,12,43,51,179,2454,394,3263,-7,-13,10,
95,7,27,2023,12,43,51,189,2455,398,3257,-4,-5,11,
96,7,27,2023,12,43,51,199,2462,383,3257,-3,1,11,
97,7,27,2023,12,43,51,209,2677,207,2956,-12,-2,23,
98,7,27,2023,12,43,51,219,2340,403,3453,-26,-33,48,
99,7,27,2023,12,43,51,229,2133,656,3363,34,27,-53,
100,7,27,2023,12,43,51,239,3086,-181,2982,-72,-74,64,
101,7,27,2023,12,43,51,249,2130,1026,3378,67,70,-56,
102,7,27,2023,12,43,51,259,2489,-77,3242,-70,-60,59,
103,7,27,2023,12,43,51,269,2428,469,3241,22,14,-31,
104,7,27,2023,12,43,51,279,2399,585,3314,3,-22,21,
105,7,27,2023,12,43,51,289,2752,171,3183,-42,-38,29,
106,7,27,2023,12,43,51,299,2618,299,3067,3,-22,9,
107,7,27,2023,12,43,51,309,2715,523,3165,-6,-36,38,
108,7,27,2023,12,43,51,319,2447,215,3236,-27,-55,37,
109,7,27,2023,12,43,51,329,2648,268,3226,-6,-61,25,
110,7,27,2023,12,43,51,339,2567,252,3078,-8,-57,35,
111,7,27,2023,12,43,51,349,2517,376,3159,3,-71,36,
112,7,27,2023,12,43,51,359,2540,310,3276,1,-91,26,
113,7,27,2023,12,43,51,369,2443,322,3239,12,-83,20,
114,7,27,2023,12,43,51,379,2455,417,3214,20,-90,13,
115,7,27,2023,12,43,51,389,2548,360,3158,16,-104,26,
116,7,27,2023,12,43,51,399,2527,362,3183,16,-121,50,
117,7,27,2023,12,43,51,409,2490,315,3227,17,-150,65,
118,7,27,2023,12,43,51,419,2489,322,3256,32,-178,79,
119,7,27,2023,12,43,51,429,2539,417,3282,57,-190,90,
120,7,27,2023,12,43,51,439,2556,303,3219,42,-195,93,
121,7,27,2023,12,43,51,449,2503,307,3193,49,-218,91,
122,7,27,2023,12,43,51,459,2398,355,3269,65,-262,90,
123,7,27,2023,12,43,51,469,2379,407,3321,64,-320,100,
124,7,27,2023,12,43,51,479,2476,446,3258,27,-373,128,
125,7,27,2023,12,43,51,489,2639,328,3177,-14,-440,152,
126,7,27,2023,12,43,51,499,2516,291,3208,-33,-502,184,
127,7,27,2023,12,43,51,509,2444,400,3250,-53,-570,212,
128,7,27,2023,12,43,51,519,2583,330,3208,-63,-637,247,
129,7,27,2023,12,43,51,529,2699,306,3148,-38,-681,274,
130,7,27,2023,12,43,51,539,2654,330,3163,-15,-705,273,
131,7,27,2023,12,43,51,549,2685,251,3176,5,-750,275,
132,7,27,2023,12,43,51,559,2774,210,3102,41,-812,292,
133,7,27,2023,12,43,51,569,2781,260,3092,71,-866,298,
134,7,27,2023,12,43,51,579,2707,216,3126,69,-903,281,
135,7,27,2023,12,43,51,589,2805,254,3089,62,-932,279,
136,7,27,2023,12,43,51,599,2899,197,2994,37,-949,265,
137,7,27,2023,12,43,51,609,2913,186,2968,18,-970,242,
138,7,27,2023,12,43,51,619,2882,129,2959,5,-989,208,
139,7,27,2023,12,43,51,629,2839,218,2943,9,-1005,198,
140,7,27,2023,12,43,51,639,2853,175,2904,-12,-1019,178,
141,7,27,2023,12,43,51,649,2898,243,2923,-4,-1016,170,
142,7,27,2023,12,43,51,659,2909,294,2927,5,-979,170,
143,7,27,2023,12,43,51,669,2910,338,2919,3,-935,179,
144,7,27,2023,12,43,51,679,2963,289,2909,-16,-910,196,
145,7,27,2023,12,43,51,689,2890,320,2878,-20,-886,213,
146,7,27,2023,12,43,51,699,2945,236,2829,-42,-905,236,
147,7,27,2023,12,43,51,709,3109,175,2733,-43,-928,267,
148,7,27,2023,12,43,51,719,3109,171,2729,-39,-941,288,
149,7,27,2023,12,43,51,729,3023,174,2837,-18,-935,280,
150,7,27,2023,12,43,51,739,3005,173,2886,-4,-910,254,
151,7,27,2023,12,43,51,749,3037,135,2790,5,-902,233,
152,7,27,2023,12,43,51,759,2994,189,2795,8,-922,212,
153,7,27,2023,12,43,51,769,2947,145,2829,-9,-945,175,
154,7,27,2023,12,43,51,779,3029,163,2811,-13,-966,143,
155,7,27,2023,12,43,51,789,3120,132,2726,-17,-970,119,
156,7,27,2023,12,43,51,799,3145,127,2662,-7,-981,112,
157,7,27,2023,12,43,51,809,3010,203,2754,7,-1004,89,
158,7,27,2023,12,43,51,819,3001,184,2812,15,-1055,83,
159,7,27,2023,12,43,51,829,3046,160,2786,26,-1117,95,
160,7,27,2023,12,43,51,839,3099,216,2780,47,-1203,98,
161,7,27,2023,12,43,51,849,3170,293,2740,51,-1280,102,
162,7,27,2023,12,43,51,859,3199,264,2781,6,-1365,145,
163,7,27,2023,12,43,51,869,3078,297,2899,6,-1452,161,
164,7,27,2023,12,43,51,879,3088,285,2939,-17,-1560,202,
165,7,27,2023,12,43,51,889,3183,173,2879,-81,-1714,304,
166,7,27,2023,12,43,51,899,3232,319,2981,-126,-1896,358,
167,7,27,2023,12,43,51,909,3389,398,3099,-180,-2085,439,
168,7,27,2023,12,43,51,919,3409,548,3082,-193,-2223,594,
169,7,27,2023,12,43,51,929,3337,661,3100,-199,-2422,830,
170,7,27,2023,12,43,51,939,3363,820,3286,-207,-2599,1060,
171,7,27,2023,12,43,51,959,4110,466,3394,-176,-2727,1430,
172,7,27,2023,12,43,51,969,3835,915,3655,-202,-2467,1605,
173,7,27,2023,12,43,51,979,4507,2013,4997,-326,-2035,1401,
174,7,27,2023,12,43,51,989,3641,3033,5630,-730,-962,781,
175,7,27,2023,12,43,51,999,1629,2510,4968,-1470,115,171,
176,7,27,2023,12,43,52,9,306,1290,4467,-1827,568,-209,
177,7,27,2023,12,43,52,19,-124,1040,4321,-1438,672,-513,
178,7,27,2023,12,43,52,29,-21,1486,4421,-942,750,-707,
179,7,27,2023,12,43,52,39,190,1796,4538,-838,1024,-772,
180,7,27,2023,12,43,52,49,278,1702,4551,-978,1487,-827,
181,7,27,2023,12,43,52,59,256,1570,4450,-1044,2021,-968,
182,7,27,2023,12,43,52,69,321,1537,4310,-1001,2505,-1183,
183,7,27,2023,12,43,52,79,607,1578,4246,-958,2910,-1439,
184,7,27,2023,12,43,52,89,892,1565,4238,-985,3284,-1713,
185,7,27,2023,12,43,52,99,1171,1580,4201,-1062,3629,-1982,
186,7,27,2023,12,43,52,109,1382,1600,4041,-1179,3936,-2209,
187,7,27,2023,12,43,52,119,1522,1611,3844,-1317,4129,-2392,
188,7,27,2023,12,43,52,129,1691,1581,3673,-1425,4180,-2559,
189,7,27,2023,12,43,52,139,1900,1680,3580,-1458,4127,-2734,
190,7,27,2023,12,43,52,149,2247,1778,3569,-1502,3987,-2909,
191,7,27,2023,12,43,52,159,2653,1830,3612,-1543,3840,-3109,
192,7,27,2023,12,43,52,169,2995,1916,3611,-1563,3728,-3344,
193,7,27,2023,12,43,52,179,3249,1996,3545,-1601,3639,-3582,
194,7,27,2023,12,43,52,189,3489,1931,3450,-1640,3534,-3781,
195,7,27,2023,12,43,52,199,3758,1809,3422,-1608,3454,-3966,
196,7,27,2023,12,43,52,209,4065,1772,3447,-1478,3452,-4107,
197,7,27,2023,12,43,52,219,4140,1655,3357,-1314,3524,-4178,
198,7,27,2023,12,43,52,229,4020,1459,3148,-1107,3587,-4185,
199,7,27,2023,12,43,52,239,3836,1305,2864,-843,3571,-4146,
200,7,27,2023,12,43,52,249,3721,1187,2629,-569,3433,-4059,
201,7,27,2023,12,43,52,259,3809,1156,2536,-353,3226,-3920,
202,7,27,2023,12,43,52,269,3956,1144,2556,-250,3046,-3718,
203,7,27,2023,12,43,52,279,4156,1023,2612,-229,2941,-3460,
204,7,27,2023,12,43,52,289,4179,884,2602,-179,2947,-3168,
205,7,27,2023,12,43,52,299,3983,678,2417,-48,2984,-2866,
206,7,27,2023,12,43,52,309,3485,-210,2041,238,2956,-2607,
207,7,27,2023,12,43,52,319,3530,-933,2013,858,2757,-2580,
208,7,27,2023,12,43,52,329,4337,-963,2002,1525,2512,-2574,
209,7,27,2023,12,43,52,339,4738,-761,1746,1856,2454,-2266,
210,7,27,2023,12,43,52,349,4546,-875,1386,1767,2504,-1680,
211,7,27,2023,12,43,52,359,4418,-1336,998,1453,2366,-1020,
212,7,27,2023,12,43,52,369,4346,-1642,494,1296,2015,-347,
213,7,27,2023,12,43,52,379,4826,-1563,282,1273,1565,392,
214,7,27,2023,12,43,52,389,5871,-1256,347,1182,1298,1237,
215,7,27,2023,12,43,52,399,6148,-1233,246,992,1434,2124,
216,7,27,2023,12,43,52,409,5351,-1609,-204,911,1600,2961,
217,7,27,2023,12,43,52,419,4435,-1486,-578,1090,1280,3635,
218,7,27,2023,12,43,52,429,3904,1434,-883,760,331,4172,
219,7,27,2023,12,43,52,439,1844,49,149,-2217,-1249,4726,
220,7,27,2023,12,43,52,449,-965,-692,5927,-3176,-2387,4186,
221,7,27,2023,12,43,52,459,-2672,3897,5724,-1428,-2377,2155,
222,7,27,2023,12,43,52,469,-1887,2503,1892,-1637,-4311,790,
223,7,27,2023,12,43,52,479,2820,-856,3277,-1897,-6801,336,
224,7,27,2023,12,43,52,489,6551,-3475,5775,-1549,-6896,408,
225,7,27,2023,12,43,52,499,7065,-3074,4972,-798,-5407,1271,
226,7,27,2023,12,43,52,509,8212,3010,5367,-1025,-4019,1660,
227,7,27,2023,12,43,52,519,5310,3311,5359,-1988,-2807,1058,
228,7,27,2023,12,43,52,529,4103,-1505,5023,-1863,-2063,491,
229,7,27,2023,12,43,52,539,4034,-1910,5368,-1108,-1296,688,
230,7,27,2023,12,43,52,549,1659,665,4246,-217,-552,383,
231,7,27,2023,12,43,52,559,2148,150,3412,-19,-783,88,
232,7,27,2023,12,43,52,569,2730,26,3960,154,-788,35,
