Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,7,28,2023,11,5,35,715,-2714,-421,3262,75,2481,867,
2,7,28,2023,11,5,35,725,-2867,-334,2898,-16,2833,790,
3,7,28,2023,11,5,35,735,-3312,-224,3213,-12,3327,820,
4,7,28,2023,11,5,35,745,-3497,-142,2726,-17,3785,794,
5,7,28,2023,11,5,35,755,-2415,-592,3677,52,4338,821,
6,7,28,2023,11,5,35,765,-2809,-296,2720,52,4989,949,
7,7,28,2023,11,5,35,775,-981,-361,2651,-19,5952,1237,
8,7,28,2023,11,5,35,785,-2362,-2518,4528,224,7554,1796,
9,7,28,2023,11,5,35,795,-4925,-938,1956,442,8562,1965,
10,7,28,2023,11,5,35,805,-2450,-3136,5911,819,9952,2795,
11,7,28,2023,11,5,35,815,-4132,-2599,4580,605,11645,3704,
12,7,28,2023,11,5,35,825,-734,-2491,4480,889,13466,4696,
13,7,28,2023,11,5,35,835,-6397,-2360,4577,897,15679,5695,
14,7,28,2023,11,5,35,845,-7200,-1934,5541,1006,16492,6669,
15,7,28,2023,11,5,35,855,-9320,3,6540,289,16524,6992,
16,7,28,2023,11,5,35,865,-9821,-2026,6645,-931,15492,6738,
17,7,28,2023,11,5,35,875,-10766,-4071,8528,-512,13855,6461,
18,7,28,2023,11,5,35,885,-8420,-3913,7492,-275,11437,5814,
19,7,28,2023,11,5,35,895,-8131,-2036,7521,-29,8921,5753,
20,7,28,2023,11,5,35,905,-896,-3031,9122,-698,6197,4424,
21,7,28,2023,11,5,35,915,-9635,-5724,13936,-3236,3071,1715,
22,7,28,2023,11,5,35,925,-5628,-8214,10339,-2359,-2740,844,
23,7,28,2023,11,5,35,935,4933,-4696,4731,291,-5813,1098,
24,7,28,2023,11,5,35,945,1985,-1990,5092,1665,-4989,1115,
25,7,28,2023,11,5,35,955,1035,-1239,5416,635,-4546,335,
26,7,28,2023,11,5,35,965,284,-2442,5205,-1331,-4905,-984,
27,7,28,2023,11,5,35,975,-713,-3615,4923,-2127,-5893,-2105,
28,7,28,2023,11,5,35,985,-729,-3782,4434,-1530,-7269,-2894,
29,7,28,2023,11,5,35,995,-624,-2805,4202,-483,-8498,-3570,
30,7,28,2023,11,5,36,5,-636,-1556,4011,-45,-9362,-4267,
31,7,28,2023,11,5,36,15,-825,-791,3763,-439,-9880,-4928,
32,7,28,2023,11,5,36,25,-972,-764,3453,-1149,-10242,-5392,
