Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,7,27,2023,13,13,15,66,2517,3206,2689,2178,12119,-2357,
2,7,27,2023,13,13,15,76,2626,3014,2822,2488,12347,-3362,
3,7,27,2023,13,13,15,86,2695,2747,3037,2880,12418,-4214,
4,7,27,2023,13,13,15,96,3065,2459,3371,3418,12379,-4900,
5,7,27,2023,13,13,15,106,3531,2229,3762,4088,12380,-5444,
6,7,27,2023,13,13,15,116,3721,2204,3923,4691,12485,-5905,
7,7,27,2023,13,13,15,126,3739,2022,4305,5205,12602,-6167,
8,7,27,2023,13,13,15,136,3968,1852,4778,5755,12717,-6265,
9,7,27,2023,13,13,15,146,4357,1649,5426,6277,12880,-6357,
10,7,27,2023,13,13,15,156,4990,1615,6134,6786,13127,-6547,
11,7,27,2023,13,13,15,166,6057,2224,6389,7153,13383,-6890,
12,7,27,2023,13,13,15,176,7783,3679,6081,7109,13586,-7211,
13,7,27,2023,13,13,15,186,9534,4809,5203,6188,13657,-7544,
14,7,27,2023,13,13,15,196,10498,3629,4126,4504,13328,-8035,
15,7,27,2023,13,13,15,206,10431,-1925,3145,3605,12108,-8714,
16,7,27,2023,13,13,15,216,11212,-5847,1413,5650,10154,-9456,
17,7,27,2023,13,13,15,226,12030,-6436,111,9844,7689,-9771,
18,7,27,2023,13,13,15,236,13640,-3412,-1621,12009,4867,-9977,
19,7,27,2023,13,13,15,246,16019,781,-4475,8514,2933,-9413,
20,7,27,2023,13,13,15,256,15923,-2059,-6837,1607,1873,-6949,
21,7,27,2023,13,13,15,266,14355,-8168,-6924,-1261,781,-3548,
22,7,27,2023,13,13,15,276,12901,-8279,-5871,884,-718,-892,
23,7,27,2023,13,13,15,286,11303,-2656,-4364,2548,-2325,745,
24,7,27,2023,13,13,15,296,12095,4085,-5550,-2119,-4845,2951,
25,7,27,2023,13,13,15,306,8941,35,-7985,-11503,-9922,7697,
26,7,27,2023,13,13,15,316,10583,-2510,6877,-15305,-14323,12580,
27,7,27,2023,13,13,15,326,18750,3962,8777,-9908,-15594,11078,
28,7,27,2023,13,13,15,336,13509,-1679,8895,-6590,-12308,6081,
29,7,27,2023,13,13,15,346,19548,-8700,14185,-6296,-6293,4019,
30,7,27,2023,13,13,15,356,4512,-1452,6235,-4388,592,3120,
31,7,27,2023,13,13,15,366,859,-636,5318,-2077,791,1411,
32,7,27,2023,13,13,15,376,1007,-2117,3766,-1497,-744,1761,
33,7,27,2023,13,13,15,386,2117,-533,1861,-783,-1603,1585,
34,7,27,2023,13,13,15,396,3515,2626,2951,-616,-1273,1097,
35,7,27,2023,13,13,15,406,3702,2582,4602,-924,64,1029,
36,7,27,2023,13,13,15,416,3463,-59,5260,-1034,-44,1216,
37,7,27,2023,13,13,15,426,2479,-1240,4282,-735,-1041,1073,
38,7,27,2023,13,13,15,436,2364,216,4081,-253,-1462,600,
39,7,27,2023,13,13,15,446,2627,1260,4560,-230,-1518,417,
40,7,27,2023,13,13,15,456,2649,983,4981,-266,-1569,444,
41,7,27,2023,13,13,15,466,1703,1189,5493,-20,-2304,692,
42,7,27,2023,13,13,15,476,1862,1283,5492,102,-3302,917,
43,7,27,2023,13,13,15,486,3331,377,5026,116,-4347,1136,
44,7,27,2023,13,13,15,496,3096,347,4979,386,-5489,1222,
45,7,27,2023,13,13,15,506,2072,1021,5318,413,-6263,1206,
46,7,27,2023,13,13,15,516,2015,1092,5182,395,-7031,1316,
47,7,27,2023,13,13,15,526,1790,1001,4700,299,-7906,1556,
48,7,27,2023,13,13,15,536,1323,1410,4961,138,-8981,1948,
49,7,27,2023,13,13,15,546,1362,639,4831,-405,-10011,2121,
50,7,27,2023,13,13,15,556,1916,-479,3472,-583,-11233,2280,
51,7,27,2023,13,13,15,566,4381,-596,3376,101,-12569,2189,
52,7,27,2023,13,13,15,576,3916,-95,3020,572,-13140,1825,
53,7,27,2023,13,13,15,586,5324,433,3241,861,-13054,1338,
54,7,27,2023,13,13,15,596,4689,899,3453,1031,-12312,1141,
55,7,27,2023,13,13,15,606,4043,1143,3317,1214,-11835,1311,
56,7,27,2023,13,13,15,616,3932,1629,2464,1432,-11361,1498,
57,7,27,2023,13,13,15,626,3893,878,1419,1283,-11155,2001,
58,7,27,2023,13,13,15,636,4961,2013,1316,1258,-10937,2398,
59,7,27,2023,13,13,15,646,4925,1963,1794,940,-9724,2523,
60,7,27,2023,13,13,15,656,1272,432,1403,827,-8873,2937,
61,7,27,2023,13,13,15,666,2723,22,2223,1489,-9415,3067,
62,7,27,2023,13,13,15,676,2095,-1375,3082,2921,-9449,2957,
63,7,27,2023,13,13,15,686,5208,-1678,3154,4950,-9970,3680,
64,7,27,2023,13,13,15,696,8488,419,4196,6861,-9168,4814,
65,7,27,2023,13,13,15,706,7015,1894,4580,7516,-6661,5183,
66,7,27,2023,13,13,15,716,6621,2575,5198,7162,-4425,5272,
67,7,27,2023,13,13,15,726,6733,3752,5468,6234,-2628,5390,
68,7,27,2023,13,13,15,736,6891,4248,5817,5040,-1080,5624,
69,7,27,2023,13,13,15,746,6982,4599,6124,3671,139,5831,
70,7,27,2023,13,13,15,756,6828,5354,6429,2245,1196,5847,
71,7,27,2023,13,13,15,766,6467,5943,6368,549,2285,5640,
72,7,27,2023,13,13,15,776,5824,6067,6132,-1440,3477,5249,
73,7,27,2023,13,13,15,786,5323,5657,5713,-3417,4664,4652,
74,7,27,2023,13,13,15,796,4307,4731,5189,-4992,5853,3873,
75,7,27,2023,13,13,15,806,3214,3729,4590,-5719,6867,2933,
76,7,27,2023,13,13,15,816,2180,2902,3838,-5618,7649,1899,
77,7,27,2023,13,13,15,826,1286,2261,3027,-4971,8186,862,
78,7,27,2023,13,13,15,836,822,1843,2689,-3938,8431,-117,
79,7,27,2023,13,13,15,846,1378,1841,2565,-2767,8458,-1212,
80,7,27,2023,13,13,15,856,2225,1909,2328,-1652,8777,-2397,
81,7,27,2023,13,13,15,866,2769,1923,1983,-703,9372,-3608,
82,7,27,2023,13,13,15,876,2829,2056,1671,34,10199,-4655,
83,7,27,2023,13,13,15,886,2320,2164,1458,548,10933,-5340,
84,7,27,2023,13,13,15,896,1870,1924,1652,917,11164,-5492,
85,7,27,2023,13,13,15,906,2167,1145,2021,1520,10974,-5251,
86,7,27,2023,13,13,15,926,3463,798,3009,4019,11145,-4507,
87,7,27,2023,13,13,15,936,3842,1530,3466,5211,11502,-4143,
88,7,27,2023,13,13,15,946,3989,2091,3948,5713,12027,-3899,
89,7,27,2023,13,13,15,956,3719,1879,4598,5632,12484,-3786,
90,7,27,2023,13,13,15,966,3644,940,5093,5631,12717,-3791,
91,7,27,2023,13,13,15,976,3722,339,5555,6354,12787,-3841,
92,7,27,2023,13,13,15,986,4324,728,6197,7560,12695,-3897,
93,7,27,2023,13,13,15,996,5444,1116,6986,8527,12513,-4171,
94,7,27,2023,13,13,16,6,7394,1699,7530,8939,12414,-4930,
95,7,27,2023,13,13,16,16,9861,2569,7281,8637,12474,-6216,
96,7,27,2023,13,13,16,26,11216,2397,6298,7325,12456,-7853,
97,7,27,2023,13,13,16,36,11279,-414,5184,5734,11667,-9436,
98,7,27,2023,13,13,16,46,11329,-4870,3751,5313,9909,-10805,
99,7,27,2023,13,13,16,56,12296,-7556,1918,6736,7656,-11875,
100,7,27,2023,13,13,16,66,15442,-4813,-186,8805,5305,-12293,
101,7,27,2023,13,13,16,76,17945,-441,-3390,7723,3453,-11314,
102,7,27,2023,13,13,16,86,17689,-1988,-6161,2944,2234,-8489,
103,7,27,2023,13,13,16,96,16468,-6455,-6674,-290,1270,-4771,
104,7,27,2023,13,13,16,106,14403,-7201,-6223,170,260,-1391,
105,7,27,2023,13,13,16,116,12333,-3823,-5247,1119,-999,1157,
106,7,27,2023,13,13,16,126,10731,-368,-4821,-571,-3006,3171,
107,7,27,2023,13,13,16,136,13427,-1361,-7325,-5978,-6803,5374,
108,7,27,2023,13,13,16,146,2872,-987,-1095,-10245,-10964,7958,
109,7,27,2023,13,13,16,156,13880,4198,9880,-9158,-13899,8799,
110,7,27,2023,13,13,16,166,10940,3154,4030,-6621,-12676,7092,
111,7,27,2023,13,13,16,176,12505,-3281,8691,-4352,-11014,5037,
112,7,27,2023,13,13,16,186,17333,-2002,13073,-6129,-5928,4596,
113,7,27,2023,13,13,16,196,1019,2347,3793,-5305,1066,3831,
114,7,27,2023,13,13,16,206,1726,-517,3627,-3809,1596,2499,
115,7,27,2023,13,13,16,216,4346,-4897,2409,-3385,905,2526,
116,7,27,2023,13,13,16,226,3055,-2702,3142,-1678,-150,1641,
117,7,27,2023,13,13,16,236,3046,2183,4861,-848,117,662,
118,7,27,2023,13,13,16,246,504,3345,6385,-895,761,647,
119,7,27,2023,13,13,16,256,1601,315,6051,-947,79,1015,
120,7,27,2023,13,13,16,266,1412,76,4734,-705,-1017,1084,
121,7,27,2023,13,13,16,276,4492,-75,3220,-579,-1652,917,
122,7,27,2023,13,13,16,286,3591,-109,3932,-360,-1800,734,
123,7,27,2023,13,13,16,296,1978,1315,5077,-190,-2014,456,
124,7,27,2023,13,13,16,306,1344,1444,5793,-264,-2616,534,
125,7,27,2023,13,13,16,316,1818,1295,6048,-22,-3613,807,
126,7,27,2023,13,13,16,326,1323,1141,6546,59,-4808,1124,
127,7,27,2023,13,13,16,336,2004,312,6456,92,-5988,1212,
128,7,27,2023,13,13,16,346,3295,438,5419,256,-7401,1462,
129,7,27,2023,13,13,16,356,2537,440,4965,271,-8883,1798,
130,7,27,2023,13,13,16,366,1332,892,4843,375,-9741,2061,
131,7,27,2023,13,13,16,376,119,1451,4957,-6,-10436,2465,
132,7,27,2023,13,13,16,386,1321,534,4410,-750,-11416,2664,
133,7,27,2023,13,13,16,396,2256,471,4320,-827,-12490,2664,
134,7,27,2023,13,13,16,406,3694,33,3130,-328,-13276,2598,
135,7,27,2023,13,13,16,416,5545,-151,2356,107,-14016,2438,
136,7,27,2023,13,13,16,426,5801,979,3094,479,-13712,2074,
137,7,27,2023,13,13,16,436,4172,585,3427,445,-12852,2001,
138,7,27,2023,13,13,16,446,3957,588,2642,1137,-12076,1914,
