Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,7,27,2023,12,18,44,485,-13458,-2093,5308,-3200,2686,2849,
2,7,27,2023,12,18,44,495,-9621,-1051,3103,-2335,158,3867,
3,7,27,2023,12,18,44,505,-8367,-804,2779,-1349,-126,5219,
4,7,27,2023,12,18,44,515,-7540,-1103,3350,-735,292,6063,
5,7,27,2023,12,18,44,525,-6789,-1777,4060,-213,631,6375,
6,7,27,2023,12,18,44,535,-6331,-2648,4964,624,753,6486,
7,7,27,2023,12,18,44,545,-6093,-3375,5935,1741,410,6314,
8,7,27,2023,12,18,44,555,-5262,-3992,6345,2931,-554,5730,
9,7,27,2023,12,18,44,565,-3456,-4200,5660,4110,-1825,4864,
10,7,27,2023,12,18,44,575,-1596,-3945,4478,5058,-2808,3937,
11,7,27,2023,12,18,44,585,-316,-3628,3410,5359,-3360,2915,
12,7,27,2023,12,18,44,595,402,-3668,2716,4935,-3686,1648,
13,7,27,2023,12,18,44,605,834,-4033,2276,4200,-3960,201,
14,7,27,2023,12,18,44,615,1154,-4193,2116,3693,-4161,-1180,
15,7,27,2023,12,18,44,625,1077,-3760,2181,3403,-4378,-2338,
16,7,27,2023,12,18,44,635,1284,-3100,2027,2932,-4786,-3273,
17,7,27,2023,12,18,44,645,1687,-2387,1710,2257,-5224,-3872,
18,7,27,2023,12,18,44,655,1604,-1804,1615,1463,-5610,-4114,
19,7,27,2023,12,18,44,665,1518,-1424,1452,724,-6084,-4083,
20,7,27,2023,12,18,44,675,1409,-907,1352,117,-6550,-3817,
21,7,27,2023,12,18,44,685,1058,-415,1385,-553,-7034,-3470,
22,7,27,2023,12,18,44,695,1001,-241,1012,-1233,-7583,-3160,
23,7,27,2023,12,18,44,705,742,-114,541,-1689,-7909,-2801,
24,7,27,2023,12,18,44,715,41,-32,260,-1957,-8012,-2470,
25,7,27,2023,12,18,44,725,-618,-116,-147,-2069,-8027,-2345,
26,7,27,2023,12,18,44,735,-1178,59,-740,-1999,-7856,-2477,
27,7,27,2023,12,18,44,745,-1792,726,-1410,-1910,-7432,-2844,
28,7,27,2023,12,18,44,755,-2866,1369,-1755,-1978,-6786,-3216,
29,7,27,2023,12,18,44,765,-4699,1671,-1742,-2063,-6184,-3309,
30,7,27,2023,12,18,44,775,-6813,1956,-2106,-2005,-5868,-3071,
