Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,7,27,2023,12,43,57,5,9821,-1050,2588,314,11953,5924,
2,7,27,2023,12,43,57,15,10229,-579,2141,328,11264,6280,
3,7,27,2023,12,43,57,25,10791,171,1349,100,10591,6440,
4,7,27,2023,12,43,57,35,11076,1000,222,-340,9902,6340,
5,7,27,2023,12,43,57,45,11276,1591,-1013,-848,9010,6070,
6,7,27,2023,12,43,57,55,11861,1687,-2020,-1152,7913,5630,
7,7,27,2023,12,43,57,65,12149,1437,-2963,-1021,6868,4813,
8,7,27,2023,12,43,57,75,11652,1292,-3918,-497,5831,3418,
9,7,27,2023,12,43,57,85,10879,1505,-4629,44,4531,1534,
10,7,27,2023,12,43,57,95,11154,1825,-4756,81,2915,-346,
11,7,27,2023,12,43,57,105,12056,1414,-4433,-479,1390,-1582,
12,7,27,2023,12,43,57,115,12181,597,-4123,-1021,171,-2013,
13,7,27,2023,12,43,57,125,11299,120,-3812,-1071,-991,-1887,
14,7,27,2023,12,43,57,135,8842,-135,-3660,-751,-2407,-1565,
15,7,27,2023,12,43,57,145,2671,1116,-2521,-85,-4895,-1601,
16,7,27,2023,12,43,57,155,1801,-463,6333,627,-7428,-1692,
17,7,27,2023,12,43,57,165,1881,-640,9144,158,-7297,-1995,
18,7,27,2023,12,43,57,175,1504,816,2646,-576,-7160,-2893,
19,7,27,2023,12,43,57,185,3645,-596,4084,26,-9021,-4034,
20,7,27,2023,12,43,57,195,8838,-3305,7182,-48,-9405,-3751,
21,7,27,2023,12,43,57,205,11790,-7158,6484,339,-7235,-2613,
22,7,27,2023,12,43,57,215,7640,-1868,3207,2743,-5131,-2332,
23,7,27,2023,12,43,57,225,5209,1388,6060,3022,-4025,-2127,
24,7,27,2023,12,43,57,235,3759,1617,5941,1662,-2119,-1923,
25,7,27,2023,12,43,57,245,1613,-1287,4172,479,-1150,-1372,
26,7,27,2023,12,43,57,255,2954,-1277,3569,89,-1664,-1132,
27,7,27,2023,12,43,57,265,3922,-446,3466,-107,-1706,-1146,
28,7,27,2023,12,43,57,275,3828,-146,4617,-202,-1329,-943,
29,7,27,2023,12,43,57,285,2935,-450,3626,-264,-809,-638,
30,7,27,2023,12,43,57,295,98,-1456,4058,-306,-904,-590,
31,7,27,2023,12,43,57,305,2418,-997,3954,-160,-1260,-839,
