Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,7,28,2023,11,5,15,615,2211,-562,3435,-1,2,4,
2,7,28,2023,11,5,15,625,2212,-560,3430,-3,3,2,
3,7,28,2023,11,5,15,635,2210,-564,3428,0,5,2,
4,7,28,2023,11,5,15,645,2207,-571,3433,1,11,3,
5,7,28,2023,11,5,15,655,2205,-566,3429,4,9,3,
6,7,28,2023,11,5,15,665,2209,-558,3441,5,10,1,
7,7,28,2023,11,5,15,675,2206,-564,3444,4,5,3,
8,7,28,2023,11,5,15,685,2204,-560,3440,4,8,6,
9,7,28,2023,11,5,15,695,2214,-566,3443,1,6,4,
10,7,28,2023,11,5,15,705,2218,-566,3438,3,6,3,
11,7,28,2023,11,5,15,715,2212,-564,3441,5,5,5,
12,7,28,2023,11,5,15,725,2211,-565,3438,1,8,1,
13,7,28,2023,11,5,15,735,2213,-560,3439,2,7,-1,
14,7,28,2023,11,5,15,745,2204,-562,3441,3,8,-3,
15,7,28,2023,11,5,15,755,2207,-563,3440,3,4,1,
16,7,28,2023,11,5,15,765,2209,-562,3431,4,3,2,
17,7,28,2023,11,5,15,775,2207,-564,3430,-2,3,-1,
18,7,28,2023,11,5,15,785,2202,-566,3437,-1,4,-1,
19,7,28,2023,11,5,15,795,2204,-559,3436,4,4,4,
20,7,28,2023,11,5,15,805,2209,-559,3435,-1,3,4,
21,7,28,2023,11,5,15,815,2212,-551,3435,0,7,3,
22,7,28,2023,11,5,15,825,2210,-556,3439,1,5,3,
23,7,28,2023,11,5,15,835,2211,-558,3436,-2,1,4,
24,7,28,2023,11,5,15,845,2206,-553,3436,-2,0,5,
25,7,28,2023,11,5,15,855,2205,-561,3437,-3,2,3,
26,7,28,2023,11,5,15,865,2209,-565,3438,-3,-2,5,
27,7,28,2023,11,5,15,875,2209,-561,3442,0,3,4,
28,7,28,2023,11,5,15,885,2204,-563,3444,-3,5,0,
29,7,28,2023,11,5,15,895,2209,-562,3437,-2,3,1,
30,7,28,2023,11,5,15,905,2197,-561,3442,-3,2,6,
31,7,28,2023,11,5,15,915,2208,-564,3439,-3,4,6,
32,7,28,2023,11,5,15,925,2219,-565,3437,-5,4,1,
33,7,28,2023,11,5,15,935,2205,-559,3432,-4,5,0,
34,7,28,2023,11,5,15,945,2206,-564,3444,-2,5,0,
35,7,28,2023,11,5,15,955,2212,-565,3436,2,3,2,
36,7,28,2023,11,5,15,965,2217,-554,3429,-1,6,2,
37,7,28,2023,11,5,15,975,2210,-561,3431,0,8,1,
38,7,28,2023,11,5,15,985,2208,-563,3432,-4,8,3,
39,7,28,2023,11,5,15,995,2204,-573,3437,-7,9,8,
40,7,28,2023,11,5,16,5,2212,-565,3433,-6,10,7,
41,7,28,2023,11,5,16,15,2212,-553,3434,-3,10,5,
42,7,28,2023,11,5,16,25,2208,-564,3428,-5,7,4,
43,7,28,2023,11,5,16,35,2208,-565,3437,-2,10,4,
44,7,28,2023,11,5,16,45,2210,-565,3436,0,12,2,
45,7,28,2023,11,5,16,55,2215,-558,3442,-1,11,0,
46,7,28,2023,11,5,16,65,2206,-560,3439,-1,11,5,
47,7,28,2023,11,5,16,75,2210,-562,3431,1,12,4,
48,7,28,2023,11,5,16,85,2207,-561,3444,0,11,5,
49,7,28,2023,11,5,16,95,2211,-571,3441,-3,11,2,
50,7,28,2023,11,5,16,105,2209,-557,3440,0,11,6,
51,7,28,2023,11,5,16,115,2210,-555,3428,-2,10,5,
52,7,28,2023,11,5,16,125,2201,-564,3433,-2,11,4,
53,7,28,2023,11,5,16,135,2207,-568,3430,0,17,3,
54,7,28,2023,11,5,16,145,2225,-552,3439,4,17,1,
55,7,28,2023,11,5,16,155,2204,-556,3438,0,17,5,
56,7,28,2023,11,5,16,165,2202,-574,3443,3,14,5,
57,7,28,2023,11,5,16,175,2220,-547,3436,4,16,4,
58,7,28,2023,11,5,16,185,2206,-567,3444,2,19,6,
59,7,28,2023,11,5,16,195,2218,-563,3439,6,18,2,
60,7,28,2023,11,5,16,205,2218,-556,3442,5,22,4,
61,7,28,2023,11,5,16,215,2198,-571,3433,0,22,4,
62,7,28,2023,11,5,16,225,2215,-552,3426,5,27,3,
63,7,28,2023,11,5,16,235,2205,-550,3436,9,34,10,
64,7,28,2023,11,5,16,245,2207,-573,3451,7,34,7,
65,7,28,2023,11,5,16,255,2204,-558,3457,9,31,5,
66,7,28,2023,11,5,16,265,2211,-567,3432,8,31,4,
67,7,28,2023,11,5,16,275,2208,-560,3427,13,33,4,
68,7,28,2023,11,5,16,285,2206,-568,3421,16,40,4,
69,7,28,2023,11,5,16,295,2179,-546,3428,17,48,0,
70,7,28,2023,11,5,16,305,2195,-560,3415,14,45,-4,
71,7,28,2023,11,5,16,315,2190,-550,3442,15,46,2,
72,7,28,2023,11,5,16,325,2194,-588,3439,13,38,3,
73,7,28,2023,11,5,16,335,2207,-543,3456,16,35,-4,
74,7,28,2023,11,5,16,345,2207,-558,3460,16,33,-1,
75,7,28,2023,11,5,16,355,2208,-551,3450,13,32,-3,
76,7,28,2023,11,5,16,365,2204,-550,3454,10,33,3,
77,7,28,2023,11,5,16,375,2199,-544,3452,3,33,4,
