Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,7,28,2023,12,52,28,965,2210,-630,3422,-3,-10,-5,
2,7,28,2023,12,52,28,975,2212,-634,3416,-6,-11,-3,
3,7,28,2023,12,52,28,985,2205,-630,3417,-4,-10,-3,
4,7,28,2023,12,52,28,995,2223,-644,3408,-3,-6,-5,
5,7,28,2023,12,52,29,5,2209,-637,3417,-6,-2,-5,
6,7,28,2023,12,52,29,15,2203,-642,3422,0,-6,-1,
7,7,28,2023,12,52,29,25,2208,-635,3424,0,-8,0,
8,7,28,2023,12,52,29,35,2213,-635,3427,-3,-7,-4,
9,7,28,2023,12,52,29,45,2209,-634,3422,-1,-8,1,
10,7,28,2023,12,52,29,55,2214,-636,3418,-5,-5,3,
11,7,28,2023,12,52,29,65,2214,-632,3424,-6,-8,1,
12,7,28,2023,12,52,29,75,2215,-627,3431,-9,-5,0,
13,7,28,2023,12,52,29,85,2212,-651,3412,-6,-4,1,
14,7,28,2023,12,52,29,95,2206,-630,3419,1,-4,-3,
15,7,28,2023,12,52,29,105,2217,-627,3423,-4,-6,-2,
16,7,28,2023,12,52,29,115,2217,-643,3416,-2,-8,2,
17,7,28,2023,12,52,29,125,2222,-630,3421,-1,-7,-4,
18,7,28,2023,12,52,29,135,2220,-629,3412,-3,-9,-2,
19,7,28,2023,12,52,29,145,2218,-633,3415,-8,-4,-4,
20,7,28,2023,12,52,29,155,2219,-636,3422,-4,-5,0,
21,7,28,2023,12,52,29,165,2217,-644,3423,-2,-5,3,
22,7,28,2023,12,52,29,175,2215,-639,3420,-3,-7,1,
23,7,28,2023,12,52,29,185,2213,-632,3415,-3,-7,0,
24,7,28,2023,12,52,29,195,2216,-632,3421,-4,-6,3,
25,7,28,2023,12,52,29,205,2215,-629,3416,-6,-9,2,
26,7,28,2023,12,52,29,215,2217,-627,3415,-8,-8,0,
