Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,3,6,2024,13,48,20,279,389,-2611,3604,-4747,-2236,-157,
2,3,6,2024,13,48,20,289,389,-2611,3604,-4747,-2236,-157,
3,3,6,2024,13,48,20,299,389,-2611,3604,-4747,-2236,-157,
4,3,6,2024,13,48,20,309,389,-2611,3604,-4747,-2236,-157,
5,3,6,2024,13,48,20,319,389,-2611,3604,-4747,-2236,-157,
6,3,6,2024,13,48,20,329,389,-2611,3604,-4747,-2236,-157,
7,3,6,2024,13,48,20,339,2040,-2207,2856,-3,-8,-8,
8,3,6,2024,13,48,20,349,2040,-2200,2847,-2,-10,-13,
9,3,6,2024,13,48,20,359,2042,-2198,2860,6,-5,-1,
10,3,6,2024,13,48,20,369,2033,-2205,2857,2,-4,-1,
11,3,6,2024,13,48,20,379,2031,-2210,2850,5,-7,-3,
12,3,6,2024,13,48,20,389,2031,-2207,2856,5,-4,0,
13,3,6,2024,13,48,20,399,2029,-2197,2850,4,-6,0,
14,3,6,2024,13,48,20,409,2025,-2209,2859,3,-3,1,
15,3,6,2024,13,48,20,419,2029,-2201,2857,0,-6,-1,
16,3,6,2024,13,48,20,429,2035,-2202,2859,-1,-10,1,
17,3,6,2024,13,48,20,439,2039,-2210,2854,-2,-4,0,
18,3,6,2024,13,48,20,449,2037,-2211,2851,0,-8,3,
19,3,6,2024,13,48,20,459,2028,-2212,2858,1,-9,0,
20,3,6,2024,13,48,20,469,2030,-2210,2859,3,-5,-5,
21,3,6,2024,13,48,20,479,2025,-2208,2849,3,-5,-3,
22,3,6,2024,13,48,20,489,2028,-2212,2858,1,-10,-2,
23,3,6,2024,13,48,20,499,2026,-2206,2852,3,-11,-8,
24,3,6,2024,13,48,20,509,2030,-2210,2842,5,-10,-8,
25,3,6,2024,13,48,20,519,2026,-2208,2851,5,-6,-9,
26,3,6,2024,13,48,20,529,2035,-2198,2858,7,-6,-8,
27,3,6,2024,13,48,20,539,2037,-2200,2853,8,-9,-7,
28,3,6,2024,13,48,20,549,2032,-2203,2860,10,-14,-9,
29,3,6,2024,13,48,20,559,2035,-2195,2858,7,-13,-11,
30,3,6,2024,13,48,20,569,2039,-2202,2850,7,-10,-10,
31,3,6,2024,13,48,20,579,2029,-2208,2856,8,-7,-10,
32,3,6,2024,13,48,20,589,2030,-2211,2859,9,-7,-11,
33,3,6,2024,13,48,20,599,2032,-2203,2856,10,-6,-12,
34,3,6,2024,13,48,20,609,2036,-2202,2863,10,-3,-14,
35,3,6,2024,13,48,20,619,2037,-2199,2855,7,-11,-15,
36,3,6,2024,13,48,20,629,2041,-2203,2851,7,-13,-15,
37,3,6,2024,13,48,20,639,2042,-2192,2852,11,-11,-14,
38,3,6,2024,13,48,20,649,2040,-2195,2848,8,-4,-11,
39,3,6,2024,13,48,20,659,2042,-2201,2861,5,-1,-9,
40,3,6,2024,13,48,20,669,2030,-2194,2870,6,-5,-6,
41,3,6,2024,13,48,20,679,2021,-2195,2867,7,-4,-6,
42,3,6,2024,13,48,20,689,2021,-2195,2867,7,-4,-6,
43,3,6,2024,13,48,20,699,2027,-2201,2862,5,-11,-7,
44,3,6,2024,13,48,20,709,2032,-2209,2861,3,-11,-11,
45,3,6,2024,13,48,20,719,2027,-2210,2848,6,-11,-11,
46,3,6,2024,13,48,20,729,2032,-2206,2854,10,-10,-12,
47,3,6,2024,13,48,20,739,2030,-2201,2852,9,-13,-18,
48,3,6,2024,13,48,20,749,2027,-2213,2854,8,-14,-17,
49,3,6,2024,13,48,20,759,2032,-2201,2855,11,-10,-17,
50,3,6,2024,13,48,20,769,2032,-2200,2850,15,-10,-18,
51,3,6,2024,13,48,20,779,2042,-2205,2852,12,-14,-17,
52,3,6,2024,13,48,20,789,2035,-2197,2859,10,-12,-19,
53,3,6,2024,13,48,20,799,2035,-2197,2859,10,-12,-19,
54,3,6,2024,13,48,20,809,2035,-2214,2854,11,-11,-13,
55,3,6,2024,13,48,20,819,2045,-2210,2851,13,-7,-14,
56,3,6,2024,13,48,20,829,2026,-2206,2855,13,-8,-16,
57,3,6,2024,13,48,20,839,2025,-2203,2855,12,-13,-18,
58,3,6,2024,13,48,20,849,2041,-2188,2848,11,-14,-24,
59,3,6,2024,13,48,20,859,2042,-2197,2859,14,-12,-23,
60,3,6,2024,13,48,20,869,2042,-2195,2853,8,-8,-18,
61,3,6,2024,13,48,20,879,2048,-2190,2857,7,-5,-15,
62,3,6,2024,13,48,20,889,2044,-2194,2850,8,-6,-16,
63,3,6,2024,13,48,20,899,2035,-2202,2854,6,-4,-13,
64,3,6,2024,13,48,20,909,2042,-2206,2854,8,-4,-14,
65,3,6,2024,13,48,20,919,2043,-2190,2857,10,-2,-12,
66,3,6,2024,13,48,20,929,2033,-2198,2854,10,-6,-14,
67,3,6,2024,13,48,20,939,2031,-2212,2854,11,-6,-13,
68,3,6,2024,13,48,20,949,2035,-2196,2855,14,-4,-17,
69,3,6,2024,13,48,20,959,2031,-2195,2854,10,-6,-19,
70,3,6,2024,13,48,20,969,2038,-2191,2864,4,-7,-17,
71,3,6,2024,13,48,20,979,2042,-2191,2848,1,-11,-18,
72,3,6,2024,13,48,20,989,2035,-2199,2850,2,-10,-19,
73,3,6,2024,13,48,20,999,2039,-2200,2851,3,-11,-16,
74,3,6,2024,13,48,21,9,2036,-2198,2855,8,-12,-18,
75,3,6,2024,13,48,21,19,2047,-2201,2855,10,-13,-19,
76,3,6,2024,13,48,21,29,2039,-2193,2860,10,-9,-17,
77,3,6,2024,13,48,21,39,2037,-2196,2850,8,-6,-18,
78,3,6,2024,13,48,21,49,2039,-2201,2849,8,-8,-16,
79,3,6,2024,13,48,21,59,2039,-2194,2856,13,-7,-16,
80,3,6,2024,13,48,21,69,2043,-2180,2853,11,-6,-14,
81,3,6,2024,13,48,21,79,2050,-2194,2850,8,-9,-13,
82,3,6,2024,13,48,21,89,2041,-2199,2852,10,-4,-11,
83,3,6,2024,13,48,21,99,2046,-2195,2862,6,-3,-15,
84,3,6,2024,13,48,21,109,2037,-2192,2870,8,-3,-14,
85,3,6,2024,13,48,21,119,2042,-2192,2861,12,-4,-13,
86,3,6,2024,13,48,21,139,2046,-2194,2859,7,-12,-16,
87,3,6,2024,13,48,21,149,2043,-2186,2874,3,-14,-11,
88,3,6,2024,13,48,21,159,2047,-2196,2866,-4,-14,-7,
89,3,6,2024,13,48,21,169,2051,-2198,2863,-5,-20,-4,
