Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,6,2023,9,24,0,817,75,-3848,1335,-743,303,802,
2,12,6,2023,9,24,0,827,75,-3848,1335,-743,303,802,
3,12,6,2023,9,24,0,837,75,-3848,1335,-743,303,802,
4,12,6,2023,9,24,0,847,75,-3848,1335,-743,303,802,
5,12,6,2023,9,24,0,857,75,-3848,1335,-743,303,802,
6,12,6,2023,9,24,0,867,75,-3848,1335,-743,303,802,
7,12,6,2023,9,24,0,877,2588,341,3122,-17,33,7,
8,12,6,2023,9,24,0,887,2588,340,3125,-17,36,2,
9,12,6,2023,9,24,0,897,2584,342,3125,-12,31,6,
10,12,6,2023,9,24,0,907,2588,343,3131,-13,27,8,
11,12,6,2023,9,24,0,917,2594,345,3126,-12,32,6,
12,12,6,2023,9,24,0,927,2586,334,3128,-13,33,5,
13,12,6,2023,9,24,0,937,2584,336,3127,-14,31,8,
14,12,6,2023,9,24,0,947,2584,341,3133,-17,30,5,
15,12,6,2023,9,24,0,957,2583,344,3133,-14,32,6,
16,12,6,2023,9,24,0,967,2581,338,3132,-12,31,8,
17,12,6,2023,9,24,0,977,2579,335,3130,-11,30,8,
18,12,6,2023,9,24,0,987,2579,341,3132,-10,30,3,
19,12,6,2023,9,24,0,997,2588,335,3131,-11,28,2,
20,12,6,2023,9,24,1,7,2583,330,3133,-10,25,2,
21,12,6,2023,9,24,1,17,2576,334,3138,-10,23,5,
22,12,6,2023,9,24,1,27,2583,332,3130,-8,21,3,
23,12,6,2023,9,24,1,37,2577,340,3133,-8,22,0,
24,12,6,2023,9,24,1,47,2577,336,3141,-9,17,1,
25,12,6,2023,9,24,1,57,2585,330,3129,-8,13,1,
26,12,6,2023,9,24,1,67,2580,335,3127,-6,13,2,
27,12,6,2023,9,24,1,77,2590,331,3128,-5,12,1,
28,12,6,2023,9,24,1,87,2585,331,3136,-4,11,-1,
29,12,6,2023,9,24,1,97,2586,342,3125,-5,14,2,
30,12,6,2023,9,24,1,107,2579,337,3131,-6,15,1,
31,12,6,2023,9,24,1,117,2579,337,3125,-7,13,2,
32,12,6,2023,9,24,1,127,2583,338,3126,-6,16,3,
33,12,6,2023,9,24,1,137,2584,337,3133,-8,21,2,
34,12,6,2023,9,24,1,147,2585,337,3127,-7,19,3,
35,12,6,2023,9,24,1,157,2582,337,3133,-6,18,5,
36,12,6,2023,9,24,1,167,2584,340,3136,-7,20,6,
37,12,6,2023,9,24,1,177,2588,339,3131,-4,20,6,
38,12,6,2023,9,24,1,187,2587,337,3126,-7,18,4,
39,12,6,2023,9,24,1,197,2584,338,3128,-8,21,6,
40,12,6,2023,9,24,1,207,2581,339,3132,-9,22,5,
41,12,6,2023,9,24,1,217,2583,332,3131,-7,21,6,
42,12,6,2023,9,24,1,227,2576,328,3135,-8,21,4,
43,12,6,2023,9,24,1,237,2574,324,3138,-9,23,-1,
44,12,6,2023,9,24,1,247,2587,342,3129,-6,23,2,
45,12,6,2023,9,24,1,257,2586,341,3134,-5,24,4,
46,12,6,2023,9,24,1,267,2580,329,3128,-9,27,2,
47,12,6,2023,9,24,1,277,2575,335,3135,-9,29,0,
48,12,6,2023,9,24,1,287,2584,333,3129,-8,30,3,
49,12,6,2023,9,24,1,297,2586,331,3135,-7,30,3,
50,12,6,2023,9,24,1,307,2575,334,3143,-7,28,3,
51,12,6,2023,9,24,1,317,2576,328,3143,-9,29,3,
52,12,6,2023,9,24,1,327,2579,328,3144,-10,26,0,
53,12,6,2023,9,24,1,337,2573,333,3141,-6,20,-1,
54,12,6,2023,9,24,1,347,2575,337,3138,-6,22,-1,
55,12,6,2023,9,24,1,357,2579,341,3135,-8,22,6,
56,12,6,2023,9,24,1,367,2580,336,3129,-7,23,0,
57,12,6,2023,9,24,1,377,2579,333,3131,-8,25,-1,
58,12,6,2023,9,24,1,387,2582,340,3133,-8,25,2,
59,12,6,2023,9,24,1,397,2577,338,3130,-8,29,2,
60,12,6,2023,9,24,1,407,2573,330,3129,-8,33,4,
61,12,6,2023,9,24,1,417,2579,319,3140,-7,31,1,
62,12,6,2023,9,24,1,427,2578,329,3143,-6,27,0,
63,12,6,2023,9,24,1,437,2575,330,3141,-6,27,0,
64,12,6,2023,9,24,1,447,2572,324,3146,-9,24,-3,
65,12,6,2023,9,24,1,457,2574,326,3139,-14,21,-8,
66,12,6,2023,9,24,1,467,2576,333,3140,-14,22,-6,
67,12,6,2023,9,24,1,477,2575,341,3138,-14,18,-4,
68,12,6,2023,9,24,1,487,2573,332,3139,-14,18,1,
69,12,6,2023,9,24,1,497,2578,330,3139,-14,19,-4,
70,12,6,2023,9,24,1,507,2576,335,3141,-12,18,-2,
71,12,6,2023,9,24,1,517,2577,331,3138,-8,21,1,
72,12,6,2023,9,24,1,527,2578,328,3140,-8,22,0,
73,12,6,2023,9,24,1,537,2576,326,3139,-7,23,0,
74,12,6,2023,9,24,1,547,2578,333,3138,-10,24,1,
75,12,6,2023,9,24,1,557,2574,337,3143,-9,22,-1,
76,12,6,2023,9,24,1,567,2573,331,3143,-8,15,3,
77,12,6,2023,9,24,1,577,2571,326,3143,-7,18,3,
78,12,6,2023,9,24,1,587,2571,331,3143,-8,19,0,
79,12,6,2023,9,24,1,597,2567,327,3142,-8,21,-3,
80,12,6,2023,9,24,1,607,2567,333,3146,-7,12,3,
81,12,6,2023,9,24,1,617,2576,335,3138,-5,11,3,
82,12,6,2023,9,24,1,627,2579,330,3141,-6,13,1,
83,12,6,2023,9,24,1,637,2572,323,3138,-5,9,5,
84,12,6,2023,9,24,1,647,2575,333,3139,-7,11,4,
85,12,6,2023,9,24,1,657,2572,321,3139,-3,9,3,
86,12,6,2023,9,24,1,677,2576,332,3135,-4,7,2,
87,12,6,2023,9,24,1,687,2575,327,3141,-4,6,6,
88,12,6,2023,9,24,1,697,2569,327,3143,-6,5,2,
89,12,6,2023,9,24,1,707,2567,330,3140,-4,5,3,
90,12,6,2023,9,24,1,717,2567,326,3141,-6,9,3,
91,12,6,2023,9,24,1,727,2573,321,3140,-3,3,1,
92,12,6,2023,9,24,1,737,2579,323,3141,-1,4,-1,
93,12,6,2023,9,24,1,747,2583,328,3136,-2,4,-1,
94,12,6,2023,9,24,1,757,2581,329,3134,-5,5,1,
95,12,6,2023,9,24,1,767,2584,325,3139,-4,8,-1,
96,12,6,2023,9,24,1,777,2580,331,3141,-2,8,0,
97,12,6,2023,9,24,1,787,2572,329,3138,0,9,-3,
98,12,6,2023,9,24,1,797,2575,329,3137,-1,11,-3,
99,12,6,2023,9,24,1,807,2580,331,3141,-3,14,-2,
100,12,6,2023,9,24,1,817,2576,329,3142,-6,15,-3,
101,12,6,2023,9,24,1,827,2573,327,3143,-2,14,-1,
102,12,6,2023,9,24,1,837,2575,329,3144,-6,12,-3,
103,12,6,2023,9,24,1,847,2578,325,3142,-2,13,0,
104,12,6,2023,9,24,1,857,2578,327,3142,-2,12,2,
105,12,6,2023,9,24,1,867,2571,333,3141,-4,12,1,
106,12,6,2023,9,24,1,877,2567,325,3145,-3,12,0,
107,12,6,2023,9,24,1,887,2576,331,3143,-3,11,-2,
108,12,6,2023,9,24,1,897,2571,327,3148,-3,10,-3,
109,12,6,2023,9,24,1,907,2571,326,3141,-3,7,0,
110,12,6,2023,9,24,1,917,2567,328,3142,-3,8,1,
111,12,6,2023,9,24,1,927,2573,330,3139,-3,9,-5,
112,12,6,2023,9,24,1,937,2574,330,3143,0,5,-1,
113,12,6,2023,9,24,1,947,2577,331,3133,-1,10,-2,
114,12,6,2023,9,24,1,957,2575,327,3135,-3,11,-1,
115,12,6,2023,9,24,1,967,2572,326,3138,-4,10,-2,
116,12,6,2023,9,24,1,977,2576,327,3137,-5,13,-2,
117,12,6,2023,9,24,1,987,2580,324,3144,-3,12,-2,
118,12,6,2023,9,24,1,997,2570,333,3142,-3,10,-2,
119,12,6,2023,9,24,2,7,2568,330,3147,-6,8,-1,
120,12,6,2023,9,24,2,17,2576,332,3144,-2,8,-2,
121,12,6,2023,9,24,2,27,2571,325,3143,-1,5,-4,
122,12,6,2023,9,24,2,37,2571,323,3138,-2,6,-6,
123,12,6,2023,9,24,2,47,2575,331,3137,0,2,-5,
124,12,6,2023,9,24,2,57,2579,322,3145,3,5,-3,
125,12,6,2023,9,24,2,67,2580,329,3132,3,2,-3,
126,12,6,2023,9,24,2,77,2579,327,3133,1,4,-2,
127,12,6,2023,9,24,2,87,2575,329,3135,0,9,-1,
128,12,6,2023,9,24,2,97,2579,329,3138,-2,6,1,
129,12,6,2023,9,24,2,107,2574,332,3140,-3,6,1,
130,12,6,2023,9,24,2,117,2574,327,3142,-6,9,-2,
131,12,6,2023,9,24,2,127,2572,325,3141,-5,13,-4,
132,12,6,2023,9,24,2,137,2572,328,3140,-3,13,-4,
133,12,6,2023,9,24,2,147,2570,326,3146,-4,7,-2,
134,12,6,2023,9,24,2,157,2573,322,3142,-6,7,-4,
135,12,6,2023,9,24,2,167,2570,325,3138,-1,3,-5,
136,12,6,2023,9,24,2,177,2572,329,3138,-1,2,-4,
137,12,6,2023,9,24,2,187,2573,327,3140,-1,5,-5,
138,12,6,2023,9,24,2,197,2572,327,3132,-6,6,-3,
139,12,6,2023,9,24,2,207,2577,324,3134,-3,6,-1,
140,12,6,2023,9,24,2,217,2577,326,3136,-1,8,-1,
141,12,6,2023,9,24,2,227,2570,328,3144,-3,13,-4,
142,12,6,2023,9,24,2,237,2581,330,3140,-4,13,-1,
143,12,6,2023,9,24,2,247,2574,327,3139,-3,10,-2,
144,12,6,2023,9,24,2,257,2570,329,3136,-2,7,-2,
145,12,6,2023,9,24,2,267,2575,327,3142,-3,7,-6,
146,12,6,2023,9,24,2,277,2576,321,3136,-2,4,-1,
147,12,6,2023,9,24,2,287,2574,324,3140,3,5,-3,
148,12,6,2023,9,24,2,297,2574,329,3143,2,2,-4,
149,12,6,2023,9,24,2,307,2567,327,3143,1,2,-2,
150,12,6,2023,9,24,2,317,2575,328,3141,2,3,-5,
151,12,6,2023,9,24,2,327,2574,330,3138,2,0,-3,
152,12,6,2023,9,24,2,337,2578,327,3134,0,0,-1,
153,12,6,2023,9,24,2,347,2585,327,3129,-2,3,-5,
154,12,6,2023,9,24,2,357,2582,334,3137,1,7,-4,
155,12,6,2023,9,24,2,367,2572,328,3137,-1,10,-6,
156,12,6,2023,9,24,2,377,2579,331,3145,-2,12,-5,
157,12,6,2023,9,24,2,387,2576,324,3142,-2,13,-2,
158,12,6,2023,9,24,2,397,2574,325,3137,-6,13,-5,
159,12,6,2023,9,24,2,407,2572,328,3139,-6,8,-4,
160,12,6,2023,9,24,2,417,2580,334,3139,-3,8,-2,
161,12,6,2023,9,24,2,427,2581,332,3140,0,6,-5,
162,12,6,2023,9,24,2,437,2574,332,3145,-2,3,-8,
163,12,6,2023,9,24,2,447,2578,330,3139,-2,7,-7,
164,12,6,2023,9,24,2,457,2580,325,3134,-2,14,-5,
165,12,6,2023,9,24,2,467,2574,326,3137,-1,13,-5,
166,12,6,2023,9,24,2,477,2575,334,3133,-3,10,-3,
167,12,6,2023,9,24,2,487,2575,329,3131,-3,16,-3,
168,12,6,2023,9,24,2,497,2580,333,3138,-2,16,-1,
169,12,6,2023,9,24,2,507,2576,331,3142,-5,15,1,
170,12,6,2023,9,24,2,517,2577,328,3136,-7,17,0,
171,12,6,2023,9,24,2,537,2575,327,3139,0,14,-5,
172,12,6,2023,9,24,2,547,2580,331,3135,-1,16,-3,
173,12,6,2023,9,24,2,557,2577,325,3140,-3,16,-5,
174,12,6,2023,9,24,2,567,2575,333,3138,-2,13,-2,
175,12,6,2023,9,24,2,577,2575,327,3142,-2,21,0,
176,12,6,2023,9,24,2,587,2577,328,3134,-2,20,-4,
177,12,6,2023,9,24,2,597,2575,334,3145,-4,14,-3,
178,12,6,2023,9,24,2,607,2572,327,3138,-8,15,-1,
179,12,6,2023,9,24,2,617,2569,327,3136,-3,16,-3,
180,12,6,2023,9,24,2,627,2574,327,3140,-4,14,-4,
181,12,6,2023,9,24,2,637,2573,332,3138,-3,14,-3,
182,12,6,2023,9,24,2,647,2577,331,3137,-4,16,-2,
183,12,6,2023,9,24,2,657,2583,331,3138,-5,15,-2,
184,12,6,2023,9,24,2,667,2575,332,3135,0,14,-1,
185,12,6,2023,9,24,2,677,2572,329,3138,-1,17,-2,
186,12,6,2023,9,24,2,687,2572,332,3142,-5,20,-3,
187,12,6,2023,9,24,2,697,2572,332,3141,-5,14,1,
188,12,6,2023,9,24,2,707,2570,322,3143,-2,15,0,
189,12,6,2023,9,24,2,717,2579,329,3139,-5,19,-2,
190,12,6,2023,9,24,2,727,2578,336,3143,-6,17,1,
191,12,6,2023,9,24,2,737,2573,331,3140,-5,20,1,
192,12,6,2023,9,24,2,747,2574,329,3135,-8,19,-1,
193,12,6,2023,9,24,2,757,2576,329,3145,-8,20,-3,
194,12,6,2023,9,24,2,767,2567,330,3145,-6,19,0,
195,12,6,2023,9,24,2,777,2569,330,3139,-7,21,-1,
196,12,6,2023,9,24,2,787,2572,330,3140,-4,18,-2,
197,12,6,2023,9,24,2,797,2572,333,3141,0,17,0,
198,12,6,2023,9,24,2,807,2575,326,3137,-4,18,1,
