Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,6,2023,9,24,8,126,-1264,-3734,81,374,610,-824,
2,12,6,2023,9,24,8,136,-1264,-3734,81,374,610,-824,
3,12,6,2023,9,24,8,146,-1264,-3734,81,374,610,-824,
4,12,6,2023,9,24,8,156,-1264,-3734,81,374,610,-824,
5,12,6,2023,9,24,8,166,-1264,-3734,81,374,610,-824,
6,12,6,2023,9,24,8,176,175,-55,4156,18,-21,1,
7,12,6,2023,9,24,8,186,173,-51,4146,4,-20,1,
8,12,6,2023,9,24,8,196,176,-57,4148,3,-5,-5,
9,12,6,2023,9,24,8,206,179,-57,4155,7,-6,-4,
10,12,6,2023,9,24,8,216,177,-54,4154,6,-5,-3,
11,12,6,2023,9,24,8,226,176,-46,4148,6,-4,-3,
12,12,6,2023,9,24,8,236,176,-55,4148,6,-3,-4,
13,12,6,2023,9,24,8,246,177,-51,4149,6,-8,-1,
14,12,6,2023,9,24,8,256,175,-54,4152,5,-5,1,
15,12,6,2023,9,24,8,266,177,-53,4148,7,-5,-4,
16,12,6,2023,9,24,8,276,171,-57,4143,6,-7,-2,
17,12,6,2023,9,24,8,286,179,-54,4155,7,-5,-2,
18,12,6,2023,9,24,8,296,173,-54,4154,10,-5,-2,
19,12,6,2023,9,24,8,306,174,-57,4147,7,-4,-2,
20,12,6,2023,9,24,8,316,177,-51,4144,8,-5,-1,
21,12,6,2023,9,24,8,326,178,-51,4152,5,-9,-2,
22,12,6,2023,9,24,8,336,177,-55,4143,7,-8,2,
23,12,6,2023,9,24,8,346,179,-55,4140,8,-9,-2,
24,12,6,2023,9,24,8,356,175,-51,4147,5,-9,-2,
25,12,6,2023,9,24,8,366,181,-52,4152,7,-6,-2,
26,12,6,2023,9,24,8,376,181,-58,4150,7,-7,-3,
27,12,6,2023,9,24,8,386,181,-60,4148,6,-6,-5,
28,12,6,2023,9,24,8,396,177,-58,4146,6,-4,-2,
29,12,6,2023,9,24,8,406,174,-51,4146,7,-5,-2,
30,12,6,2023,9,24,8,416,171,-52,4148,7,-5,-3,
31,12,6,2023,9,24,8,426,176,-55,4146,6,-5,0,
32,12,6,2023,9,24,8,436,172,-56,4151,5,-6,-1,
33,12,6,2023,9,24,8,446,169,-55,4155,5,-7,-2,
34,12,6,2023,9,24,8,456,176,-51,4147,7,-4,0,
35,12,6,2023,9,24,8,466,173,-50,4146,6,-5,0,
36,12,6,2023,9,24,8,476,172,-48,4143,8,-5,-2,
37,12,6,2023,9,24,8,486,167,-57,4148,7,-5,-1,
38,12,6,2023,9,24,8,496,175,-52,4147,3,-7,-1,
39,12,6,2023,9,24,8,506,176,-55,4151,7,-8,-2,
40,12,6,2023,9,24,8,516,169,-55,4154,5,-7,-2,
41,12,6,2023,9,24,8,526,176,-53,4145,5,-1,-2,
42,12,6,2023,9,24,8,536,177,-55,4147,8,-5,1,
43,12,6,2023,9,24,8,546,176,-55,4148,8,-7,1,
44,12,6,2023,9,24,8,556,178,-49,4152,11,-6,-2,
45,12,6,2023,9,24,8,566,176,-56,4149,8,-3,2,
46,12,6,2023,9,24,8,576,176,-50,4140,9,-7,-1,
47,12,6,2023,9,24,8,586,171,-54,4143,4,-4,-2,
48,12,6,2023,9,24,8,596,171,-57,4151,3,-4,-2,
49,12,6,2023,9,24,8,606,177,-54,4146,8,-4,-2,
50,12,6,2023,9,24,8,616,177,-54,4148,7,-6,-3,
51,12,6,2023,9,24,8,626,170,-55,4150,8,-2,-2,
52,12,6,2023,9,24,8,636,176,-49,4148,10,-4,-4,
53,12,6,2023,9,24,8,646,177,-51,4146,6,-4,-5,
54,12,6,2023,9,24,8,656,176,-51,4154,6,-7,-1,
55,12,6,2023,9,24,8,666,172,-53,4148,5,-7,-2,
56,12,6,2023,9,24,8,676,178,-55,4147,6,-5,-6,
57,12,6,2023,9,24,8,686,175,-55,4152,4,-2,-3,
58,12,6,2023,9,24,8,696,176,-48,4145,5,-7,-2,
59,12,6,2023,9,24,8,706,179,-50,4146,5,-9,-3,
60,12,6,2023,9,24,8,716,174,-53,4149,4,-3,-3,
61,12,6,2023,9,24,8,726,177,-52,4151,7,-5,-2,
62,12,6,2023,9,24,8,736,171,-51,4155,7,-4,-1,
63,12,6,2023,9,24,8,746,171,-51,4155,7,-4,-1,
64,12,6,2023,9,24,8,756,180,-51,4152,5,-6,0,
65,12,6,2023,9,24,8,766,177,-49,4150,8,-4,-3,
66,12,6,2023,9,24,8,776,175,-52,4149,9,-6,-1,
67,12,6,2023,9,24,8,786,174,-54,4146,5,-5,-1,
68,12,6,2023,9,24,8,796,177,-51,4144,6,-4,-2,
69,12,6,2023,9,24,8,806,182,-52,4154,7,-5,1,
70,12,6,2023,9,24,8,816,181,-53,4147,6,-3,0,
71,12,6,2023,9,24,8,826,173,-56,4149,5,-5,-1,
72,12,6,2023,9,24,8,836,178,-47,4158,4,-4,0,
73,12,6,2023,9,24,8,846,172,-49,4144,7,-5,-1,
74,12,6,2023,9,24,8,856,172,-49,4144,7,-5,-1,
75,12,6,2023,9,24,8,866,172,-51,4149,10,-8,-2,
76,12,6,2023,9,24,8,876,175,-53,4148,6,-10,0,
77,12,6,2023,9,24,8,886,168,-52,4148,6,-7,1,
78,12,6,2023,9,24,8,896,177,-56,4143,5,-7,-3,
79,12,6,2023,9,24,8,906,176,-53,4141,4,-3,-3,
80,12,6,2023,9,24,8,916,173,-53,4143,5,-4,-4,
81,12,6,2023,9,24,8,926,177,-54,4145,7,-6,-3,
82,12,6,2023,9,24,8,936,173,-49,4142,6,-6,-2,
83,12,6,2023,9,24,8,946,176,-55,4152,4,-4,-1,
84,12,6,2023,9,24,8,956,170,-57,4146,4,-7,-3,
85,12,6,2023,9,24,8,966,176,-57,4143,1,-5,-4,
86,12,6,2023,9,24,8,986,180,-48,4155,5,-6,-1,
87,12,6,2023,9,24,8,996,176,-47,4154,8,-4,-3,
88,12,6,2023,9,24,9,6,181,-54,4153,7,-4,-2,
89,12,6,2023,9,24,9,16,168,-51,4151,5,-5,0,
90,12,6,2023,9,24,9,26,171,-48,4153,6,-5,1,
91,12,6,2023,9,24,9,36,168,-52,4148,8,-5,2,
92,12,6,2023,9,24,9,46,169,-56,4144,4,-4,-2,
93,12,6,2023,9,24,9,56,178,-50,4149,2,-6,-2,
94,12,6,2023,9,24,9,66,176,-49,4145,6,-8,-5,
95,12,6,2023,9,24,9,76,178,-56,4143,8,-8,-3,
96,12,6,2023,9,24,9,86,176,-53,4146,7,-4,-2,
97,12,6,2023,9,24,9,96,176,-57,4151,2,-5,-3,
98,12,6,2023,9,24,9,106,173,-55,4158,5,-7,-3,
99,12,6,2023,9,24,9,116,173,-54,4145,6,-5,0,
100,12,6,2023,9,24,9,126,174,-56,4143,9,-7,-1,
101,12,6,2023,9,24,9,136,176,-54,4141,7,-7,-1,
102,12,6,2023,9,24,9,146,173,-50,4150,4,-8,-2,
103,12,6,2023,9,24,9,156,176,-51,4152,7,-8,-1,
104,12,6,2023,9,24,9,166,178,-52,4149,6,-5,-2,
105,12,6,2023,9,24,9,176,179,-52,4150,9,-9,-1,
106,12,6,2023,9,24,9,186,176,-50,4152,7,-7,0,
107,12,6,2023,9,24,9,196,170,-54,4149,3,-7,0,
108,12,6,2023,9,24,9,206,170,-52,4147,4,-5,-1,
109,12,6,2023,9,24,9,216,176,-52,4144,3,-1,-3,
110,12,6,2023,9,24,9,226,178,-52,4151,6,-4,3,
111,12,6,2023,9,24,9,236,181,-48,4153,5,-6,-2,
112,12,6,2023,9,24,9,246,178,-49,4153,6,-4,-4,
