Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,6,2023,9,6,53,31,0,0,0,0,0,0,
2,12,6,2023,9,6,53,41,0,0,0,0,0,0,
3,12,6,2023,9,6,53,51,0,0,0,0,0,0,
4,12,6,2023,9,6,53,61,0,0,0,0,0,0,
5,12,6,2023,9,6,53,71,0,0,0,0,0,0,
6,12,6,2023,9,6,53,81,0,0,0,0,0,0,
7,12,6,2023,9,6,53,91,2492,-1376,2939,4,1,5,
8,12,6,2023,9,6,53,101,2493,-1375,2941,5,15,-6,
9,12,6,2023,9,6,53,111,2498,-1367,2944,0,14,-5,
10,12,6,2023,9,6,53,121,2498,-1374,2942,-2,11,2,
11,12,6,2023,9,6,53,131,2495,-1376,2941,-2,9,-1,
12,12,6,2023,9,6,53,141,2496,-1370,2940,-2,10,0,
13,12,6,2023,9,6,53,151,2497,-1378,2942,-3,13,-3,
14,12,6,2023,9,6,53,161,2493,-1382,2939,-2,12,0,
15,12,6,2023,9,6,53,171,2492,-1377,2936,-1,8,0,
16,12,6,2023,9,6,53,181,2491,-1374,2946,-5,12,-2,
17,12,6,2023,9,6,53,191,2489,-1375,2944,-2,10,-4,
18,12,6,2023,9,6,53,201,2485,-1376,2945,-2,6,-4,
19,12,6,2023,9,6,53,211,2490,-1370,2945,-5,6,-5,
20,12,6,2023,9,6,53,221,2495,-1375,2944,-3,6,-3,
21,12,6,2023,9,6,53,231,2492,-1375,2942,-4,3,0,
22,12,6,2023,9,6,53,241,2495,-1375,2939,-3,3,-1,
23,12,6,2023,9,6,53,251,2497,-1371,2946,-7,4,-2,
24,12,6,2023,9,6,53,261,2492,-1373,2943,-5,5,-3,
25,12,6,2023,9,6,53,271,2494,-1377,2941,-9,6,-2,
26,12,6,2023,9,6,53,281,2492,-1377,2940,-7,7,-1,
27,12,6,2023,9,6,53,291,2497,-1378,2940,-2,7,0,
28,12,6,2023,9,6,53,301,2499,-1381,2933,-3,2,-1,
29,12,6,2023,9,6,53,311,2497,-1384,2939,-6,6,-5,
30,12,6,2023,9,6,53,321,2496,-1380,2939,-1,8,-2,
31,12,6,2023,9,6,53,331,2493,-1379,2937,2,7,0,
32,12,6,2023,9,6,53,341,2496,-1381,2940,0,8,-2,
33,12,6,2023,9,6,53,351,2495,-1378,2942,-3,9,-4,
34,12,6,2023,9,6,53,361,2486,-1378,2947,-2,10,-4,
35,12,6,2023,9,6,53,371,2490,-1377,2943,-2,11,-7,
36,12,6,2023,9,6,53,381,2493,-1375,2945,-3,10,-10,
37,12,6,2023,9,6,53,391,2493,-1371,2944,-2,6,-6,
38,12,6,2023,9,6,53,401,2496,-1371,2951,-2,7,-3,
39,12,6,2023,9,6,53,411,2495,-1377,2942,-1,6,-7,
40,12,6,2023,9,6,53,421,2493,-1374,2939,-1,6,-7,
41,12,6,2023,9,6,53,431,2498,-1374,2938,-1,6,-7,
42,12,6,2023,9,6,53,441,2497,-1376,2935,-1,9,-6,
43,12,6,2023,9,6,53,451,2494,-1369,2938,2,11,-4,
44,12,6,2023,9,6,53,461,2490,-1371,2942,1,8,-4,
45,12,6,2023,9,6,53,471,2492,-1376,2941,-1,13,-3,
46,12,6,2023,9,6,53,481,2493,-1372,2938,0,12,-2,
47,12,6,2023,9,6,53,491,2496,-1374,2946,-2,17,-4,
48,12,6,2023,9,6,53,501,2494,-1372,2945,-3,18,-4,
49,12,6,2023,9,6,53,511,2490,-1374,2943,-3,10,-4,
50,12,6,2023,9,6,53,521,2496,-1371,2939,-2,8,-1,
51,12,6,2023,9,6,53,531,2496,-1374,2943,-2,10,-1,
52,12,6,2023,9,6,53,541,2489,-1376,2942,1,12,0,
53,12,6,2023,9,6,53,551,2488,-1374,2941,-3,11,4,
54,12,6,2023,9,6,53,561,2495,-1378,2942,-4,11,-1,
55,12,6,2023,9,6,53,571,2496,-1377,2943,0,9,-3,
56,12,6,2023,9,6,53,581,2497,-1379,2947,0,11,-4,
57,12,6,2023,9,6,53,591,2490,-1375,2952,-1,12,-3,
58,12,6,2023,9,6,53,601,2496,-1378,2946,1,13,-3,
59,12,6,2023,9,6,53,611,2495,-1374,2943,0,11,0,
60,12,6,2023,9,6,53,621,2499,-1373,2946,4,14,-2,
61,12,6,2023,9,6,53,631,2496,-1373,2949,1,11,-3,
62,12,6,2023,9,6,53,641,2493,-1374,2950,-2,10,-1,
63,12,6,2023,9,6,53,651,2494,-1380,2946,-2,13,-2,
64,12,6,2023,9,6,53,661,2488,-1375,2949,-4,12,-7,
65,12,6,2023,9,6,53,671,2484,-1372,2946,-1,4,-5,
66,12,6,2023,9,6,53,681,2490,-1373,2947,-2,4,2,
67,12,6,2023,9,6,53,691,2492,-1371,2948,-5,2,3,
68,12,6,2023,9,6,53,701,2496,-1374,2949,-10,4,-1,
69,12,6,2023,9,6,53,711,2500,-1373,2945,-8,6,-1,
70,12,6,2023,9,6,53,721,2501,-1378,2949,-9,6,3,
71,12,6,2023,9,6,53,731,2496,-1377,2942,-6,4,2,
72,12,6,2023,9,6,53,741,2493,-1378,2943,-5,1,-1,
73,12,6,2023,9,6,53,751,2500,-1373,2943,-5,1,-2,
74,12,6,2023,9,6,53,761,2495,-1372,2943,-5,6,-3,
75,12,6,2023,9,6,53,771,2489,-1376,2950,-6,3,-5,
76,12,6,2023,9,6,53,781,2487,-1383,2949,-5,2,-5,
77,12,6,2023,9,6,53,791,2487,-1375,2938,-6,2,-4,
78,12,6,2023,9,6,53,801,2498,-1372,2938,-5,-2,-3,
79,12,6,2023,9,6,53,811,2494,-1378,2945,-7,-5,0,
80,12,6,2023,9,6,53,821,2492,-1374,2943,-7,-1,2,
81,12,6,2023,9,6,53,831,2494,-1370,2945,-10,-3,-1,
82,12,6,2023,9,6,53,841,2491,-1379,2941,-9,-2,2,
83,12,6,2023,9,6,53,851,2485,-1379,2938,-11,2,1,
84,12,6,2023,9,6,53,861,2495,-1374,2945,-10,0,0,
85,12,6,2023,9,6,53,871,2497,-1372,2939,-11,1,3,
86,12,6,2023,9,6,53,891,2497,-1373,2942,-13,-2,1,
87,12,6,2023,9,6,53,901,2498,-1376,2939,-9,0,0,
88,12,6,2023,9,6,53,911,2498,-1386,2945,-7,3,1,
89,12,6,2023,9,6,53,921,2494,-1387,2945,-5,1,2,
90,12,6,2023,9,6,53,931,2492,-1380,2944,-4,-2,-3,
91,12,6,2023,9,6,53,941,2491,-1380,2944,-7,0,-3,
92,12,6,2023,9,6,53,951,2498,-1378,2937,-7,2,-2,
93,12,6,2023,9,6,53,961,2503,-1377,2940,-6,1,-1,
94,12,6,2023,9,6,53,971,2501,-1376,2938,-5,1,-4,
95,12,6,2023,9,6,53,981,2499,-1371,2939,-5,5,-1,
96,12,6,2023,9,6,53,991,2496,-1379,2931,-5,10,-4,
97,12,6,2023,9,6,54,1,2499,-1382,2936,-6,10,1,
98,12,6,2023,9,6,54,11,2497,-1381,2931,-5,9,0,
99,12,6,2023,9,6,54,21,2497,-1375,2939,-2,10,-1,
100,12,6,2023,9,6,54,31,2502,-1374,2943,-3,11,2,
101,12,6,2023,9,6,54,41,2500,-1376,2941,-3,13,3,
102,12,6,2023,9,6,54,51,2494,-1378,2938,-4,18,2,
103,12,6,2023,9,6,54,61,2486,-1377,2941,-4,14,2,
104,12,6,2023,9,6,54,71,2492,-1374,2943,-4,10,0,
105,12,6,2023,9,6,54,81,2493,-1377,2945,-4,11,3,
106,12,6,2023,9,6,54,91,2491,-1379,2944,-4,11,5,
107,12,6,2023,9,6,54,101,2492,-1379,2941,-6,6,6,
108,12,6,2023,9,6,54,111,2490,-1374,2943,-8,8,0,
109,12,6,2023,9,6,54,121,2496,-1378,2944,-8,8,5,
110,12,6,2023,9,6,54,131,2493,-1378,2950,-11,0,2,
111,12,6,2023,9,6,54,141,2493,-1374,2945,-13,2,3,
112,12,6,2023,9,6,54,151,2499,-1383,2940,-11,2,6,
113,12,6,2023,9,6,54,161,2492,-1385,2943,-12,3,5,
114,12,6,2023,9,6,54,171,2489,-1386,2947,-11,7,0,
115,12,6,2023,9,6,54,181,2491,-1382,2944,-8,5,0,
116,12,6,2023,9,6,54,191,2493,-1381,2937,-10,7,1,
117,12,6,2023,9,6,54,201,2491,-1382,2933,-9,8,-2,
118,12,6,2023,9,6,54,211,2488,-1384,2935,-5,5,-1,
119,12,6,2023,9,6,54,221,2494,-1379,2935,-8,3,-1,
120,12,6,2023,9,6,54,231,2490,-1386,2944,-9,4,-3,
121,12,6,2023,9,6,54,241,2492,-1376,2946,-8,5,-3,
122,12,6,2023,9,6,54,251,2502,-1381,2944,-7,5,0,
123,12,6,2023,9,6,54,261,2497,-1385,2939,-6,5,-1,
124,12,6,2023,9,6,54,271,2493,-1387,2941,-5,5,0,
125,12,6,2023,9,6,54,281,2491,-1383,2938,-5,6,-3,
126,12,6,2023,9,6,54,291,2493,-1379,2940,-6,7,-1,
127,12,6,2023,9,6,54,301,2496,-1377,2942,-6,6,-2,
128,12,6,2023,9,6,54,311,2496,-1374,2941,-7,4,-1,
129,12,6,2023,9,6,54,321,2494,-1374,2938,-10,7,1,
130,12,6,2023,9,6,54,331,2492,-1379,2941,-12,5,0,
131,12,6,2023,9,6,54,341,2496,-1387,2939,-8,5,1,
132,12,6,2023,9,6,54,351,2500,-1388,2937,-7,6,4,
133,12,6,2023,9,6,54,361,2487,-1387,2943,-8,7,1,
134,12,6,2023,9,6,54,371,2494,-1375,2947,-8,5,1,
135,12,6,2023,9,6,54,381,2496,-1382,2941,-8,2,1,
136,12,6,2023,9,6,54,391,2494,-1379,2941,-7,6,5,
137,12,6,2023,9,6,54,401,2498,-1378,2941,-8,10,4,
138,12,6,2023,9,6,54,411,2494,-1386,2936,-9,7,3,
