Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,6,2023,9,7,22,422,0,0,0,0,0,0,
2,12,6,2023,9,7,22,432,0,0,0,0,0,0,
3,12,6,2023,9,7,22,442,0,0,0,0,0,0,
4,12,6,2023,9,7,22,452,0,0,0,0,0,0,
5,12,6,2023,9,7,22,462,0,0,0,0,0,0,
6,12,6,2023,9,7,22,472,3044,1152,2635,0,285,-25,
7,12,6,2023,9,7,22,482,2876,1082,2765,21,262,-8,
8,12,6,2023,9,7,22,492,2815,1015,2798,117,219,43,
9,12,6,2023,9,7,22,502,2824,1001,2791,173,140,59,
10,12,6,2023,9,7,22,512,2904,1049,2772,187,95,57,
11,12,6,2023,9,7,22,522,2907,1037,2759,177,83,67,
12,12,6,2023,9,7,22,532,2937,1059,2735,246,34,22,
13,12,6,2023,9,7,22,542,2943,950,2750,398,-76,-244,
14,12,6,2023,9,7,22,552,2917,994,2735,296,9,-52,
15,12,6,2023,9,7,22,562,2947,1025,2770,327,12,36,
16,12,6,2023,9,7,22,572,2947,1025,2770,327,12,36,
17,12,6,2023,9,7,22,582,3001,1017,2699,133,38,-37,
18,12,6,2023,9,7,22,592,2995,1008,2674,121,113,-10,
19,12,6,2023,9,7,22,602,2979,999,2673,148,141,-61,
20,12,6,2023,9,7,22,612,2970,980,2689,196,170,-97,
21,12,6,2023,9,7,22,622,2958,1013,2695,216,262,-34,
22,12,6,2023,9,7,22,632,2935,1020,2739,220,323,-39,
23,12,6,2023,9,7,22,642,2898,1061,2777,206,389,-19,
24,12,6,2023,9,7,22,652,2819,1079,2822,170,435,14,
25,12,6,2023,9,7,22,662,2801,1118,2879,128,442,30,
26,12,6,2023,9,7,22,672,2892,1115,2893,106,456,104,
27,12,6,2023,9,7,22,682,2823,1084,2900,114,431,152,
28,12,6,2023,9,7,22,692,2823,1084,2900,114,431,152,
29,12,6,2023,9,7,22,702,2790,1090,2835,60,400,149,
30,12,6,2023,9,7,22,712,2783,1093,2838,-16,326,54,
31,12,6,2023,9,7,22,722,2816,1102,2847,-3,266,51,
32,12,6,2023,9,7,22,732,2792,1008,2835,30,213,67,
33,12,6,2023,9,7,22,742,2744,980,2873,39,140,48,
34,12,6,2023,9,7,22,752,2947,1007,2960,17,100,43,
35,12,6,2023,9,7,22,762,2991,966,2770,-110,219,42,
36,12,6,2023,9,7,22,772,2772,991,2741,-98,297,17,
37,12,6,2023,9,7,22,782,2764,1020,2738,-43,286,-2,
38,12,6,2023,9,7,22,792,2567,1068,2722,-5,257,-6,
39,12,6,2023,9,7,22,802,2353,1130,2728,40,126,-22,
40,12,6,2023,9,7,22,812,2557,1073,2733,126,-92,-47,
41,12,6,2023,9,7,22,822,2801,975,2773,163,-178,-3,
42,12,6,2023,9,7,22,832,2825,1008,2768,140,-184,-18,
43,12,6,2023,9,7,22,842,2817,1030,2761,106,-171,-52,
44,12,6,2023,9,7,22,852,2826,1041,2760,111,-145,-42,
45,12,6,2023,9,7,22,862,2790,1028,2778,138,-145,-43,
46,12,6,2023,9,7,22,872,2781,1034,2783,172,-174,-60,
47,12,6,2023,9,7,22,882,2830,1037,2793,212,-205,-70,
48,12,6,2023,9,7,22,892,2847,1047,2765,235,-201,-84,
49,12,6,2023,9,7,22,902,2844,1063,2744,242,-207,-102,
50,12,6,2023,9,7,22,912,2855,1055,2736,265,-208,-96,
51,12,6,2023,9,7,22,922,2850,1066,2740,234,-184,-35,
52,12,6,2023,9,7,22,932,2847,1107,2722,166,-150,-1,
53,12,6,2023,9,7,22,942,2822,1163,2765,151,-138,12,
54,12,6,2023,9,7,22,952,2900,1087,2758,147,-130,-7,
55,12,6,2023,9,7,22,962,2911,1119,2734,96,-91,50,
56,12,6,2023,9,7,22,972,2878,1093,2750,90,-68,49,
57,12,6,2023,9,7,22,982,2825,1104,2748,62,-49,30,
58,12,6,2023,9,7,22,992,2759,1117,2770,69,-50,33,
59,12,6,2023,9,7,23,2,2852,1099,2764,76,-74,32,
60,12,6,2023,9,7,23,12,2902,1136,2777,55,-71,64,
61,12,6,2023,9,7,23,22,2885,1115,2776,25,-70,69,
62,12,6,2023,9,7,23,32,2890,1052,2764,32,-60,-2,
63,12,6,2023,9,7,23,42,2871,1075,2741,25,-38,-14,
64,12,6,2023,9,7,23,52,2766,1115,2739,22,-36,-27,
65,12,6,2023,9,7,23,62,2592,1156,2773,0,-101,12,
66,12,6,2023,9,7,23,72,2623,1023,2837,37,-269,4,
67,12,6,2023,9,7,23,82,2865,963,2820,95,-407,28,
68,12,6,2023,9,7,23,92,2959,1065,2778,114,-400,77,
69,12,6,2023,9,7,23,102,2920,1178,2859,114,-377,77,
70,12,6,2023,9,7,23,112,2987,1198,2747,36,-346,-45,
71,12,6,2023,9,7,23,122,3028,1178,2658,-34,-287,-86,
72,12,6,2023,9,7,23,132,2981,1129,2675,-66,-214,-46,
73,12,6,2023,9,7,23,142,2951,1084,2682,-62,-161,-18,
74,12,6,2023,9,7,23,152,2958,1104,2668,-51,-119,-11,
75,12,6,2023,9,7,23,162,2951,1096,2668,-40,-85,0,
76,12,6,2023,9,7,23,172,2948,1086,2673,-27,-53,2,
77,12,6,2023,9,7,23,182,2929,1073,2683,-14,-22,7,
78,12,6,2023,9,7,23,192,2900,1083,2688,-8,4,3,
79,12,6,2023,9,7,23,202,2896,1072,2707,2,4,-7,
80,12,6,2023,9,7,23,212,2911,1063,2713,13,1,-12,
81,12,6,2023,9,7,23,222,2907,1085,2739,20,5,-7,
82,12,6,2023,9,7,23,232,2914,1092,2709,5,3,1,
83,12,6,2023,9,7,23,242,2919,1091,2691,6,11,-7,
84,12,6,2023,9,7,23,252,2933,1102,2685,12,25,-11,
85,12,6,2023,9,7,23,262,2931,1102,2682,7,43,-3,
86,12,6,2023,9,7,23,282,2879,1100,2703,-2,81,-1,
87,12,6,2023,9,7,23,292,2790,1105,2753,-12,76,3,
88,12,6,2023,9,7,23,302,2792,1051,2775,-6,42,10,
89,12,6,2023,9,7,23,312,2846,1049,2747,12,0,-2,
90,12,6,2023,9,7,23,322,2885,1075,2735,13,-22,15,
91,12,6,2023,9,7,23,332,2894,1092,2719,5,-31,42,
92,12,6,2023,9,7,23,342,2905,1102,2699,20,-36,14,
93,12,6,2023,9,7,23,352,2915,1100,2697,27,-29,15,
94,12,6,2023,9,7,23,362,2910,1092,2696,27,-17,26,
95,12,6,2023,9,7,23,372,2895,1081,2700,34,-2,20,
96,12,6,2023,9,7,23,382,2896,1085,2708,40,13,16,
97,12,6,2023,9,7,23,392,2902,1085,2698,43,15,21,
98,12,6,2023,9,7,23,402,2897,1098,2691,46,22,23,
99,12,6,2023,9,7,23,412,2890,1087,2716,58,32,9,
100,12,6,2023,9,7,23,422,2868,1107,2771,38,31,-2,
101,12,6,2023,9,7,23,432,2870,1091,2795,-13,19,-21,
102,12,6,2023,9,7,23,442,2898,1104,2767,-80,3,-38,
103,12,6,2023,9,7,23,452,2914,1099,2706,-125,0,-40,
104,12,6,2023,9,7,23,462,2906,1081,2688,-117,17,-40,
105,12,6,2023,9,7,23,472,2918,1087,2689,-88,45,-45,
106,12,6,2023,9,7,23,482,2900,1088,2692,-64,61,-31,
107,12,6,2023,9,7,23,492,2892,1099,2708,-44,71,-21,
108,12,6,2023,9,7,23,502,2891,1098,2730,-33,85,-10,
109,12,6,2023,9,7,23,512,2894,1084,2729,-30,98,-6,
110,12,6,2023,9,7,23,522,2883,1082,2723,-30,106,-10,
111,12,6,2023,9,7,23,532,2881,1087,2710,-29,109,-12,
112,12,6,2023,9,7,23,542,2870,1103,2715,-19,114,-17,
113,12,6,2023,9,7,23,552,2857,1170,2959,-62,102,-13,
114,12,6,2023,9,7,23,562,2907,1121,2885,-347,117,-51,
115,12,6,2023,9,7,23,572,2933,1054,2660,-543,177,-137,
116,12,6,2023,9,7,23,582,2903,1020,2658,-473,198,-125,
117,12,6,2023,9,7,23,592,2846,1038,2703,-348,212,-111,
118,12,6,2023,9,7,23,602,2838,1049,2712,-249,193,-102,
119,12,6,2023,9,7,23,612,2843,1052,2711,-184,160,-71,
120,12,6,2023,9,7,23,622,2822,1043,2716,-125,150,-60,
121,12,6,2023,9,7,23,632,2758,1059,2741,-71,126,-47,
