Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,9,57,11,245,-381,-3997,218,-798,209,180,
2,12,18,2023,9,57,11,255,-381,-3997,218,-798,209,180,
3,12,18,2023,9,57,11,265,-381,-3997,218,-798,209,180,
4,12,18,2023,9,57,11,275,-381,-3997,218,-798,209,180,
5,12,18,2023,9,57,11,285,-381,-3997,218,-798,209,180,
6,12,18,2023,9,57,11,295,-381,-3997,218,-798,209,180,
7,12,18,2023,9,57,11,305,2887,898,2366,2304,9778,-8271,
8,12,18,2023,9,57,11,315,3432,757,2637,2430,9730,-8249,
9,12,18,2023,9,57,11,325,4070,523,3170,2971,9462,-8240,
10,12,18,2023,9,57,11,335,4778,474,3659,3653,9172,-8286,
11,12,18,2023,9,57,11,345,5333,699,4027,4138,9003,-8273,
12,12,18,2023,9,57,11,355,5966,760,4270,4380,8757,-8069,
13,12,18,2023,9,57,11,365,6976,877,4269,4583,8466,-7750,
14,12,18,2023,9,57,11,375,8301,1323,4291,4783,8359,-7496,
15,12,18,2023,9,57,11,385,9252,1721,4160,4838,8574,-7436,
16,12,18,2023,9,57,11,395,9474,1616,3808,4677,8773,-7581,
17,12,18,2023,9,57,11,405,9621,734,3476,4459,8479,-7850,
18,12,18,2023,9,57,11,415,9909,-1034,3161,4429,7639,-8153,
19,12,18,2023,9,57,11,425,10338,-2818,2684,4786,6593,-8295,
20,12,18,2023,9,57,11,435,10659,-3322,1651,4966,5784,-8122,
21,12,18,2023,9,57,11,445,10707,-3187,162,3815,5320,-7429,
22,12,18,2023,9,57,11,455,10205,-4233,-1695,1392,4920,-6236,
23,12,18,2023,9,57,11,465,9613,-5834,-3451,-735,4220,-4968,
24,12,18,2023,9,57,11,475,9052,-7789,-4448,-1459,2868,-3688,
25,12,18,2023,9,57,11,485,8982,-8770,-4602,-645,827,-2350,
26,12,18,2023,9,57,11,495,9038,-6901,-4007,366,-1140,-828,
27,12,18,2023,9,57,11,505,9112,-4749,-2558,-111,-2505,934,
28,12,18,2023,9,57,11,515,7925,2155,399,-1870,-3110,2370,
29,12,18,2023,9,57,11,525,-42,4717,4237,-7467,-3565,3897,
30,12,18,2023,9,57,11,535,-271,4256,8134,-8929,-4545,4686,
31,12,18,2023,9,57,11,545,-2025,1566,5243,-6797,-3989,2364,
32,12,18,2023,9,57,11,555,444,-4078,4480,-6064,-7298,2257,
33,12,18,2023,9,57,11,565,11542,-5566,7219,-4991,-9802,4060,
34,12,18,2023,9,57,11,575,12292,-5325,7087,-2256,-5533,6823,
35,12,18,2023,9,57,11,585,4810,1011,3615,384,-2910,6208,
36,12,18,2023,9,57,11,595,7058,1558,3681,-471,-4252,3530,
37,12,18,2023,9,57,11,605,6088,-1067,4064,-772,-3124,2252,
38,12,18,2023,9,57,11,615,2712,1501,2675,-532,-1762,1857,
39,12,18,2023,9,57,11,625,4159,2371,1985,-528,-1718,1453,
40,12,18,2023,9,57,11,635,4252,582,2956,-840,-1195,834,
41,12,18,2023,9,57,11,645,2657,876,3233,-695,-646,346,
42,12,18,2023,9,57,11,655,2992,922,3288,-304,-860,108,
43,12,18,2023,9,57,11,665,2603,1222,2925,-137,-1015,-5,
44,12,18,2023,9,57,11,675,2693,1549,2651,179,-973,-94,
45,12,18,2023,9,57,11,685,2792,1087,2835,216,-940,-143,
46,12,18,2023,9,57,11,695,2620,1179,2835,188,-937,-176,
47,12,18,2023,9,57,11,705,2734,1367,2754,301,-874,-206,
48,12,18,2023,9,57,11,715,2960,1330,2730,359,-858,-243,
49,12,18,2023,9,57,11,725,2731,1497,2601,350,-842,-261,
50,12,18,2023,9,57,11,735,2782,1511,2632,383,-743,-273,
51,12,18,2023,9,57,11,745,2762,1237,2750,338,-651,-217,
52,12,18,2023,9,57,11,755,2732,1290,2730,317,-629,-143,
53,12,18,2023,9,57,11,765,2676,1425,2577,330,-595,-58,
54,12,18,2023,9,57,11,775,2725,1495,2508,271,-524,31,
55,12,18,2023,9,57,11,785,2646,1468,2448,115,-446,153,
56,12,18,2023,9,57,11,795,2689,1498,2519,-29,-380,289,
57,12,18,2023,9,57,11,805,2761,1438,2528,-160,-330,460,
58,12,18,2023,9,57,11,815,2795,1478,2534,-255,-228,628,
59,12,18,2023,9,57,11,825,2734,1500,2544,-365,-182,770,
