Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,9,56,46,190,692,-1091,4018,307,-654,-318,
2,12,18,2023,9,56,46,200,692,-1091,4018,307,-654,-318,
3,12,18,2023,9,56,46,210,692,-1091,4018,307,-654,-318,
4,12,18,2023,9,56,46,220,692,-1091,4018,307,-654,-318,
5,12,18,2023,9,56,46,230,692,-1091,4018,307,-654,-318,
6,12,18,2023,9,56,46,240,692,-1091,4018,307,-654,-318,
7,12,18,2023,9,56,46,250,2499,669,3228,-2,-6,4,
8,12,18,2023,9,56,46,260,2501,665,3211,-4,7,-9,
9,12,18,2023,9,56,46,270,2496,661,3209,2,8,-11,
10,12,18,2023,9,56,46,280,2498,670,3214,1,4,-4,
11,12,18,2023,9,56,46,290,2502,671,3212,-2,4,-4,
12,12,18,2023,9,56,46,300,2492,669,3211,-8,5,-3,
13,12,18,2023,9,56,46,310,2491,669,3214,-7,5,-1,
14,12,18,2023,9,56,46,320,2491,671,3211,-6,-2,-1,
15,12,18,2023,9,56,46,330,2493,661,3208,-2,-5,1,
16,12,18,2023,9,56,46,340,2497,661,3208,-3,-3,2,
17,12,18,2023,9,56,46,350,2491,655,3203,0,-4,4,
18,12,18,2023,9,56,46,360,2484,659,3212,3,-3,2,
19,12,18,2023,9,56,46,370,2478,656,3208,4,-6,4,
20,12,18,2023,9,56,46,380,2487,666,3216,11,-10,2,
21,12,18,2023,9,56,46,390,2485,671,3203,9,-12,1,
22,12,18,2023,9,56,46,400,2487,657,3212,9,-18,-3,
23,12,18,2023,9,56,46,410,2492,652,3209,18,-21,-5,
24,12,18,2023,9,56,46,420,2481,653,3201,25,-24,-8,
25,12,18,2023,9,56,46,430,2483,662,3208,29,-24,-13,
26,12,18,2023,9,56,46,440,2480,656,3197,39,-29,-14,
27,12,18,2023,9,56,46,450,2486,662,3198,48,-29,-23,
28,12,18,2023,9,56,46,460,2492,672,3209,59,-27,-29,
29,12,18,2023,9,56,46,470,2486,671,3208,62,-32,-28,
30,12,18,2023,9,56,46,480,2486,666,3204,64,-34,-26,
31,12,18,2023,9,56,46,490,2499,671,3202,65,-35,-30,
32,12,18,2023,9,56,46,500,2493,676,3210,62,-32,-31,
33,12,18,2023,9,56,46,510,2499,686,3217,57,-36,-25,
34,12,18,2023,9,56,46,520,2498,686,3219,50,-34,-17,
35,12,18,2023,9,56,46,530,2495,675,3205,39,-35,-14,
36,12,18,2023,9,56,46,540,2506,682,3207,33,-32,-10,
37,12,18,2023,9,56,46,550,2512,680,3210,30,-34,-7,
38,12,18,2023,9,56,46,560,2513,674,3207,30,-30,-5,
39,12,18,2023,9,56,46,570,2511,681,3211,22,-26,-6,
40,12,18,2023,9,56,46,580,2518,689,3203,15,-22,-5,
41,12,18,2023,9,56,46,590,2512,681,3209,9,-21,-4,
42,12,18,2023,9,56,46,600,2504,673,3225,0,-11,-3,
43,12,18,2023,9,56,46,610,2506,671,3209,-12,-10,-3,
44,12,18,2023,9,56,46,620,2505,666,3207,-17,-11,-3,
45,12,18,2023,9,56,46,630,2502,677,3208,-18,-5,0,
46,12,18,2023,9,56,46,640,2500,686,3220,-24,-3,0,
47,12,18,2023,9,56,46,650,2495,684,3209,-33,-1,5,
48,12,18,2023,9,56,46,660,2494,682,3202,-36,-3,10,
49,12,18,2023,9,56,46,670,2495,668,3203,-36,-4,10,
50,12,18,2023,9,56,46,680,2488,671,3197,-33,-4,11,
51,12,18,2023,9,56,46,690,2483,667,3189,-25,-4,7,
52,12,18,2023,9,56,46,700,2486,666,3208,-12,-3,3,
53,12,18,2023,9,56,46,710,2504,685,3204,-3,-6,2,
54,12,18,2023,9,56,46,720,2498,674,3207,-4,-13,1,
55,12,18,2023,9,56,46,730,2490,671,3206,-1,-14,0,
56,12,18,2023,9,56,46,740,2487,665,3203,1,-21,1,
57,12,18,2023,9,56,46,750,2492,674,3201,5,-25,2,
58,12,18,2023,9,56,46,760,2500,671,3197,6,-24,2,
59,12,18,2023,9,56,46,770,2506,666,3198,12,-25,1,
60,12,18,2023,9,56,46,780,2500,663,3201,13,-24,-1,
61,12,18,2023,9,56,46,790,2497,665,3203,15,-14,-5,
62,12,18,2023,9,56,46,800,2505,670,3199,23,-13,-10,
63,12,18,2023,9,56,46,810,2501,674,3196,29,-12,-11,
64,12,18,2023,9,56,46,820,2509,676,3202,30,-9,-15,
65,12,18,2023,9,56,46,830,2505,676,3201,32,-5,-14,
66,12,18,2023,9,56,46,840,2509,683,3203,33,-7,-14,
67,12,18,2023,9,56,46,850,2507,680,3201,29,-6,-13,
68,12,18,2023,9,56,46,860,2509,679,3207,30,-4,-11,
69,12,18,2023,9,56,46,870,2503,676,3205,22,-4,-8,
70,12,18,2023,9,56,46,880,2500,673,3202,16,0,-11,
71,12,18,2023,9,56,46,890,2501,674,3206,10,-1,-7,
72,12,18,2023,9,56,46,900,2501,676,3213,11,-3,-6,
73,12,18,2023,9,56,46,910,2505,679,3207,11,0,-9,
74,12,18,2023,9,56,46,920,2502,682,3202,6,-4,-8,
75,12,18,2023,9,56,46,930,2498,687,3201,7,-7,-7,
76,12,18,2023,9,56,46,940,2491,675,3212,3,-7,-7,
77,12,18,2023,9,56,46,950,2501,684,3210,5,-5,-9,
78,12,18,2023,9,56,46,960,2502,681,3200,5,-11,-2,
79,12,18,2023,9,56,46,970,2505,668,3198,5,-12,2,
80,12,18,2023,9,56,46,980,2499,677,3201,4,-12,0,
81,12,18,2023,9,56,46,990,2492,676,3199,4,-11,-6,
82,12,18,2023,9,56,47,0,2499,665,3202,8,-15,-2,
83,12,18,2023,9,56,47,10,2503,676,3201,8,-19,3,
84,12,18,2023,9,56,47,20,2495,686,3201,8,-18,-3,
85,12,18,2023,9,56,47,30,2498,687,3200,6,-19,0,
86,12,18,2023,9,56,47,50,2494,679,3205,3,-26,0,
87,12,18,2023,9,56,47,60,2494,669,3202,4,-23,3,
88,12,18,2023,9,56,47,70,2503,673,3197,6,-21,1,
89,12,18,2023,9,56,47,80,2503,673,3197,6,-21,1,
