Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,9,12,50,455,0,0,0,0,0,0,
2,12,18,2023,9,12,50,465,0,0,0,0,0,0,
3,12,18,2023,9,12,50,475,0,0,0,0,0,0,
4,12,18,2023,9,12,50,485,0,0,0,0,0,0,
5,12,18,2023,9,12,50,495,0,0,0,0,0,0,
6,12,18,2023,9,12,50,505,0,0,0,0,0,0,
7,12,18,2023,9,12,50,515,2507,2052,2454,6,12,-8,
8,12,18,2023,9,12,50,525,2503,2048,2456,-3,16,-9,
9,12,18,2023,9,12,50,535,2502,2046,2452,-3,11,-2,
10,12,18,2023,9,12,50,545,2506,2049,2458,-2,10,0,
11,12,18,2023,9,12,50,555,2500,2053,2448,-3,9,-2,
12,12,18,2023,9,12,50,565,2499,2054,2454,0,10,-4,
13,12,18,2023,9,12,50,575,2504,2050,2459,-2,7,-3,
14,12,18,2023,9,12,50,585,2501,2045,2457,0,5,-4,
15,12,18,2023,9,12,50,595,2505,2045,2458,1,7,-2,
16,12,18,2023,9,12,50,605,2498,2046,2461,2,9,-5,
17,12,18,2023,9,12,50,615,2505,2051,2456,4,8,-7,
18,12,18,2023,9,12,50,625,2500,2050,2450,3,10,-5,
19,12,18,2023,9,12,50,635,2502,2047,2455,4,8,-5,
20,12,18,2023,9,12,50,645,2503,2045,2454,6,9,-2,
21,12,18,2023,9,12,50,655,2502,2048,2450,1,7,-1,
22,12,18,2023,9,12,50,665,2506,2048,2451,1,10,-4,
23,12,18,2023,9,12,50,675,2505,2052,2451,-1,6,-3,
24,12,18,2023,9,12,50,685,2510,2051,2450,2,9,-1,
25,12,18,2023,9,12,50,695,2504,2050,2451,-2,11,-2,
26,12,18,2023,9,12,50,705,2503,2052,2450,-2,10,-1,
27,12,18,2023,9,12,50,715,2506,2051,2447,-4,10,-3,
28,12,18,2023,9,12,50,725,2508,2045,2455,-6,11,0,
29,12,18,2023,9,12,50,735,2502,2048,2461,-3,12,0,
30,12,18,2023,9,12,50,745,2504,2047,2455,-3,13,-4,
31,12,18,2023,9,12,50,755,2506,2040,2449,0,10,-2,
32,12,18,2023,9,12,50,765,2505,2044,2453,-1,11,-5,
33,12,18,2023,9,12,50,775,2502,2053,2454,1,7,0,
34,12,18,2023,9,12,50,785,2507,2049,2452,-1,10,1,
35,12,18,2023,9,12,50,795,2514,2048,2452,-3,11,-2,
36,12,18,2023,9,12,50,805,2508,2045,2454,-4,12,-3,
37,12,18,2023,9,12,50,815,2501,2047,2451,-3,12,-6,
38,12,18,2023,9,12,50,825,2508,2050,2454,1,11,-3,
39,12,18,2023,9,12,50,835,2499,2048,2453,-3,9,-2,
40,12,18,2023,9,12,50,845,2509,2044,2450,-3,11,-2,
41,12,18,2023,9,12,50,855,2507,2051,2453,0,13,-7,
42,12,18,2023,9,12,50,865,2506,2046,2460,-2,14,-3,
43,12,18,2023,9,12,50,875,2504,2050,2456,-2,9,-2,
44,12,18,2023,9,12,50,885,2501,2048,2457,1,13,-1,
45,12,18,2023,9,12,50,895,2504,2046,2461,2,13,0,
46,12,18,2023,9,12,50,905,2503,2048,2450,-3,11,-5,
47,12,18,2023,9,12,50,915,2504,2048,2459,-1,13,-2,
48,12,18,2023,9,12,50,925,2501,2050,2462,-2,11,-2,
49,12,18,2023,9,12,50,935,2504,2054,2456,-2,6,-2,
50,12,18,2023,9,12,50,945,2506,2048,2449,-4,10,-3,
51,12,18,2023,9,12,50,955,2504,2046,2451,-2,8,1,
52,12,18,2023,9,12,50,965,2507,2048,2454,-4,11,2,
53,12,18,2023,9,12,50,975,2505,2043,2448,-6,12,-1,
