Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,9,12,57,859,0,0,0,0,0,0,
2,12,18,2023,9,12,57,869,0,0,0,0,0,0,
3,12,18,2023,9,12,57,879,0,0,0,0,0,0,
4,12,18,2023,9,12,57,889,0,0,0,0,0,0,
5,12,18,2023,9,12,57,899,0,0,0,0,0,0,
6,12,18,2023,9,12,57,909,0,0,0,0,0,0,
7,12,18,2023,9,12,57,919,1987,1820,3106,8,-23,-13,
8,12,18,2023,9,12,57,929,1986,1826,3096,4,0,-8,
9,12,18,2023,9,12,57,939,1984,1819,3101,9,-6,-7,
10,12,18,2023,9,12,57,949,1979,1821,3104,6,-13,-5,
11,12,18,2023,9,12,57,959,1982,1816,3106,8,-10,-3,
12,12,18,2023,9,12,57,969,1982,1815,3100,9,-10,-5,
13,12,18,2023,9,12,57,979,1980,1819,3104,8,-10,-3,
14,12,18,2023,9,12,57,989,1981,1820,3104,5,-13,-4,
15,12,18,2023,9,12,57,999,1989,1819,3096,8,-10,-2,
16,12,18,2023,9,12,58,9,1987,1820,3101,6,-8,-4,
17,12,18,2023,9,12,58,19,1986,1826,3102,5,-9,-4,
18,12,18,2023,9,12,58,29,1986,1826,3097,6,-12,-3,
19,12,18,2023,9,12,58,39,1986,1823,3100,6,-10,-6,
20,12,18,2023,9,12,58,49,2061,1773,3071,24,-193,29,
21,12,18,2023,9,12,58,59,1910,1908,3069,-30,-203,2,
22,12,18,2023,9,12,58,69,2028,1804,3136,-73,-49,-30,
23,12,18,2023,9,12,58,79,2002,1816,3087,-63,-26,-53,
24,12,18,2023,9,12,58,89,1951,1854,3106,-60,0,-46,
25,12,18,2023,9,12,58,99,2002,1799,3091,-57,17,-27,
26,12,18,2023,9,12,58,109,2009,1784,3079,-66,-2,-11,
27,12,18,2023,9,12,58,119,1956,1824,3117,-33,33,-20,
28,12,18,2023,9,12,58,129,1948,1795,3100,-26,-19,-14,
29,12,18,2023,9,12,58,139,2001,1798,3108,-40,-90,5,
