Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,9,30,11,813,-159,-4634,312,-2855,583,804,
2,12,18,2023,9,30,11,823,-159,-4634,312,-2855,583,804,
3,12,18,2023,9,30,11,833,-159,-4634,312,-2855,583,804,
4,12,18,2023,9,30,11,843,-159,-4634,312,-2855,583,804,
5,12,18,2023,9,30,11,853,-159,-4634,312,-2855,583,804,
6,12,18,2023,9,30,11,863,-159,-4634,312,-2855,583,804,
7,12,18,2023,9,30,11,873,1688,1517,3353,-226,-227,59,
8,12,18,2023,9,30,11,883,1733,1494,3272,-235,-201,72,
9,12,18,2023,9,30,11,893,1714,1293,3368,-276,-142,63,
10,12,18,2023,9,30,11,903,1579,1195,3513,-521,-127,-46,
11,12,18,2023,9,30,11,913,1949,1391,3352,-819,-201,-167,
12,12,18,2023,9,30,11,923,1813,1406,3391,-511,-115,-164,
13,12,18,2023,9,30,11,933,1794,1477,3292,-435,-110,-156,
14,12,18,2023,9,30,11,943,1762,1495,3313,-213,-29,-99,
15,12,18,2023,9,30,11,953,1738,1454,3328,-111,36,-36,
16,12,18,2023,9,30,11,963,1755,1435,3370,-107,95,17,
17,12,18,2023,9,30,11,973,1717,1398,3411,-111,116,42,
18,12,18,2023,9,30,11,983,1717,1337,3413,-118,68,73,
19,12,18,2023,9,30,11,993,1703,1374,3407,-99,44,106,
20,12,18,2023,9,30,12,3,1735,1293,3401,-83,17,148,
21,12,18,2023,9,30,12,13,1770,1286,3403,-48,35,145,
22,12,18,2023,9,30,12,23,1834,1317,3349,-82,98,106,
23,12,18,2023,9,30,12,33,1789,1362,3361,-22,146,25,
24,12,18,2023,9,30,12,43,1765,1424,3355,-30,144,-41,
25,12,18,2023,9,30,12,53,1765,1424,3355,-30,144,-41,
26,12,18,2023,9,30,12,63,1669,1371,3384,-145,156,-56,
27,12,18,2023,9,30,12,73,1662,1361,3420,-279,89,-42,
28,12,18,2023,9,30,12,83,1665,1294,3444,-294,23,-6,
