Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,9,30,10,663,2128,471,3511,20,-20,-11,
2,12,18,2023,9,30,10,673,2125,477,3504,21,-15,-11,
3,12,18,2023,9,30,10,683,2120,468,3501,19,-10,-12,
4,12,18,2023,9,30,10,693,2109,457,3510,24,-14,-15,
5,12,18,2023,9,30,10,703,2108,461,3511,30,-14,-18,
6,12,18,2023,9,30,10,713,2099,460,3502,35,-18,-21,
7,12,18,2023,9,30,10,723,2103,468,3517,36,-20,-24,
8,12,18,2023,9,30,10,733,2128,475,3513,29,-25,-20,
9,12,18,2023,9,30,10,743,2118,486,3501,25,-30,-19,
10,12,18,2023,9,30,10,753,2112,491,3504,23,-30,-19,
11,12,18,2023,9,30,10,763,2128,490,3501,15,-30,-13,
12,12,18,2023,9,30,10,773,2130,485,3516,4,-31,-8,
13,12,18,2023,9,30,10,783,2130,489,3507,-2,-34,-5,
14,12,18,2023,9,30,10,793,2130,493,3495,-6,-32,0,
15,12,18,2023,9,30,10,803,2122,478,3506,-5,-34,-1,
16,12,18,2023,9,30,10,813,2117,453,3498,4,-32,-6,
17,12,18,2023,9,30,10,823,2116,459,3504,15,-34,-19,
18,12,18,2023,9,30,10,833,2128,478,3497,29,-39,-28,
19,12,18,2023,9,30,10,843,2135,473,3501,28,-35,-27,
20,12,18,2023,9,30,10,853,2128,468,3502,34,-33,-24,
21,12,18,2023,9,30,10,863,2129,484,3498,32,-25,-26,
22,12,18,2023,9,30,10,873,2124,489,3509,27,-28,-21,
23,12,18,2023,9,30,10,883,2128,481,3508,21,-32,-20,
24,12,18,2023,9,30,10,893,2130,481,3503,23,-33,-18,
25,12,18,2023,9,30,10,903,2140,476,3502,22,-25,-21,
26,12,18,2023,9,30,10,913,2140,476,3502,22,-25,-21,
27,12,18,2023,9,30,10,923,2139,487,3497,16,-13,-11,
28,12,18,2023,9,30,10,933,2132,490,3498,15,-7,-12,
29,12,18,2023,9,30,10,943,2113,476,3505,7,-6,-11,
30,12,18,2023,9,30,10,953,2124,486,3501,6,-5,-8,
31,12,18,2023,9,30,10,963,2128,495,3501,2,-7,-3,
32,12,18,2023,9,30,10,973,2125,480,3499,-4,-11,2,
33,12,18,2023,9,30,10,983,2117,479,3502,-3,-12,3,
34,12,18,2023,9,30,10,993,2128,481,3498,3,-18,2,
35,12,18,2023,9,30,11,3,2131,486,3495,5,-16,2,
36,12,18,2023,9,30,11,13,2132,463,3496,5,-11,-2,
37,12,18,2023,9,30,11,23,2132,463,3496,5,-11,-2,
38,12,18,2023,9,30,11,33,2136,485,3495,5,-10,-5,
39,12,18,2023,9,30,11,43,2131,477,3503,3,-4,-1,
40,12,18,2023,9,30,11,53,2131,481,3503,4,3,-1,
41,12,18,2023,9,30,11,63,2141,485,3496,2,3,0,
42,12,18,2023,9,30,11,73,2133,489,3501,-1,8,0,
43,12,18,2023,9,30,11,83,2134,489,3502,-2,12,1,
44,12,18,2023,9,30,11,93,2134,481,3501,-1,14,3,
45,12,18,2023,9,30,11,103,2124,481,3501,-1,20,8,
46,12,18,2023,9,30,11,113,2128,472,3500,-1,17,3,
47,12,18,2023,9,30,11,123,2129,482,3502,1,19,3,
48,12,18,2023,9,30,11,133,2125,483,3499,-4,22,6,
49,12,18,2023,9,30,11,143,2123,470,3505,-2,24,1,
50,12,18,2023,9,30,11,153,2124,481,3512,-4,30,2,
51,12,18,2023,9,30,11,163,2129,483,3510,-1,28,8,
52,12,18,2023,9,30,11,173,2119,474,3511,-6,29,5,
53,12,18,2023,9,30,11,183,2116,478,3507,-9,32,6,
54,12,18,2023,9,30,11,193,2125,491,3505,-11,30,9,
55,12,18,2023,9,30,11,203,2133,484,3504,-15,29,14,
56,12,18,2023,9,30,11,213,2124,483,3512,-24,31,16,
57,12,18,2023,9,30,11,223,2129,490,3509,-26,34,24,
58,12,18,2023,9,30,11,233,2126,489,3508,-34,37,27,
59,12,18,2023,9,30,11,243,2127,471,3514,-42,42,32,
60,12,18,2023,9,30,11,253,2121,482,3507,-40,42,33,
61,12,18,2023,9,30,11,263,2110,459,3515,-40,43,32,
62,12,18,2023,9,30,11,273,2118,461,3516,-34,49,26,
63,12,18,2023,9,30,11,283,2111,462,3515,-27,46,26,
64,12,18,2023,9,30,11,293,2114,465,3519,-25,46,24,
65,12,18,2023,9,30,11,303,2117,477,3514,-15,48,20,
66,12,18,2023,9,30,11,313,2113,467,3517,-14,49,18,
67,12,18,2023,9,30,11,323,2111,460,3521,-8,51,15,
68,12,18,2023,9,30,11,333,2114,467,3508,-6,50,13,
69,12,18,2023,9,30,11,343,2100,459,3516,-4,50,9,
70,12,18,2023,9,30,11,353,2087,449,3523,0,44,8,
71,12,18,2023,9,30,11,363,2085,449,3522,10,43,5,
72,12,18,2023,9,30,11,373,2061,431,3536,16,35,-3,
73,12,18,2023,9,30,11,383,2079,474,3525,27,23,-13,
74,12,18,2023,9,30,11,393,2100,476,3528,26,14,-12,
75,12,18,2023,9,30,11,403,2102,481,3528,19,10,-7,
76,12,18,2023,9,30,11,413,2107,480,3522,12,7,-4,
77,12,18,2023,9,30,11,423,2113,486,3525,8,3,3,
78,12,18,2023,9,30,11,433,2108,475,3522,2,2,10,
79,12,18,2023,9,30,11,443,2107,453,3522,-5,-3,10,
80,12,18,2023,9,30,11,453,2117,461,3524,-5,-1,7,
81,12,18,2023,9,30,11,463,2108,463,3518,-5,0,11,
82,12,18,2023,9,30,11,473,2096,449,3519,-3,4,8,
83,12,18,2023,9,30,11,483,2100,471,3516,-1,7,6,
84,12,18,2023,9,30,11,493,2108,471,3522,2,4,8,
85,12,18,2023,9,30,11,503,2104,465,3523,-3,3,10,
86,12,18,2023,9,30,11,523,2099,455,3520,-3,3,4,
87,12,18,2023,9,30,11,533,2106,467,3517,-4,6,7,
88,12,18,2023,9,30,11,543,2114,470,3514,-4,4,5,
89,12,18,2023,9,30,11,553,2109,466,3516,-2,5,4,
90,12,18,2023,9,30,11,563,2111,463,3520,0,12,8,
91,12,18,2023,9,30,11,573,2106,470,3519,0,18,3,
92,12,18,2023,9,30,11,583,2092,459,3519,1,19,3,
93,12,18,2023,9,30,11,593,2051,453,3517,1,17,-1,
94,12,18,2023,9,30,11,603,2041,445,3539,13,8,-10,
95,12,18,2023,9,30,11,613,2085,469,3520,25,-3,-14,
96,12,18,2023,9,30,11,623,2108,485,3519,23,-6,-14,
97,12,18,2023,9,30,11,633,2097,470,3523,14,-7,-9,
98,12,18,2023,9,30,11,643,2104,470,3522,10,-5,-8,
99,12,18,2023,9,30,11,653,2112,473,3514,7,-7,-6,
100,12,18,2023,9,30,11,663,2102,468,3514,6,-2,-7,
101,12,18,2023,9,30,11,673,2101,459,3521,7,0,-3,
102,12,18,2023,9,30,11,683,2096,462,3521,6,0,-3,
103,12,18,2023,9,30,11,693,2108,472,3527,5,6,-3,
104,12,18,2023,9,30,11,703,2118,473,3528,-3,9,-3,
105,12,18,2023,9,30,11,713,2116,481,3521,-4,12,-2,
106,12,18,2023,9,30,11,723,2093,452,3529,-11,16,0,
107,12,18,2023,9,30,11,733,2092,468,3528,-8,12,4,
108,12,18,2023,9,30,11,743,2090,472,3526,-10,12,5,
109,12,18,2023,9,30,11,753,2088,468,3530,-10,9,2,
110,12,18,2023,9,30,11,763,2092,460,3514,-9,11,5,
111,12,18,2023,9,30,11,773,2090,466,3526,-9,13,7,
112,12,18,2023,9,30,11,783,2094,457,3528,-3,15,2,
113,12,18,2023,9,30,11,793,2101,450,3529,-1,8,-1,
114,12,18,2023,9,30,11,803,2095,458,3526,3,11,-3,
115,12,18,2023,9,30,11,813,2099,461,3523,10,7,-6,
116,12,18,2023,9,30,11,823,2089,458,3524,11,12,-9,
117,12,18,2023,9,30,11,833,2089,458,3528,12,11,-9,
118,12,18,2023,9,30,11,843,2095,464,3521,16,12,-12,
119,12,18,2023,9,30,11,853,2077,461,3531,19,12,-14,
120,12,18,2023,9,30,11,863,2074,467,3527,20,7,-14,
121,12,18,2023,9,30,11,873,2070,463,3530,22,3,-12,
122,12,18,2023,9,30,11,883,2076,463,3526,22,0,-13,
123,12,18,2023,9,30,11,893,2070,465,3527,21,-3,-11,
124,12,18,2023,9,30,11,903,2070,462,3527,24,-8,-13,
125,12,18,2023,9,30,11,913,2082,471,3528,28,-15,-17,
126,12,18,2023,9,30,11,923,2086,482,3526,28,-14,-13,
127,12,18,2023,9,30,11,933,2089,479,3524,25,-14,-11,
128,12,18,2023,9,30,11,943,2087,482,3519,18,-17,-12,
129,12,18,2023,9,30,11,953,2084,460,3521,10,-20,-7,
130,12,18,2023,9,30,11,963,2075,466,3526,11,-24,-6,
131,12,18,2023,9,30,11,973,2085,474,3531,12,-28,-6,
132,12,18,2023,9,30,11,983,2086,481,3524,15,-32,-8,
