Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,9,43,25,450,-90,-4122,262,-2,9,-4,
2,12,18,2023,9,43,25,460,-90,-4122,262,-2,9,-4,
3,12,18,2023,9,43,25,470,-90,-4122,262,-2,9,-4,
4,12,18,2023,9,43,25,480,-90,-4122,262,-2,9,-4,
5,12,18,2023,9,43,25,490,-90,-4122,262,-2,9,-4,
6,12,18,2023,9,43,25,500,-90,-4122,262,-2,9,-4,
7,12,18,2023,9,43,25,510,2529,1538,2772,3,21,-19,
8,12,18,2023,9,43,25,520,2533,1525,2777,-3,14,-14,
9,12,18,2023,9,43,25,530,2533,1531,2788,2,14,-8,
10,12,18,2023,9,43,25,540,2532,1531,2784,-1,16,-5,
11,12,18,2023,9,43,25,550,2531,1531,2784,-4,15,-7,
12,12,18,2023,9,43,25,560,2527,1531,2778,-2,11,-9,
13,12,18,2023,9,43,25,570,2530,1524,2788,3,12,-10,
14,12,18,2023,9,43,25,580,2524,1535,2786,3,9,-8,
15,12,18,2023,9,43,25,590,2523,1535,2783,2,9,-4,
16,12,18,2023,9,43,25,600,2532,1527,2784,-2,11,1,
17,12,18,2023,9,43,25,610,2534,1523,2779,-4,12,-2,
18,12,18,2023,9,43,25,620,2537,1533,2777,0,9,-2,
19,12,18,2023,9,43,25,630,2522,1526,2783,0,10,-9,
20,12,18,2023,9,43,25,640,2526,1523,2783,-2,11,-5,
21,12,18,2023,9,43,25,650,2533,1524,2786,4,7,-3,
22,12,18,2023,9,43,25,660,2529,1539,2779,4,2,-5,
23,12,18,2023,9,43,25,670,2528,1540,2775,4,5,-2,
24,12,18,2023,9,43,25,680,2530,1538,2778,-1,6,-2,
25,12,18,2023,9,43,25,690,2531,1533,2777,-3,9,-2,
26,12,18,2023,9,43,25,700,2532,1535,2774,-8,12,0,
27,12,18,2023,9,43,25,710,2532,1534,2776,-7,13,3,
28,12,18,2023,9,43,25,720,2531,1526,2780,-7,13,3,
29,12,18,2023,9,43,25,730,2530,1530,2786,-6,12,0,
30,12,18,2023,9,43,25,740,2534,1527,2783,-9,12,2,
31,12,18,2023,9,43,25,750,2527,1521,2788,-5,14,2,
32,12,18,2023,9,43,25,760,2531,1526,2786,-4,15,-4,
33,12,18,2023,9,43,25,770,2531,1526,2784,-4,16,-2,
34,12,18,2023,9,43,25,780,2533,1524,2785,-9,18,-1,
35,12,18,2023,9,43,25,790,2531,1527,2777,-8,16,-3,
36,12,18,2023,9,43,25,800,2527,1535,2780,-6,16,-3,
37,12,18,2023,9,43,25,810,2524,1538,2781,-7,15,-3,
38,12,18,2023,9,43,25,820,2527,1525,2776,-9,17,-4,
39,12,18,2023,9,43,25,830,2521,1526,2779,-7,19,-2,
40,12,18,2023,9,43,25,840,2527,1528,2786,-1,15,-5,
41,12,18,2023,9,43,25,850,2535,1524,2790,-5,14,-3,
42,12,18,2023,9,43,25,860,2525,1527,2787,-5,14,-5,
43,12,18,2023,9,43,25,870,2519,1530,2779,-3,15,-8,
44,12,18,2023,9,43,25,880,2526,1535,2782,3,12,-3,
45,12,18,2023,9,43,25,890,2529,1530,2781,1,14,-6,
