Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,9,43,31,493,-123,-4109,119,2,-10,-3,
2,12,18,2023,9,43,31,503,-123,-4109,119,2,-10,-3,
3,12,18,2023,9,43,31,513,-123,-4109,119,2,-10,-3,
4,12,18,2023,9,43,31,523,-123,-4109,119,2,-10,-3,
5,12,18,2023,9,43,31,533,-123,-4109,119,2,-10,-3,
6,12,18,2023,9,43,31,543,-123,-4109,119,2,-10,-3,
7,12,18,2023,9,43,31,553,2161,268,3523,14,-36,-28,
8,12,18,2023,9,43,31,563,2160,289,3512,11,-50,-17,
9,12,18,2023,9,43,31,573,2147,275,3520,16,-40,-15,
10,12,18,2023,9,43,31,583,2155,275,3522,14,-35,-18,
11,12,18,2023,9,43,31,593,2156,270,3514,17,-33,-18,
12,12,18,2023,9,43,31,603,2138,272,3519,16,-26,-22,
13,12,18,2023,9,43,31,613,2141,280,3518,18,-25,-26,
14,12,18,2023,9,43,31,623,2133,284,3519,23,-34,-27,
15,12,18,2023,9,43,31,633,2127,282,3520,20,-38,-29,
16,12,18,2023,9,43,31,643,2126,279,3529,19,-43,-29,
17,12,18,2023,9,43,31,653,2148,289,3528,22,-51,-30,
18,12,18,2023,9,43,31,663,2169,334,3519,22,-51,-29,
19,12,18,2023,9,43,31,673,2169,300,3514,16,-45,-20,
20,12,18,2023,9,43,31,683,2176,291,3518,7,-41,-16,
21,12,18,2023,9,43,31,693,2170,307,3519,5,-35,-12,
22,12,18,2023,9,43,31,703,2155,297,3506,-2,-31,-5,
23,12,18,2023,9,43,31,713,2141,282,3510,2,-28,-6,
24,12,18,2023,9,43,31,723,2148,286,3510,5,-26,-7,
25,12,18,2023,9,43,31,733,2135,266,3513,5,-27,-8,
26,12,18,2023,9,43,31,743,2134,284,3513,10,-33,-12,
27,12,18,2023,9,43,31,753,2146,291,3513,12,-44,-12,
28,12,18,2023,9,43,31,763,2159,273,3513,12,-50,-15,
29,12,18,2023,9,43,31,773,2150,281,3508,14,-50,-15,
30,12,18,2023,9,43,31,783,2137,298,3512,13,-51,-19,
31,12,18,2023,9,43,31,793,2152,291,3509,12,-53,-19,
32,12,18,2023,9,43,31,803,2151,289,3509,11,-57,-19,
33,12,18,2023,9,43,31,813,2159,277,3512,14,-60,-18,
34,12,18,2023,9,43,31,823,2164,304,3508,13,-61,-19,
35,12,18,2023,9,43,31,833,2171,285,3499,11,-61,-19,
36,12,18,2023,9,43,31,843,2172,282,3508,10,-57,-14,
37,12,18,2023,9,43,31,853,2157,297,3507,6,-52,-17,
38,12,18,2023,9,43,31,863,2172,313,3506,6,-53,-13,
39,12,18,2023,9,43,31,873,2181,301,3503,6,-54,-8,
40,12,18,2023,9,43,31,883,2173,303,3510,5,-53,-10,
41,12,18,2023,9,43,31,893,2175,279,3494,2,-49,-11,
42,12,18,2023,9,43,31,903,2153,274,3500,3,-47,-7,
43,12,18,2023,9,43,31,913,2163,287,3509,4,-46,-9,
44,12,18,2023,9,43,31,923,2174,289,3500,6,-50,-15,
45,12,18,2023,9,43,31,933,2174,292,3504,11,-42,-16,
