Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,10,9,8,877,-638,2117,2408,-7126,-9253,-2416,
2,12,18,2023,10,9,8,887,-638,2117,2408,-7126,-9253,-2416,
3,12,18,2023,10,9,8,897,-638,2117,2408,-7126,-9253,-2416,
4,12,18,2023,10,9,8,907,-638,2117,2408,-7126,-9253,-2416,
5,12,18,2023,10,9,8,917,-638,2117,2408,-7126,-9253,-2416,
6,12,18,2023,10,9,8,927,-638,2117,2408,-7126,-9253,-2416,
7,12,18,2023,10,9,8,937,3163,1133,2313,-7,9,8,
8,12,18,2023,10,9,8,947,3158,1125,2299,-8,12,4,
9,12,18,2023,10,9,8,957,3158,1126,2310,-2,7,-6,
10,12,18,2023,10,9,8,967,3145,1138,2310,6,6,-10,
11,12,18,2023,10,9,8,977,3141,1149,2305,3,11,-10,
12,12,18,2023,10,9,8,987,3147,1144,2313,-3,10,-7,
13,12,18,2023,10,9,8,997,3163,1142,2309,-8,9,-1,
14,12,18,2023,10,9,9,7,3163,1119,2309,-3,5,-2,
15,12,18,2023,10,9,9,17,3169,1116,2307,0,6,-14,
16,12,18,2023,10,9,9,27,3149,1100,2314,4,10,-20,
17,12,18,2023,10,9,9,37,3157,1142,2313,13,7,-26,
18,12,18,2023,10,9,9,47,3153,1135,2302,14,2,-28,
19,12,18,2023,10,9,9,57,3148,1149,2309,12,2,-30,
20,12,18,2023,10,9,9,67,3141,1146,2312,6,5,-28,
21,12,18,2023,10,9,9,77,3144,1164,2303,4,8,-18,
22,12,18,2023,10,9,9,87,3153,1151,2302,-1,4,-14,
23,12,18,2023,10,9,9,97,3154,1165,2297,-4,8,-14,
24,12,18,2023,10,9,9,107,3161,1147,2306,-4,10,-6,
25,12,18,2023,10,9,9,117,3159,1136,2313,-2,10,-8,
26,12,18,2023,10,9,9,127,3155,1139,2304,1,7,-12,
27,12,18,2023,10,9,9,137,3149,1134,2317,7,12,-11,
28,12,18,2023,10,9,9,147,3146,1144,2307,9,5,-13,
29,12,18,2023,10,9,9,157,3143,1154,2308,4,2,-11,
30,12,18,2023,10,9,9,167,3153,1137,2311,-3,4,-8,
31,12,18,2023,10,9,9,177,3156,1151,2297,0,6,-7,
32,12,18,2023,10,9,9,187,3158,1148,2307,1,6,-6,
33,12,18,2023,10,9,9,197,3151,1160,2296,-3,14,-5,
34,12,18,2023,10,9,9,207,3153,1138,2298,-6,13,2,
35,12,18,2023,10,9,9,217,3150,1133,2316,-7,12,0,
36,12,18,2023,10,9,9,227,3145,1148,2318,-4,8,-2,
37,12,18,2023,10,9,9,237,3142,1156,2315,-6,7,-4,
38,12,18,2023,10,9,9,247,3152,1157,2301,-10,11,0,
39,12,18,2023,10,9,9,257,3152,1154,2301,-16,18,12,
40,12,18,2023,10,9,9,267,3164,1117,2306,-21,21,15,
41,12,18,2023,10,9,9,277,3159,1128,2321,-12,16,4,
42,12,18,2023,10,9,9,287,3161,1137,2314,2,10,0,
43,12,18,2023,10,9,9,297,3155,1150,2308,6,0,-4,
44,12,18,2023,10,9,9,307,3157,1129,2311,10,0,-6,
45,12,18,2023,10,9,9,317,3156,1103,2315,10,1,-10,
46,12,18,2023,10,9,9,327,3155,1104,2323,14,0,-17,
47,12,18,2023,10,9,9,337,3144,1167,2308,24,1,-26,
48,12,18,2023,10,9,9,347,3148,1166,2301,17,5,-19,
49,12,18,2023,10,9,9,357,3134,1187,2298,6,10,-8,
50,12,18,2023,10,9,9,367,3146,1161,2300,-3,20,3,
51,12,18,2023,10,9,9,377,3159,1148,2299,-11,26,7,
52,12,18,2023,10,9,9,387,3155,1141,2311,-11,21,5,
53,12,18,2023,10,9,9,397,3150,1140,2304,-10,19,7,
54,12,18,2023,10,9,9,407,3157,1129,2317,-6,16,4,
55,12,18,2023,10,9,9,417,3149,1123,2309,0,15,4,
56,12,18,2023,10,9,9,427,3156,1139,2308,3,15,-1,
57,12,18,2023,10,9,9,437,3150,1138,2308,1,17,0,
58,12,18,2023,10,9,9,447,3153,1138,2307,-2,23,-2,
59,12,18,2023,10,9,9,457,3147,1125,2312,-1,24,-4,
60,12,18,2023,10,9,9,467,3148,1166,2315,3,18,-6,
61,12,18,2023,10,9,9,477,3161,1146,2312,-4,22,-3,
62,12,18,2023,10,9,9,487,3165,1142,2307,-4,21,-5,
63,12,18,2023,10,9,9,497,3160,1135,2302,-2,26,-2,
64,12,18,2023,10,9,9,507,3160,1126,2307,-1,29,-6,
65,12,18,2023,10,9,9,517,3151,1145,2301,0,31,-10,
66,12,18,2023,10,9,9,527,3154,1141,2319,1,35,-8,
67,12,18,2023,10,9,9,537,3152,1127,2323,-1,36,-5,
68,12,18,2023,10,9,9,547,3144,1152,2318,-1,39,-8,
69,12,18,2023,10,9,9,557,3142,1149,2318,-12,40,-2,
70,12,18,2023,10,9,9,567,3145,1145,2323,-14,41,-2,
71,12,18,2023,10,9,9,577,3155,1124,2340,-13,30,-2,
72,12,18,2023,10,9,9,587,3161,1146,2333,5,6,-11,
73,12,18,2023,10,9,9,597,3153,1146,2308,20,-1,-25,
74,12,18,2023,10,9,9,607,3145,1135,2309,20,3,-27,
75,12,18,2023,10,9,9,617,3136,1160,2303,22,3,-25,
76,12,18,2023,10,9,9,627,3135,1166,2304,21,7,-21,
77,12,18,2023,10,9,9,637,3143,1179,2312,15,13,-13,
78,12,18,2023,10,9,9,647,3147,1189,2301,7,13,-4,
79,12,18,2023,10,9,9,657,3153,1146,2304,6,11,-1,
80,12,18,2023,10,9,9,667,3141,1143,2312,11,15,-3,
81,12,18,2023,10,9,9,677,3144,1175,2304,8,16,-1,
82,12,18,2023,10,9,9,687,3143,1168,2316,7,17,11,
83,12,18,2023,10,9,9,697,3158,1149,2322,6,12,11,
84,12,18,2023,10,9,9,707,3139,1138,2315,11,3,10,
85,12,18,2023,10,9,9,717,3147,1151,2312,11,4,13,
86,12,18,2023,10,9,9,737,3139,1154,2305,-2,16,14,
87,12,18,2023,10,9,9,747,3128,1148,2322,-8,24,22,
88,12,18,2023,10,9,9,757,3139,1151,2309,-14,22,27,
89,12,18,2023,10,9,9,767,3144,1127,2312,-20,30,29,
90,12,18,2023,10,9,9,777,3139,1140,2313,-18,31,24,
91,12,18,2023,10,9,9,787,3137,1157,2313,-15,28,22,
92,12,18,2023,10,9,9,797,3124,1169,2316,-21,30,28,
93,12,18,2023,10,9,9,807,3129,1157,2325,-28,26,38,
94,12,18,2023,10,9,9,817,3144,1127,2315,-32,22,42,
95,12,18,2023,10,9,9,827,3143,1132,2319,-36,27,36,
96,12,18,2023,10,9,9,837,3163,1115,2327,-37,24,38,
97,12,18,2023,10,9,9,847,3167,1116,2326,-26,18,23,
98,12,18,2023,10,9,9,857,3163,1116,2323,-17,10,14,
99,12,18,2023,10,9,9,867,3143,1146,2323,-13,14,3,
