Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,18,2023,10,9,15,536,267,-1793,3828,3245,1397,-1246,
2,12,18,2023,10,9,15,546,267,-1793,3828,3245,1397,-1246,
3,12,18,2023,10,9,15,556,267,-1793,3828,3245,1397,-1246,
4,12,18,2023,10,9,15,566,267,-1793,3828,3245,1397,-1246,
5,12,18,2023,10,9,15,576,267,-1793,3828,3245,1397,-1246,
6,12,18,2023,10,9,15,586,2761,966,2907,7,-12,6,
7,12,18,2023,10,9,15,596,2756,967,2901,-4,-10,3,
8,12,18,2023,10,9,15,606,2761,957,2905,-2,-3,-1,
9,12,18,2023,10,9,15,616,2751,968,2908,3,-8,-3,
10,12,18,2023,10,9,15,626,2748,963,2907,6,-7,-3,
11,12,18,2023,10,9,15,636,2757,962,2906,4,-10,0,
12,12,18,2023,10,9,15,646,2758,962,2899,4,-13,3,
13,12,18,2023,10,9,15,656,2753,955,2897,5,-12,5,
14,12,18,2023,10,9,15,666,2758,956,2897,5,-12,1,
15,12,18,2023,10,9,15,676,2756,956,2889,6,-9,-4,
16,12,18,2023,10,9,15,686,2757,962,2889,6,-7,0,
17,12,18,2023,10,9,15,696,2769,955,2897,3,-1,-4,
18,12,18,2023,10,9,15,706,2762,956,2901,3,-4,-6,
19,12,18,2023,10,9,15,716,2753,960,2897,4,-3,-9,
20,12,18,2023,10,9,15,726,2754,967,2898,7,-3,-11,
21,12,18,2023,10,9,15,736,2755,969,2909,5,-2,-6,
22,12,18,2023,10,9,15,746,2751,960,2910,2,-3,-5,
23,12,18,2023,10,9,15,756,2757,958,2898,4,-6,-6,
24,12,18,2023,10,9,15,766,2750,959,2904,9,-3,-5,
25,12,18,2023,10,9,15,776,2756,957,2905,8,-7,-3,
26,12,18,2023,10,9,15,786,2749,960,2900,8,-11,-3,
27,12,18,2023,10,9,15,796,2763,952,2897,14,-11,-4,
28,12,18,2023,10,9,15,806,2755,967,2897,11,-8,-8,
29,12,18,2023,10,9,15,816,2752,968,2890,9,-7,-8,
30,12,18,2023,10,9,15,826,2757,966,2897,4,-3,-1,
31,12,18,2023,10,9,15,836,2755,962,2898,-1,-1,-2,
32,12,18,2023,10,9,15,846,2752,969,2905,-3,-4,-7,
33,12,18,2023,10,9,15,856,2756,959,2906,1,-4,-3,
34,12,18,2023,10,9,15,866,2753,957,2908,1,1,-4,
35,12,18,2023,10,9,15,876,2759,953,2901,6,-7,-2,
36,12,18,2023,10,9,15,886,2761,953,2894,12,-6,-7,
37,12,18,2023,10,9,15,896,2757,970,2901,13,-10,-8,
38,12,18,2023,10,9,15,906,2757,975,2896,9,-9,-8,
39,12,18,2023,10,9,15,916,2750,956,2898,3,-3,-7,
40,12,18,2023,10,9,15,926,2751,976,2902,3,-4,-6,
41,12,18,2023,10,9,15,936,2763,956,2900,0,-5,-6,
42,12,18,2023,10,9,15,946,2758,964,2901,-4,-4,-6,
43,12,18,2023,10,9,15,956,2753,965,2901,-3,-3,-1,
44,12,18,2023,10,9,15,966,2755,962,2904,-1,-6,-3,
45,12,18,2023,10,9,15,976,2761,951,2899,-1,-9,0,
46,12,18,2023,10,9,15,986,2759,964,2908,5,-9,-2,
47,12,18,2023,10,9,15,996,2756,955,2906,6,-7,-6,
48,12,18,2023,10,9,16,6,2752,955,2899,4,-8,-8,
49,12,18,2023,10,9,16,16,2758,969,2894,3,-6,-3,
50,12,18,2023,10,9,16,26,2753,968,2899,2,-4,-4,
51,12,18,2023,10,9,16,36,2758,970,2903,0,-6,-3,
52,12,18,2023,10,9,16,46,2756,966,2896,-1,-5,-1,
53,12,18,2023,10,9,16,56,2760,959,2904,-2,-5,0,
54,12,18,2023,10,9,16,66,2754,956,2903,-3,-6,-4,
55,12,18,2023,10,9,16,76,2756,957,2903,0,-4,-6,
56,12,18,2023,10,9,16,86,2756,953,2904,7,-2,-6,
57,12,18,2023,10,9,16,96,2756,967,2895,7,-4,-6,
58,12,18,2023,10,9,16,106,2754,966,2900,4,-5,-4,
59,12,18,2023,10,9,16,116,2760,964,2903,5,-5,-2,
60,12,18,2023,10,9,16,126,2753,965,2901,7,-6,-5,
61,12,18,2023,10,9,16,136,2749,965,2891,3,-3,-7,
62,12,18,2023,10,9,16,146,2750,974,2897,1,-4,-5,
63,12,18,2023,10,9,16,156,2760,958,2905,3,0,-3,
64,12,18,2023,10,9,16,166,2762,953,2903,-1,0,-3,
65,12,18,2023,10,9,16,176,2758,956,2899,2,-1,-2,
66,12,18,2023,10,9,16,186,2754,958,2890,3,0,-7,
