Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,10,5,13,420,277,-3789,1448,-1123,-14,137,
2,1,8,2024,10,5,13,430,277,-3789,1448,-1123,-14,137,
3,1,8,2024,10,5,13,440,277,-3789,1448,-1123,-14,137,
4,1,8,2024,10,5,13,450,277,-3789,1448,-1123,-14,137,
5,1,8,2024,10,5,13,460,277,-3789,1448,-1123,-14,137,
6,1,8,2024,10,5,13,470,10595,-4634,8075,-3553,-16063,-5784,
7,1,8,2024,10,5,13,480,8893,-6003,5619,-3469,-15754,-5980,
8,1,8,2024,10,5,13,490,8017,-6297,4165,-2783,-14602,-7312,
9,1,8,2024,10,5,13,500,6924,-6052,5830,-1235,-13190,-8515,
10,1,8,2024,10,5,13,510,2691,-5457,6934,84,-11748,-8324,
11,1,8,2024,10,5,13,520,-4779,-5905,6113,1486,-9967,-8237,
12,1,8,2024,10,5,13,530,7267,-2715,4032,3610,-9932,-10301,
13,1,8,2024,10,5,13,540,13629,5628,4192,3312,-7264,-9333,
14,1,8,2024,10,5,13,550,5669,201,9268,-2010,261,-2424,
15,1,8,2024,10,5,13,560,4715,-5102,6440,-4550,4215,1282,
16,1,8,2024,10,5,13,570,673,-4148,4272,-4172,6737,1841,
17,1,8,2024,10,5,13,580,-1398,-3993,3218,-3225,7384,2462,
18,1,8,2024,10,5,13,590,-732,-4313,2382,-1861,7225,2730,
19,1,8,2024,10,5,13,600,626,-3599,2050,-343,7265,2986,
20,1,8,2024,10,5,13,610,1366,-2579,2145,794,7878,3416,
21,1,8,2024,10,5,13,620,1559,-1976,2292,1371,8722,3847,
22,1,8,2024,10,5,13,630,1309,-1409,2255,1557,9407,4344,
23,1,8,2024,10,5,13,640,1319,-956,2348,1425,9724,4801,
24,1,8,2024,10,5,13,650,1382,-762,2356,1130,9837,5157,
25,1,8,2024,10,5,13,660,1745,-803,2420,717,9794,5356,
26,1,8,2024,10,5,13,670,2488,-851,2471,428,9707,5472,
27,1,8,2024,10,5,13,680,3074,-1045,2481,391,9717,5546,
28,1,8,2024,10,5,13,690,3413,-1146,2705,546,9787,5503,
29,1,8,2024,10,5,13,700,4101,-1057,3006,744,9875,5296,
30,1,8,2024,10,5,13,710,4874,-799,3315,770,10080,5038,
31,1,8,2024,10,5,13,720,5278,-637,3535,666,10278,4861,
32,1,8,2024,10,5,13,730,5255,-697,3736,351,10468,4694,
33,1,8,2024,10,5,13,740,5385,-960,3970,-81,10544,4531,
34,1,8,2024,10,5,13,750,5904,-1273,4298,-404,10527,4455,
35,1,8,2024,10,5,13,760,6544,-1497,4709,-528,10539,4587,
36,1,8,2024,10,5,13,770,7096,-1623,5150,-627,10687,4868,
37,1,8,2024,10,5,13,780,7626,-1689,5465,-728,10902,5120,
38,1,8,2024,10,5,13,790,8031,-1775,5604,-910,11138,5250,
39,1,8,2024,10,5,13,800,8290,-1647,5488,-1231,11331,5192,
40,1,8,2024,10,5,13,810,8647,-1094,5003,-1823,11408,5025,
41,1,8,2024,10,5,13,820,9230,-98,3865,-2724,11289,4916,
42,1,8,2024,10,5,13,830,9687,1013,2217,-3814,11055,4892,
43,1,8,2024,10,5,13,840,9452,-147,294,-4549,10414,4728,
44,1,8,2024,10,5,13,850,9452,-147,294,-4549,10414,4728,
45,1,8,2024,10,5,13,860,8963,-752,-4019,-3722,7504,2586,
46,1,8,2024,10,5,13,870,9547,1675,-5335,-2831,5283,1499,
47,1,8,2024,10,5,13,880,10224,2734,-5846,-2614,3020,920,
48,1,8,2024,10,5,13,890,10507,2012,-5398,-2459,1203,703,
49,1,8,2024,10,5,13,900,8022,-2334,-2919,-1372,-356,555,
50,1,8,2024,10,5,13,910,7040,-3013,-3080,3847,-3471,-375,
51,1,8,2024,10,5,13,920,9487,755,-8743,2992,-6636,-1571,
52,1,8,2024,10,5,13,930,-3718,-2152,3473,8732,-5234,-2157,
53,1,8,2024,10,5,13,940,-351,7189,12957,3314,-4434,-4853,
54,1,8,2024,10,5,13,950,4026,7512,6824,879,-8333,-3123,
55,1,8,2024,10,5,13,960,4026,7512,6824,879,-8333,-3123,
56,1,8,2024,10,5,13,970,4270,5784,6315,859,-7770,-1302,
57,1,8,2024,10,5,13,980,5347,1769,6661,-958,-7882,-2594,
58,1,8,2024,10,5,13,990,8266,-1742,6104,-1103,-7389,-3894,
59,1,8,2024,10,5,14,0,6132,-5630,3574,-867,-5970,-3050,
60,1,8,2024,10,5,14,10,5194,-6195,3131,-246,-5505,-3036,
61,1,8,2024,10,5,14,20,8492,-7162,4531,1367,-5443,-3881,
62,1,8,2024,10,5,14,30,6124,-2856,2254,2886,-3130,-3732,
63,1,8,2024,10,5,14,40,2514,1121,4184,2829,-1681,-2654,
64,1,8,2024,10,5,14,50,4108,628,4551,2942,-1958,-2252,
65,1,8,2024,10,5,14,60,2921,-1745,3150,2925,-1123,-1638,
66,1,8,2024,10,5,14,70,2250,-1766,2973,2603,-1060,-1491,
67,1,8,2024,10,5,14,80,2671,-572,3761,2347,-1110,-1488,
68,1,8,2024,10,5,14,90,2970,-393,3977,2506,-854,-1372,
69,1,8,2024,10,5,14,100,2885,-616,4109,2029,-718,-964,
70,1,8,2024,10,5,14,110,2652,-550,3787,1183,-427,-587,
71,1,8,2024,10,5,14,120,2207,-1077,3418,889,-233,-417,
72,1,8,2024,10,5,14,130,2224,-1114,3270,618,-308,-415,
73,1,8,2024,10,5,14,140,2278,-744,3464,353,-299,-381,
74,1,8,2024,10,5,14,150,2268,-843,3411,422,-329,-355,
75,1,8,2024,10,5,14,160,2261,-878,3373,297,-370,-307,
76,1,8,2024,10,5,14,170,2160,-830,3337,144,-366,-265,
77,1,8,2024,10,5,14,180,2162,-868,3351,197,-434,-256,
78,1,8,2024,10,5,14,190,2044,-999,3279,271,-499,-260,
79,1,8,2024,10,5,14,200,2052,-1088,3264,320,-610,-288,
80,1,8,2024,10,5,14,210,2182,-998,3299,355,-714,-301,
81,1,8,2024,10,5,14,220,2260,-912,3278,291,-762,-275,
82,1,8,2024,10,5,14,230,2281,-889,3340,325,-797,-267,
83,1,8,2024,10,5,14,240,2332,-710,3390,182,-806,-245,
84,1,8,2024,10,5,14,250,2546,-678,3413,98,-803,-218,
85,1,8,2024,10,5,14,260,2431,-773,3336,-33,-750,-168,
86,1,8,2024,10,5,14,280,2361,-991,3288,-126,-723,-128,
87,1,8,2024,10,5,14,290,2417,-980,3352,-230,-724,-137,
88,1,8,2024,10,5,14,300,2488,-983,3254,-354,-722,-176,
89,1,8,2024,10,5,14,310,2461,-756,3384,-457,-668,-200,
90,1,8,2024,10,5,14,320,2467,-810,3323,-572,-646,-233,
91,1,8,2024,10,5,14,330,2513,-827,3384,-615,-695,-252,
92,1,8,2024,10,5,14,340,2528,-930,3302,-750,-771,-242,
93,1,8,2024,10,5,14,350,2164,-1134,3534,-684,-882,-160,
94,1,8,2024,10,5,14,360,2263,-927,3544,-689,-1170,-115,
95,1,8,2024,10,5,14,370,2242,-738,3784,-1084,-1224,-244,
96,1,8,2024,10,5,14,380,2617,-699,3401,-1196,-1484,-275,
97,1,8,2024,10,5,14,390,2505,-566,3658,-1260,-1612,-223,
98,1,8,2024,10,5,14,400,2569,-742,3531,-1273,-1828,-199,
