Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,10,5,7,686,493,-1804,2792,-3342,-1485,-314,
2,1,8,2024,10,5,7,696,493,-1804,2792,-3342,-1485,-314,
3,1,8,2024,10,5,7,706,493,-1804,2792,-3342,-1485,-314,
4,1,8,2024,10,5,7,716,493,-1804,2792,-3342,-1485,-314,
5,1,8,2024,10,5,7,726,493,-1804,2792,-3342,-1485,-314,
6,1,8,2024,10,5,7,736,493,-1804,2792,-3342,-1485,-314,
7,1,8,2024,10,5,7,746,2227,1173,3183,4,5,5,
8,1,8,2024,10,5,7,756,2225,1171,3189,10,12,5,
9,1,8,2024,10,5,7,766,2225,1168,3188,5,12,-2,
10,1,8,2024,10,5,7,776,2225,1168,3188,5,12,-2,
11,1,8,2024,10,5,7,786,2224,1166,3187,4,15,-4,
12,1,8,2024,10,5,7,796,2223,1168,3187,1,14,-3,
13,1,8,2024,10,5,7,806,2228,1166,3187,4,11,-3,
14,1,8,2024,10,5,7,816,2222,1171,3179,1,11,-4,
15,1,8,2024,10,5,7,826,2227,1170,3188,-1,11,-1,
16,1,8,2024,10,5,7,836,2228,1170,3190,0,12,0,
17,1,8,2024,10,5,7,846,2224,1167,3190,3,10,-2,
18,1,8,2024,10,5,7,856,2225,1164,3189,1,7,-2,
19,1,8,2024,10,5,7,866,2228,1165,3186,4,7,-3,
20,1,8,2024,10,5,7,876,2225,1166,3188,4,8,-2,
21,1,8,2024,10,5,7,886,2225,1166,3185,3,9,-2,
22,1,8,2024,10,5,7,896,2230,1179,3183,-1,13,-1,
23,1,8,2024,10,5,7,906,2223,1171,3184,1,12,-2,
24,1,8,2024,10,5,7,916,2227,1164,3186,3,8,2,
25,1,8,2024,10,5,7,926,2225,1166,3187,5,9,5,
26,1,8,2024,10,5,7,936,2230,1170,3186,3,10,2,
27,1,8,2024,10,5,7,946,2232,1165,3186,2,11,3,
28,1,8,2024,10,5,7,956,2228,1167,3189,2,10,5,
29,1,8,2024,10,5,7,966,2227,1173,3189,2,9,1,
30,1,8,2024,10,5,7,976,2234,1168,3181,-1,11,0,
31,1,8,2024,10,5,7,986,2226,1168,3189,2,8,-1,
32,1,8,2024,10,5,7,996,2225,1170,3182,-2,12,2,
33,1,8,2024,10,5,8,6,2221,1175,3187,-4,12,0,
34,1,8,2024,10,5,8,16,2215,1169,3190,0,9,2,
35,1,8,2024,10,5,8,26,2226,1165,3189,1,8,5,
36,1,8,2024,10,5,8,36,2226,1168,3183,3,12,4,
37,1,8,2024,10,5,8,46,2220,1173,3186,3,11,0,
38,1,8,2024,10,5,8,56,2231,1173,3187,6,11,-2,
39,1,8,2024,10,5,8,66,2229,1168,3183,5,7,-4,
40,1,8,2024,10,5,8,76,2230,1165,3188,3,12,-1,
41,1,8,2024,10,5,8,86,2228,1167,3188,-2,14,-3,
42,1,8,2024,10,5,8,96,2229,1161,3193,0,10,-1,
43,1,8,2024,10,5,8,106,2232,1167,3187,3,13,-4,
44,1,8,2024,10,5,8,116,2232,1167,3187,3,13,-4,
45,1,8,2024,10,5,8,126,2225,1166,3186,1,11,-3,
46,1,8,2024,10,5,8,136,2228,1169,3188,-1,13,-1,
47,1,8,2024,10,5,8,146,2230,1172,3189,2,12,-1,
48,1,8,2024,10,5,8,156,2229,1165,3186,3,12,1,
49,1,8,2024,10,5,8,166,2222,1165,3185,2,14,-2,
50,1,8,2024,10,5,8,176,2225,1165,3189,5,10,-2,
51,1,8,2024,10,5,8,186,2220,1162,3187,7,7,2,
52,1,8,2024,10,5,8,196,2226,1168,3181,5,8,0,
53,1,8,2024,10,5,8,206,2230,1167,3183,5,8,0,
54,1,8,2024,10,5,8,216,2236,1168,3184,2,10,-1,
55,1,8,2024,10,5,8,226,2230,1172,3184,4,10,0,
56,1,8,2024,10,5,8,236,2228,1166,3188,2,10,-2,
57,1,8,2024,10,5,8,246,2229,1163,3187,1,12,-3,
58,1,8,2024,10,5,8,256,2228,1171,3181,2,12,-2,
59,1,8,2024,10,5,8,266,2226,1164,3181,0,14,-3,
60,1,8,2024,10,5,8,276,2225,1162,3183,0,11,-5,
61,1,8,2024,10,5,8,286,2232,1170,3178,2,16,-7,
62,1,8,2024,10,5,8,296,2230,1166,3191,3,16,-2,
63,1,8,2024,10,5,8,306,2227,1167,3198,3,15,-4,
64,1,8,2024,10,5,8,316,2230,1171,3186,5,17,-3,
65,1,8,2024,10,5,8,326,2227,1177,3181,6,17,-3,
66,1,8,2024,10,5,8,336,2217,1170,3178,4,15,-6,
67,1,8,2024,10,5,8,346,2232,1157,3190,3,12,-7,
68,1,8,2024,10,5,8,356,2227,1172,3186,6,18,-8,
69,1,8,2024,10,5,8,366,2222,1168,3189,4,17,-5,
70,1,8,2024,10,5,8,376,2222,1167,3188,3,15,-2,
71,1,8,2024,10,5,8,386,2230,1169,3195,3,16,-6,
72,1,8,2024,10,5,8,396,2234,1165,3186,4,17,-6,
73,1,8,2024,10,5,8,406,2228,1171,3192,4,15,-2,
74,1,8,2024,10,5,8,416,2224,1172,3190,5,16,-3,
75,1,8,2024,10,5,8,426,2221,1173,3189,2,15,-6,
76,1,8,2024,10,5,8,436,2222,1169,3192,-1,17,-6,
77,1,8,2024,10,5,8,446,2222,1164,3190,-5,16,-1,
78,1,8,2024,10,5,8,456,2224,1171,3188,-3,14,-1,
79,1,8,2024,10,5,8,466,2228,1169,3190,2,15,-1,
80,1,8,2024,10,5,8,476,2225,1166,3193,5,10,-5,
81,1,8,2024,10,5,8,486,2221,1161,3185,1,8,-4,
82,1,8,2024,10,5,8,496,2221,1167,3186,2,8,-2,
83,1,8,2024,10,5,8,506,2228,1171,3191,3,11,-5,
84,1,8,2024,10,5,8,516,2222,1162,3189,0,12,-2,
85,1,8,2024,10,5,8,526,2218,1172,3186,1,12,-5,
86,1,8,2024,10,5,8,546,2227,1172,3187,2,11,1,
87,1,8,2024,10,5,8,556,2221,1169,3185,0,10,2,
88,1,8,2024,10,5,8,566,2215,1175,3191,-2,11,1,
89,1,8,2024,10,5,8,576,2228,1167,3190,-2,10,0,
90,1,8,2024,10,5,8,586,2232,1165,3193,1,7,0,
91,1,8,2024,10,5,8,596,2228,1169,3190,4,11,0,
92,1,8,2024,10,5,8,606,2224,1166,3185,6,14,-1,
93,1,8,2024,10,5,8,616,2230,1171,3189,2,12,-1,
94,1,8,2024,10,5,8,626,2230,1172,3187,6,10,2,
95,1,8,2024,10,5,8,636,2222,1169,3181,4,11,-3,
96,1,8,2024,10,5,8,646,2221,1163,3190,4,16,1,
97,1,8,2024,10,5,8,656,2228,1173,3187,2,12,2,
98,1,8,2024,10,5,8,666,2222,1171,3190,2,12,-2,
99,1,8,2024,10,5,8,676,2218,1169,3194,-1,11,-2,
100,1,8,2024,10,5,8,686,2227,1162,3188,1,9,-1,
101,1,8,2024,10,5,8,696,2222,1167,3186,0,10,-2,
102,1,8,2024,10,5,8,706,2216,1168,3188,-1,9,-4,
103,1,8,2024,10,5,8,716,2223,1172,3191,2,12,0,
104,1,8,2024,10,5,8,726,2218,1169,3186,1,15,-2,
105,1,8,2024,10,5,8,736,2224,1165,3191,3,8,0,
106,1,8,2024,10,5,8,746,2227,1172,3189,4,9,-1,
107,1,8,2024,10,5,8,756,2223,1166,3186,2,8,-3,
108,1,8,2024,10,5,8,766,2229,1167,3190,3,10,2,
109,1,8,2024,10,5,8,776,2227,1169,3191,3,10,1,
110,1,8,2024,10,5,8,786,2221,1166,3188,2,10,0,
111,1,8,2024,10,5,8,796,2225,1161,3190,0,12,-1,
112,1,8,2024,10,5,8,806,2223,1166,3190,3,7,-4,
113,1,8,2024,10,5,8,816,2220,1174,3190,3,9,-4,
114,1,8,2024,10,5,8,826,2231,1176,3192,-1,8,-2,
115,1,8,2024,10,5,8,836,2224,1165,3191,0,9,-5,
116,1,8,2024,10,5,8,846,2223,1169,3195,-2,9,-1,
117,1,8,2024,10,5,8,856,2225,1162,3193,0,10,-2,
118,1,8,2024,10,5,8,866,2231,1173,3188,5,9,-3,
119,1,8,2024,10,5,8,876,2222,1165,3190,2,6,-2,
120,1,8,2024,10,5,8,886,2218,1160,3192,2,10,-1,
121,1,8,2024,10,5,8,896,2228,1170,3190,6,12,1,
122,1,8,2024,10,5,8,906,2227,1168,3185,3,10,-1,
123,1,8,2024,10,5,8,916,2226,1166,3185,6,10,-2,
124,1,8,2024,10,5,8,926,2215,1165,3194,1,8,0,
125,1,8,2024,10,5,8,936,2222,1169,3200,2,10,1,
126,1,8,2024,10,5,8,946,2221,1166,3191,2,8,-4,
127,1,8,2024,10,5,8,956,2228,1165,3187,4,6,-1,
128,1,8,2024,10,5,8,966,2231,1161,3190,6,8,-1,
129,1,8,2024,10,5,8,976,2232,1168,3185,4,7,-1,
130,1,8,2024,10,5,8,986,2226,1174,3184,1,8,-4,
131,1,8,2024,10,5,8,996,2222,1170,3190,-4,10,-2,
132,1,8,2024,10,5,9,6,2228,1164,3195,-3,12,-2,
133,1,8,2024,10,5,9,16,2221,1170,3189,0,10,-1,
134,1,8,2024,10,5,9,26,2226,1165,3186,2,12,0,
135,1,8,2024,10,5,9,36,2231,1167,3186,4,9,2,
136,1,8,2024,10,5,9,46,2230,1167,3188,0,9,-1,
137,1,8,2024,10,5,9,56,2218,1160,3192,4,8,-4,
138,1,8,2024,10,5,9,66,2228,1165,3194,5,8,-2,
139,1,8,2024,10,5,9,76,2230,1170,3189,5,7,-4,
140,1,8,2024,10,5,9,86,2224,1167,3189,0,7,0,
141,1,8,2024,10,5,9,96,2226,1167,3185,-2,9,0,
142,1,8,2024,10,5,9,106,2230,1171,3189,-1,7,-4,
143,1,8,2024,10,5,9,116,2223,1173,3186,-1,9,-1,
144,1,8,2024,10,5,9,126,2228,1165,3185,-1,10,-2,
145,1,8,2024,10,5,9,136,2229,1169,3187,2,13,-5,
146,1,8,2024,10,5,9,146,2233,1170,3191,2,12,-3,
147,1,8,2024,10,5,9,156,2226,1168,3182,0,9,-1,
148,1,8,2024,10,5,9,166,2229,1165,3186,0,10,0,
149,1,8,2024,10,5,9,176,2229,1163,3193,1,12,-2,
150,1,8,2024,10,5,9,186,2232,1162,3181,6,10,-1,
151,1,8,2024,10,5,9,196,2223,1165,3191,6,11,-1,
152,1,8,2024,10,5,9,206,2220,1164,3182,5,16,-7,
153,1,8,2024,10,5,9,216,2229,1165,3187,6,13,-5,
154,1,8,2024,10,5,9,226,2228,1174,3185,4,13,-3,
155,1,8,2024,10,5,9,236,2223,1166,3192,5,17,-5,
156,1,8,2024,10,5,9,246,2227,1168,3195,6,16,-4,
157,1,8,2024,10,5,9,256,2220,1172,3187,8,12,-4,
158,1,8,2024,10,5,9,266,2227,1165,3186,13,14,-7,
159,1,8,2024,10,5,9,276,2229,1166,3188,15,15,-8,
160,1,8,2024,10,5,9,286,2229,1169,3189,12,16,-9,
161,1,8,2024,10,5,9,296,2228,1161,3192,13,15,-9,
162,1,8,2024,10,5,9,306,2228,1168,3190,18,13,-12,
163,1,8,2024,10,5,9,316,2220,1174,3183,16,12,-13,
164,1,8,2024,10,5,9,326,2226,1166,3190,14,11,-10,
165,1,8,2024,10,5,9,336,2215,1183,3185,8,15,-7,
166,1,8,2024,10,5,9,346,2222,1168,3184,10,12,-4,
167,1,8,2024,10,5,9,356,2231,1175,3184,9,12,-6,
168,1,8,2024,10,5,9,366,2219,1175,3189,4,19,-7,
169,1,8,2024,10,5,9,376,2231,1169,3196,5,17,-5,
170,1,8,2024,10,5,9,386,2232,1170,3189,6,14,-9,
171,1,8,2024,10,5,9,406,2217,1176,3187,5,8,-8,
