Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,46,38,553,308,-4106,202,41,9,-9,
2,1,8,2024,9,46,38,563,308,-4106,202,41,9,-9,
3,1,8,2024,9,46,38,573,308,-4106,202,41,9,-9,
4,1,8,2024,9,46,38,583,308,-4106,202,41,9,-9,
5,1,8,2024,9,46,38,593,308,-4106,202,41,9,-9,
6,1,8,2024,9,46,38,603,308,-4106,202,41,9,-9,
7,1,8,2024,9,46,38,613,8483,-5526,-2635,752,-1026,-471,
8,1,8,2024,9,46,38,623,8163,-4149,-1536,670,-1272,-271,
9,1,8,2024,9,46,38,633,8307,-2348,-111,162,-2165,654,
10,1,8,2024,9,46,38,643,7958,-911,712,-869,-2731,1586,
11,1,8,2024,9,46,38,653,5810,1186,1979,-1909,-2851,2098,
12,1,8,2024,9,46,38,663,1222,5860,6320,-5418,-3001,1872,
13,1,8,2024,9,46,38,673,-1626,3545,5070,-6775,-3695,1914,
14,1,8,2024,9,46,38,683,-5803,2195,2657,-4446,-3394,1430,
15,1,8,2024,9,46,38,693,-5353,-454,-2360,-3257,-6582,2002,
16,1,8,2024,9,46,38,703,3532,-2010,2408,-2027,-10483,2036,
17,1,8,2024,9,46,38,713,10708,-101,7745,-1315,-10097,1071,
18,1,8,2024,9,46,38,723,6907,-645,7263,-1830,-6204,1254,
19,1,8,2024,9,46,38,733,980,-2167,4203,-2184,-4162,2578,
20,1,8,2024,9,46,38,743,2105,382,3746,-1805,-5001,3112,
21,1,8,2024,9,46,38,753,4995,2722,4497,-1339,-5491,2442,
22,1,8,2024,9,46,38,763,5477,2562,4467,-1214,-4922,1603,
23,1,8,2024,9,46,38,773,4412,1073,4441,-1694,-4044,1480,
24,1,8,2024,9,46,38,783,3439,717,4185,-2030,-3255,1505,
25,1,8,2024,9,46,38,793,2561,620,3648,-2256,-2729,1580,
26,1,8,2024,9,46,38,803,2579,692,3576,-2337,-2596,1653,
27,1,8,2024,9,46,38,813,3013,1442,3976,-2566,-2410,1766,
28,1,8,2024,9,46,38,823,6839,1949,5685,-3306,-2011,1984,
29,1,8,2024,9,46,38,833,3999,-1125,4106,-2598,-34,1378,
30,1,8,2024,9,46,38,843,1844,-961,4138,-1351,468,649,
31,1,8,2024,9,46,38,853,2266,465,3482,-822,145,297,
32,1,8,2024,9,46,38,863,2447,598,3383,-558,-13,123,
33,1,8,2024,9,46,38,873,2271,912,3245,-400,8,85,
34,1,8,2024,9,46,38,883,2255,1130,3163,-323,-20,83,
35,1,8,2024,9,46,38,893,2212,1051,3181,-250,-68,71,
36,1,8,2024,9,46,38,903,2076,1107,3132,-204,-102,65,
37,1,8,2024,9,46,38,913,2135,1285,3057,-199,-156,76,
38,1,8,2024,9,46,38,923,2143,1527,2988,-252,-172,104,
39,1,8,2024,9,46,38,933,2130,1407,3037,-314,-192,177,
40,1,8,2024,9,46,38,943,2104,1066,3155,-322,-244,260,
41,1,8,2024,9,46,38,953,2096,931,3228,-320,-316,287,
42,1,8,2024,9,46,38,963,2326,725,3305,-301,-409,296,
43,1,8,2024,9,46,38,973,2362,687,3302,-276,-431,278,
44,1,8,2024,9,46,38,983,2326,638,3342,-251,-439,247,
45,1,8,2024,9,46,38,993,2452,607,3338,-208,-461,219,
46,1,8,2024,9,46,39,3,2475,754,3272,-172,-433,196,
47,1,8,2024,9,46,39,13,2492,756,3280,-160,-398,196,
48,1,8,2024,9,46,39,23,2416,782,3273,-168,-359,186,
49,1,8,2024,9,46,39,33,2352,814,3235,-171,-346,180,
50,1,8,2024,9,46,39,43,2353,743,3235,-159,-370,174,
51,1,8,2024,9,46,39,53,2353,702,3250,-121,-410,149,
52,1,8,2024,9,46,39,63,2362,737,3221,-69,-460,132,
53,1,8,2024,9,46,39,73,2334,786,3185,-18,-511,126,
54,1,8,2024,9,46,39,83,2306,820,3240,35,-589,129,
55,1,8,2024,9,46,39,93,2373,745,3224,92,-671,143,
56,1,8,2024,9,46,39,103,2483,647,3293,165,-740,131,
57,1,8,2024,9,46,39,113,2566,721,3362,163,-705,107,
58,1,8,2024,9,46,39,123,2443,750,3238,76,-601,108,
