Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,46,32,394,32,-4109,-48,1,-10,1,
2,1,8,2024,9,46,32,404,32,-4109,-48,1,-10,1,
3,1,8,2024,9,46,32,414,32,-4109,-48,1,-10,1,
4,1,8,2024,9,46,32,424,32,-4109,-48,1,-10,1,
5,1,8,2024,9,46,32,434,32,-4109,-48,1,-10,1,
6,1,8,2024,9,46,32,444,2583,-1191,3041,18,-3,9,
7,1,8,2024,9,46,32,454,2576,-1189,3018,4,-8,2,
8,1,8,2024,9,46,32,464,2576,-1192,3011,12,-7,-9,
9,1,8,2024,9,46,32,474,2572,-1190,3019,13,-5,-4,
10,1,8,2024,9,46,32,484,2577,-1187,3020,14,-11,1,
11,1,8,2024,9,46,32,494,2569,-1183,3009,15,-12,-1,
12,1,8,2024,9,46,32,504,2572,-1194,3016,14,-4,-4,
13,1,8,2024,9,46,32,514,2582,-1193,3027,13,-7,-2,
14,1,8,2024,9,46,32,524,2585,-1196,3013,13,-14,3,
15,1,8,2024,9,46,32,534,2587,-1194,3016,7,-10,-5,
16,1,8,2024,9,46,32,544,2583,-1192,3021,1,-9,-10,
17,1,8,2024,9,46,32,554,2581,-1199,3021,1,-9,-5,
18,1,8,2024,9,46,32,564,2569,-1198,3012,1,-9,-3,
19,1,8,2024,9,46,32,574,2577,-1191,3013,4,-11,-5,
20,1,8,2024,9,46,32,584,2578,-1192,3012,1,-5,-6,
21,1,8,2024,9,46,32,594,2571,-1203,3014,2,-1,-2,
22,1,8,2024,9,46,32,604,2579,-1195,3008,5,-5,-5,
23,1,8,2024,9,46,32,614,2579,-1200,3014,11,-5,-8,
24,1,8,2024,9,46,32,624,2578,-1194,3016,13,-3,-8,
25,1,8,2024,9,46,32,634,2569,-1186,3012,12,-3,-5,
26,1,8,2024,9,46,32,644,2577,-1194,3020,10,-7,-7,
27,1,8,2024,9,46,32,654,2579,-1185,3015,10,-9,-4,
28,1,8,2024,9,46,32,664,2577,-1190,3014,6,-10,0,
29,1,8,2024,9,46,32,674,2576,-1194,3020,7,-8,1,
30,1,8,2024,9,46,32,684,2576,-1194,3020,7,-8,1,
31,1,8,2024,9,46,32,694,2580,-1200,3008,11,-10,-5,
32,1,8,2024,9,46,32,704,2579,-1192,3009,10,-6,-3,
33,1,8,2024,9,46,32,714,2569,-1189,3019,12,-4,1,
34,1,8,2024,9,46,32,724,2551,-1196,3012,14,-7,-1,
