Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,16,5,66,-162,-4121,437,-33,11,7,
2,1,8,2024,9,16,5,76,-162,-4121,437,-33,11,7,
3,1,8,2024,9,16,5,86,-162,-4121,437,-33,11,7,
4,1,8,2024,9,16,5,96,-162,-4121,437,-33,11,7,
5,1,8,2024,9,16,5,106,-162,-4121,437,-33,11,7,
6,1,8,2024,9,16,5,116,-162,-4121,437,-33,11,7,
7,1,8,2024,9,16,5,126,2715,1033,2837,0,21,-9,
8,1,8,2024,9,16,5,136,2713,1040,2833,1,37,-6,
9,1,8,2024,9,16,5,146,2705,1037,2841,11,17,-5,
10,1,8,2024,9,16,5,156,2717,1054,2834,9,5,-12,
11,1,8,2024,9,16,5,166,2714,1062,2834,6,3,-13,
12,1,8,2024,9,16,5,176,2713,1061,2833,6,0,-7,
13,1,8,2024,9,16,5,186,2715,1074,2827,6,-1,-5,
14,1,8,2024,9,16,5,196,2724,1073,2823,1,-1,5,
15,1,8,2024,9,16,5,206,2716,1073,2829,-13,8,15,
16,1,8,2024,9,16,5,216,2719,1083,2833,-27,22,30,
17,1,8,2024,9,16,5,226,2714,1116,2825,-46,42,50,
18,1,8,2024,9,16,5,236,2700,1043,2832,-60,55,73,
19,1,8,2024,9,16,5,246,2716,1046,2823,-59,51,69,
20,1,8,2024,9,16,5,256,2705,1059,2818,-60,47,68,
21,1,8,2024,9,16,5,266,2688,1034,2835,-60,42,67,
22,1,8,2024,9,16,5,276,2702,1030,2836,-55,38,65,
23,1,8,2024,9,16,5,286,2729,1040,2835,-55,42,68,
24,1,8,2024,9,16,5,296,2740,1047,2830,-57,40,62,
25,1,8,2024,9,16,5,306,2733,1042,2822,-56,39,61,
26,1,8,2024,9,16,5,316,2735,1043,2836,-48,45,62,
27,1,8,2024,9,16,5,326,2730,1045,2825,-51,48,59,
28,1,8,2024,9,16,5,336,2741,1045,2824,-54,48,59,
29,1,8,2024,9,16,5,346,2739,1051,2829,-58,52,59,
30,1,8,2024,9,16,5,356,2738,1037,2838,-62,56,64,
31,1,8,2024,9,16,5,366,2732,1029,2840,-58,55,60,
32,1,8,2024,9,16,5,376,2727,1022,2839,-57,55,60,
33,1,8,2024,9,16,5,386,2728,1016,2847,-53,54,54,
34,1,8,2024,9,16,5,396,2726,1006,2859,-49,49,46,
35,1,8,2024,9,16,5,406,2732,1013,2847,-44,46,38,
36,1,8,2024,9,16,5,416,2712,999,2852,-41,43,32,
37,1,8,2024,9,16,5,426,2705,977,2866,-29,33,24,
38,1,8,2024,9,16,5,436,2717,1008,2857,-17,21,15,
39,1,8,2024,9,16,5,446,2719,1016,2847,-13,15,8,
40,1,8,2024,9,16,5,456,2721,1015,2850,-10,10,5,
41,1,8,2024,9,16,5,466,2720,1024,2848,-7,5,4,
42,1,8,2024,9,16,5,476,2719,1023,2851,-3,2,2,
43,1,8,2024,9,16,5,486,2715,1013,2853,-3,-8,0,
44,1,8,2024,9,16,5,496,2713,995,2855,1,-13,0,
45,1,8,2024,9,16,5,506,2715,1012,2851,10,-13,-4,
46,1,8,2024,9,16,5,516,2716,1032,2842,12,-13,-5,
47,1,8,2024,9,16,5,526,2728,1023,2842,10,-17,-4,
48,1,8,2024,9,16,5,536,2726,1024,2843,10,-16,-4,
49,1,8,2024,9,16,5,546,2720,1020,2843,5,-11,-1,
50,1,8,2024,9,16,5,556,2723,1002,2848,4,-5,2,
51,1,8,2024,9,16,5,566,2722,1008,2840,12,-4,-5,
52,1,8,2024,9,16,5,576,2722,1017,2838,18,-7,-10,
53,1,8,2024,9,16,5,586,2719,1013,2845,24,-6,-14,
54,1,8,2024,9,16,5,596,2722,1011,2844,26,-6,-18,
55,1,8,2024,9,16,5,606,2717,1008,2855,29,-6,-21,
56,1,8,2024,9,16,5,616,2731,1017,2844,35,-14,-28,
57,1,8,2024,9,16,5,626,2733,1007,2842,41,-20,-31,
58,1,8,2024,9,16,5,636,2730,1001,2847,66,-31,-41,
59,1,8,2024,9,16,5,646,2729,1010,2843,81,-41,-56,
60,1,8,2024,9,16,5,656,2722,1024,2844,91,-41,-67,
61,1,8,2024,9,16,5,666,2716,1020,2843,93,-43,-72,
62,1,8,2024,9,16,5,676,2720,1046,2832,91,-47,-67,
63,1,8,2024,9,16,5,686,2718,1040,2832,85,-44,-63,
64,1,8,2024,9,16,5,696,2722,1050,2825,76,-34,-57,
65,1,8,2024,9,16,5,706,2726,1050,2828,64,-21,-50,
66,1,8,2024,9,16,5,716,2725,1039,2826,57,-15,-44,
67,1,8,2024,9,16,5,726,2722,1049,2827,103,-15,-71,
68,1,8,2024,9,16,5,736,2738,1047,2837,112,-21,-77,
69,1,8,2024,9,16,5,746,2724,1038,2834,51,-21,-40,
70,1,8,2024,9,16,5,756,2720,1041,2832,62,-24,-51,
71,1,8,2024,9,16,5,766,2714,1033,2836,62,-29,-61,
72,1,8,2024,9,16,5,776,2719,1035,2839,70,-40,-60,
73,1,8,2024,9,16,5,786,2724,1037,2834,64,-56,-59,
74,1,8,2024,9,16,5,796,2725,1052,2827,64,-65,-61,
75,1,8,2024,9,16,5,806,2717,1064,2818,54,-66,-60,
76,1,8,2024,9,16,5,816,2729,1086,2812,47,-59,-55,
77,1,8,2024,9,16,5,826,2737,1099,2803,32,-46,-41,
78,1,8,2024,9,16,5,836,2738,1103,2799,17,-30,-28,
79,1,8,2024,9,16,5,846,2737,1085,2803,2,-20,-16,
80,1,8,2024,9,16,5,856,2727,1060,2815,-4,-15,-7,
81,1,8,2024,9,16,5,866,2718,1054,2824,-5,-10,-3,
82,1,8,2024,9,16,5,876,2738,1059,2810,-2,-12,-5,
83,1,8,2024,9,16,5,886,2732,1069,2806,1,-7,-4,
84,1,8,2024,9,16,5,896,2720,1063,2819,-4,-2,-4,
85,1,8,2024,9,16,5,906,2727,1077,2812,-9,-1,-4,
86,1,8,2024,9,16,5,926,2733,1069,2806,-21,11,-1,
87,1,8,2024,9,16,5,936,2741,1053,2820,-17,15,4,
88,1,8,2024,9,16,5,946,2737,1066,2811,-15,21,4,
89,1,8,2024,9,16,5,956,2725,1079,2818,-13,31,7,
90,1,8,2024,9,16,5,966,2729,1058,2823,-15,34,9,
91,1,8,2024,9,16,5,976,2725,1046,2826,-12,34,9,
92,1,8,2024,9,16,5,986,2729,1037,2822,-4,28,2,
93,1,8,2024,9,16,5,996,2726,1041,2823,10,19,-9,
94,1,8,2024,9,16,6,6,2726,1036,2821,27,7,-16,
95,1,8,2024,9,16,6,16,2719,1042,2827,39,-4,-26,
96,1,8,2024,9,16,6,26,2726,1051,2825,39,-11,-33,
97,1,8,2024,9,16,6,36,2724,1052,2825,42,-15,-28,
98,1,8,2024,9,16,6,46,2733,1073,2815,39,-22,-25,
99,1,8,2024,9,16,6,56,2731,1073,2818,28,-16,-19,
100,1,8,2024,9,16,6,66,2741,1065,2819,19,-9,-12,
101,1,8,2024,9,16,6,76,2741,1069,2818,10,-7,-10,
102,1,8,2024,9,16,6,86,2739,1065,2821,8,-8,-10,
103,1,8,2024,9,16,6,96,2741,1058,2808,9,-7,-9,
104,1,8,2024,9,16,6,106,2745,1062,2806,11,-3,-6,
105,1,8,2024,9,16,6,116,2739,1077,2817,11,5,-3,
106,1,8,2024,9,16,6,126,2748,1077,2802,4,23,2,
107,1,8,2024,9,16,6,136,2735,1105,2796,5,41,2,
108,1,8,2024,9,16,6,146,2760,1096,2814,63,63,-32,
109,1,8,2024,9,16,6,156,2747,1083,2810,17,72,0,
110,1,8,2024,9,16,6,166,2738,1110,2804,-7,88,19,
111,1,8,2024,9,16,6,176,2717,1052,2818,4,88,12,
112,1,8,2024,9,16,6,186,2687,1032,2831,12,64,12,
113,1,8,2024,9,16,6,196,2701,1042,2835,14,55,8,
114,1,8,2024,9,16,6,206,2710,1039,2834,14,50,-1,
115,1,8,2024,9,16,6,216,2711,1041,2833,4,46,3,
