Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,16,12,659,55,-4113,73,1,-6,1,
2,1,8,2024,9,16,12,669,55,-4113,73,1,-6,1,
3,1,8,2024,9,16,12,679,55,-4113,73,1,-6,1,
4,1,8,2024,9,16,12,689,55,-4113,73,1,-6,1,
5,1,8,2024,9,16,12,699,55,-4113,73,1,-6,1,
6,1,8,2024,9,16,12,709,2879,-1542,2928,-405,-448,247,
7,1,8,2024,9,16,12,719,2500,-1872,2710,-414,-486,266,
8,1,8,2024,9,16,12,729,2264,-1526,2741,-363,-531,232,
9,1,8,2024,9,16,12,739,3158,-1960,2958,-320,-497,111,
10,1,8,2024,9,16,12,749,2687,-1536,2784,-260,-147,80,
11,1,8,2024,9,16,12,759,2567,-1144,3046,-327,-166,144,
12,1,8,2024,9,16,12,769,2740,-1392,2913,-417,-185,233,
13,1,8,2024,9,16,12,779,2626,-1524,2835,-479,-180,294,
14,1,8,2024,9,16,12,789,2578,-1649,2782,-473,-180,305,
15,1,8,2024,9,16,12,799,2595,-1604,2820,-488,-190,296,
16,1,8,2024,9,16,12,809,2594,-1751,2753,-499,-186,303,
17,1,8,2024,9,16,12,819,2618,-1766,2758,-460,-203,261,
18,1,8,2024,9,16,12,829,2632,-1840,2703,-409,-221,194,
19,1,8,2024,9,16,12,839,2663,-1828,2731,-381,-227,150,
20,1,8,2024,9,16,12,849,2777,-1608,2837,-450,-259,165,
21,1,8,2024,9,16,12,859,2663,-1682,2779,-606,-304,228,
22,1,8,2024,9,16,12,869,2689,-1665,2806,-653,-360,256,
23,1,8,2024,9,16,12,879,2705,-1658,2755,-729,-404,299,
24,1,8,2024,9,16,12,889,2632,-1858,2608,-692,-402,316,
25,1,8,2024,9,16,12,899,2619,-2073,2506,-510,-334,209,
26,1,8,2024,9,16,12,909,2622,-2134,2446,-288,-244,60,
27,1,8,2024,9,16,12,919,2614,-2085,2462,-58,-142,-98,
28,1,8,2024,9,16,12,929,2601,-2056,2492,159,-32,-248,
29,1,8,2024,9,16,12,939,2594,-1972,2510,353,69,-385,
30,1,8,2024,9,16,12,949,2594,-1935,2565,520,163,-506,
31,1,8,2024,9,16,12,959,2657,-1781,2687,611,241,-596,
32,1,8,2024,9,16,12,969,2642,-1662,2719,603,269,-605,
33,1,8,2024,9,16,12,979,2655,-1605,2752,578,231,-566,
34,1,8,2024,9,16,12,989,2653,-1548,2805,511,187,-505,
35,1,8,2024,9,16,12,999,2685,-1534,2773,423,136,-426,
36,1,8,2024,9,16,13,9,2650,-1620,2731,371,103,-365,
37,1,8,2024,9,16,13,19,2653,-1630,2726,368,87,-347,
38,1,8,2024,9,16,13,29,2636,-1694,2704,388,94,-363,
39,1,8,2024,9,16,13,39,2658,-1679,2726,454,111,-399,
40,1,8,2024,9,16,13,49,2657,-1663,2744,494,116,-414,
41,1,8,2024,9,16,13,59,2643,-1676,2747,509,113,-424,
42,1,8,2024,9,16,13,69,2650,-1671,2749,544,132,-463,
43,1,8,2024,9,16,13,79,2628,-1613,2757,580,139,-489,
44,1,8,2024,9,16,13,89,2614,-1630,2778,608,128,-509,
45,1,8,2024,9,16,13,99,2632,-1608,2794,636,114,-549,
46,1,8,2024,9,16,13,109,2651,-1562,2806,655,107,-588,
47,1,8,2024,9,16,13,119,2631,-1528,2838,702,84,-610,
48,1,8,2024,9,16,13,129,2638,-1505,2862,705,26,-617,
49,1,8,2024,9,16,13,139,2654,-1504,2862,668,-31,-638,
50,1,8,2024,9,16,13,149,2668,-1475,2850,637,-67,-670,
51,1,8,2024,9,16,13,159,2652,-1424,2889,606,-99,-711,
52,1,8,2024,9,16,13,169,2608,-1476,2968,399,-145,-785,
53,1,8,2024,9,16,13,179,2436,-1673,3169,268,-308,-890,
54,1,8,2024,9,16,13,189,2500,-1356,3234,444,-734,-975,
55,1,8,2024,9,16,13,199,2540,-1378,3218,230,-1098,-1029,
56,1,8,2024,9,16,13,209,2527,-1249,3327,102,-1487,-1083,
57,1,8,2024,9,16,13,219,2526,-1215,3441,74,-1954,-1105,
58,1,8,2024,9,16,13,229,2511,-1338,3527,165,-2498,-1127,
59,1,8,2024,9,16,13,239,2526,-1452,3471,262,-3111,-1250,
60,1,8,2024,9,16,13,249,2544,-1565,3383,227,-3753,-1492,
61,1,8,2024,9,16,13,259,2450,-1654,3379,201,-4431,-1818,
62,1,8,2024,9,16,13,269,2403,-1677,3340,229,-5066,-2161,
63,1,8,2024,9,16,13,279,2364,-1638,3386,215,-5858,-2611,
64,1,8,2024,9,16,13,289,2382,-1621,3429,185,-6648,-3034,
65,1,8,2024,9,16,13,299,2635,-1795,3754,122,-7284,-3443,
66,1,8,2024,9,16,13,309,2345,-1782,3748,-7,-7328,-3822,
67,1,8,2024,9,16,13,319,2472,-1815,3707,147,-7927,-4435,
68,1,8,2024,9,16,13,329,2651,-1566,3824,185,-8775,-5197,
69,1,8,2024,9,16,13,339,3536,-1140,4027,-175,-9862,-5780,
70,1,8,2024,9,16,13,349,4880,-1401,4040,-274,-11563,-6192,
71,1,8,2024,9,16,13,359,6811,-1822,3961,268,-13468,-6410,
72,1,8,2024,9,16,13,369,6682,-2320,4089,574,-14292,-6152,
73,1,8,2024,9,16,13,379,7697,-1868,3900,-404,-14233,-5134,
74,1,8,2024,9,16,13,389,9510,-1860,5018,-347,-15029,-3813,
75,1,8,2024,9,16,13,399,7808,-3972,5807,-647,-15017,-3805,
76,1,8,2024,9,16,13,409,7808,-3972,5807,-647,-15017,-3805,
77,1,8,2024,9,16,13,419,5165,-8489,6985,1880,-6919,-560,
78,1,8,2024,9,16,13,429,7442,-8948,9105,3635,-2871,3507,
79,1,8,2024,9,16,13,439,-714,-6211,6065,4590,282,5762,
80,1,8,2024,9,16,13,449,29,-3402,6030,5787,415,5149,
81,1,8,2024,9,16,13,459,2370,-1773,7051,5558,1235,4463,
82,1,8,2024,9,16,13,469,2573,-1067,7384,4346,3725,4021,
83,1,8,2024,9,16,13,479,1736,-355,6759,2992,6649,3050,
84,1,8,2024,9,16,13,489,1292,14,5683,1624,9192,1427,
85,1,8,2024,9,16,13,499,1850,-535,4714,338,11309,-394,
86,1,8,2024,9,16,13,519,2557,-1389,3818,-683,13192,-1775,
87,1,8,2024,9,16,13,529,2326,-2263,2672,-1466,14633,-2276,
88,1,8,2024,9,16,13,539,1615,-3254,1396,-1819,15026,-2063,
89,1,8,2024,9,16,13,549,1286,-3979,738,-1546,14182,-1316,
90,1,8,2024,9,16,13,559,1405,-3998,722,-1026,12597,90,
91,1,8,2024,9,16,13,569,1886,-3586,1144,-778,10814,2087,
92,1,8,2024,9,16,13,579,2349,-3375,1584,-906,9194,4221,
93,1,8,2024,9,16,13,589,3100,-3230,2185,-972,7868,5796,
94,1,8,2024,9,16,13,599,4295,-2869,2847,-728,7024,6517,
95,1,8,2024,9,16,13,609,4997,-2192,3175,-414,6770,6561,
96,1,8,2024,9,16,13,619,5463,-1493,3318,-377,6685,6184,
97,1,8,2024,9,16,13,629,6306,-1185,3625,-686,6579,5743,
98,1,8,2024,9,16,13,639,6776,-1195,3701,-1038,6694,5420,
99,1,8,2024,9,16,13,649,6515,-926,3369,-1166,6936,4992,
100,1,8,2024,9,16,13,659,6255,-504,2950,-1223,6958,4411,
101,1,8,2024,9,16,13,669,6198,-419,2553,-1336,6703,3835,
102,1,8,2024,9,16,13,679,6262,-531,2182,-1290,6235,3336,
103,1,8,2024,9,16,13,689,6625,-400,1905,-1012,5609,2962,
104,1,8,2024,9,16,13,699,7609,-116,1762,-836,5003,2913,
105,1,8,2024,9,16,13,709,8844,-280,1395,-904,4737,3243,
106,1,8,2024,9,16,13,719,8730,-211,366,-905,4851,3512,
107,1,8,2024,9,16,13,729,8414,337,-562,-885,4616,3446,
108,1,8,2024,9,16,13,739,9283,513,-772,-1138,4030,3335,
109,1,8,2024,9,16,13,749,9101,383,-1202,-1438,3821,3377,
110,1,8,2024,9,16,13,759,8275,772,-1854,-1422,3593,3212,
111,1,8,2024,9,16,13,769,7692,1465,-2300,-1260,3009,2686,
112,1,8,2024,9,16,13,779,7163,2224,-2573,-1198,2208,1749,
113,1,8,2024,9,16,13,789,6993,2498,-2431,-1354,1234,416,
114,1,8,2024,9,16,13,799,7262,1897,-1918,-1559,401,-1009,
115,1,8,2024,9,16,13,809,6786,1135,-1707,-1698,-8,-2102,
116,1,8,2024,9,16,13,819,5977,-1826,-2453,-1660,-696,-2850,
117,1,8,2024,9,16,13,829,5533,-2506,-5232,923,-3177,-4898,
118,1,8,2024,9,16,13,839,6697,-190,175,3532,-5614,-6637,
