Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,3,0,375,0,0,0,0,0,0,
2,1,8,2024,9,3,0,385,0,0,0,0,0,0,
3,1,8,2024,9,3,0,395,0,0,0,0,0,0,
4,1,8,2024,9,3,0,405,0,0,0,0,0,0,
5,1,8,2024,9,3,0,415,0,0,0,0,0,0,
6,1,8,2024,9,3,0,425,0,0,0,0,0,0,
7,1,8,2024,9,3,0,435,2607,1344,2804,-4,11,-4,
8,1,8,2024,9,3,0,445,2609,1343,2807,-7,29,-11,
9,1,8,2024,9,3,0,455,2610,1341,2811,-2,11,-4,
10,1,8,2024,9,3,0,465,2605,1344,2806,3,8,0,
11,1,8,2024,9,3,0,475,2607,1344,2805,3,9,-1,
12,1,8,2024,9,3,0,485,2610,1342,2810,1,9,-5,
13,1,8,2024,9,3,0,495,2610,1342,2802,3,11,-4,
14,1,8,2024,9,3,0,505,2609,1339,2802,4,11,-1,
15,1,8,2024,9,3,0,515,2610,1342,2808,1,10,-3,
16,1,8,2024,9,3,0,525,2611,1348,2805,2,6,-3,
17,1,8,2024,9,3,0,535,2604,1347,2803,4,9,-3,
18,1,8,2024,9,3,0,545,2608,1345,2808,1,13,-2,
19,1,8,2024,9,3,0,555,2609,1342,2807,3,9,-3,
20,1,8,2024,9,3,0,565,2611,1338,2808,2,12,0,
21,1,8,2024,9,3,0,575,2607,1342,2812,2,13,-2,
22,1,8,2024,9,3,0,585,2611,1347,2812,2,9,-1,
23,1,8,2024,9,3,0,595,2604,1351,2807,2,13,-3,
24,1,8,2024,9,3,0,605,2606,1343,2811,2,11,-2,
25,1,8,2024,9,3,0,615,2608,1340,2808,4,8,-1,
26,1,8,2024,9,3,0,625,2609,1343,2807,5,8,-4,
27,1,8,2024,9,3,0,635,2609,1347,2808,2,10,-4,
28,1,8,2024,9,3,0,645,2610,1344,2808,3,14,-2,
29,1,8,2024,9,3,0,655,2605,1343,2803,3,11,-1,
