Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,3,10,55,0,0,0,0,0,0,
2,1,8,2024,9,3,10,65,0,0,0,0,0,0,
3,1,8,2024,9,3,10,75,0,0,0,0,0,0,
4,1,8,2024,9,3,10,85,0,0,0,0,0,0,
5,1,8,2024,9,3,10,95,0,0,0,0,0,0,
6,1,8,2024,9,3,10,105,0,0,0,0,0,0,
7,1,8,2024,9,3,10,115,2522,-1456,2945,-7,-13,-8,
8,1,8,2024,9,3,10,125,2517,-1453,2947,3,-7,-3,
9,1,8,2024,9,3,10,135,2520,-1450,2955,2,-11,-2,
10,1,8,2024,9,3,10,145,2529,-1451,2954,-5,-15,-3,
11,1,8,2024,9,3,10,155,2529,-1451,2954,-5,-15,-3,
12,1,8,2024,9,3,10,165,2522,-1456,2955,-3,-17,-4,
13,1,8,2024,9,3,10,175,2525,-1451,2946,-1,-21,-5,
14,1,8,2024,9,3,10,185,2526,-1452,2945,1,-17,-4,
15,1,8,2024,9,3,10,195,2526,-1457,2947,-2,-16,-4,
16,1,8,2024,9,3,10,205,2540,-1450,2945,1,-16,-2,
17,1,8,2024,9,3,10,215,2538,-1446,2942,0,-11,-5,
18,1,8,2024,9,3,10,225,2533,-1449,2943,-1,-8,-6,
19,1,8,2024,9,3,10,235,2533,-1447,2946,3,-9,-7,
20,1,8,2024,9,3,10,245,2530,-1455,2944,6,-6,-3,
21,1,8,2024,9,3,10,255,2532,-1452,2951,7,-6,-6,
22,1,8,2024,9,3,10,265,2527,-1448,2957,6,-6,-6,
23,1,8,2024,9,3,10,275,2534,-1453,2956,5,-7,-4,
24,1,8,2024,9,3,10,285,2534,-1457,2951,3,-4,-1,
25,1,8,2024,9,3,10,295,2530,-1455,2946,4,-3,-2,
26,1,8,2024,9,3,10,305,2528,-1451,2943,10,-6,0,
27,1,8,2024,9,3,10,315,2529,-1450,2949,8,-5,0,
28,1,8,2024,9,3,10,325,2528,-1448,2951,4,-4,-1,
29,1,8,2024,9,3,10,335,2522,-1446,2947,5,-1,-2,
30,1,8,2024,9,3,10,345,2522,-1451,2951,5,-3,-3,
31,1,8,2024,9,3,10,355,2524,-1452,2957,1,-9,-2,
32,1,8,2024,9,3,10,365,2525,-1453,2948,4,-10,-5,
33,1,8,2024,9,3,10,375,2528,-1446,2951,5,-4,-7,
34,1,8,2024,9,3,10,385,2524,-1454,2954,4,-4,-1,
35,1,8,2024,9,3,10,395,2533,-1458,2953,8,-5,0,
36,1,8,2024,9,3,10,405,2531,-1450,2944,8,-2,-2,
37,1,8,2024,9,3,10,415,2537,-1453,2948,8,-1,-3,
38,1,8,2024,9,3,10,425,2526,-1448,2946,8,2,-5,
39,1,8,2024,9,3,10,435,2521,-1455,2948,8,1,-4,
40,1,8,2024,9,3,10,445,2532,-1448,2947,9,-1,-3,
41,1,8,2024,9,3,10,455,2536,-1453,2949,5,-2,-5,
42,1,8,2024,9,3,10,465,2529,-1454,2957,4,-1,-3,
43,1,8,2024,9,3,10,475,2523,-1455,2953,6,-1,-1,
44,1,8,2024,9,3,10,485,2526,-1451,2948,4,-2,0,
45,1,8,2024,9,3,10,495,2530,-1447,2944,4,-2,-1,
46,1,8,2024,9,3,10,505,2526,-1448,2945,8,-2,2,
47,1,8,2024,9,3,10,515,2531,-1451,2951,9,5,3,
48,1,8,2024,9,3,10,525,2528,-1452,2953,9,7,1,
49,1,8,2024,9,3,10,535,2514,-1453,2949,9,6,-2,
