Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,36,34,374,-1898,-330,4059,-3729,-160,-713,
2,1,8,2024,9,36,34,384,-1898,-330,4059,-3729,-160,-713,
3,1,8,2024,9,36,34,394,-1898,-330,4059,-3729,-160,-713,
4,1,8,2024,9,36,34,404,-1898,-330,4059,-3729,-160,-713,
5,1,8,2024,9,36,34,414,-1898,-330,4059,-3729,-160,-713,
6,1,8,2024,9,36,34,424,-1898,-330,4059,-3729,-160,-713,
7,1,8,2024,9,36,34,434,6635,430,4518,818,7417,-5136,
8,1,8,2024,9,36,34,444,7820,1060,4458,698,7321,-5065,
9,1,8,2024,9,36,34,454,9976,1572,4553,201,7050,-4887,
10,1,8,2024,9,36,34,464,11924,1961,3933,-210,7242,-4833,
11,1,8,2024,9,36,34,474,11845,1845,2072,-265,7932,-4747,
12,1,8,2024,9,36,34,484,10186,590,-933,-41,8138,-4400,
13,1,8,2024,9,36,34,494,8996,-1467,-4033,684,7127,-3871,
14,1,8,2024,9,36,34,504,8731,-3412,-5710,1892,4952,-3611,
15,1,8,2024,9,36,34,514,9690,-3301,-5357,2547,2192,-3841,
16,1,8,2024,9,36,34,524,11778,-2311,-4051,1690,-180,-3614,
17,1,8,2024,9,36,34,534,12704,-2413,-2837,119,-1304,-2382,
18,1,8,2024,9,36,34,544,11006,-3453,-2347,-817,-1499,-768,
19,1,8,2024,9,36,34,554,7080,-2642,-1912,-657,-1774,256,
20,1,8,2024,9,36,34,564,3702,-8,-5503,-1687,-4172,808,
21,1,8,2024,9,36,34,574,3582,-1903,1852,-2511,-5827,1133,
22,1,8,2024,9,36,34,584,3618,2466,7691,-1731,-4653,-1171,
23,1,8,2024,9,36,34,594,-2752,2710,4554,-995,-5014,-993,
24,1,8,2024,9,36,34,604,-3209,-2913,4204,-907,-6976,2489,
25,1,8,2024,9,36,34,614,7104,-2872,8342,124,-9019,3532,
26,1,8,2024,9,36,34,624,12271,-732,6962,1432,-8479,2198,
27,1,8,2024,9,36,34,634,6628,522,4004,1735,-5873,2059,
28,1,8,2024,9,36,34,644,1977,4250,1718,1315,-4515,2233,
29,1,8,2024,9,36,34,654,3550,9289,3751,191,-4803,2025,
30,1,8,2024,9,36,34,664,11171,5203,2559,-2221,-5047,2735,
31,1,8,2024,9,36,34,674,5216,-1123,2367,-1602,-2496,1913,
32,1,8,2024,9,36,34,684,1436,844,4030,-1098,-981,1352,
33,1,8,2024,9,36,34,694,5615,524,4311,-374,-1264,1187,
34,1,8,2024,9,36,34,704,3257,1963,2740,-97,-466,482,
35,1,8,2024,9,36,34,714,2574,1858,2726,-290,-310,291,
36,1,8,2024,9,36,34,724,2505,902,3349,-214,-232,317,
37,1,8,2024,9,36,34,734,2541,1626,2832,-286,-202,268,
38,1,8,2024,9,36,34,744,2622,1630,2726,-295,-172,224,
39,1,8,2024,9,36,34,754,2407,1605,2909,-276,-120,193,
40,1,8,2024,9,36,34,764,2402,1794,2883,-256,-147,191,
41,1,8,2024,9,36,34,774,2460,1709,2781,-206,-182,239,
42,1,8,2024,9,36,34,784,2618,1593,2723,-162,-143,237,
43,1,8,2024,9,36,34,794,2489,1618,2825,-162,-36,229,
44,1,8,2024,9,36,34,804,2410,1530,2902,-209,-34,232,
45,1,8,2024,9,36,34,814,2425,1463,2942,-204,-83,229,
46,1,8,2024,9,36,34,824,2462,1480,2896,-171,-136,242,
47,1,8,2024,9,36,34,834,2502,1427,2866,-142,-161,236,
48,1,8,2024,9,36,34,844,2538,1391,2832,-128,-159,212,
49,1,8,2024,9,36,34,854,2522,1425,2830,-108,-136,186,
50,1,8,2024,9,36,34,864,2513,1471,2814,-111,-117,181,
51,1,8,2024,9,36,34,874,2539,1473,2804,-98,-94,166,
52,1,8,2024,9,36,34,884,2560,1475,2808,-77,-58,147,
53,1,8,2024,9,36,34,894,2483,1505,2801,-113,-30,144,
54,1,8,2024,9,36,34,904,2508,1459,2835,-123,-30,131,
55,1,8,2024,9,36,34,914,2506,1444,2818,-126,-34,122,
56,1,8,2024,9,36,34,924,2493,1427,2809,-115,-28,123,
57,1,8,2024,9,36,34,934,2514,1450,2806,-116,-18,118,
58,1,8,2024,9,36,34,944,2482,1455,2852,-120,-5,129,
59,1,8,2024,9,36,34,954,2448,1485,2838,-136,-17,138,
60,1,8,2024,9,36,34,964,2450,1479,2837,-143,-24,164,
61,1,8,2024,9,36,34,974,2494,1448,2829,-168,-37,182,
62,1,8,2024,9,36,34,984,2474,1437,2856,-193,-32,201,
63,1,8,2024,9,36,34,994,2414,1478,2880,-219,-56,219,
64,1,8,2024,9,36,35,4,2399,1415,2944,-231,-107,271,
65,1,8,2024,9,36,35,14,2445,1348,2994,-228,-185,292,
66,1,8,2024,9,36,35,24,2449,1347,2965,-237,-252,319,
67,1,8,2024,9,36,35,34,2448,1358,2944,-228,-331,332,
68,1,8,2024,9,36,35,44,2456,1358,2931,-199,-412,331,
69,1,8,2024,9,36,35,54,2457,1373,2954,-155,-478,338,
70,1,8,2024,9,36,35,64,2506,1454,2879,-126,-565,367,
71,1,8,2024,9,36,35,74,2459,1456,2880,-79,-623,414,
72,1,8,2024,9,36,35,84,2480,1483,2840,-37,-686,453,
73,1,8,2024,9,36,35,94,2925,1258,2781,-9,-762,525,
74,1,8,2024,9,36,35,104,2495,1389,2908,94,-698,496,
75,1,8,2024,9,36,35,114,2551,1494,2945,139,-806,495,
76,1,8,2024,9,36,35,124,2452,1467,3078,284,-922,562,
77,1,8,2024,9,36,35,134,2373,1590,3288,482,-1233,696,
78,1,8,2024,9,36,35,144,1642,1738,4043,741,-1769,900,
79,1,8,2024,9,36,35,154,1661,2154,4144,1105,-3022,1382,
80,1,8,2024,9,36,35,164,1461,3153,4866,1398,-4329,2157,
81,1,8,2024,9,36,35,174,1028,2657,5526,1102,-5735,3122,
82,1,8,2024,9,36,35,184,1386,3116,5538,1100,-7364,4259,
83,1,8,2024,9,36,35,194,1352,3156,5276,824,-8799,5058,
84,1,8,2024,9,36,35,204,1980,2990,5777,480,-10308,5618,
85,1,8,2024,9,36,35,214,1621,1864,5011,-55,-11899,6168,
86,1,8,2024,9,36,35,234,4616,3865,5232,-770,-14789,7027,
87,1,8,2024,9,36,35,244,4418,3557,3304,-1641,-14826,7215,
88,1,8,2024,9,36,35,254,10234,6293,5039,-1941,-14616,7467,
89,1,8,2024,9,36,35,264,14236,9424,8970,-3145,-12532,7014,
90,1,8,2024,9,36,35,274,6817,6466,8581,-5879,-8013,5231,
91,1,8,2024,9,36,35,284,3103,3872,7454,-6584,-1733,83,
92,1,8,2024,9,36,35,294,-2234,5549,6609,-2786,554,-4434,
93,1,8,2024,9,36,35,304,-7342,4308,2435,-1566,380,-4031,
94,1,8,2024,9,36,35,314,-2752,932,4799,-1598,-355,-1694,
95,1,8,2024,9,36,35,324,1561,2157,7335,278,685,-1105,
96,1,8,2024,9,36,35,334,1426,4717,7113,1554,3530,-1476,
97,1,8,2024,9,36,35,344,-796,3252,5374,1020,6004,-1502,
98,1,8,2024,9,36,35,354,-1998,985,4242,712,7132,-1325,
99,1,8,2024,9,36,35,364,-1048,1000,3997,1361,7447,-1203,
100,1,8,2024,9,36,35,374,346,1801,4212,2036,7810,-1213,
101,1,8,2024,9,36,35,384,953,2313,4307,2165,8469,-1475,
102,1,8,2024,9,36,35,394,952,2228,4126,1912,9082,-1880,
103,1,8,2024,9,36,35,404,907,1755,3975,1702,9376,-2353,
104,1,8,2024,9,36,35,414,1317,1468,4002,1680,9408,-2957,
105,1,8,2024,9,36,35,424,1922,1446,4189,1693,9352,-3667,
106,1,8,2024,9,36,35,434,2421,1606,4500,1551,9301,-4345,
