Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,36,27,404,-708,-3390,1563,1238,-413,527,
2,1,8,2024,9,36,27,414,-708,-3390,1563,1238,-413,527,
3,1,8,2024,9,36,27,424,-708,-3390,1563,1238,-413,527,
4,1,8,2024,9,36,27,434,-708,-3390,1563,1238,-413,527,
5,1,8,2024,9,36,27,444,-708,-3390,1563,1238,-413,527,
6,1,8,2024,9,36,27,454,-708,-3390,1563,1238,-413,527,
7,1,8,2024,9,36,27,464,2761,-1023,2900,13,-31,-9,
8,1,8,2024,9,36,27,474,2768,-1022,2895,16,-17,-16,
9,1,8,2024,9,36,27,484,2783,-1018,2904,19,-22,-18,
10,1,8,2024,9,36,27,494,2776,-1016,2889,15,-28,-15,
11,1,8,2024,9,36,27,504,2776,-1016,2889,15,-28,-15,
12,1,8,2024,9,36,27,514,2774,-1028,2895,19,-29,-17,
13,1,8,2024,9,36,27,524,2770,-1027,2896,21,-31,-17,
14,1,8,2024,9,36,27,534,2778,-1028,2887,24,-33,-22,
15,1,8,2024,9,36,27,544,2786,-1025,2887,27,-34,-23,
16,1,8,2024,9,36,27,554,2780,-1018,2887,28,-31,-26,
17,1,8,2024,9,36,27,564,2793,-1009,2898,23,-25,-24,
18,1,8,2024,9,36,27,574,2818,-1013,2897,12,-14,-15,
19,1,8,2024,9,36,27,584,2789,-1013,2888,-5,-5,-3,
20,1,8,2024,9,36,27,594,2771,-1018,2893,-10,-1,8,
21,1,8,2024,9,36,27,604,2783,-1023,2886,-12,-4,14,
22,1,8,2024,9,36,27,614,2774,-1035,2888,-14,-8,10,
23,1,8,2024,9,36,27,624,2774,-1024,2886,-15,-7,6,
24,1,8,2024,9,36,27,634,2785,-1018,2889,-11,-7,9,
25,1,8,2024,9,36,27,644,2779,-1016,2900,-10,-13,13,
26,1,8,2024,9,36,27,654,2776,-1038,2893,-5,-10,9,
27,1,8,2024,9,36,27,664,2785,-1022,2886,-1,-7,3,
28,1,8,2024,9,36,27,674,2786,-1018,2888,-5,-4,9,
29,1,8,2024,9,36,27,684,2777,-1023,2891,-13,-1,14,
30,1,8,2024,9,36,27,694,2773,-1038,2893,-11,-3,10,
31,1,8,2024,9,36,27,704,2780,-1009,2901,-7,-2,9,
32,1,8,2024,9,36,27,714,2768,-1026,2895,-9,-4,9,
33,1,8,2024,9,36,27,724,2771,-1034,2894,-3,-11,6,
34,1,8,2024,9,36,27,734,2774,-1030,2894,-1,-16,5,
35,1,8,2024,9,36,27,744,2771,-1032,2881,1,-18,-1,
36,1,8,2024,9,36,27,754,2773,-1033,2892,4,-20,1,
37,1,8,2024,9,36,27,764,2768,-1034,2888,9,-25,-2,
38,1,8,2024,9,36,27,774,2778,-1027,2895,7,-30,-6,
39,1,8,2024,9,36,27,784,2761,-1019,2902,11,-37,-7,
40,1,8,2024,9,36,27,794,2774,-1037,2883,17,-39,-11,
41,1,8,2024,9,36,27,804,2771,-1029,2893,15,-44,-14,
42,1,8,2024,9,36,27,814,2777,-1037,2892,16,-51,-12,
43,1,8,2024,9,36,27,824,2768,-1032,2894,23,-58,-16,
44,1,8,2024,9,36,27,834,2778,-1029,2879,27,-62,-16,
45,1,8,2024,9,36,27,844,2795,-1022,2885,29,-61,-22,
46,1,8,2024,9,36,27,854,2789,-1026,2878,31,-58,-25,
47,1,8,2024,9,36,27,864,2794,-1031,2886,31,-63,-27,
48,1,8,2024,9,36,27,874,2796,-1041,2876,27,-59,-25,
49,1,8,2024,9,36,27,884,2797,-1032,2874,26,-47,-22,
50,1,8,2024,9,36,27,894,2796,-1051,2870,24,-37,-17,
51,1,8,2024,9,36,27,904,2825,-1039,2868,21,-24,-22,
52,1,8,2024,9,36,27,914,2821,-1024,2885,10,1,-14,
53,1,8,2024,9,36,27,924,2817,-1018,2887,-7,21,2,
54,1,8,2024,9,36,27,934,2808,-1018,2886,-23,33,15,
55,1,8,2024,9,36,27,944,2794,-1021,2882,-41,43,24,
56,1,8,2024,9,36,27,954,2786,-1024,2882,-38,43,26,
57,1,8,2024,9,36,27,964,2776,-1033,2886,-32,43,23,
58,1,8,2024,9,36,27,974,2770,-1035,2881,-20,38,18,
59,1,8,2024,9,36,27,984,2766,-1041,2881,-13,28,9,
60,1,8,2024,9,36,27,994,2765,-1039,2885,-8,21,4,
61,1,8,2024,9,36,28,4,2771,-1029,2890,2,11,-1,
62,1,8,2024,9,36,28,14,2770,-1033,2895,4,4,-5,
63,1,8,2024,9,36,28,24,2781,-1028,2882,5,0,-7,
64,1,8,2024,9,36,28,34,2774,-1031,2883,6,-3,-8,
65,1,8,2024,9,36,28,44,2781,-1039,2890,9,-4,-12,
66,1,8,2024,9,36,28,54,2803,-1034,2891,12,-3,-15,
67,1,8,2024,9,36,28,64,2794,-1021,2888,6,-2,-10,
68,1,8,2024,9,36,28,74,2805,-1023,2887,-3,9,-5,
69,1,8,2024,9,36,28,84,2811,-1034,2885,-10,26,-1,
70,1,8,2024,9,36,28,94,2798,-1021,2875,-19,40,4,
71,1,8,2024,9,36,28,104,2762,-1032,2897,-27,44,13,
72,1,8,2024,9,36,28,114,2750,-1049,2899,-21,33,17,
73,1,8,2024,9,36,28,124,2759,-1032,2903,-15,19,9,
74,1,8,2024,9,36,28,134,2753,-1026,2899,-8,5,3,
75,1,8,2024,9,36,28,144,2765,-1032,2892,-3,-6,-4,
76,1,8,2024,9,36,28,154,2769,-1040,2889,2,-13,-8,
77,1,8,2024,9,36,28,164,2773,-1034,2890,9,-15,-11,
78,1,8,2024,9,36,28,174,2773,-1031,2887,13,-15,-13,
79,1,8,2024,9,36,28,184,2773,-1025,2906,14,-23,-16,
80,1,8,2024,9,36,28,194,2767,-1019,2895,12,-27,-18,
81,1,8,2024,9,36,28,204,2766,-1036,2892,14,-33,-14,
82,1,8,2024,9,36,28,214,2771,-1038,2892,17,-39,-16,
83,1,8,2024,9,36,28,224,2764,-1038,2885,18,-39,-17,
84,1,8,2024,9,36,28,234,2776,-1037,2884,23,-46,-22,
85,1,8,2024,9,36,28,244,2765,-1036,2888,28,-44,-26,
86,1,8,2024,9,36,28,264,2806,-1014,2880,30,-39,-28,
87,1,8,2024,9,36,28,274,2849,-1006,2892,25,-22,-20,
88,1,8,2024,9,36,28,284,2869,-1001,2880,-7,16,0,
89,1,8,2024,9,36,28,294,2849,-1000,2886,-45,53,27,
90,1,8,2024,9,36,28,304,2852,-1011,2884,-70,87,54,
91,1,8,2024,9,36,28,314,2878,-1005,2894,-91,130,81,
92,1,8,2024,9,36,28,324,2795,-1052,2820,-101,169,102,
93,1,8,2024,9,36,28,334,2702,-1057,2892,-96,168,109,
94,1,8,2024,9,36,28,344,2702,-1094,2895,-75,144,85,
95,1,8,2024,9,36,28,354,2717,-1059,2901,-56,112,60,
96,1,8,2024,9,36,28,364,2721,-1061,2896,-40,86,44,
97,1,8,2024,9,36,28,374,2720,-1043,2910,-26,65,29,
98,1,8,2024,9,36,28,384,2706,-1042,2925,-14,40,17,
99,1,8,2024,9,36,28,394,2719,-1051,2914,-4,12,4,
100,1,8,2024,9,36,28,404,2728,-1052,2909,3,-12,-8,
101,1,8,2024,9,36,28,414,2751,-1043,2908,13,-27,-17,
102,1,8,2024,9,36,28,424,2751,-1053,2900,15,-37,-18,
