Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,56,55,630,-815,1275,2612,4821,2586,203,
2,1,8,2024,9,56,55,640,-815,1275,2612,4821,2586,203,
3,1,8,2024,9,56,55,650,-815,1275,2612,4821,2586,203,
4,1,8,2024,9,56,55,660,-815,1275,2612,4821,2586,203,
5,1,8,2024,9,56,55,670,-815,1275,2612,4821,2586,203,
6,1,8,2024,9,56,55,680,-815,1275,2612,4821,2586,203,
7,1,8,2024,9,56,55,690,-815,1275,2612,4821,2586,203,
8,1,8,2024,9,56,55,700,2422,1274,2997,35,-340,317,
9,1,8,2024,9,56,55,710,2469,1293,3002,72,-367,299,
10,1,8,2024,9,56,55,720,2440,1286,3020,44,-365,318,
11,1,8,2024,9,56,55,730,2495,1253,3088,79,-375,331,
12,1,8,2024,9,56,55,740,2420,1231,2914,-24,-429,342,
13,1,8,2024,9,56,55,750,2443,1286,3037,111,-432,303,
14,1,8,2024,9,56,55,760,2410,1372,2954,128,-480,290,
15,1,8,2024,9,56,55,770,2408,1349,2984,203,-527,296,
16,1,8,2024,9,56,55,780,2357,1339,2968,205,-609,310,
17,1,8,2024,9,56,55,790,2416,1299,2985,224,-700,329,
18,1,8,2024,9,56,55,800,2333,1282,3013,220,-781,324,
19,1,8,2024,9,56,55,810,2328,1262,3061,223,-909,323,
20,1,8,2024,9,56,55,820,2351,1225,3063,225,-1085,299,
21,1,8,2024,9,56,55,830,2372,1237,3034,289,-1312,287,
22,1,8,2024,9,56,55,840,2394,1321,3102,419,-1728,306,
23,1,8,2024,9,56,55,850,2322,1269,3150,511,-2164,378,
24,1,8,2024,9,56,55,860,2341,1207,3112,671,-2647,417,
25,1,8,2024,9,56,55,870,2294,1214,3132,758,-3154,417,
26,1,8,2024,9,56,55,880,2281,1266,3144,1029,-3684,414,
27,1,8,2024,9,56,55,890,2276,1312,3154,1273,-4223,433,
28,1,8,2024,9,56,55,900,2147,1381,3164,1472,-4767,469,
29,1,8,2024,9,56,55,910,2458,1757,3309,1456,-5334,564,
30,1,8,2024,9,56,55,920,3198,2138,3763,1343,-5921,1020,
31,1,8,2024,9,56,55,930,3198,2138,3763,1343,-5921,1020,
32,1,8,2024,9,56,55,940,2669,2079,3578,1156,-6621,1792,
33,1,8,2024,9,56,55,950,3103,2259,3770,832,-7378,2394,
34,1,8,2024,9,56,55,960,3150,2335,4075,770,-7829,2955,
35,1,8,2024,9,56,55,970,3335,2448,4350,878,-8692,3630,
36,1,8,2024,9,56,55,980,3094,1975,4799,919,-10115,4443,
37,1,8,2024,9,56,55,990,3825,1686,5114,836,-11889,4900,
38,1,8,2024,9,56,56,0,4374,535,4983,1098,-13482,4862,
39,1,8,2024,9,56,56,10,5510,2723,5463,1904,-14524,4474,
40,1,8,2024,9,56,56,20,8236,4279,5231,2045,-14793,4476,
41,1,8,2024,9,56,56,30,9479,4039,6308,1505,-13888,4644,
42,1,8,2024,9,56,56,40,8409,3532,6214,2836,-11451,2522,
43,1,8,2024,9,56,56,50,4314,4589,8714,4869,-8028,1258,
44,1,8,2024,9,56,56,60,5011,8004,10128,519,-2484,3227,
45,1,8,2024,9,56,56,70,2380,7858,10368,-390,-695,2602,
46,1,8,2024,9,56,56,80,-2301,4204,6471,-1218,2356,1256,
47,1,8,2024,9,56,56,90,-1645,2432,5230,-1257,3016,795,
48,1,8,2024,9,56,56,100,-1410,2789,4769,-81,3711,53,
49,1,8,2024,9,56,56,110,-1311,3385,4526,568,4619,-750,
50,1,8,2024,9,56,56,120,-950,3258,4262,409,5428,-1458,
51,1,8,2024,9,56,56,130,-451,2551,3976,-56,6221,-2042,
52,1,8,2024,9,56,56,140,-86,1635,3717,-313,7001,-2516,
53,1,8,2024,9,56,56,150,348,1037,3545,-247,7695,-2849,
54,1,8,2024,9,56,56,160,968,752,3467,-104,8297,-2943,
55,1,8,2024,9,56,56,170,1561,458,3430,9,8886,-2812,
56,1,8,2024,9,56,56,180,2009,320,3410,201,9453,-2615,
57,1,8,2024,9,56,56,190,2379,532,3444,483,9944,-2517,
58,1,8,2024,9,56,56,200,2804,925,3498,673,10336,-2554,
59,1,8,2024,9,56,56,210,3295,1156,3499,697,10623,-2705,
60,1,8,2024,9,56,56,220,3696,1396,3441,683,10830,-2907,
61,1,8,2024,9,56,56,230,3947,1700,3447,660,10917,-3130,
62,1,8,2024,9,56,56,240,4226,1990,3508,659,10879,-3405,
63,1,8,2024,9,56,56,250,4458,2331,3576,743,10728,-3699,
64,1,8,2024,9,56,56,260,4899,2604,3895,930,10421,-3991,
65,1,8,2024,9,56,56,270,5781,2992,4436,1254,10107,-4388,
66,1,8,2024,9,56,56,280,6560,3312,4895,1528,9983,-4860,
67,1,8,2024,9,56,56,290,7032,3299,4991,1676,9933,-5293,
68,1,8,2024,9,56,56,300,7455,3254,4850,1741,9742,-5629,
69,1,8,2024,9,56,56,310,8155,3145,4601,1676,9326,-5907,
70,1,8,2024,9,56,56,320,9222,3613,4316,1388,8851,-6140,
71,1,8,2024,9,56,56,330,10217,3006,3528,643,8498,-6312,
72,1,8,2024,9,56,56,340,10424,-448,2239,9,8095,-6636,
73,1,8,2024,9,56,56,350,11271,-689,643,130,7357,-6325,
74,1,8,2024,9,56,56,360,11504,-603,-1639,-407,6684,-4761,
75,1,8,2024,9,56,56,370,11609,-3909,-3690,-533,6174,-2837,
76,1,8,2024,9,56,56,380,13032,-6966,-5635,1801,5405,-1173,
77,1,8,2024,9,56,56,390,10960,-4509,-6455,2723,3935,1017,
78,1,8,2024,9,56,56,400,9533,-1324,-5404,2134,1730,2599,
79,1,8,2024,9,56,56,410,8714,1075,-3426,289,-607,3018,
80,1,8,2024,9,56,56,420,7054,2095,-2064,-1971,-2507,2077,
81,1,8,2024,9,56,56,430,4286,1869,-695,-3524,-4134,354,
82,1,8,2024,9,56,56,440,-2402,362,773,-3504,-6303,829,
83,1,8,2024,9,56,56,450,-22,9291,3125,-2370,-7626,2959,
84,1,8,2024,9,56,56,460,-605,-2389,4121,-1276,-7058,3914,
85,1,8,2024,9,56,56,470,3883,-984,4695,1238,-8945,2862,
86,1,8,2024,9,56,56,490,6882,1349,6348,-704,-7954,3539,
87,1,8,2024,9,56,56,500,11269,4703,8332,-2200,-6472,3648,
88,1,8,2024,9,56,56,510,9523,752,3689,-2885,-2568,3117,
