Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,26,25,374,-283,-4064,578,-420,-3,97,
2,1,8,2024,9,26,25,384,-283,-4064,578,-420,-3,97,
3,1,8,2024,9,26,25,394,-283,-4064,578,-420,-3,97,
4,1,8,2024,9,26,25,404,-283,-4064,578,-420,-3,97,
5,1,8,2024,9,26,25,414,-283,-4064,578,-420,-3,97,
6,1,8,2024,9,26,25,424,6898,-3753,4573,-84,7323,8786,
7,1,8,2024,9,26,25,434,7349,-3123,4515,-50,7249,8804,
8,1,8,2024,9,26,25,444,7664,-2096,4408,35,6847,8749,
9,1,8,2024,9,26,25,454,8852,-967,3393,306,6058,7778,
10,1,8,2024,9,26,25,464,10763,2404,2890,593,5242,5852,
11,1,8,2024,9,26,25,474,12870,3577,3080,-364,5821,4742,
12,1,8,2024,9,26,25,484,11360,1934,201,-1684,7088,3425,
13,1,8,2024,9,26,25,494,10172,-505,-4307,-1505,7263,1171,
14,1,8,2024,9,26,25,504,9494,275,-5894,-335,5456,-1247,
15,1,8,2024,9,26,25,514,10443,1168,-5731,-275,2083,-2096,
16,1,8,2024,9,26,25,524,12441,-853,-6327,-111,-1521,-1912,
17,1,8,2024,9,26,25,534,12994,1100,-7154,1812,-4734,-2203,
18,1,8,2024,9,26,25,544,5372,1955,1866,2833,-7259,-2867,
19,1,8,2024,9,26,25,554,4453,-3562,9922,1968,-7045,-1879,
20,1,8,2024,9,26,25,564,-2643,-2268,5236,1732,-4539,-2302,
21,1,8,2024,9,26,25,574,2459,-2245,4249,1825,-6205,-4166,
22,1,8,2024,9,26,25,584,8659,-2465,6451,1734,-7420,-3536,
23,1,8,2024,9,26,25,594,6069,793,6702,1618,-5815,-2921,
24,1,8,2024,9,26,25,604,3577,997,5474,795,-4495,-3102,
25,1,8,2024,9,26,25,614,2497,-946,3996,-241,-4236,-2681,
26,1,8,2024,9,26,25,624,2878,-3920,4121,-412,-4545,-2355,
27,1,8,2024,9,26,25,634,4349,-4720,2425,1033,-4953,-2664,
28,1,8,2024,9,26,25,644,1458,-3290,2261,1294,-4123,-2308,
29,1,8,2024,9,26,25,654,3015,-2100,3560,1665,-4199,-2538,
30,1,8,2024,9,26,25,664,4450,-2324,3534,1908,-3466,-2506,
31,1,8,2024,9,26,25,674,4064,-1591,3846,1801,-2525,-1942,
32,1,8,2024,9,26,25,684,3192,-1121,3891,1518,-1767,-1491,
33,1,8,2024,9,26,25,694,3505,-903,3966,1186,-1429,-1162,
34,1,8,2024,9,26,25,704,2245,-977,3446,557,-943,-731,
35,1,8,2024,9,26,25,714,2440,-1709,3187,348,-953,-596,
36,1,8,2024,9,26,25,724,2562,-1361,3282,240,-868,-511,
37,1,8,2024,9,26,25,734,2444,-1522,3160,61,-713,-399,
38,1,8,2024,9,26,25,744,2412,-1713,3074,-18,-647,-344,
39,1,8,2024,9,26,25,754,2387,-1759,3024,-31,-591,-338,
40,1,8,2024,9,26,25,764,2389,-1756,2970,10,-526,-356,
41,1,8,2024,9,26,25,774,2330,-1664,3013,79,-446,-376,
42,1,8,2024,9,26,25,784,2438,-1629,2990,132,-379,-408,
43,1,8,2024,9,26,25,794,2419,-1534,3042,157,-321,-406,
44,1,8,2024,9,26,25,804,2368,-1622,3047,165,-280,-391,
45,1,8,2024,9,26,25,814,2388,-1562,3076,168,-251,-401,
46,1,8,2024,9,26,25,824,2368,-1597,3027,157,-236,-398,
47,1,8,2024,9,26,25,834,2306,-1542,3052,165,-228,-402,
48,1,8,2024,9,26,25,844,2295,-1512,3083,163,-249,-410,
49,1,8,2024,9,26,25,854,2244,-1587,3066,147,-274,-420,
50,1,8,2024,9,26,25,864,2212,-1532,3105,135,-332,-456,
51,1,8,2024,9,26,25,874,2202,-1604,3090,118,-407,-496,
52,1,8,2024,9,26,25,884,2237,-1592,3093,100,-485,-548,
53,1,8,2024,9,26,25,894,2199,-1573,3164,91,-625,-571,
54,1,8,2024,9,26,25,904,2189,-1662,3143,69,-735,-637,
55,1,8,2024,9,26,25,914,2251,-1644,3113,37,-833,-737,
56,1,8,2024,9,26,25,924,2358,-1517,3133,12,-993,-783,
57,1,8,2024,9,26,25,934,2427,-1420,3178,-82,-1136,-800,
58,1,8,2024,9,26,25,944,2396,-1259,3368,-242,-1248,-811,
59,1,8,2024,9,26,25,954,2064,-1565,3619,-432,-1379,-828,
60,1,8,2024,9,26,25,964,2257,-747,3846,-444,-1932,-726,
61,1,8,2024,9,26,25,974,2294,-853,3756,-837,-2329,-545,
62,1,8,2024,9,26,25,984,2145,-1557,3760,-1279,-2728,-478,
63,1,8,2024,9,26,25,994,2076,-1624,3895,-1497,-3307,-484,
64,1,8,2024,9,26,26,4,2050,-1806,3895,-1808,-3965,-554,
65,1,8,2024,9,26,26,14,1996,-1755,3932,-2209,-4595,-656,
66,1,8,2024,9,26,26,24,1996,-1755,3932,-2209,-4595,-656,
67,1,8,2024,9,26,26,34,1497,-1199,5228,-3234,-5934,-585,
68,1,8,2024,9,26,26,44,1138,-1242,6131,-3951,-7633,-753,
69,1,8,2024,9,26,26,54,1106,-1827,6842,-4746,-9761,-1163,
70,1,8,2024,9,26,26,64,1953,-2613,7249,-5613,-12167,-1853,
71,1,8,2024,9,26,26,74,3279,-4975,7191,-6565,-14554,-3151,
72,1,8,2024,9,26,26,84,3724,-9157,6635,-6558,-16287,-5299,
73,1,8,2024,9,26,26,94,4596,-10139,6209,-4756,-16572,-8085,
74,1,8,2024,9,26,26,104,5840,-8755,6443,-2760,-15945,-10525,
75,1,8,2024,9,26,26,114,7243,-7817,7021,-1857,-15074,-11844,
76,1,8,2024,9,26,26,124,5361,-4275,6340,-1878,-12949,-11019,
77,1,8,2024,9,26,26,134,5361,-4275,6340,-1878,-12949,-11019,
78,1,8,2024,9,26,26,144,7615,-5962,12105,-2198,-7791,-7330,
79,1,8,2024,9,26,26,154,8333,-6317,13837,-2134,486,-3701,
80,1,8,2024,9,26,26,164,-10476,-3806,5544,-3127,5912,-2756,
81,1,8,2024,9,26,26,174,-3137,-7524,5595,-2967,3542,-4397,
82,1,8,2024,9,26,26,184,29,-9054,6729,-1115,4287,-3643,
83,1,8,2024,9,26,26,194,-3341,-6907,5271,405,6508,-924,
84,1,8,2024,9,26,26,204,-3825,-5854,3837,781,7126,1109,
85,1,8,2024,9,26,26,214,-2087,-6302,3746,1134,7166,2731,
86,1,8,2024,9,26,26,234,677,-4140,4177,2599,8518,6023,
87,1,8,2024,9,26,26,244,1395,-3115,4040,2725,9472,7127,
88,1,8,2024,9,26,26,254,2167,-2369,3945,2662,10302,7831,
89,1,8,2024,9,26,26,264,3026,-1779,4057,2485,10981,8139,
90,1,8,2024,9,26,26,274,4103,-1539,4253,2131,11590,8153,
91,1,8,2024,9,26,26,284,5245,-1260,4440,1654,12198,8032,
92,1,8,2024,9,26,26,294,6076,-1662,4247,1081,12809,7833,
93,1,8,2024,9,26,26,304,6089,-1744,3848,711,13132,7539,
94,1,8,2024,9,26,26,314,6292,-2316,3503,394,12978,7178,
95,1,8,2024,9,26,26,324,6124,-3331,3459,248,12526,6900,
96,1,8,2024,9,26,26,334,5993,-4007,3786,322,11845,6945,
97,1,8,2024,9,26,26,344,6279,-4340,4180,378,11134,7343,
98,1,8,2024,9,26,26,354,6667,-4525,4422,387,10455,7914,
99,1,8,2024,9,26,26,364,7328,-4638,4609,493,9644,8406,
100,1,8,2024,9,26,26,374,8679,-4370,4854,672,8732,8764,
101,1,8,2024,9,26,26,384,10378,-4027,4554,873,8036,9072,
102,1,8,2024,9,26,26,394,11410,-2699,3652,1226,7653,8983,
103,1,8,2024,9,26,26,404,12107,-41,2204,1337,7285,8117,
104,1,8,2024,9,26,26,414,12966,1232,323,885,6861,6538,
105,1,8,2024,9,26,26,424,13981,680,-2722,433,6491,4498,
106,1,8,2024,9,26,26,434,13431,797,-5416,504,5751,2581,
107,1,8,2024,9,26,26,444,12555,2276,-6446,318,3832,1200,
108,1,8,2024,9,26,26,454,12789,2468,-5968,-628,1394,225,
109,1,8,2024,9,26,26,464,12648,986,-4606,-1353,-511,-679,
