Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,8,2024,9,26,16,884,114,-4123,-212,12,-1,-10,
2,1,8,2024,9,26,16,894,114,-4123,-212,12,-1,-10,
3,1,8,2024,9,26,16,904,114,-4123,-212,12,-1,-10,
4,1,8,2024,9,26,16,914,114,-4123,-212,12,-1,-10,
5,1,8,2024,9,26,16,924,114,-4123,-212,12,-1,-10,
6,1,8,2024,9,26,16,934,114,-4123,-212,12,-1,-10,
7,1,8,2024,9,26,16,944,2566,1640,2680,19,-16,4,
8,1,8,2024,9,26,16,954,2558,1644,2686,11,-6,-3,
9,1,8,2024,9,26,16,964,2563,1643,2688,10,-13,-2,
10,1,8,2024,9,26,16,974,2564,1644,2680,12,-12,3,
11,1,8,2024,9,26,16,984,2566,1635,2682,13,-12,-2,
12,1,8,2024,9,26,16,994,2569,1642,2676,14,-16,-1,
13,1,8,2024,9,26,17,4,2574,1640,2679,18,-21,-1,
14,1,8,2024,9,26,17,14,2570,1646,2681,20,-17,-2,
15,1,8,2024,9,26,17,24,2575,1645,2677,19,-14,-2,
16,1,8,2024,9,26,17,34,2572,1645,2677,21,-13,-6,
17,1,8,2024,9,26,17,44,2575,1653,2674,16,-7,-4,
18,1,8,2024,9,26,17,54,2569,1648,2675,14,-4,-3,
19,1,8,2024,9,26,17,64,2568,1645,2681,11,0,-6,
20,1,8,2024,9,26,17,74,2569,1657,2679,7,-1,-3,
21,1,8,2024,9,26,17,84,2574,1652,2679,6,-4,1,
22,1,8,2024,9,26,17,94,2574,1660,2677,4,-2,2,
23,1,8,2024,9,26,17,104,2574,1654,2674,3,0,2,
24,1,8,2024,9,26,17,114,2577,1642,2676,1,5,4,
25,1,8,2024,9,26,17,124,2571,1656,2682,0,6,0,
26,1,8,2024,9,26,17,134,2570,1652,2671,1,10,2,
27,1,8,2024,9,26,17,144,2569,1649,2670,-5,7,4,
28,1,8,2024,9,26,17,154,2564,1649,2677,-4,4,7,
29,1,8,2024,9,26,17,164,2562,1645,2675,-7,4,3,
30,1,8,2024,9,26,17,174,2557,1650,2672,-5,4,7,
31,1,8,2024,9,26,17,184,2567,1647,2677,-7,0,6,
32,1,8,2024,9,26,17,194,2579,1651,2680,-9,4,6,
33,1,8,2024,9,26,17,204,2572,1650,2684,-6,4,6,
34,1,8,2024,9,26,17,214,2573,1642,2676,-5,-1,4,
35,1,8,2024,9,26,17,224,2573,1641,2677,-7,1,7,
36,1,8,2024,9,26,17,234,2574,1636,2675,-9,3,6,
37,1,8,2024,9,26,17,244,2571,1641,2679,-5,2,1,
38,1,8,2024,9,26,17,254,2575,1644,2677,-1,4,1,
39,1,8,2024,9,26,17,264,2569,1637,2683,-2,2,3,
40,1,8,2024,9,26,17,274,2573,1640,2677,-2,0,2,
41,1,8,2024,9,26,17,284,2570,1643,2672,2,-2,5,
42,1,8,2024,9,26,17,294,2571,1645,2676,2,-7,4,
43,1,8,2024,9,26,17,304,2577,1634,2678,3,-8,4,
44,1,8,2024,9,26,17,314,2570,1629,2675,10,-10,5,
45,1,8,2024,9,26,17,324,2581,1630,2679,13,-5,0,
46,1,8,2024,9,26,17,334,2575,1641,2671,11,0,-1,
47,1,8,2024,9,26,17,344,2580,1639,2670,12,2,-7,
48,1,8,2024,9,26,17,354,2575,1643,2673,8,1,-3,
49,1,8,2024,9,26,17,364,2569,1647,2670,9,3,-3,
50,1,8,2024,9,26,17,374,2572,1646,2670,9,6,-3,
51,1,8,2024,9,26,17,384,2578,1642,2676,9,8,-5,
52,1,8,2024,9,26,17,394,2579,1648,2678,10,7,-5,
53,1,8,2024,9,26,17,404,2580,1648,2677,9,2,-5,
54,1,8,2024,9,26,17,414,2576,1645,2679,10,3,-5,
55,1,8,2024,9,26,17,424,2577,1647,2677,10,7,-10,
56,1,8,2024,9,26,17,434,2578,1647,2668,13,7,-10,
57,1,8,2024,9,26,17,444,2580,1648,2667,16,6,-12,
58,1,8,2024,9,26,17,454,2582,1650,2672,13,9,-11,
59,1,8,2024,9,26,17,464,2582,1645,2673,17,9,-8,
60,1,8,2024,9,26,17,474,2575,1647,2678,17,6,-12,
61,1,8,2024,9,26,17,484,2576,1650,2668,12,11,-13,
62,1,8,2024,9,26,17,494,2567,1646,2670,12,12,-11,
63,1,8,2024,9,26,17,504,2568,1645,2671,7,9,-12,
64,1,8,2024,9,26,17,514,2572,1647,2668,5,14,-14,
65,1,8,2024,9,26,17,524,2575,1641,2672,4,12,-14,
66,1,8,2024,9,26,17,534,2579,1651,2675,7,12,-9,
67,1,8,2024,9,26,17,544,2585,1659,2672,6,15,-10,
68,1,8,2024,9,26,17,554,2581,1652,2674,4,14,-10,
69,1,8,2024,9,26,17,564,2571,1653,2675,2,14,-7,
70,1,8,2024,9,26,17,574,2566,1647,2675,1,12,-6,
71,1,8,2024,9,26,17,584,2568,1650,2673,-2,13,-7,
72,1,8,2024,9,26,17,594,2574,1653,2677,0,7,-7,
73,1,8,2024,9,26,17,604,2576,1650,2674,2,7,-5,
74,1,8,2024,9,26,17,614,2578,1649,2675,6,4,-3,
75,1,8,2024,9,26,17,624,2579,1648,2674,8,6,-2,
76,1,8,2024,9,26,17,634,2570,1654,2673,11,11,-4,
77,1,8,2024,9,26,17,644,2576,1653,2675,9,14,-4,
78,1,8,2024,9,26,17,654,2572,1656,2675,11,15,-3,
79,1,8,2024,9,26,17,664,2571,1652,2669,8,15,-1,
80,1,8,2024,9,26,17,674,2571,1651,2677,8,13,-1,
81,1,8,2024,9,26,17,684,2571,1651,2676,12,15,2,
82,1,8,2024,9,26,17,694,2582,1654,2674,9,12,-1,
83,1,8,2024,9,26,17,704,2583,1649,2669,7,17,0,
84,1,8,2024,9,26,17,714,2580,1648,2675,8,23,4,
85,1,8,2024,9,26,17,724,2567,1655,2674,10,28,1,
86,1,8,2024,9,26,17,744,2570,1647,2673,5,29,1,
87,1,8,2024,9,26,17,754,2567,1650,2674,4,24,1,
88,1,8,2024,9,26,17,764,2568,1641,2674,5,21,0,
89,1,8,2024,9,26,17,774,2568,1640,2673,3,20,-3,
90,1,8,2024,9,26,17,784,2571,1648,2673,2,18,-6,
91,1,8,2024,9,26,17,794,2576,1654,2676,2,18,-4,
92,1,8,2024,9,26,17,804,2578,1655,2675,2,16,-7,
93,1,8,2024,9,26,17,814,2574,1653,2674,2,18,-7,
94,1,8,2024,9,26,17,824,2577,1645,2676,0,13,-5,
95,1,8,2024,9,26,17,834,2566,1652,2673,-1,15,-6,
96,1,8,2024,9,26,17,844,2558,1655,2666,-2,12,-6,
97,1,8,2024,9,26,17,854,2559,1649,2677,0,6,-4,
98,1,8,2024,9,26,17,864,2565,1641,2678,1,-1,-6,
99,1,8,2024,9,26,17,874,2570,1657,2670,5,-3,-4,
100,1,8,2024,9,26,17,884,2574,1659,2664,3,-2,-4,
101,1,8,2024,9,26,17,894,2578,1658,2674,3,0,1,
102,1,8,2024,9,26,17,904,2573,1656,2669,6,2,3,
103,1,8,2024,9,26,17,914,2570,1655,2673,5,-2,4,
104,1,8,2024,9,26,17,924,2577,1656,2678,-2,-4,3,
105,1,8,2024,9,26,17,934,2581,1652,2674,-2,-6,2,
106,1,8,2024,9,26,17,944,2574,1642,2672,-1,-2,2,
107,1,8,2024,9,26,17,954,2568,1639,2666,-1,1,0,
108,1,8,2024,9,26,17,964,2570,1634,2673,-2,-1,-3,
109,1,8,2024,9,26,17,974,2578,1644,2671,-4,2,-1,
110,1,8,2024,9,26,17,984,2577,1651,2670,-2,9,-1,
111,1,8,2024,9,26,17,994,2577,1652,2670,2,7,-1,
112,1,8,2024,9,26,18,4,2580,1650,2675,4,9,-5,
113,1,8,2024,9,26,18,14,2578,1658,2679,1,17,-9,
114,1,8,2024,9,26,18,24,2571,1657,2671,1,17,-9,
115,1,8,2024,9,26,18,34,2570,1653,2676,1,13,-1,
116,1,8,2024,9,26,18,44,2573,1653,2674,0,11,-2,
117,1,8,2024,9,26,18,54,2575,1651,2667,-3,9,-5,
118,1,8,2024,9,26,18,64,2581,1646,2673,-2,9,-4,
119,1,8,2024,9,26,18,74,2576,1645,2670,-3,18,-1,
120,1,8,2024,9,26,18,84,2570,1650,2674,-3,22,-5,
121,1,8,2024,9,26,18,94,2563,1654,2680,-5,25,-3,
122,1,8,2024,9,26,18,104,2562,1650,2678,-8,18,-5,
123,1,8,2024,9,26,18,114,2565,1647,2674,-8,15,-2,
124,1,8,2024,9,26,18,124,2575,1647,2669,-7,23,-1,
125,1,8,2024,9,26,18,134,2580,1648,2675,-3,18,-2,
126,1,8,2024,9,26,18,144,2576,1647,2668,-4,19,-6,
127,1,8,2024,9,26,18,154,2588,1647,2674,-3,20,-6,
128,1,8,2024,9,26,18,164,2582,1647,2670,0,24,-5,
129,1,8,2024,9,26,18,174,2584,1656,2672,5,33,-10,
130,1,8,2024,9,26,18,184,2577,1652,2678,6,40,-11,
131,1,8,2024,9,26,18,194,2567,1647,2671,5,40,-10,
132,1,8,2024,9,26,18,204,2570,1651,2678,0,42,-11,
133,1,8,2024,9,26,18,214,2571,1653,2678,-2,43,-12,
134,1,8,2024,9,26,18,224,2580,1649,2676,2,39,-12,
135,1,8,2024,9,26,18,234,2573,1652,2677,3,43,-16,
136,1,8,2024,9,26,18,244,2575,1657,2675,-1,52,-19,
137,1,8,2024,9,26,18,254,2567,1656,2674,-8,55,-20,
138,1,8,2024,9,26,18,264,2560,1651,2682,-8,50,-15,
139,1,8,2024,9,26,18,274,2558,1648,2680,-11,45,-12,
140,1,8,2024,9,26,18,284,2563,1645,2681,-14,49,-13,
141,1,8,2024,9,26,18,294,2569,1652,2677,-12,48,-9,
142,1,8,2024,9,26,18,304,2562,1650,2680,-7,46,-11,
143,1,8,2024,9,26,18,314,2563,1653,2681,1,46,-8,
144,1,8,2024,9,26,18,324,2560,1654,2688,-1,47,-9,
145,1,8,2024,9,26,18,334,2568,1655,2687,-3,45,-5,
146,1,8,2024,9,26,18,344,2564,1655,2681,0,48,-6,
147,1,8,2024,9,26,18,354,2572,1637,2690,6,48,-9,
148,1,8,2024,9,26,18,364,2586,1647,2683,21,48,-13,
149,1,8,2024,9,26,18,374,2586,1664,2677,43,60,-23,
150,1,8,2024,9,26,18,384,2562,1652,2695,70,66,-29,
151,1,8,2024,9,26,18,394,2565,1653,2687,69,64,-42,
152,1,8,2024,9,26,18,404,2551,1661,2686,64,67,-39,
153,1,8,2024,9,26,18,414,2546,1660,2690,52,61,-33,
154,1,8,2024,9,26,18,424,2551,1662,2680,45,56,-29,
155,1,8,2024,9,26,18,434,2550,1657,2682,37,53,-25,
156,1,8,2024,9,26,18,444,2550,1655,2671,39,53,-21,
157,1,8,2024,9,26,18,454,2547,1661,2681,33,55,-23,
158,1,8,2024,9,26,18,464,2544,1666,2687,27,55,-13,
159,1,8,2024,9,26,18,474,2533,1662,2685,17,55,-10,
160,1,8,2024,9,26,18,484,2532,1668,2688,9,52,-4,
161,1,8,2024,9,26,18,494,2532,1661,2692,-4,47,4,
162,1,8,2024,9,26,18,504,2531,1656,2694,-15,41,9,
163,1,8,2024,9,26,18,514,2532,1654,2692,-20,33,10,
164,1,8,2024,9,26,18,524,2539,1653,2695,-21,21,14,
165,1,8,2024,9,26,18,534,2550,1650,2698,-20,16,12,
166,1,8,2024,9,26,18,544,2552,1653,2696,-16,16,4,
167,1,8,2024,9,26,18,554,2556,1661,2689,-15,16,6,
168,1,8,2024,9,26,18,564,2554,1655,2692,-7,14,8,
169,1,8,2024,9,26,18,574,2564,1657,2692,-3,16,3,
170,1,8,2024,9,26,18,584,2577,1657,2690,3,23,0,
