Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,31,2024,16,33,12,310,-8,-4101,434,-3,4,-4,
2,1,31,2024,16,33,12,320,-8,-4101,434,-3,4,-4,
3,1,31,2024,16,33,12,330,-8,-4101,434,-3,4,-4,
4,1,31,2024,16,33,12,340,-8,-4101,434,-3,4,-4,
5,1,31,2024,16,33,12,350,-8,-4101,434,-3,4,-4,
6,1,31,2024,16,33,12,360,-8,-4101,434,-3,4,-4,
7,1,31,2024,16,33,12,370,1861,2342,2769,25,-6,12,
8,1,31,2024,16,33,12,380,1885,2337,2757,21,-2,19,
9,1,31,2024,16,33,12,390,1886,2345,2758,20,-7,17,
10,1,31,2024,16,33,12,400,1896,2324,2764,4,-2,14,
11,1,31,2024,16,33,12,410,1900,2311,2775,-4,3,10,
12,1,31,2024,16,33,12,420,1897,2346,2758,-12,9,-12,
13,1,31,2024,16,33,12,430,1883,2362,2752,-25,9,-24,
14,1,31,2024,16,33,12,440,1878,2367,2758,-26,6,-19,
15,1,31,2024,16,33,12,450,1865,2354,2752,-24,6,-17,
16,1,31,2024,16,33,12,460,1861,2347,2758,-26,6,-9,
17,1,31,2024,16,33,12,470,1866,2351,2761,-32,2,2,
18,1,31,2024,16,33,12,480,1875,2332,2760,-30,3,9,
19,1,31,2024,16,33,12,490,1886,2330,2782,-24,3,14,
20,1,31,2024,16,33,12,500,1900,2309,2783,-13,3,9,
21,1,31,2024,16,33,12,510,1903,2347,2759,-28,19,-15,
22,1,31,2024,16,33,12,520,1852,2343,2773,-38,17,-23,
23,1,31,2024,16,33,12,530,1873,2331,2782,-24,11,-13,
24,1,31,2024,16,33,12,540,1873,2345,2762,-18,11,-7,
25,1,31,2024,16,33,12,550,1867,2367,2749,-16,14,-1,
26,1,31,2024,16,33,12,560,1866,2361,2753,-20,4,8,
27,1,31,2024,16,33,12,570,1894,2324,2775,-32,-1,10,
28,1,31,2024,16,33,12,580,1899,2331,2778,-23,8,-3,
29,1,31,2024,16,33,12,590,1884,2358,2751,-21,16,-11,
30,1,31,2024,16,33,12,600,1889,2342,2772,-31,12,-21,
31,1,31,2024,16,33,12,610,1872,2344,2775,-27,7,-20,
32,1,31,2024,16,33,12,620,1859,2336,2770,-24,4,-14,
33,1,31,2024,16,33,12,630,1872,2329,2778,-21,5,-3,
34,1,31,2024,16,33,12,640,1867,2344,2769,-9,3,4,
35,1,31,2024,16,33,12,650,1873,2357,2751,-3,-4,13,
36,1,31,2024,16,33,12,660,1880,2326,2770,-2,-1,8,
37,1,31,2024,16,33,12,670,1883,2351,2758,-1,0,12,
38,1,31,2024,16,33,12,680,1906,2315,2773,-3,-3,7,
39,1,31,2024,16,33,12,690,1887,2286,2797,-7,5,-12,
40,1,31,2024,16,33,12,700,1874,2343,2763,-4,13,-21,
41,1,31,2024,16,33,12,710,1882,2348,2761,-14,13,-20,
42,1,31,2024,16,33,12,720,1881,2337,2776,-17,12,-18,
43,1,31,2024,16,33,12,730,1867,2358,2764,-9,12,-17,
44,1,31,2024,16,33,12,740,1861,2364,2753,-3,5,-5,
45,1,31,2024,16,33,12,750,1878,2318,2770,-11,0,4,
46,1,31,2024,16,33,12,760,1881,2318,2783,-5,0,10,
47,1,31,2024,16,33,12,770,1873,2337,2770,1,5,4,
48,1,31,2024,16,33,12,780,1886,2332,2773,1,7,3,
49,1,31,2024,16,33,12,790,1873,2348,2764,3,4,0,
50,1,31,2024,16,33,12,800,1873,2348,2765,0,1,6,
51,1,31,2024,16,33,12,810,1893,2333,2771,-4,-4,5,
52,1,31,2024,16,33,12,820,1894,2335,2762,-8,2,-4,
53,1,31,2024,16,33,12,830,1885,2336,2762,-14,8,-12,
54,1,31,2024,16,33,12,840,1878,2307,2789,-14,16,-23,
55,1,31,2024,16,33,12,850,1865,2325,2783,-5,14,-20,
56,1,31,2024,16,33,12,860,1865,2359,2762,6,5,-10,
57,1,31,2024,16,33,12,870,1883,2339,2774,2,1,-1,
58,1,31,2024,16,33,12,880,1878,2336,2779,4,2,-5,
59,1,31,2024,16,33,12,890,1875,2357,2773,11,-2,-1,
60,1,31,2024,16,33,12,900,1900,2315,2782,24,-5,-2,
61,1,31,2024,16,33,12,910,1867,2357,2786,24,3,-16,
62,1,31,2024,16,33,12,920,1836,2334,2767,41,-3,-3,
63,1,31,2024,16,33,12,930,1873,2349,2738,50,-12,21,
64,1,31,2024,16,33,12,940,1904,2337,2777,50,-12,24,
65,1,31,2024,16,33,12,950,1896,2319,2786,57,-12,9,
66,1,31,2024,16,33,12,960,1867,2350,2772,67,-22,-1,
67,1,31,2024,16,33,12,970,1888,2337,2768,46,-39,-9,
68,1,31,2024,16,33,12,980,1877,2350,2754,67,-35,-8,
69,1,31,2024,16,33,12,990,1866,2377,2735,87,-38,1,
70,1,31,2024,16,33,13,0,1900,2375,2721,100,-26,10,
71,1,31,2024,16,33,13,10,1898,2359,2722,155,-1,-7,
72,1,31,2024,16,33,13,20,1891,2314,2756,134,10,-17,
73,1,31,2024,16,33,13,30,1897,2332,2761,80,16,-20,
74,1,31,2024,16,33,13,40,1864,2343,2774,70,21,-24,
75,1,31,2024,16,33,13,50,1870,2366,2732,40,24,4,
76,1,31,2024,16,33,13,60,1900,2312,2775,60,38,9,
77,1,31,2024,16,33,13,70,1874,2372,2723,43,30,12,
78,1,31,2024,16,33,13,80,1875,2368,2751,76,51,1,
79,1,31,2024,16,33,13,90,1883,2356,2742,51,47,10,
80,1,31,2024,16,33,13,100,1911,2330,2771,44,56,16,
81,1,31,2024,16,33,13,110,1875,2354,2752,86,29,-38,
82,1,31,2024,16,33,13,120,1874,2344,2760,28,16,-7,
83,1,31,2024,16,33,13,130,1874,2364,2735,31,16,-11,
84,1,31,2024,16,33,13,140,1873,2349,2755,20,15,-11,
85,1,31,2024,16,33,13,150,1878,2350,2752,27,15,-8,
86,1,31,2024,16,33,13,170,1888,2364,2728,48,10,-33,
87,1,31,2024,16,33,13,180,1885,2355,2753,52,13,-45,
88,1,31,2024,16,33,13,190,1881,2367,2732,8,13,-23,
89,1,31,2024,16,33,13,200,1869,2368,2729,3,12,-31,
90,1,31,2024,16,33,13,210,1871,2354,2756,53,8,-64,
91,1,31,2024,16,33,13,220,1875,2355,2749,24,7,-41,
92,1,31,2024,16,33,13,230,1870,2356,2755,-4,3,-18,
93,1,31,2024,16,33,13,240,1871,2369,2738,7,1,-17,
94,1,31,2024,16,33,13,250,1872,2366,2735,3,0,-22,
95,1,31,2024,16,33,13,260,1872,2366,2745,-3,-1,-21,
96,1,31,2024,16,33,13,270,1816,2405,2740,-2,-4,-13,
97,1,31,2024,16,33,13,280,1901,2356,2730,-5,-21,23,
98,1,31,2024,16,33,13,290,1910,2311,2781,-9,1,-3,
99,1,31,2024,16,33,13,300,1861,2368,2748,7,10,-12,
100,1,31,2024,16,33,13,310,1868,2376,2736,9,6,-11,
101,1,31,2024,16,33,13,320,1878,2350,2746,4,2,-6,
102,1,31,2024,16,33,13,330,1879,2368,2735,8,-1,-6,
103,1,31,2024,16,33,13,340,1883,2371,2739,-14,-2,-14,
104,1,31,2024,16,33,13,350,1877,2354,2747,-24,2,-23,
105,1,31,2024,16,33,13,360,1869,2359,2755,-9,0,-19,
106,1,31,2024,16,33,13,370,1878,2362,2750,0,4,-12,
107,1,31,2024,16,33,13,380,1869,2362,2739,10,6,-9,
108,1,31,2024,16,33,13,390,1871,2370,2732,17,1,-3,
109,1,31,2024,16,33,13,400,1867,2369,2736,12,-5,1,
110,1,31,2024,16,33,13,410,1875,2369,2735,1,-6,4,
111,1,31,2024,16,33,13,420,1885,2376,2736,-9,-3,3,
112,1,31,2024,16,33,13,430,1888,2360,2735,-13,1,-5,
113,1,31,2024,16,33,13,440,1890,2364,2743,-13,5,-15,
114,1,31,2024,16,33,13,450,1864,2371,2741,-6,2,-15,
115,1,31,2024,16,33,13,460,1862,2371,2733,-4,-3,-13,
116,1,31,2024,16,33,13,470,1879,2357,2744,-1,-4,-10,
117,1,31,2024,16,33,13,480,1870,2357,2747,-1,-1,-10,
118,1,31,2024,16,33,13,490,1880,2358,2748,1,-2,-11,
119,1,31,2024,16,33,13,500,1880,2364,2752,1,-1,-14,
120,1,31,2024,16,33,13,510,1865,2365,2744,4,2,-12,
121,1,31,2024,16,33,13,520,1865,2376,2737,0,-4,-5,
122,1,31,2024,16,33,13,530,1883,2369,2742,3,-5,-2,
123,1,31,2024,16,33,13,540,1889,2363,2743,7,-1,-5,
124,1,31,2024,16,33,13,550,1872,2371,2735,8,1,-11,
125,1,31,2024,16,33,13,560,1873,2370,2736,5,4,-7,
126,1,31,2024,16,33,13,570,1876,2362,2741,1,6,-5,
127,1,31,2024,16,33,13,580,1869,2371,2738,2,1,-2,
128,1,31,2024,16,33,13,590,1870,2378,2735,-1,-2,1,
129,1,31,2024,16,33,13,600,1875,2375,2741,1,3,1,
130,1,31,2024,16,33,13,610,1886,2372,2740,3,-3,2,
131,1,31,2024,16,33,13,620,1886,2361,2743,5,-1,-7,
132,1,31,2024,16,33,13,630,1882,2349,2746,12,3,-13,
133,1,31,2024,16,33,13,640,1878,2360,2743,10,6,-18,
134,1,31,2024,16,33,13,650,1873,2364,2744,13,5,-17,
135,1,31,2024,16,33,13,660,1876,2381,2735,16,8,-11,
136,1,31,2024,16,33,13,670,1862,2365,2729,11,6,-5,
137,1,31,2024,16,33,13,680,1869,2369,2731,0,-2,6,
138,1,31,2024,16,33,13,690,1887,2376,2732,-12,-2,10,
139,1,31,2024,16,33,13,700,1884,2368,2738,-13,-2,7,
140,1,31,2024,16,33,13,710,1879,2373,2730,-2,-2,4,
141,1,31,2024,16,33,13,720,1879,2363,2739,3,4,5,
142,1,31,2024,16,33,13,730,1884,2366,2747,5,3,6,
143,1,31,2024,16,33,13,740,1898,2370,2746,3,7,-9,
144,1,31,2024,16,33,13,750,1882,2371,2737,1,7,-11,
145,1,31,2024,16,33,13,760,1884,2368,2741,4,6,-9,
146,1,31,2024,16,33,13,770,1880,2366,2742,6,10,-13,
147,1,31,2024,16,33,13,780,1876,2376,2732,4,11,-9,
148,1,31,2024,16,33,13,790,1875,2384,2740,0,6,-8,
149,1,31,2024,16,33,13,800,1876,2368,2740,-3,4,-7,
150,1,31,2024,16,33,13,810,1882,2359,2741,-3,4,-10,
151,1,31,2024,16,33,13,820,1881,2374,2736,8,7,-16,
152,1,31,2024,16,33,13,830,1881,2380,2733,7,7,-14,
153,1,31,2024,16,33,13,840,1874,2376,2738,0,7,-14,
154,1,31,2024,16,33,13,850,1877,2376,2740,-5,7,-11,
155,1,31,2024,16,33,13,860,1876,2376,2734,-6,0,-7,
156,1,31,2024,16,33,13,870,1875,2377,2738,-18,0,0,
157,1,31,2024,16,33,13,880,1887,2355,2742,-17,0,3,
158,1,31,2024,16,33,13,890,1880,2365,2752,6,7,-4,
159,1,31,2024,16,33,13,900,1880,2388,2725,7,7,-7,
160,1,31,2024,16,33,13,910,1883,2351,2749,-3,3,-14,
161,1,31,2024,16,33,13,920,1881,2359,2753,8,6,-19,
162,1,31,2024,16,33,13,930,1876,2378,2735,19,7,-20,
163,1,31,2024,16,33,13,940,1873,2378,2732,3,6,-17,
164,1,31,2024,16,33,13,950,1879,2362,2747,-9,5,-15,
165,1,31,2024,16,33,13,960,1874,2380,2728,10,3,-19,
166,1,31,2024,16,33,13,970,1868,2377,2732,6,6,-15,
167,1,31,2024,16,33,13,980,1877,2383,2732,1,4,-5,
168,1,31,2024,16,33,13,990,1877,2373,2744,3,0,-4,
169,1,31,2024,16,33,14,0,1871,2369,2740,6,-1,-1,
170,1,31,2024,16,33,14,10,1896,2357,2740,8,-1,0,
171,1,31,2024,16,33,14,30,1868,2468,2649,14,3,8,
172,1,31,2024,16,33,14,40,1894,2341,2760,-23,-6,0,
173,1,31,2024,16,33,14,50,1882,2330,2760,-8,3,-7,
174,1,31,2024,16,33,14,60,1879,2383,2732,9,6,-5,
175,1,31,2024,16,33,14,70,1880,2376,2734,11,5,-3,
176,1,31,2024,16,33,14,80,1885,2376,2733,10,0,-3,
177,1,31,2024,16,33,14,90,1885,2366,2734,4,6,-9,
178,1,31,2024,16,33,14,100,1882,2370,2735,5,8,-11,
179,1,31,2024,16,33,14,110,1880,2377,2729,7,5,-11,
180,1,31,2024,16,33,14,120,1881,2378,2732,4,7,-16,
181,1,31,2024,16,33,14,130,1876,2369,2738,4,9,-16,
182,1,31,2024,16,33,14,140,1875,2363,2736,12,5,-9,
183,1,31,2024,16,33,14,150,1875,2384,2729,18,8,-7,
184,1,31,2024,16,33,14,160,1869,2388,2721,13,7,-9,
185,1,31,2024,16,33,14,170,1881,2381,2733,6,5,-2,
186,1,31,2024,16,33,14,180,1884,2374,2739,-2,7,-1,
187,1,31,2024,16,33,14,190,1871,2373,2727,-4,7,-2,
188,1,31,2024,16,33,14,200,1877,2372,2732,-4,8,-3,
189,1,31,2024,16,33,14,210,1883,2365,2736,-1,8,-3,
190,1,31,2024,16,33,14,220,1880,2372,2731,2,11,-6,
191,1,31,2024,16,33,14,230,1870,2375,2734,7,14,-9,
192,1,31,2024,16,33,14,240,1881,2378,2731,15,13,-3,
193,1,31,2024,16,33,14,250,1874,2387,2720,14,16,-2,
194,1,31,2024,16,33,14,260,1891,2372,2730,7,21,-1,
195,1,31,2024,16,33,14,270,1886,2376,2736,10,28,-4,
196,1,31,2024,16,33,14,280,1878,2375,2729,13,29,-10,
197,1,31,2024,16,33,14,290,1868,2380,2730,15,21,-10,
198,1,31,2024,16,33,14,300,1872,2382,2726,8,25,-3,
199,1,31,2024,16,33,14,310,1877,2372,2727,-1,20,-4,
200,1,31,2024,16,33,14,320,1866,2354,2741,12,24,5,
201,1,31,2024,16,33,14,330,1877,2441,2676,1,20,7,
202,1,31,2024,16,33,14,340,1880,2343,2755,-19,17,3,
203,1,31,2024,16,33,14,350,1878,2362,2740,-1,21,3,
204,1,31,2024,16,33,14,360,1889,2389,2729,15,22,0,
205,1,31,2024,16,33,14,370,1898,2359,2747,18,26,-12,
206,1,31,2024,16,33,14,380,1860,2385,2731,31,35,-21,
207,1,31,2024,16,33,14,390,1869,2382,2733,33,30,-29,
208,1,31,2024,16,33,14,400,1874,2368,2739,29,24,-26,
209,1,31,2024,16,33,14,410,1860,2382,2725,31,22,-27,
