Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,8,2024,9,58,53,886,-97,-4087,274,196,-48,120,
2,2,8,2024,9,58,53,896,-97,-4087,274,196,-48,120,
3,2,8,2024,9,58,53,906,-97,-4087,274,196,-48,120,
4,2,8,2024,9,58,53,916,-97,-4087,274,196,-48,120,
5,2,8,2024,9,58,53,926,-97,-4087,274,196,-48,120,
6,2,8,2024,9,58,53,936,-97,-4087,274,196,-48,120,
7,2,8,2024,9,58,53,946,-97,-4087,274,196,-48,120,
8,2,8,2024,9,58,53,956,1678,1076,3592,-4,1,4,
9,2,8,2024,9,58,53,966,1682,1077,3583,-5,-8,5,
10,2,8,2024,9,58,53,976,1677,1081,3584,-3,-7,5,
11,2,8,2024,9,58,53,986,1680,1073,3584,-7,-7,6,
12,2,8,2024,9,58,53,996,1681,1072,3599,-7,-10,8,
13,2,8,2024,9,58,54,6,1677,1074,3594,-7,-10,6,
14,2,8,2024,9,58,54,16,1677,1074,3591,-2,-14,2,
15,2,8,2024,9,58,54,26,1675,1073,3585,-3,-11,3,
16,2,8,2024,9,58,54,36,1681,1076,3584,-6,-7,2,
17,2,8,2024,9,58,54,46,1679,1078,3591,-4,-9,4,
18,2,8,2024,9,58,54,56,1679,1071,3585,-3,-8,4,
19,2,8,2024,9,58,54,66,1681,1075,3583,-2,-8,4,
20,2,8,2024,9,58,54,76,1675,1077,3586,-2,-7,5,
21,2,8,2024,9,58,54,86,1683,1076,3591,-3,-9,5,
22,2,8,2024,9,58,54,96,1680,1074,3595,-6,-10,3,
23,2,8,2024,9,58,54,106,1672,1072,3593,-3,-8,4,
24,2,8,2024,9,58,54,116,1679,1076,3583,-1,-7,-1,
25,2,8,2024,9,58,54,126,1676,1080,3580,-4,-7,1,
26,2,8,2024,9,58,54,136,1685,1077,3587,-6,-6,2,
27,2,8,2024,9,58,54,146,1687,1078,3583,-4,-9,3,
28,2,8,2024,9,58,54,156,1680,1074,3587,-3,-7,3,
29,2,8,2024,9,58,54,166,1672,1083,3587,-5,-7,4,
30,2,8,2024,9,58,54,176,1677,1079,3581,-6,-6,5,
31,2,8,2024,9,58,54,186,1680,1074,3583,-6,-6,5,
32,2,8,2024,9,58,54,196,1675,1074,3591,-3,-6,4,
33,2,8,2024,9,58,54,206,1675,1077,3591,-5,-10,3,
34,2,8,2024,9,58,54,216,1679,1067,3591,-5,-11,5,
35,2,8,2024,9,58,54,226,1678,1078,3588,-4,-9,5,
36,2,8,2024,9,58,54,236,1681,1074,3585,-3,-4,3,
37,2,8,2024,9,58,54,246,1680,1070,3588,-3,-8,1,
38,2,8,2024,9,58,54,256,1680,1076,3585,-2,-9,3,
39,2,8,2024,9,58,54,266,1679,1083,3586,-3,-8,2,
40,2,8,2024,9,58,54,276,1678,1079,3580,-4,-8,2,
41,2,8,2024,9,58,54,286,1681,1077,3590,-6,-9,1,
42,2,8,2024,9,58,54,296,1678,1073,3590,-4,-8,6,
43,2,8,2024,9,58,54,306,1679,1075,3596,-4,-10,1,
44,2,8,2024,9,58,54,316,1677,1076,3595,-4,-7,2,
45,2,8,2024,9,58,54,326,1676,1073,3586,-2,-6,3,
46,2,8,2024,9,58,54,336,1679,1075,3590,-3,-8,3,
47,2,8,2024,9,58,54,346,1673,1074,3590,-3,-9,5,
48,2,8,2024,9,58,54,356,1677,1077,3591,-4,-4,2,
49,2,8,2024,9,58,54,366,1679,1072,3582,-7,-5,2,
50,2,8,2024,9,58,54,376,1680,1078,3591,-6,-4,4,
51,2,8,2024,9,58,54,386,1677,1078,3586,-6,-6,2,
52,2,8,2024,9,58,54,396,1678,1075,3584,-6,-7,-2,
53,2,8,2024,9,58,54,406,1678,1073,3579,-5,-4,2,
54,2,8,2024,9,58,54,416,1677,1074,3585,-4,-5,1,
55,2,8,2024,9,58,54,426,1681,1071,3595,-6,-6,-1,
56,2,8,2024,9,58,54,436,1678,1074,3597,-6,-8,0,
57,2,8,2024,9,58,54,446,1679,1083,3587,-6,-5,3,
58,2,8,2024,9,58,54,456,1675,1074,3587,-6,-4,3,
59,2,8,2024,9,58,54,466,1675,1069,3586,-4,-9,3,
60,2,8,2024,9,58,54,476,1683,1075,3589,-2,-8,0,
61,2,8,2024,9,58,54,486,1680,1069,3592,-2,-7,-2,
62,2,8,2024,9,58,54,496,1676,1071,3586,0,-7,2,
63,2,8,2024,9,58,54,506,1674,1075,3583,1,-4,2,
64,2,8,2024,9,58,54,516,1676,1080,3591,-2,-5,1,
65,2,8,2024,9,58,54,526,1678,1077,3586,-3,-10,0,
66,2,8,2024,9,58,54,536,1677,1077,3588,-4,-6,-1,
67,2,8,2024,9,58,54,546,1678,1081,3591,1,-8,1,
68,2,8,2024,9,58,54,556,1681,1076,3588,-2,-8,-1,
69,2,8,2024,9,58,54,566,1679,1074,3588,-2,-8,0,
70,2,8,2024,9,58,54,576,1677,1077,3590,-3,-7,4,
71,2,8,2024,9,58,54,586,1673,1073,3586,-1,-9,2,
72,2,8,2024,9,58,54,596,1673,1078,3580,-1,-10,0,
73,2,8,2024,9,58,54,606,1675,1080,3588,-3,-8,-1,
74,2,8,2024,9,58,54,616,1675,1077,3593,-4,-8,3,
75,2,8,2024,9,58,54,626,1675,1075,3586,-3,-7,-3,
76,2,8,2024,9,58,54,636,1676,1075,3585,-2,-7,2,
77,2,8,2024,9,58,54,646,1685,1082,3589,-3,-6,1,
78,2,8,2024,9,58,54,656,1678,1079,3583,-4,-6,4,
79,2,8,2024,9,58,54,666,1672,1077,3591,-3,-7,3,
80,2,8,2024,9,58,54,676,1677,1083,3586,-5,-6,3,
81,2,8,2024,9,58,54,686,1682,1076,3592,-5,-7,4,
82,2,8,2024,9,58,54,696,1678,1083,3593,-7,-8,3,
83,2,8,2024,9,58,54,706,1683,1077,3589,-6,-7,7,
84,2,8,2024,9,58,54,716,1675,1083,3592,-7,-8,6,
85,2,8,2024,9,58,54,726,1679,1074,3583,-5,-10,3,
86,2,8,2024,9,58,54,746,1681,1080,3586,-4,-7,5,
87,2,8,2024,9,58,54,756,1678,1081,3590,-6,-7,3,
88,2,8,2024,9,58,54,766,1679,1072,3586,-4,-9,3,
89,2,8,2024,9,58,54,776,1676,1077,3582,-3,-8,4,
90,2,8,2024,9,58,54,786,1677,1076,3587,-3,-5,4,
91,2,8,2024,9,58,54,796,1674,1072,3586,-7,-6,3,
92,2,8,2024,9,58,54,806,1672,1076,3579,-4,-6,4,
93,2,8,2024,9,58,54,816,1683,1075,3595,-2,-9,5,
94,2,8,2024,9,58,54,826,1682,1078,3592,-4,-7,2,
95,2,8,2024,9,58,54,836,1683,1078,3576,-3,-11,5,
96,2,8,2024,9,58,54,846,1681,1077,3580,-5,-8,2,
97,2,8,2024,9,58,54,856,1683,1074,3587,-4,-8,5,
98,2,8,2024,9,58,54,866,1683,1080,3584,-1,-10,5,
99,2,8,2024,9,58,54,876,1677,1077,3588,-3,-8,0,
100,2,8,2024,9,58,54,886,1674,1078,3596,-3,-7,2,
101,2,8,2024,9,58,54,896,1674,1081,3588,-3,-7,1,
102,2,8,2024,9,58,54,906,1677,1074,3585,-5,-8,1,
103,2,8,2024,9,58,54,916,1678,1074,3592,-4,-8,2,
104,2,8,2024,9,58,54,926,1676,1074,3587,-3,-7,4,
105,2,8,2024,9,58,54,936,1675,1080,3590,-3,-9,3,
106,2,8,2024,9,58,54,946,1678,1072,3588,-5,-10,2,
107,2,8,2024,9,58,54,956,1675,1075,3589,0,-7,1,
108,2,8,2024,9,58,54,966,1674,1078,3593,-1,-11,1,
109,2,8,2024,9,58,54,976,1675,1079,3592,-1,-9,5,
110,2,8,2024,9,58,54,986,1677,1083,3592,2,-9,5,
111,2,8,2024,9,58,54,996,1682,1080,3585,-1,-9,5,
112,2,8,2024,9,58,55,6,1672,1080,3594,-7,-7,6,
113,2,8,2024,9,58,55,16,1674,1083,3588,-2,-8,7,
114,2,8,2024,9,58,55,26,1674,1078,3592,-4,-7,4,
115,2,8,2024,9,58,55,36,1678,1076,3590,-4,-7,0,
116,2,8,2024,9,58,55,46,1674,1083,3589,-4,-9,3,
117,2,8,2024,9,58,55,56,1671,1076,3586,-4,-11,5,
118,2,8,2024,9,58,55,66,1678,1082,3589,-4,-8,7,
119,2,8,2024,9,58,55,76,1678,1082,3589,-4,-8,7,
120,2,8,2024,9,58,55,86,1677,1077,3591,-2,-10,6,
121,2,8,2024,9,58,55,96,1674,1077,3586,-4,-11,7,
122,2,8,2024,9,58,55,106,1673,1082,3582,-8,-8,8,
123,2,8,2024,9,58,55,116,1681,1078,3591,-7,-11,10,
124,2,8,2024,9,58,55,126,1681,1078,3591,-7,-11,10,
125,2,8,2024,9,58,55,136,1673,1077,3589,-9,-7,9,
126,2,8,2024,9,58,55,146,1677,1077,3586,-5,-10,9,
127,2,8,2024,9,58,55,156,1675,1073,3592,-4,-6,5,
128,2,8,2024,9,58,55,166,1684,1076,3591,-1,-9,3,
129,2,8,2024,9,58,55,176,1684,1076,3591,-5,-9,4,
130,2,8,2024,9,58,55,186,1678,1086,3594,-4,-6,6,
131,2,8,2024,9,58,55,196,1676,1079,3587,-7,-8,7,
132,2,8,2024,9,58,55,206,1678,1074,3588,-6,-9,2,
133,2,8,2024,9,58,55,216,1671,1078,3591,-4,-8,2,
134,2,8,2024,9,58,55,226,1670,1080,3596,-6,-6,6,
135,2,8,2024,9,58,55,236,1674,1074,3593,-5,-8,3,
136,2,8,2024,9,58,55,246,1677,1076,3587,-6,-8,5,
137,2,8,2024,9,58,55,256,1674,1076,3589,-3,-11,4,
138,2,8,2024,9,58,55,266,1674,1076,3587,-6,-8,2,
139,2,8,2024,9,58,55,276,1682,1082,3585,-5,-4,3,
140,2,8,2024,9,58,55,286,1683,1074,3587,-4,-8,5,
141,2,8,2024,9,58,55,296,1674,1080,3585,-1,-9,2,
142,2,8,2024,9,58,55,306,1680,1075,3588,-6,-10,3,
143,2,8,2024,9,58,55,316,1681,1075,3585,-5,-7,2,
144,2,8,2024,9,58,55,326,1675,1079,3588,-7,-7,4,
145,2,8,2024,9,58,55,336,1673,1078,3596,-5,-9,5,
146,2,8,2024,9,58,55,346,1674,1071,3586,-10,-7,3,
147,2,8,2024,9,58,55,356,1673,1067,3584,-6,-9,4,
148,2,8,2024,9,58,55,366,1677,1079,3590,-3,-7,2,
149,2,8,2024,9,58,55,376,1671,1085,3591,-6,-6,1,
150,2,8,2024,9,58,55,386,1677,1081,3591,-7,-8,2,
151,2,8,2024,9,58,55,396,1679,1079,3581,-4,-7,1,
152,2,8,2024,9,58,55,406,1682,1081,3589,-6,-10,5,
153,2,8,2024,9,58,55,416,1677,1078,3594,-6,-8,4,
154,2,8,2024,9,58,55,426,1677,1076,3592,-4,-10,2,
155,2,8,2024,9,58,55,436,1675,1079,3585,1,-10,4,
156,2,8,2024,9,58,55,446,1678,1074,3589,-3,-8,3,
157,2,8,2024,9,58,55,456,1675,1077,3585,-3,-8,5,
158,2,8,2024,9,58,55,466,1676,1078,3588,-8,-9,4,
159,2,8,2024,9,58,55,476,1686,1076,3589,-6,-10,6,
160,2,8,2024,9,58,55,486,1685,1075,3587,-4,-8,3,
161,2,8,2024,9,58,55,496,1678,1075,3593,-5,-7,1,
162,2,8,2024,9,58,55,506,1679,1080,3589,-6,-8,5,
163,2,8,2024,9,58,55,516,1675,1077,3584,-5,-7,5,
164,2,8,2024,9,58,55,526,1676,1073,3595,-5,-5,2,
165,2,8,2024,9,58,55,536,1681,1071,3584,-4,-9,5,
166,2,8,2024,9,58,55,546,1678,1077,3591,-5,-7,2,
167,2,8,2024,9,58,55,556,1680,1082,3587,-2,-8,4,
168,2,8,2024,9,58,55,566,1672,1075,3589,-5,-8,3,
169,2,8,2024,9,58,55,576,1669,1079,3588,-8,-7,3,
170,2,8,2024,9,58,55,586,1675,1075,3593,-9,-5,5,
171,2,8,2024,9,58,55,606,1680,1074,3587,-4,-8,2,
172,2,8,2024,9,58,55,616,1678,1077,3583,-1,-7,2,
173,2,8,2024,9,58,55,626,1674,1077,3583,-5,-8,5,
174,2,8,2024,9,58,55,636,1674,1077,3592,-6,-9,6,
175,2,8,2024,9,58,55,646,1672,1087,3589,-1,-8,6,
176,2,8,2024,9,58,55,656,1673,1080,3590,-5,-8,4,
177,2,8,2024,9,58,55,666,1677,1077,3589,-8,-6,8,
178,2,8,2024,9,58,55,676,1678,1075,3588,-4,-7,4,
179,2,8,2024,9,58,55,686,1681,1082,3587,-4,-7,7,
180,2,8,2024,9,58,55,696,1682,1072,3592,-8,-10,5,
181,2,8,2024,9,58,55,706,1681,1079,3587,0,-10,6,
182,2,8,2024,9,58,55,716,1681,1079,3584,-4,-8,6,
183,2,8,2024,9,58,55,726,1682,1078,3580,-7,-9,6,
184,2,8,2024,9,58,55,736,1678,1071,3585,-6,-12,7,
185,2,8,2024,9,58,55,746,1674,1073,3589,-7,-12,8,
186,2,8,2024,9,58,55,756,1672,1079,3596,-8,-8,5,
187,2,8,2024,9,58,55,766,1681,1082,3593,-10,-5,6,
188,2,8,2024,9,58,55,776,1688,1074,3584,-9,-10,6,
189,2,8,2024,9,58,55,786,1678,1073,3585,-6,-8,4,
190,2,8,2024,9,58,55,796,1674,1073,3592,-5,-7,2,
191,2,8,2024,9,58,55,806,1677,1081,3588,-5,-8,4,
192,2,8,2024,9,58,55,816,1681,1087,3587,-7,-5,5,
193,2,8,2024,9,58,55,826,1680,1084,3591,-9,-7,6,
194,2,8,2024,9,58,55,836,1676,1084,3589,-8,-13,7,
195,2,8,2024,9,58,55,846,1680,1076,3587,-8,-12,7,
196,2,8,2024,9,58,55,856,1677,1075,3585,-7,-10,7,
197,2,8,2024,9,58,55,866,1677,1077,3593,-8,-8,9,
