Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,2,8,2024,9,42,48,842,96,4135,294,126,175,20,
2,2,8,2024,9,42,48,852,96,4135,294,126,175,20,
3,2,8,2024,9,42,48,862,96,4135,294,126,175,20,
4,2,8,2024,9,42,48,872,96,4135,294,126,175,20,
5,2,8,2024,9,42,48,882,96,4135,294,126,175,20,
6,2,8,2024,9,42,48,892,96,4135,294,126,175,20,
7,2,8,2024,9,42,48,902,1942,896,3500,-10,-2,1,
8,2,8,2024,9,42,48,912,1948,894,3493,-20,1,-2,
9,2,8,2024,9,42,48,922,1951,890,3497,-10,-4,6,
10,2,8,2024,9,42,48,932,1950,894,3506,-9,-5,7,
11,2,8,2024,9,42,48,942,1950,891,3502,-9,-4,6,
12,2,8,2024,9,42,48,952,1946,892,3491,-9,-5,4,
13,2,8,2024,9,42,48,962,1947,889,3499,-10,-8,4,
14,2,8,2024,9,42,48,972,1949,890,3498,-9,-6,6,
15,2,8,2024,9,42,48,982,1943,892,3498,-7,-4,8,
16,2,8,2024,9,42,48,992,1944,887,3496,-9,-7,7,
17,2,8,2024,9,42,49,2,1952,895,3500,-10,-3,3,
18,2,8,2024,9,42,49,12,1946,894,3498,-7,-6,5,
19,2,8,2024,9,42,49,22,1946,893,3502,-6,-5,6,
20,2,8,2024,9,42,49,32,1952,894,3498,-10,-4,4,
21,2,8,2024,9,42,49,42,1949,895,3494,-8,-7,7,
22,2,8,2024,9,42,49,52,1946,891,3497,-8,-6,7,
23,2,8,2024,9,42,49,62,1946,889,3503,-9,-4,4,
24,2,8,2024,9,42,49,72,1947,895,3495,-12,-5,2,
25,2,8,2024,9,42,49,82,1955,891,3499,-10,-2,3,
26,2,8,2024,9,42,49,92,1951,889,3497,-7,-1,4,
27,2,8,2024,9,42,49,102,1952,891,3500,-9,-4,3,
28,2,8,2024,9,42,49,112,1953,897,3497,-8,-8,3,
29,2,8,2024,9,42,49,122,1948,903,3504,-7,-4,9,
30,2,8,2024,9,42,49,132,1944,895,3497,-8,-4,4,
31,2,8,2024,9,42,49,142,1946,892,3496,-5,-4,3,
32,2,8,2024,9,42,49,152,1949,895,3501,-3,-6,5,
33,2,8,2024,9,42,49,162,1948,889,3490,-6,-5,3,
34,2,8,2024,9,42,49,172,1948,887,3488,-6,-5,0,
35,2,8,2024,9,42,49,182,1945,889,3489,-2,-3,3,
36,2,8,2024,9,42,49,192,1944,886,3496,-5,-5,3,
37,2,8,2024,9,42,49,202,1947,891,3498,-6,-6,0,
38,2,8,2024,9,42,49,212,1954,897,3496,-5,-7,-1,
39,2,8,2024,9,42,49,222,1945,894,3499,-3,-9,3,
40,2,8,2024,9,42,49,232,1946,892,3497,-1,-11,6,
41,2,8,2024,9,42,49,242,1953,898,3488,-6,-9,5,
42,2,8,2024,9,42,49,252,1948,892,3500,-5,-5,3,
43,2,8,2024,9,42,49,262,1945,888,3504,-7,-7,6,
44,2,8,2024,9,42,49,272,1952,889,3496,-8,-7,3,
45,2,8,2024,9,42,49,282,1947,890,3492,-8,-5,6,
46,2,8,2024,9,42,49,292,1947,885,3506,-5,-6,2,
47,2,8,2024,9,42,49,302,1948,886,3499,-7,-5,1,
48,2,8,2024,9,42,49,312,1946,891,3500,-5,-9,2,
49,2,8,2024,9,42,49,322,1948,896,3493,-6,-7,3,
50,2,8,2024,9,42,49,332,1948,888,3498,-7,-5,4,
51,2,8,2024,9,42,49,342,1951,890,3499,-10,-1,1,
52,2,8,2024,9,42,49,352,1952,889,3490,-6,-3,-3,
53,2,8,2024,9,42,49,362,1947,892,3496,-7,-3,2,
54,2,8,2024,9,42,49,372,1947,882,3498,-9,-4,5,
55,2,8,2024,9,42,49,382,1953,896,3503,-11,-6,1,
56,2,8,2024,9,42,49,392,1944,889,3502,-12,-3,0,
57,2,8,2024,9,42,49,402,1951,887,3494,-11,-1,2,
58,2,8,2024,9,42,49,412,1945,892,3492,-10,-2,0,
59,2,8,2024,9,42,49,422,1949,892,3501,-12,-2,1,
60,2,8,2024,9,42,49,432,1947,891,3498,-8,0,1,
61,2,8,2024,9,42,49,442,1944,886,3496,-9,-1,3,
62,2,8,2024,9,42,49,452,1949,900,3497,-9,-4,2,
63,2,8,2024,9,42,49,462,1944,896,3498,-12,0,5,
64,2,8,2024,9,42,49,472,1949,885,3497,-12,-4,2,
65,2,8,2024,9,42,49,482,1945,900,3491,-12,-5,5,
66,2,8,2024,9,42,49,492,1948,885,3492,-12,-4,3,
67,2,8,2024,9,42,49,502,1943,888,3497,-11,-2,2,
68,2,8,2024,9,42,49,512,1941,898,3489,-8,-5,5,
69,2,8,2024,9,42,49,522,1945,889,3503,-7,-5,8,
70,2,8,2024,9,42,49,532,1945,892,3495,-5,-4,5,
71,2,8,2024,9,42,49,542,1947,886,3500,-4,-5,2,
72,2,8,2024,9,42,49,552,1942,895,3501,-6,-7,5,
73,2,8,2024,9,42,49,562,1946,897,3498,-9,-5,6,
74,2,8,2024,9,42,49,572,1946,891,3499,-8,-8,7,
75,2,8,2024,9,42,49,582,1950,891,3499,-9,-9,7,
76,2,8,2024,9,42,49,592,1944,890,3501,-9,-8,5,
77,2,8,2024,9,42,49,602,1944,895,3491,-4,-6,7,
78,2,8,2024,9,42,49,612,1940,893,3499,-6,-5,4,
79,2,8,2024,9,42,49,622,1939,893,3500,-8,-7,8,
80,2,8,2024,9,42,49,632,1939,888,3504,-7,-7,9,
81,2,8,2024,9,42,49,642,1940,892,3496,-11,-11,4,
82,2,8,2024,9,42,49,652,1942,886,3496,-12,-11,6,
83,2,8,2024,9,42,49,662,1946,897,3494,-7,-8,8,
84,2,8,2024,9,42,49,672,1946,887,3498,-6,-9,7,
85,2,8,2024,9,42,49,682,1954,882,3497,-4,-7,6,
86,2,8,2024,9,42,49,702,1942,888,3502,-7,-9,5,
87,2,8,2024,9,42,49,712,1949,892,3499,-6,-6,6,
88,2,8,2024,9,42,49,722,1948,884,3492,-5,-8,8,
89,2,8,2024,9,42,49,732,1942,891,3496,-6,-8,7,
90,2,8,2024,9,42,49,742,1944,894,3498,-6,-7,7,
91,2,8,2024,9,42,49,752,1948,895,3496,-7,-5,8,
92,2,8,2024,9,42,49,762,1949,896,3496,-6,-5,11,
93,2,8,2024,9,42,49,772,1944,883,3498,-6,-8,11,
94,2,8,2024,9,42,49,782,1946,888,3499,-4,-8,9,
95,2,8,2024,9,42,49,792,1945,882,3506,-1,-12,10,
96,2,8,2024,9,42,49,802,1945,888,3502,-2,-11,7,
97,2,8,2024,9,42,49,812,1957,893,3497,-2,-9,7,
98,2,8,2024,9,42,49,822,1955,892,3500,-5,-8,6,
99,2,8,2024,9,42,49,832,1947,890,3499,-4,-10,9,
100,2,8,2024,9,42,49,842,1948,896,3496,-5,-5,7,
101,2,8,2024,9,42,49,852,1949,895,3498,-5,-6,7,
102,2,8,2024,9,42,49,862,1948,884,3504,-6,-8,9,
103,2,8,2024,9,42,49,872,1946,885,3503,-6,-8,10,
104,2,8,2024,9,42,49,882,1948,886,3499,-5,-6,6,
105,2,8,2024,9,42,49,892,1946,886,3492,-5,-9,2,
106,2,8,2024,9,42,49,902,1954,893,3490,-5,-9,5,
107,2,8,2024,9,42,49,912,1948,894,3503,-7,-7,7,
108,2,8,2024,9,42,49,922,1945,900,3501,-7,-7,8,
109,2,8,2024,9,42,49,932,1945,897,3494,-8,-7,9,
110,2,8,2024,9,42,49,942,1951,886,3494,-10,-4,10,
111,2,8,2024,9,42,49,952,1939,885,3504,-8,-4,9,
112,2,8,2024,9,42,49,962,1945,895,3493,-7,-6,9,
