Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,1,2023,15,13,19,955,-5,-4036,591,-20,-18,5,
2,12,1,2023,15,13,19,965,-5,-4036,591,-20,-18,5,
3,12,1,2023,15,13,19,975,-5,-4036,591,-20,-18,5,
4,12,1,2023,15,13,19,985,-5,-4036,591,-20,-18,5,
5,12,1,2023,15,13,19,995,-5,-4036,591,-20,-18,5,
6,12,1,2023,15,13,20,5,-5,-4036,591,-20,-18,5,
7,12,1,2023,15,13,20,15,2211,-463,3406,-4,-32,14,
8,12,1,2023,15,13,20,25,2205,-451,3404,-17,-18,4,
9,12,1,2023,15,13,20,35,2211,-440,3405,-17,-28,12,
10,12,1,2023,15,13,20,45,2217,-452,3419,-12,-29,14,
11,12,1,2023,15,13,20,55,2216,-469,3411,-15,-25,12,
12,12,1,2023,15,13,20,65,2211,-467,3408,-12,-22,7,
13,12,1,2023,15,13,20,75,2206,-457,3413,-5,-17,4,
14,12,1,2023,15,13,20,85,2208,-447,3413,-6,-18,7,
15,12,1,2023,15,13,20,95,2221,-449,3402,-7,-22,7,
16,12,1,2023,15,13,20,105,2212,-453,3410,-6,-15,4,
17,12,1,2023,15,13,20,115,2207,-442,3415,-4,-17,7,
18,12,1,2023,15,13,20,125,2212,-440,3407,-6,-23,9,
19,12,1,2023,15,13,20,135,2195,-443,3419,-7,-24,8,
20,12,1,2023,15,13,20,145,2202,-457,3412,-6,-35,6,
21,12,1,2023,15,13,20,155,2219,-447,3408,-5,-39,8,
22,12,1,2023,15,13,20,165,2219,-454,3403,-3,-35,5,
23,12,1,2023,15,13,20,175,2218,-453,3404,2,-34,1,
24,12,1,2023,15,13,20,185,2221,-442,3404,7,-31,1,
25,12,1,2023,15,13,20,195,2208,-453,3404,3,-29,-3,
26,12,1,2023,15,13,20,205,2207,-440,3412,-1,-29,0,
27,12,1,2023,15,13,20,215,2220,-434,3402,-1,-28,5,
28,12,1,2023,15,13,20,225,2221,-446,3403,-4,-24,6,
29,12,1,2023,15,13,20,235,2207,-441,3407,-6,-19,4,
30,12,1,2023,15,13,20,245,2211,-438,3411,-5,-19,7,
31,12,1,2023,15,13,20,255,2217,-444,3406,-8,-16,4,
32,12,1,2023,15,13,20,265,2218,-451,3401,-10,-16,3,
33,12,1,2023,15,13,20,275,2215,-453,3405,-11,-14,6,
34,12,1,2023,15,13,20,285,2211,-432,3408,-12,-14,8,
35,12,1,2023,15,13,20,295,2217,-443,3411,-16,-17,10,
36,12,1,2023,15,13,20,305,2215,-457,3401,-14,-17,13,
37,12,1,2023,15,13,20,315,2219,-455,3403,-9,-12,9,
38,12,1,2023,15,13,20,325,2223,-455,3407,-12,-9,6,
39,12,1,2023,15,13,20,335,2214,-454,3409,-11,-8,8,
40,12,1,2023,15,13,20,345,2218,-448,3407,-9,-4,5,
41,12,1,2023,15,13,20,355,2215,-448,3401,-8,-6,5,
42,12,1,2023,15,13,20,365,2213,-443,3405,-8,-7,2,
43,12,1,2023,15,13,20,375,2215,-445,3411,-7,-6,3,
44,12,1,2023,15,13,20,385,2212,-454,3410,-5,-7,4,
45,12,1,2023,15,13,20,395,2201,-451,3407,-5,-7,3,
46,12,1,2023,15,13,20,405,2217,-441,3399,-5,-9,5,
47,12,1,2023,15,13,20,415,2218,-445,3397,-7,-9,6,
48,12,1,2023,15,13,20,425,2208,-454,3402,-10,-4,4,
49,12,1,2023,15,13,20,435,2220,-452,3400,-8,-2,2,
50,12,1,2023,15,13,20,445,2210,-450,3397,-7,-3,4,
51,12,1,2023,15,13,20,455,2206,-458,3406,-9,-1,7,
52,12,1,2023,15,13,20,465,2213,-455,3407,-6,0,3,
53,12,1,2023,15,13,20,475,2213,-446,3407,-8,-3,5,
54,12,1,2023,15,13,20,485,2214,-447,3411,-8,-7,6,
55,12,1,2023,15,13,20,495,2219,-451,3404,-6,-13,7,
56,12,1,2023,15,13,20,505,2214,-460,3403,-5,-14,5,
57,12,1,2023,15,13,20,515,2203,-448,3401,-5,-15,3,
58,12,1,2023,15,13,20,525,2205,-448,3408,-5,-17,4,
59,12,1,2023,15,13,20,535,2212,-453,3413,-8,-22,4,
60,12,1,2023,15,13,20,545,2216,-447,3400,-7,-23,7,
61,12,1,2023,15,13,20,555,2218,-442,3404,-4,-27,7,
62,12,1,2023,15,13,20,565,2209,-450,3407,-8,-27,6,
63,12,1,2023,15,13,20,575,2214,-444,3406,-11,-31,8,
64,12,1,2023,15,13,20,585,2213,-448,3405,-10,-34,8,
65,12,1,2023,15,13,20,595,2216,-443,3399,-8,-32,10,
66,12,1,2023,15,13,20,605,2215,-461,3395,-10,-31,9,
67,12,1,2023,15,13,20,615,2211,-457,3399,-9,-28,7,
68,12,1,2023,15,13,20,625,2214,-455,3407,-9,-35,7,
69,12,1,2023,15,13,20,635,2209,-444,3402,-6,-40,9,
70,12,1,2023,15,13,20,645,2209,-439,3395,-6,-41,9,
71,12,1,2023,15,13,20,655,2222,-447,3397,-13,-40,9,
72,12,1,2023,15,13,20,665,2216,-462,3397,-11,-39,13,
73,12,1,2023,15,13,20,675,2206,-443,3396,-7,-39,10,
74,12,1,2023,15,13,20,685,2207,-450,3398,-9,-44,10,
75,12,1,2023,15,13,20,695,2211,-475,3406,-14,-46,10,
76,12,1,2023,15,13,20,705,2213,-441,3403,-9,-52,8,
77,12,1,2023,15,13,20,715,2211,-438,3395,-9,-58,9,
78,12,1,2023,15,13,20,725,2205,-454,3399,-14,-62,14,
79,12,1,2023,15,13,20,735,2216,-448,3396,-13,-75,11,
80,12,1,2023,15,13,20,745,2229,-437,3399,-14,-77,12,
81,12,1,2023,15,13,20,755,2226,-447,3394,-16,-80,16,
82,12,1,2023,15,13,20,765,2227,-456,3390,-17,-83,15,
83,12,1,2023,15,13,20,775,2232,-456,3396,-14,-81,17,
84,12,1,2023,15,13,20,785,2241,-456,3390,-19,-80,18,
85,12,1,2023,15,13,20,795,2235,-462,3388,-18,-77,18,
86,12,1,2023,15,13,20,815,2231,-453,3395,-16,-70,19,
87,12,1,2023,15,13,20,825,2242,-462,3379,-20,-70,18,
88,12,1,2023,15,13,20,835,2221,-449,3396,-21,-68,13,
89,12,1,2023,15,13,20,845,2227,-450,3412,-19,-79,18,
90,12,1,2023,15,13,20,855,2235,-455,3393,-23,-99,16,
91,12,1,2023,15,13,20,865,2247,-457,3378,-19,-94,16,
92,12,1,2023,15,13,20,875,2251,-457,3383,-20,-88,17,
93,12,1,2023,15,13,20,885,2240,-461,3382,-19,-86,16,
94,12,1,2023,15,13,20,895,2251,-457,3386,-19,-91,14,
95,12,1,2023,15,13,20,905,2266,-476,3382,-12,-90,16,
96,12,1,2023,15,13,20,915,2264,-472,3383,-10,-79,13,
97,12,1,2023,15,13,20,925,2260,-481,3376,-7,-85,7,
98,12,1,2023,15,13,20,935,2251,-487,3378,-3,-68,0,
99,12,1,2023,15,13,20,945,2264,-480,3375,-2,-57,-7,
100,12,1,2023,15,13,20,955,2271,-470,3367,5,-53,-14,
101,12,1,2023,15,13,20,965,2276,-465,3363,11,-41,-16,
102,12,1,2023,15,13,20,975,2269,-462,3366,9,-26,-14,
103,12,1,2023,15,13,20,985,2273,-450,3367,9,-22,-9,
104,12,1,2023,15,13,20,995,2282,-460,3368,13,-16,-9,
105,12,1,2023,15,13,21,5,2275,-470,3361,30,-14,-2,
106,12,1,2023,15,13,21,15,2274,-458,3357,9,14,-4,
107,12,1,2023,15,13,21,25,2262,-457,3365,7,31,0,
108,12,1,2023,15,13,21,35,2260,-454,3365,9,43,3,
109,12,1,2023,15,13,21,45,2246,-449,3369,3,52,6,
110,12,1,2023,15,13,21,55,2251,-463,3374,-2,51,10,
111,12,1,2023,15,13,21,65,2261,-471,3379,0,53,10,
112,12,1,2023,15,13,21,75,2251,-472,3384,4,61,4,
113,12,1,2023,15,13,21,85,2235,-459,3395,12,60,-1,
114,12,1,2023,15,13,21,95,2246,-457,3399,15,49,0,
115,12,1,2023,15,13,21,105,2240,-479,3403,19,40,-7,
