Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,1,2023,14,35,4,302,0,0,0,0,0,0,
2,12,1,2023,14,35,4,312,0,0,0,0,0,0,
3,12,1,2023,14,35,4,322,0,0,0,0,0,0,
4,12,1,2023,14,35,4,332,0,0,0,0,0,0,
5,12,1,2023,14,35,4,342,0,0,0,0,0,0,
6,12,1,2023,14,35,4,352,0,0,0,0,0,0,
7,12,1,2023,14,35,4,362,1985,-1103,3415,11,-16,-7,
8,12,1,2023,14,35,4,372,2001,-1107,3412,19,-10,-7,
9,12,1,2023,14,35,4,382,1999,-1124,3416,-4,7,-2,
10,12,1,2023,14,35,4,392,1983,-1153,3419,-18,27,12,
11,12,1,2023,14,35,4,402,1959,-1148,3435,-14,37,16,
12,12,1,2023,14,35,4,412,1953,-1145,3447,-26,14,10,
13,12,1,2023,14,35,4,422,1989,-1145,3427,-20,-4,7,
14,12,1,2023,14,35,4,432,1970,-1143,3417,1,4,8,
15,12,1,2023,14,35,4,442,1954,-1135,3421,42,-7,-11,
16,12,1,2023,14,35,4,452,2014,-1091,3402,70,-17,-24,
17,12,1,2023,14,35,4,462,2011,-1070,3420,46,7,-4,
18,12,1,2023,14,35,4,472,1987,-1116,3423,10,33,17,
19,12,1,2023,14,35,4,482,1975,-1115,3437,-14,41,20,
20,12,1,2023,14,35,4,492,1960,-1141,3435,-38,33,29,
21,12,1,2023,14,35,4,502,1951,-1161,3435,-38,26,22,
22,12,1,2023,14,35,4,512,1965,-1139,3423,-2,-11,1,
23,12,1,2023,14,35,4,522,1976,-1120,3416,30,-14,-13,
24,12,1,2023,14,35,4,532,1996,-1117,3406,54,2,-14,
25,12,1,2023,14,35,4,542,1987,-1095,3425,60,33,-6,
26,12,1,2023,14,35,4,552,1983,-1096,3437,32,37,8,
27,12,1,2023,14,35,4,562,1961,-1119,3441,0,34,16,
28,12,1,2023,14,35,4,572,1956,-1162,3435,-10,35,12,
29,12,1,2023,14,35,4,582,1961,-1152,3428,-14,20,10,
30,12,1,2023,14,35,4,592,1943,-1135,3424,-6,15,8,
31,12,1,2023,14,35,4,602,1953,-1123,3433,-5,-4,-2,
32,12,1,2023,14,35,4,612,1950,-1098,3425,-3,-21,-7,
33,12,1,2023,14,35,4,622,2009,-1100,3404,-1,-35,-14,
34,12,1,2023,14,35,4,632,2007,-1119,3413,-4,-2,1,
35,12,1,2023,14,35,4,642,1975,-1133,3424,6,32,9,
36,12,1,2023,14,35,4,652,1962,-1161,3439,12,38,10,
37,12,1,2023,14,35,4,662,1987,-1177,3440,22,33,7,
38,12,1,2023,14,35,4,672,1940,-1098,3446,16,30,14,
39,12,1,2023,14,35,4,682,1969,-1130,3453,-12,11,16,
40,12,1,2023,14,35,4,692,1938,-1151,3449,-34,9,12,
41,12,1,2023,14,35,4,702,1931,-1147,3441,-25,-20,1,
42,12,1,2023,14,35,4,712,2003,-1148,3418,-13,-50,-23,
43,12,1,2023,14,35,4,722,2002,-1098,3423,-13,-22,-24,
44,12,1,2023,14,35,4,732,1995,-1124,3443,-3,20,-7,
45,12,1,2023,14,35,4,742,1975,-1160,3457,-13,57,4,
46,12,1,2023,14,35,4,752,1927,-1220,3523,-162,94,73,
47,12,1,2023,14,35,4,762,2065,-1079,3512,-459,64,128,
48,12,1,2023,14,35,4,772,1827,-1335,3488,-671,146,225,
49,12,1,2023,14,35,4,782,1901,-1117,3451,-941,32,175,
50,12,1,2023,14,35,4,792,1960,-1313,3432,-1066,-26,178,
51,12,1,2023,14,35,4,802,1957,-1364,3441,-1236,-38,274,
52,12,1,2023,14,35,4,812,1866,-1198,3333,-1352,-30,320,
