Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,1,2023,15,40,24,798,29,-4074,-15,-5,-6,0,
2,12,1,2023,15,40,24,808,29,-4074,-15,-5,-6,0,
3,12,1,2023,15,40,24,818,29,-4074,-15,-5,-6,0,
4,12,1,2023,15,40,24,828,29,-4074,-15,-5,-6,0,
5,12,1,2023,15,40,24,838,29,-4074,-15,-5,-6,0,
6,12,1,2023,15,40,24,848,29,-4074,-15,-5,-6,0,
7,12,1,2023,15,40,24,858,2257,-482,3350,-6,-15,3,
8,12,1,2023,15,40,24,868,2238,-458,3364,4,-16,7,
9,12,1,2023,15,40,24,878,2260,-451,3359,-5,-25,-4,
10,12,1,2023,15,40,24,888,2272,-477,3365,-7,-28,1,
11,12,1,2023,15,40,24,898,2276,-495,3361,-22,-27,2,
12,12,1,2023,15,40,24,908,2274,-497,3360,-37,-19,-3,
13,12,1,2023,15,40,24,918,2295,-482,3363,-29,-26,-4,
14,12,1,2023,15,40,24,928,2285,-507,3352,-18,-11,6,
15,12,1,2023,15,40,24,938,2257,-487,3365,-5,-1,9,
16,12,1,2023,15,40,24,948,2264,-483,3360,5,-13,1,
17,12,1,2023,15,40,24,958,2275,-468,3358,14,-24,-5,
18,12,1,2023,15,40,24,968,2264,-492,3365,11,-27,-4,
19,12,1,2023,15,40,24,978,2270,-464,3371,6,-36,-10,
20,12,1,2023,15,40,24,988,2288,-517,3358,-12,-31,-7,
21,12,1,2023,15,40,24,998,2293,-537,3348,-2,-15,4,
22,12,1,2023,15,40,25,8,2263,-476,3360,18,-3,8,
23,12,1,2023,15,40,25,18,2267,-444,3357,22,-2,5,
24,12,1,2023,15,40,25,28,2270,-453,3352,26,-10,5,
25,12,1,2023,15,40,25,38,2264,-471,3366,39,-24,-2,
26,12,1,2023,15,40,25,48,2278,-442,3371,33,-34,-9,
27,12,1,2023,15,40,25,58,2311,-476,3362,-1,-27,-4,
28,12,1,2023,15,40,25,68,2296,-512,3359,-20,1,11,
29,12,1,2023,15,40,25,78,2289,-498,3349,-14,19,16,
30,12,1,2023,15,40,25,88,2253,-461,3360,-1,25,14,
31,12,1,2023,15,40,25,98,2260,-469,3360,-3,11,9,
32,12,1,2023,15,40,25,108,2264,-482,3356,-2,0,4,
33,12,1,2023,15,40,25,118,2271,-460,3359,15,-13,-4,
34,12,1,2023,15,40,25,128,2294,-476,3363,16,-19,-5,
35,12,1,2023,15,40,25,138,2288,-505,3362,6,-8,4,
36,12,1,2023,15,40,25,148,2290,-472,3360,-1,2,7,
37,12,1,2023,15,40,25,158,2265,-493,3365,-11,13,11,
38,12,1,2023,15,40,25,168,2280,-511,3365,-3,12,4,
39,12,1,2023,15,40,25,178,2272,-477,3358,14,8,2,
40,12,1,2023,15,40,25,188,2244,-448,3361,21,1,-2,
41,12,1,2023,15,40,25,198,2262,-441,3365,12,-14,-9,
42,12,1,2023,15,40,25,208,2265,-473,3363,-1,-22,-13,
43,12,1,2023,15,40,25,218,2257,-463,3368,-7,-28,-13,
44,12,1,2023,15,40,25,228,2284,-488,3361,-12,-41,-15,
45,12,1,2023,15,40,25,238,2299,-499,3354,-11,-35,-15,
46,12,1,2023,15,40,25,248,2284,-495,3362,-7,-14,-6,
47,12,1,2023,15,40,25,258,2273,-489,3359,11,-1,-3,
48,12,1,2023,15,40,25,268,2264,-460,3366,23,-6,-3,
49,12,1,2023,15,40,25,278,2255,-456,3364,11,-13,-6,
50,12,1,2023,15,40,25,288,2254,-485,3370,-4,-23,-7,
51,12,1,2023,15,40,25,298,2268,-499,3366,-7,-29,-10,
52,12,1,2023,15,40,25,308,2292,-498,3351,0,-28,-7,
53,12,1,2023,15,40,25,318,2260,-451,3371,-4,-19,4,
54,12,1,2023,15,40,25,328,2252,-466,3378,-39,-26,-1,
55,12,1,2023,15,40,25,338,2275,-478,3362,-65,-43,-5,
56,12,1,2023,15,40,25,348,2276,-476,3371,-86,-55,-10,
57,12,1,2023,15,40,25,358,2268,-494,3386,-121,-71,-20,
58,12,1,2023,15,40,25,368,2280,-508,3401,-168,-91,-24,
59,12,1,2023,15,40,25,378,2307,-580,3370,-231,-114,-25,
60,12,1,2023,15,40,25,388,2389,-422,3291,-231,-90,-24,
61,12,1,2023,15,40,25,398,2315,-538,3333,-201,25,29,
62,12,1,2023,15,40,25,408,2226,-585,3399,-136,50,40,
63,12,1,2023,15,40,25,418,2262,-534,3374,-138,-5,1,
64,12,1,2023,15,40,25,428,2231,-451,3386,-197,-39,-41,
65,12,1,2023,15,40,25,438,2234,-460,3376,-291,-92,-72,
66,12,1,2023,15,40,25,448,2255,-521,3405,-422,-148,-109,
67,12,1,2023,15,40,25,458,2265,-592,3353,-475,-211,-121,
68,12,1,2023,15,40,25,468,2316,-553,3304,-435,-255,-143,
69,12,1,2023,15,40,25,478,2279,-429,3320,-373,-260,-144,
70,12,1,2023,15,40,25,488,2314,-434,3316,-387,-261,-129,
71,12,1,2023,15,40,25,498,2347,-527,3301,-406,-233,-108,
72,12,1,2023,15,40,25,508,2366,-578,3288,-356,-186,-78,
73,12,1,2023,15,40,25,518,2365,-578,3287,-287,-118,-48,
74,12,1,2023,15,40,25,528,2357,-584,3275,-205,-51,-13,
75,12,1,2023,15,40,25,538,2380,-581,3291,-140,13,17,
76,12,1,2023,15,40,25,548,2341,-569,3288,-157,110,34,
77,12,1,2023,15,40,25,558,2271,-534,3335,-166,146,20,
78,12,1,2023,15,40,25,568,2291,-537,3328,-167,111,1,
79,12,1,2023,15,40,25,578,2285,-550,3334,-164,84,-16,
80,12,1,2023,15,40,25,588,2270,-531,3331,-172,50,-22,
81,12,1,2023,15,40,25,598,2219,-525,3349,-130,3,-13,
82,12,1,2023,15,40,25,608,2349,-526,3309,-76,-71,-21,
83,12,1,2023,15,40,25,618,2298,-613,3319,-65,-51,-10,
84,12,1,2023,15,40,25,628,2298,-555,3323,-63,-56,-19,
85,12,1,2023,15,40,25,638,2330,-582,3318,-80,-59,-15,
86,12,1,2023,15,40,25,658,2306,-566,3310,-53,-26,12,
87,12,1,2023,15,40,25,668,2309,-574,3325,-22,-24,10,
88,12,1,2023,15,40,25,678,2317,-589,3322,-29,-26,7,
89,12,1,2023,15,40,25,688,2313,-591,3322,-21,-23,3,
90,12,1,2023,15,40,25,698,2322,-593,3307,-13,-21,4,
91,12,1,2023,15,40,25,708,2321,-590,3321,-14,-17,1,
92,12,1,2023,15,40,25,718,2324,-581,3320,-11,-16,0,
93,12,1,2023,15,40,25,728,2314,-564,3320,-13,-12,1,
94,12,1,2023,15,40,25,738,2316,-574,3318,-14,-10,5,
95,12,1,2023,15,40,25,748,2316,-589,3308,-14,-11,0,
96,12,1,2023,15,40,25,758,2313,-586,3315,-13,-9,0,
97,12,1,2023,15,40,25,768,2310,-578,3320,-11,-11,0,
98,12,1,2023,15,40,25,778,2320,-584,3310,-11,-14,0,
99,12,1,2023,15,40,25,788,2324,-587,3306,-8,-11,0,
100,12,1,2023,15,40,25,798,2322,-585,3316,-8,-7,0,
101,12,1,2023,15,40,25,808,2319,-571,3322,-8,-4,3,
102,12,1,2023,15,40,25,818,2325,-578,3317,-9,-5,7,
103,12,1,2023,15,40,25,828,2317,-588,3318,-12,1,3,
104,12,1,2023,15,40,25,838,2313,-588,3324,-10,0,2,
105,12,1,2023,15,40,25,848,2310,-592,3322,-13,1,5,
106,12,1,2023,15,40,25,858,2312,-595,3321,-10,-5,1,
107,12,1,2023,15,40,25,868,2308,-587,3321,-8,-10,-1,
108,12,1,2023,15,40,25,878,2318,-576,3319,-8,-8,3,
109,12,1,2023,15,40,25,888,2309,-574,3323,-9,-6,-1,
110,12,1,2023,15,40,25,898,2322,-566,3318,-8,-7,2,
111,12,1,2023,15,40,25,908,2330,-572,3313,-10,-5,4,
112,12,1,2023,15,40,25,918,2322,-579,3307,-11,-2,4,
113,12,1,2023,15,40,25,928,2316,-577,3307,-10,0,2,
114,12,1,2023,15,40,25,938,2318,-582,3314,-11,2,5,
115,12,1,2023,15,40,25,948,2319,-582,3320,-13,7,9,
116,12,1,2023,15,40,25,958,2317,-590,3319,-15,8,10,
117,12,1,2023,15,40,25,968,2321,-596,3317,-10,4,6,
118,12,1,2023,15,40,25,978,2312,-592,3312,-5,3,3,
119,12,1,2023,15,40,25,988,2309,-589,3322,-8,6,1,
120,12,1,2023,15,40,25,998,2310,-589,3316,-7,5,2,
