Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,1,2023,15,40,18,1,79,-4046,539,-1,5,2,
2,12,1,2023,15,40,18,11,79,-4046,539,-1,5,2,
3,12,1,2023,15,40,18,21,79,-4046,539,-1,5,2,
4,12,1,2023,15,40,18,31,79,-4046,539,-1,5,2,
5,12,1,2023,15,40,18,41,79,-4046,539,-1,5,2,
6,12,1,2023,15,40,18,51,79,-4046,539,-1,5,2,
7,12,1,2023,15,40,18,61,2202,424,3438,-3,1,17,
8,12,1,2023,15,40,18,71,2194,421,3445,0,-2,11,
9,12,1,2023,15,40,18,81,2192,439,3445,-1,6,5,
10,12,1,2023,15,40,18,91,2198,443,3445,1,7,1,
11,12,1,2023,15,40,18,101,2197,437,3451,2,6,-2,
12,12,1,2023,15,40,18,111,2191,447,3453,-1,7,-1,
13,12,1,2023,15,40,18,121,2195,446,3446,3,10,1,
14,12,1,2023,15,40,18,131,2189,437,3444,7,12,-2,
15,12,1,2023,15,40,18,141,2194,432,3455,9,12,-11,
16,12,1,2023,15,40,18,151,2191,433,3453,13,12,-13,
17,12,1,2023,15,40,18,161,2197,440,3450,17,9,-17,
18,12,1,2023,15,40,18,171,2202,442,3451,19,9,-18,
19,12,1,2023,15,40,18,181,2200,446,3454,22,12,-20,
20,12,1,2023,15,40,18,191,2201,453,3450,22,9,-20,
21,12,1,2023,15,40,18,201,2191,455,3454,20,11,-19,
22,12,1,2023,15,40,18,211,2199,454,3450,18,9,-15,
23,12,1,2023,15,40,18,221,2193,446,3451,18,7,-19,
24,12,1,2023,15,40,18,231,2189,441,3446,19,13,-19,
25,12,1,2023,15,40,18,241,2196,455,3448,22,15,-20,
26,12,1,2023,15,40,18,251,2199,454,3445,19,17,-26,
27,12,1,2023,15,40,18,261,2195,446,3458,21,18,-27,
28,12,1,2023,15,40,18,271,2182,455,3468,27,15,-26,
29,12,1,2023,15,40,18,281,2192,465,3471,22,9,-26,
30,12,1,2023,15,40,18,291,2196,473,3471,19,1,-23,
31,12,1,2023,15,40,18,301,2186,469,3460,14,-5,-14,
32,12,1,2023,15,40,18,311,2200,468,3452,14,-9,-11,
33,12,1,2023,15,40,18,321,2200,470,3451,10,-8,-18,
34,12,1,2023,15,40,18,331,2194,475,3461,12,-11,-14,
35,12,1,2023,15,40,18,341,2192,467,3461,11,-15,-10,
36,12,1,2023,15,40,18,351,2203,478,3453,6,-16,-9,
37,12,1,2023,15,40,18,361,2209,476,3453,4,-18,-7,
38,12,1,2023,15,40,18,371,2206,471,3445,3,-19,-4,
39,12,1,2023,15,40,18,381,2210,466,3433,7,-14,-1,
40,12,1,2023,15,40,18,391,2209,463,3439,11,-9,-4,
41,12,1,2023,15,40,18,401,2206,460,3447,9,0,-8,
42,12,1,2023,15,40,18,411,2209,477,3447,5,4,-11,
43,12,1,2023,15,40,18,421,2208,472,3446,9,4,-6,
44,12,1,2023,15,40,18,431,2208,471,3443,4,7,-6,
45,12,1,2023,15,40,18,441,2203,479,3444,5,10,-7,
46,12,1,2023,15,40,18,451,2204,476,3452,1,16,-8,
47,12,1,2023,15,40,18,461,2207,462,3452,-3,20,-6,
48,12,1,2023,15,40,18,471,2200,464,3447,-2,19,-7,
49,12,1,2023,15,40,18,481,2206,457,3452,2,17,-6,
50,12,1,2023,15,40,18,491,2203,463,3455,1,23,-4,
51,12,1,2023,15,40,18,501,2192,465,3451,2,22,-5,
52,12,1,2023,15,40,18,511,2195,459,3455,3,18,-7,
53,12,1,2023,15,40,18,521,2178,475,3463,3,15,-4,
54,12,1,2023,15,40,18,531,2195,475,3458,0,7,1,
55,12,1,2023,15,40,18,541,2195,472,3462,-8,-3,3,
56,12,1,2023,15,40,18,551,2191,463,3454,-5,-4,4,
57,12,1,2023,15,40,18,561,2197,454,3446,-4,-6,5,
58,12,1,2023,15,40,18,571,2197,448,3448,-7,-7,4,
59,12,1,2023,15,40,18,581,2200,455,3448,-1,-3,-2,
60,12,1,2023,15,40,18,591,2201,454,3450,7,2,-6,
61,12,1,2023,15,40,18,601,2205,460,3450,6,6,-7,
62,12,1,2023,15,40,18,611,2202,464,3451,6,6,-8,
63,12,1,2023,15,40,18,621,2199,471,3452,11,5,-7,
64,12,1,2023,15,40,18,631,2204,469,3446,10,6,-9,
65,12,1,2023,15,40,18,641,2210,473,3445,8,7,-9,
66,12,1,2023,15,40,18,651,2199,467,3448,7,13,-7,
67,12,1,2023,15,40,18,661,2199,471,3452,7,17,-7,
68,12,1,2023,15,40,18,671,2199,472,3447,8,15,-7,
69,12,1,2023,15,40,18,681,2202,465,3447,5,13,-4,
70,12,1,2023,15,40,18,691,2201,473,3453,6,17,-3,
71,12,1,2023,15,40,18,701,2197,479,3450,8,22,-6,
72,12,1,2023,15,40,18,711,2193,473,3451,5,19,-6,
73,12,1,2023,15,40,18,721,2197,478,3459,2,17,-4,
74,12,1,2023,15,40,18,731,2198,474,3461,-2,15,1,
75,12,1,2023,15,40,18,741,2191,467,3448,-3,15,2,
76,12,1,2023,15,40,18,751,2188,465,3451,1,14,0,
77,12,1,2023,15,40,18,761,2185,468,3455,0,12,3,
78,12,1,2023,15,40,18,771,2188,462,3458,-3,11,2,
79,12,1,2023,15,40,18,781,2195,461,3459,-3,3,2,
80,12,1,2023,15,40,18,791,2182,460,3459,-2,1,1,
81,12,1,2023,15,40,18,801,2190,468,3459,-3,-1,0,
82,12,1,2023,15,40,18,811,2191,466,3456,-3,-3,5,
83,12,1,2023,15,40,18,821,2194,460,3455,-2,-9,0,
84,12,1,2023,15,40,18,831,2189,467,3461,0,-6,-2,
85,12,1,2023,15,40,18,841,2196,474,3452,-5,-8,1,
86,12,1,2023,15,40,18,861,2196,468,3455,-3,-8,-1,
87,12,1,2023,15,40,18,871,2195,468,3447,0,-9,0,
88,12,1,2023,15,40,18,881,2192,463,3450,1,-11,1,
89,12,1,2023,15,40,18,891,2198,465,3453,-2,-13,2,
90,12,1,2023,15,40,18,901,2202,456,3442,3,-10,0,
91,12,1,2023,15,40,18,911,2195,470,3450,4,-5,-4,
92,12,1,2023,15,40,18,921,2184,473,3454,6,-6,-6,
93,12,1,2023,15,40,18,931,2185,458,3454,4,-12,-8,
94,12,1,2023,15,40,18,941,2195,467,3458,5,-13,-9,
95,12,1,2023,15,40,18,951,2195,467,3466,5,-18,-7,
96,12,1,2023,15,40,18,961,2196,469,3460,3,-23,-6,
97,12,1,2023,15,40,18,971,2194,469,3453,1,-21,-6,
98,12,1,2023,15,40,18,981,2197,472,3453,0,-22,-5,
99,12,1,2023,15,40,18,991,2205,470,3443,1,-28,-4,
100,12,1,2023,15,40,19,1,2200,464,3442,0,-25,-9,
101,12,1,2023,15,40,19,11,2205,475,3449,1,-21,-7,
102,12,1,2023,15,40,19,21,2199,463,3439,-3,-18,-7,
103,12,1,2023,15,40,19,31,2199,464,3450,-3,-20,-9,
104,12,1,2023,15,40,19,41,2207,481,3450,0,-20,-9,
105,12,1,2023,15,40,19,51,2206,474,3449,-4,-16,-10,
106,12,1,2023,15,40,19,61,2203,476,3452,-5,-18,-6,
107,12,1,2023,15,40,19,71,2209,472,3453,-7,-17,-1,
108,12,1,2023,15,40,19,81,2206,476,3455,-8,-17,-2,
109,12,1,2023,15,40,19,91,2203,475,3441,-6,-18,-1,
110,12,1,2023,15,40,19,101,2217,476,3441,-8,-16,0,
111,12,1,2023,15,40,19,111,2213,471,3442,-9,-19,2,
112,12,1,2023,15,40,19,121,2209,472,3445,-10,-17,4,
113,12,1,2023,15,40,19,131,2209,480,3452,-13,-17,2,
114,12,1,2023,15,40,19,141,2217,466,3446,-14,-19,5,
115,12,1,2023,15,40,19,151,2214,472,3441,-15,-19,8,
116,12,1,2023,15,40,19,161,2207,459,3435,-14,-13,9,
117,12,1,2023,15,40,19,171,2206,444,3442,-12,-8,4,
118,12,1,2023,15,40,19,181,2213,464,3435,-5,-8,0,
119,12,1,2023,15,40,19,191,2216,474,3445,-4,-3,-1,
120,12,1,2023,15,40,19,201,2219,470,3451,-4,1,-1,
121,12,1,2023,15,40,19,211,2213,468,3462,-4,2,-1,
122,12,1,2023,15,40,19,221,2208,484,3454,-5,2,5,
123,12,1,2023,15,40,19,231,2214,474,3449,-11,-3,4,
124,12,1,2023,15,40,19,241,2203,479,3449,-13,-4,7,
125,12,1,2023,15,40,19,251,2203,464,3445,-18,-9,15,
126,12,1,2023,15,40,19,261,2201,465,3444,-21,-11,12,
127,12,1,2023,15,40,19,271,2201,471,3449,-17,-12,10,
128,12,1,2023,15,40,19,281,2200,465,3445,-18,-15,15,
129,12,1,2023,15,40,19,291,2208,456,3438,-18,-14,15,
130,12,1,2023,15,40,19,301,2213,457,3443,-18,-13,15,
131,12,1,2023,15,40,19,311,2225,463,3440,-17,-9,10,
132,12,1,2023,15,40,19,321,2222,466,3438,-13,-7,13,
133,12,1,2023,15,40,19,331,2220,469,3434,-14,-1,10,
134,12,1,2023,15,40,19,341,2218,467,3438,-13,7,10,
135,12,1,2023,15,40,19,351,2228,462,3447,-9,6,12,
136,12,1,2023,15,40,19,361,2212,440,3442,-12,9,9,
137,12,1,2023,15,40,19,371,2204,456,3446,-8,18,5,
138,12,1,2023,15,40,19,381,2201,459,3442,-4,17,3,
139,12,1,2023,15,40,19,391,2195,442,3452,-2,11,2,
140,12,1,2023,15,40,19,401,2207,455,3454,0,9,1,
141,12,1,2023,15,40,19,411,2212,473,3449,-4,3,-1,
142,12,1,2023,15,40,19,421,2208,470,3446,-6,3,3,
143,12,1,2023,15,40,19,431,2211,467,3441,-5,4,2,
144,12,1,2023,15,40,19,441,2219,460,3444,-1,5,0,
145,12,1,2023,15,40,19,451,2218,462,3438,-2,7,2,
146,12,1,2023,15,40,19,461,2215,471,3445,-5,3,6,
147,12,1,2023,15,40,19,471,2214,465,3438,-5,3,7,
148,12,1,2023,15,40,19,481,2210,469,3438,-6,6,7,
149,12,1,2023,15,40,19,491,2209,462,3439,-5,8,6,
150,12,1,2023,15,40,19,501,2206,452,3436,-5,12,9,
151,12,1,2023,15,40,19,511,2212,461,3434,-6,14,6,
152,12,1,2023,15,40,19,521,2221,456,3431,-6,17,4,
153,12,1,2023,15,40,19,531,2205,456,3442,-3,21,6,
154,12,1,2023,15,40,19,541,2200,454,3444,-3,24,4,
155,12,1,2023,15,40,19,551,2206,456,3455,1,19,2,
156,12,1,2023,15,40,19,561,2205,475,3453,-3,19,2,
157,12,1,2023,15,40,19,571,2201,456,3441,-5,15,6,
158,12,1,2023,15,40,19,581,2209,453,3442,-4,12,3,
159,12,1,2023,15,40,19,591,2208,471,3440,-3,14,4,
160,12,1,2023,15,40,19,601,2201,451,3436,-1,16,1,
161,12,1,2023,15,40,19,611,2203,451,3444,2,15,-1,
162,12,1,2023,15,40,19,621,2207,458,3441,3,18,-1,
163,12,1,2023,15,40,19,631,2194,452,3446,6,17,-3,
164,12,1,2023,15,40,19,641,2200,458,3452,9,15,-8,
165,12,1,2023,15,40,19,651,2197,459,3455,6,14,-7,
166,12,1,2023,15,40,19,661,2196,448,3454,8,10,-8,
167,12,1,2023,15,40,19,671,2197,464,3452,9,7,-8,
168,12,1,2023,15,40,19,681,2212,465,3443,8,8,-7,
169,12,1,2023,15,40,19,691,2213,465,3445,7,11,-6,
170,12,1,2023,15,40,19,701,2211,463,3445,4,9,-4,
171,12,1,2023,15,40,19,721,2200,458,3444,6,10,-5,
172,12,1,2023,15,40,19,731,2198,461,3445,8,5,-4,
173,12,1,2023,15,40,19,741,2206,454,3438,8,5,-6,
174,12,1,2023,15,40,19,751,2213,464,3446,9,8,-8,
175,12,1,2023,15,40,19,761,2212,470,3439,10,8,-9,
176,12,1,2023,15,40,19,771,2206,470,3445,12,16,-6,
177,12,1,2023,15,40,19,781,2210,460,3452,11,20,-10,
178,12,1,2023,15,40,19,791,2204,457,3459,8,20,-9,
179,12,1,2023,15,40,19,801,2201,464,3452,7,13,-9,
