Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,1,2023,15,52,36,363,29,-4076,294,237,1643,64,
2,12,1,2023,15,52,36,373,29,-4076,294,237,1643,64,
3,12,1,2023,15,52,36,383,29,-4076,294,237,1643,64,
4,12,1,2023,15,52,36,393,29,-4076,294,237,1643,64,
5,12,1,2023,15,52,36,403,29,-4076,294,237,1643,64,
6,12,1,2023,15,52,36,413,29,-4076,294,237,1643,64,
7,12,1,2023,15,52,36,423,2358,123,3359,-13,13,10,
8,12,1,2023,15,52,36,433,2361,128,3358,8,7,20,
9,12,1,2023,15,52,36,443,2360,119,3365,-3,21,10,
10,12,1,2023,15,52,36,453,2356,111,3362,-1,34,3,
11,12,1,2023,15,52,36,463,2355,133,3365,4,40,0,
12,12,1,2023,15,52,36,473,2353,126,3382,6,48,0,
13,12,1,2023,15,52,36,483,2357,126,3386,9,49,0,
14,12,1,2023,15,52,36,493,2350,128,3377,10,45,3,
15,12,1,2023,15,52,36,503,2345,129,3383,9,46,0,
16,12,1,2023,15,52,36,513,2345,121,3380,8,49,-1,
17,12,1,2023,15,52,36,523,2336,111,3383,6,47,-4,
18,12,1,2023,15,52,36,533,2338,120,3391,10,39,-7,
19,12,1,2023,15,52,36,543,2347,131,3397,9,35,-7,
20,12,1,2023,15,52,36,553,2351,131,3385,8,32,-4,
21,12,1,2023,15,52,36,563,2348,136,3386,9,31,-3,
22,12,1,2023,15,52,36,573,2345,132,3385,7,27,-3,
23,12,1,2023,15,52,36,583,2348,135,3381,2,27,-2,
24,12,1,2023,15,52,36,593,2350,129,3382,2,27,0,
25,12,1,2023,15,52,36,603,2348,136,3384,4,34,-1,
26,12,1,2023,15,52,36,613,2338,120,3390,4,37,0,
27,12,1,2023,15,52,36,623,2331,118,3387,4,31,4,
28,12,1,2023,15,52,36,633,2335,127,3385,5,29,-3,
29,12,1,2023,15,52,36,643,2342,146,3391,4,30,-4,
30,12,1,2023,15,52,36,653,2346,129,3385,3,28,2,
31,12,1,2023,15,52,36,663,2344,130,3390,3,26,1,
32,12,1,2023,15,52,36,673,2345,157,3385,2,26,1,
33,12,1,2023,15,52,36,683,2333,135,3391,-4,23,6,
34,12,1,2023,15,52,36,693,2327,132,3395,-6,20,9,
35,12,1,2023,15,52,36,703,2340,130,3389,-7,16,9,
36,12,1,2023,15,52,36,713,2341,135,3386,-6,17,9,
37,12,1,2023,15,52,36,723,2329,110,3386,-9,21,10,
38,12,1,2023,15,52,36,733,2338,115,3375,-7,19,11,
39,12,1,2023,15,52,36,743,2326,113,3387,-1,19,8,
40,12,1,2023,15,52,36,753,2325,111,3400,3,23,2,
41,12,1,2023,15,52,36,763,2342,138,3394,8,14,0,
42,12,1,2023,15,52,36,773,2328,141,3408,0,8,2,
43,12,1,2023,15,52,36,783,2329,126,3403,-4,6,6,
44,12,1,2023,15,52,36,793,2333,132,3398,-7,-4,5,
45,12,1,2023,15,52,36,803,2341,137,3386,-5,-10,6,
46,12,1,2023,15,52,36,813,2326,104,3395,-5,-10,6,
47,12,1,2023,15,52,36,823,2345,115,3386,-1,-12,3,
48,12,1,2023,15,52,36,833,2332,116,3389,-2,-13,0,
49,12,1,2023,15,52,36,843,2329,127,3388,-1,-13,-1,
50,12,1,2023,15,52,36,853,2334,121,3391,-2,-12,-1,
51,12,1,2023,15,52,36,863,2336,126,3402,-1,-20,-2,
52,12,1,2023,15,52,36,873,2336,131,3392,-1,-23,-1,
53,12,1,2023,15,52,36,883,2337,127,3388,-1,-25,-1,
54,12,1,2023,15,52,36,893,2343,121,3383,2,-26,-2,
55,12,1,2023,15,52,36,903,2347,126,3379,3,-21,-2,
56,12,1,2023,15,52,36,913,2349,127,3380,2,-20,-5,
57,12,1,2023,15,52,36,923,2346,131,3379,-1,-15,-5,
58,12,1,2023,15,52,36,933,2349,140,3387,2,-10,-3,
59,12,1,2023,15,52,36,943,2341,127,3382,3,-8,-5,
60,12,1,2023,15,52,36,953,2350,130,3393,1,-9,-6,
61,12,1,2023,15,52,36,963,2340,130,3401,0,-12,0,
62,12,1,2023,15,52,36,973,2340,132,3396,0,-17,-1,
63,12,1,2023,15,52,36,983,2348,132,3400,-1,-21,-1,
64,12,1,2023,15,52,36,993,2346,139,3396,-2,-24,-1,
65,12,1,2023,15,52,37,3,2342,125,3392,-4,-24,-1,
66,12,1,2023,15,52,37,13,2352,134,3384,-6,-23,1,
67,12,1,2023,15,52,37,23,2358,129,3387,-8,-24,2,
68,12,1,2023,15,52,37,33,2358,136,3375,-7,-20,4,
69,12,1,2023,15,52,37,43,2355,112,3361,-7,-15,3,
70,12,1,2023,15,52,37,53,2366,133,3352,-1,-7,5,
71,12,1,2023,15,52,37,63,2359,110,3356,3,4,1,
72,12,1,2023,15,52,37,73,2360,118,3366,6,17,-7,
73,12,1,2023,15,52,37,83,2349,132,3374,8,29,-10,
74,12,1,2023,15,52,37,93,2347,124,3378,10,38,-11,
75,12,1,2023,15,52,37,103,2349,131,3384,12,35,-10,
76,12,1,2023,15,52,37,113,2341,135,3390,10,31,-7,
77,12,1,2023,15,52,37,123,2345,140,3392,8,31,-7,
78,12,1,2023,15,52,37,133,2339,137,3387,4,37,0,
79,12,1,2023,15,52,37,143,2337,136,3386,2,30,2,
80,12,1,2023,15,52,37,153,2340,142,3387,3,32,3,
81,12,1,2023,15,52,37,163,2344,133,3378,3,32,-1,
82,12,1,2023,15,52,37,173,2342,122,3392,2,33,-2,
83,12,1,2023,15,52,37,183,2333,127,3390,4,33,1,
84,12,1,2023,15,52,37,193,2332,114,3391,7,33,-3,
85,12,1,2023,15,52,37,203,2335,119,3395,12,29,-6,
86,12,1,2023,15,52,37,223,2328,130,3396,10,27,-8,
87,12,1,2023,15,52,37,233,2335,140,3398,7,22,-12,
88,12,1,2023,15,52,37,243,2342,148,3398,6,15,-7,
89,12,1,2023,15,52,37,253,2339,142,3400,4,15,-1,
90,12,1,2023,15,52,37,263,2337,140,3394,-1,16,-3,
91,12,1,2023,15,52,37,273,2326,128,3397,-3,12,-3,
92,12,1,2023,15,52,37,283,2331,129,3395,2,7,-1,
93,12,1,2023,15,52,37,293,2330,123,3391,-3,4,0,
94,12,1,2023,15,52,37,303,2336,142,3392,0,4,0,
95,12,1,2023,15,52,37,313,2331,137,3390,-1,2,3,
96,12,1,2023,15,52,37,323,2348,155,3395,-3,1,0,
97,12,1,2023,15,52,37,333,2336,132,3399,-7,-2,4,
98,12,1,2023,15,52,37,343,2337,128,3396,-7,-2,5,
99,12,1,2023,15,52,37,353,2342,138,3393,-9,-1,6,
100,12,1,2023,15,52,37,363,2335,145,3394,-11,1,11,
101,12,1,2023,15,52,37,373,2342,127,3388,-11,-1,10,
102,12,1,2023,15,52,37,383,2343,139,3381,-10,4,8,
103,12,1,2023,15,52,37,393,2331,132,3388,-11,8,10,
104,12,1,2023,15,52,37,403,2339,117,3379,-7,9,9,
105,12,1,2023,15,52,37,413,2337,145,3391,-7,11,10,
106,12,1,2023,15,52,37,423,2342,140,3395,-7,12,8,
107,12,1,2023,15,52,37,433,2324,128,3388,-8,10,11,
108,12,1,2023,15,52,37,443,2329,120,3377,-11,8,12,
109,12,1,2023,15,52,37,453,2344,129,3386,-8,5,9,
110,12,1,2023,15,52,37,463,2332,118,3394,-4,12,8,
111,12,1,2023,15,52,37,473,2339,124,3389,-3,14,4,
112,12,1,2023,15,52,37,483,2331,117,3395,-1,14,2,
113,12,1,2023,15,52,37,493,2332,131,3396,1,8,1,
114,12,1,2023,15,52,37,503,2331,135,3391,3,6,2,
115,12,1,2023,15,52,37,513,2342,138,3389,-3,8,3,
116,12,1,2023,15,52,37,523,2331,115,3391,-4,5,3,
117,12,1,2023,15,52,37,533,2326,117,3398,-3,6,0,
118,12,1,2023,15,52,37,543,2335,143,3396,2,1,-3,
119,12,1,2023,15,52,37,553,2325,113,3396,2,-1,0,
120,12,1,2023,15,52,37,563,2336,120,3383,5,0,-4,
121,12,1,2023,15,52,37,573,2336,135,3389,6,-1,-7,
122,12,1,2023,15,52,37,583,2326,129,3401,5,1,-7,
123,12,1,2023,15,52,37,593,2323,118,3397,7,0,-9,
124,12,1,2023,15,52,37,603,2331,147,3389,10,-1,-12,
125,12,1,2023,15,52,37,613,2329,128,3394,5,-5,-7,
126,12,1,2023,15,52,37,623,2327,124,3388,4,-6,-4,
127,12,1,2023,15,52,37,633,2340,154,3389,5,-7,-11,
128,12,1,2023,15,52,37,643,2341,129,3389,-1,-5,-5,
129,12,1,2023,15,52,37,653,2324,130,3389,3,0,-5,
130,12,1,2023,15,52,37,663,2336,145,3396,5,-4,-4,
131,12,1,2023,15,52,37,673,2342,142,3400,0,-6,-2,
132,12,1,2023,15,52,37,683,2330,136,3391,-3,-8,0,
133,12,1,2023,15,52,37,693,2324,128,3407,-5,-13,2,
134,12,1,2023,15,52,37,703,2337,136,3395,-6,-23,2,
135,12,1,2023,15,52,37,713,2342,135,3389,-8,-26,2,
136,12,1,2023,15,52,37,723,2343,126,3396,-8,-27,3,
137,12,1,2023,15,52,37,733,2339,132,3393,-8,-27,0,
138,12,1,2023,15,52,37,743,2335,125,3387,-8,-25,1,
139,12,1,2023,15,52,37,753,2330,133,3391,-8,-27,8,
140,12,1,2023,15,52,37,763,2340,138,3387,-10,-30,3,
141,12,1,2023,15,52,37,773,2337,143,3380,-9,-29,5,
