Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,10,40,25,417,-70,-4026,666,129,-10,-6,
2,12,8,2023,10,40,25,427,-70,-4026,666,129,-10,-6,
3,12,8,2023,10,40,25,437,-70,-4026,666,129,-10,-6,
4,12,8,2023,10,40,25,447,-70,-4026,666,129,-10,-6,
5,12,8,2023,10,40,25,457,-70,-4026,666,129,-10,-6,
6,12,8,2023,10,40,25,467,-70,-4026,666,129,-10,-6,
7,12,8,2023,10,40,25,477,2087,-562,3464,1,11,1,
8,12,8,2023,10,40,25,487,2089,-560,3462,11,-3,-4,
9,12,8,2023,10,40,25,497,2095,-561,3460,1,6,0,
10,12,8,2023,10,40,25,507,2087,-561,3460,2,8,4,
11,12,8,2023,10,40,25,517,2084,-552,3463,3,10,2,
12,12,8,2023,10,40,25,527,2079,-553,3471,-1,10,2,
13,12,8,2023,10,40,25,537,2080,-558,3467,-1,6,5,
14,12,8,2023,10,40,25,547,2079,-555,3468,-5,1,7,
15,12,8,2023,10,40,25,557,2074,-567,3469,-3,4,5,
16,12,8,2023,10,40,25,567,2082,-562,3470,-3,3,-1,
17,12,8,2023,10,40,25,577,2089,-558,3470,-1,-5,0,
18,12,8,2023,10,40,25,587,2084,-562,3474,-2,-7,1,
19,12,8,2023,10,40,25,597,2081,-550,3474,-3,-6,3,
20,12,8,2023,10,40,25,607,2081,-556,3471,-4,-4,4,
21,12,8,2023,10,40,25,617,2081,-561,3474,-4,-9,4,
22,12,8,2023,10,40,25,627,2083,-562,3473,-1,-10,4,
23,12,8,2023,10,40,25,637,2079,-560,3464,-2,-9,2,
24,12,8,2023,10,40,25,647,2078,-556,3474,-2,-10,0,
25,12,8,2023,10,40,25,657,2087,-551,3461,0,-10,4,
26,12,8,2023,10,40,25,667,2086,-567,3461,-1,-7,6,
27,12,8,2023,10,40,25,677,2085,-559,3467,-2,-8,6,
28,12,8,2023,10,40,25,687,2085,-550,3472,-3,-9,5,
29,12,8,2023,10,40,25,697,2092,-564,3469,-4,-10,7,
30,12,8,2023,10,40,25,707,2085,-558,3471,-2,-9,2,
31,12,8,2023,10,40,25,717,2078,-547,3472,-3,-10,3,
32,12,8,2023,10,40,25,727,2084,-564,3468,-5,-12,6,
33,12,8,2023,10,40,25,737,2081,-569,3462,-5,-11,8,
34,12,8,2023,10,40,25,747,2083,-559,3462,-5,-9,7,
35,12,8,2023,10,40,25,757,2091,-552,3466,-6,-9,4,
36,12,8,2023,10,40,25,767,2080,-555,3473,-5,-13,8,
37,12,8,2023,10,40,25,777,2075,-556,3465,-8,-15,8,
38,12,8,2023,10,40,25,787,2075,-555,3464,-9,-18,8,
39,12,8,2023,10,40,25,797,2079,-561,3475,-9,-22,10,
40,12,8,2023,10,40,25,807,2093,-565,3472,-8,-25,10,
41,12,8,2023,10,40,25,817,2085,-559,3461,-10,-25,8,
42,12,8,2023,10,40,25,827,2087,-553,3466,-11,-28,7,
43,12,8,2023,10,40,25,837,2087,-564,3464,-11,-27,9,
44,12,8,2023,10,40,25,847,2084,-566,3469,-9,-26,7,
45,12,8,2023,10,40,25,857,2085,-551,3470,-8,-25,7,
46,12,8,2023,10,40,25,867,2085,-566,3465,-15,-29,12,
47,12,8,2023,10,40,25,877,2090,-580,3466,-16,-27,12,
48,12,8,2023,10,40,25,887,2097,-555,3469,-8,-30,11,
49,12,8,2023,10,40,25,897,2100,-562,3460,-11,-27,11,
50,12,8,2023,10,40,25,907,2095,-572,3466,-11,-23,11,
51,12,8,2023,10,40,25,917,2082,-563,3474,-7,-21,8,
52,12,8,2023,10,40,25,927,2083,-565,3458,-8,-20,7,
53,12,8,2023,10,40,25,937,2087,-553,3464,-6,-23,9,
54,12,8,2023,10,40,25,947,2096,-565,3457,-9,-23,11,
55,12,8,2023,10,40,25,957,2093,-570,3455,-7,-18,6,
56,12,8,2023,10,40,25,967,2099,-568,3461,-9,-15,7,
57,12,8,2023,10,40,25,977,2095,-564,3462,-5,-17,10,
58,12,8,2023,10,40,25,987,2095,-545,3463,-11,-15,14,
59,12,8,2023,10,40,25,997,2102,-582,3462,-13,-8,15,
60,12,8,2023,10,40,26,7,2098,-579,3460,-7,-8,9,
61,12,8,2023,10,40,26,17,2098,-579,3460,-7,-8,9,
62,12,8,2023,10,40,26,27,2098,-579,3460,-7,-8,9,
63,12,8,2023,10,40,26,37,2099,-579,3460,-9,-6,9,
64,12,8,2023,10,40,26,47,2094,-586,3463,-5,-5,7,
65,12,8,2023,10,40,26,57,2091,-564,3467,0,-4,3,
66,12,8,2023,10,40,26,67,2103,-568,3455,-3,-2,4,
67,12,8,2023,10,40,26,77,2092,-578,3459,-5,-3,4,
68,12,8,2023,10,40,26,87,2085,-560,3463,-1,-5,2,
69,12,8,2023,10,40,26,97,2088,-558,3464,0,-4,5,
70,12,8,2023,10,40,26,107,2086,-570,3461,-3,-6,5,
71,12,8,2023,10,40,26,117,2087,-561,3455,-3,-8,3,
72,12,8,2023,10,40,26,127,2091,-564,3468,-2,-12,3,
73,12,8,2023,10,40,26,137,2102,-577,3467,-4,-10,6,
74,12,8,2023,10,40,26,147,2102,-571,3465,-6,-7,6,
75,12,8,2023,10,40,26,157,2099,-564,3462,-7,-5,4,
76,12,8,2023,10,40,26,167,2100,-565,3458,-3,-5,6,
77,12,8,2023,10,40,26,177,2091,-564,3462,-1,-2,6,
78,12,8,2023,10,40,26,187,2094,-564,3470,-6,0,9,
79,12,8,2023,10,40,26,197,2096,-560,3467,-7,-2,9,
80,12,8,2023,10,40,26,207,2092,-567,3468,-8,-1,6,
81,12,8,2023,10,40,26,217,2094,-569,3461,-7,0,8,
82,12,8,2023,10,40,26,227,2095,-568,3462,-4,0,10,
83,12,8,2023,10,40,26,237,2102,-564,3461,-4,4,9,
84,12,8,2023,10,40,26,247,2105,-568,3460,-7,6,6,
85,12,8,2023,10,40,26,257,2098,-576,3462,-6,9,5,
86,12,8,2023,10,40,26,277,2109,-577,3458,-1,20,8,
87,12,8,2023,10,40,26,287,2108,-567,3459,-3,29,8,
