Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,10,40,33,793,514,-4150,509,-177,508,-12,
2,12,8,2023,10,40,33,803,514,-4150,509,-177,508,-12,
3,12,8,2023,10,40,33,813,514,-4150,509,-177,508,-12,
4,12,8,2023,10,40,33,823,514,-4150,509,-177,508,-12,
5,12,8,2023,10,40,33,833,514,-4150,509,-177,508,-12,
6,12,8,2023,10,40,33,843,514,-4150,509,-177,508,-12,
7,12,8,2023,10,40,33,853,2332,507,3361,-15,12,6,
8,12,8,2023,10,40,33,863,2315,507,3377,-3,3,1,
9,12,8,2023,10,40,33,873,2320,504,3373,-2,0,5,
10,12,8,2023,10,40,33,883,2313,509,3377,-3,3,2,
11,12,8,2023,10,40,33,893,2333,507,3365,-5,-1,3,
12,12,8,2023,10,40,33,903,2320,493,3365,-8,3,4,
13,12,8,2023,10,40,33,913,2317,501,3363,-2,2,1,
14,12,8,2023,10,40,33,923,2317,499,3360,-3,2,-3,
15,12,8,2023,10,40,33,933,2302,498,3365,-1,0,-4,
16,12,8,2023,10,40,33,943,2307,487,3371,-2,-10,-5,
17,12,8,2023,10,40,33,953,2313,499,3368,1,-12,-9,
18,12,8,2023,10,40,33,963,2308,506,3371,2,-17,-8,
19,12,8,2023,10,40,33,973,2325,495,3372,3,-20,-8,
20,12,8,2023,10,40,33,983,2322,504,3365,8,-22,-6,
21,12,8,2023,10,40,33,993,2317,504,3372,6,-22,-4,
22,12,8,2023,10,40,34,3,2336,515,3367,3,-23,-4,
23,12,8,2023,10,40,34,13,2322,500,3358,1,-18,0,
24,12,8,2023,10,40,34,23,2325,505,3354,4,-15,-2,
25,12,8,2023,10,40,34,33,2323,491,3369,6,-15,-1,
26,12,8,2023,10,40,34,43,2339,515,3360,1,-17,-4,
27,12,8,2023,10,40,34,53,2332,494,3361,2,-12,-2,
28,12,8,2023,10,40,34,63,2321,506,3357,8,-10,-5,
29,12,8,2023,10,40,34,73,2338,515,3360,2,-8,-4,
30,12,8,2023,10,40,34,83,2324,501,3362,-5,-11,1,
31,12,8,2023,10,40,34,93,2325,505,3360,-1,-14,2,
32,12,8,2023,10,40,34,103,2337,513,3362,1,-16,4,
33,12,8,2023,10,40,34,113,2337,513,3358,-5,-14,7,
34,12,8,2023,10,40,34,123,2325,506,3362,-6,-10,7,
35,12,8,2023,10,40,34,133,2328,507,3361,-5,-11,8,
36,12,8,2023,10,40,34,143,2330,502,3360,-4,-13,9,
37,12,8,2023,10,40,34,153,2324,498,3358,-6,-9,5,
38,12,8,2023,10,40,34,163,2330,501,3363,-6,-10,3,
39,12,8,2023,10,40,34,173,2347,510,3354,-3,-6,7,
40,12,8,2023,10,40,34,183,2320,504,3357,-4,0,5,
41,12,8,2023,10,40,34,193,2347,505,3357,-5,1,4,
42,12,8,2023,10,40,34,203,2323,501,3360,-4,8,2,
43,12,8,2023,10,40,34,213,2343,505,3362,-4,6,3,
44,12,8,2023,10,40,34,223,2320,497,3360,-7,7,8,
45,12,8,2023,10,40,34,233,2319,505,3364,-4,2,5,
46,12,8,2023,10,40,34,243,2338,501,3360,-2,-1,5,
47,12,8,2023,10,40,34,253,2319,507,3361,-6,6,4,
48,12,8,2023,10,40,34,263,2344,509,3368,-6,6,6,
49,12,8,2023,10,40,34,273,2337,497,3348,-7,3,8,
50,12,8,2023,10,40,34,283,2320,498,3370,-9,4,6,
51,12,8,2023,10,40,34,293,2346,506,3368,-4,-1,4,
52,12,8,2023,10,40,34,303,2318,495,3345,-7,5,4,
53,12,8,2023,10,40,34,313,2324,493,3367,-1,8,6,
54,12,8,2023,10,40,34,323,2344,500,3352,1,5,5,
55,12,8,2023,10,40,34,333,2324,501,3350,-2,5,1,
56,12,8,2023,10,40,34,343,2324,498,3363,-3,5,4,
57,12,8,2023,10,40,34,353,2340,501,3358,-3,3,6,
58,12,8,2023,10,40,34,363,2321,503,3362,-4,5,3,
59,12,8,2023,10,40,34,373,2345,492,3363,-6,1,6,
60,12,8,2023,10,40,34,383,2328,501,3357,-5,8,4,
61,12,8,2023,10,40,34,393,2310,499,3366,-2,7,5,
62,12,8,2023,10,40,34,403,2339,501,3367,-1,3,6,
63,12,8,2023,10,40,34,413,2322,505,3361,-3,7,2,
64,12,8,2023,10,40,34,423,2325,501,3359,1,3,-1,
65,12,8,2023,10,40,34,433,2336,516,3352,1,3,0,
66,12,8,2023,10,40,34,443,2323,501,3373,-2,2,2,
67,12,8,2023,10,40,34,453,2314,513,3379,-6,1,0,
68,12,8,2023,10,40,34,463,2328,508,3360,0,-6,4,
69,12,8,2023,10,40,34,473,2328,497,3362,-4,-9,7,
70,12,8,2023,10,40,34,483,2334,502,3361,-4,-9,4,
71,12,8,2023,10,40,34,493,2344,496,3358,-3,-7,5,
72,12,8,2023,10,40,34,503,2338,502,3361,-4,-1,4,
73,12,8,2023,10,40,34,513,2336,499,3366,-3,-3,2,
74,12,8,2023,10,40,34,523,2334,500,3364,-4,-3,2,
75,12,8,2023,10,40,34,533,2335,504,3364,-5,-1,4,
76,12,8,2023,10,40,34,543,2330,504,3359,-3,0,2,
77,12,8,2023,10,40,34,553,2326,506,3357,-3,0,3,
78,12,8,2023,10,40,34,563,2320,495,3351,-4,0,4,
79,12,8,2023,10,40,34,573,2332,501,3361,0,1,6,
80,12,8,2023,10,40,34,583,2337,498,3360,-1,2,1,
81,12,8,2023,10,40,34,593,2337,509,3352,2,1,2,
82,12,8,2023,10,40,34,603,2334,500,3360,-2,5,4,
83,12,8,2023,10,40,34,613,2329,493,3354,1,5,6,
84,12,8,2023,10,40,34,623,2352,501,3367,0,7,6,
85,12,8,2023,10,40,34,633,2368,509,3348,2,14,9,
86,12,8,2023,10,40,34,653,2332,478,3370,0,6,0,
87,12,8,2023,10,40,34,663,2357,512,3342,1,9,0,
88,12,8,2023,10,40,34,673,2310,508,3375,-1,14,1,
89,12,8,2023,10,40,34,683,2353,492,3360,-1,10,1,
90,12,8,2023,10,40,34,693,2319,509,3366,-2,13,0,
91,12,8,2023,10,40,34,703,2357,501,3357,-1,9,5,
92,12,8,2023,10,40,34,713,2339,503,3354,-3,18,0,
93,12,8,2023,10,40,34,723,2327,505,3379,-1,18,-1,
94,12,8,2023,10,40,34,733,2348,491,3345,1,20,1,
95,12,8,2023,10,40,34,743,2334,500,3365,-4,26,-1,
96,12,8,2023,10,40,34,753,2350,494,3358,-1,24,-1,
97,12,8,2023,10,40,34,763,2352,511,3354,-1,30,-3,
98,12,8,2023,10,40,34,773,2346,501,3359,0,41,-1,
99,12,8,2023,10,40,34,783,2330,486,3354,-2,45,-1,
100,12,8,2023,10,40,34,793,2301,502,3374,-1,50,-8,
101,12,8,2023,10,40,34,803,2271,484,3375,-2,41,-7,
102,12,8,2023,10,40,34,813,2285,449,3373,8,16,-9,
103,12,8,2023,10,40,34,823,2297,508,3378,16,3,-20,
104,12,8,2023,10,40,34,833,2331,553,3368,8,-5,-8,
105,12,8,2023,10,40,34,843,2327,483,3377,0,-6,4,
106,12,8,2023,10,40,34,853,2330,508,3373,1,-8,1,
107,12,8,2023,10,40,34,863,2347,509,3359,-1,-7,4,
108,12,8,2023,10,40,34,873,2331,495,3362,-4,-4,6,
109,12,8,2023,10,40,34,883,2332,506,3364,-1,-6,3,
110,12,8,2023,10,40,34,893,2339,504,3360,-4,-4,3,
