Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,8,2023,10,53,26,862,145,-3967,243,-66,-361,21,
2,12,8,2023,10,53,26,872,145,-3967,243,-66,-361,21,
3,12,8,2023,10,53,26,882,145,-3967,243,-66,-361,21,
4,12,8,2023,10,53,26,892,145,-3967,243,-66,-361,21,
5,12,8,2023,10,53,26,902,145,-3967,243,-66,-361,21,
6,12,8,2023,10,53,26,912,145,-3967,243,-66,-361,21,
7,12,8,2023,10,53,26,922,2191,809,3397,7,5,-2,
8,12,8,2023,10,53,26,932,2183,803,3403,12,10,0,
9,12,8,2023,10,53,26,942,2186,806,3402,2,11,1,
10,12,8,2023,10,53,26,952,2186,811,3403,0,12,0,
11,12,8,2023,10,53,26,962,2181,800,3400,2,16,-1,
12,12,8,2023,10,53,26,972,2185,794,3396,-2,18,0,
13,12,8,2023,10,53,26,982,2180,799,3404,-3,15,4,
14,12,8,2023,10,53,26,992,2183,801,3400,-1,14,-1,
15,12,8,2023,10,53,27,2,2182,791,3394,-1,17,0,
16,12,8,2023,10,53,27,12,2172,794,3397,-1,14,-6,
17,12,8,2023,10,53,27,22,2179,802,3401,1,13,-4,
18,12,8,2023,10,53,27,32,2185,799,3399,3,12,-2,
19,12,8,2023,10,53,27,42,2187,801,3399,3,14,-5,
20,12,8,2023,10,53,27,52,2189,810,3397,2,11,-6,
21,12,8,2023,10,53,27,62,2190,809,3395,-1,14,-5,
22,12,8,2023,10,53,27,72,2184,806,3399,-2,20,-4,
23,12,8,2023,10,53,27,82,2183,799,3398,0,15,-3,
24,12,8,2023,10,53,27,92,2169,801,3403,1,16,-6,
25,12,8,2023,10,53,27,102,2186,808,3404,-1,13,-3,
26,12,8,2023,10,53,27,112,2182,810,3397,-3,12,0,
27,12,8,2023,10,53,27,122,2183,808,3403,-6,13,1,
28,12,8,2023,10,53,27,132,2191,792,3404,-2,14,4,
29,12,8,2023,10,53,27,142,2175,797,3402,-2,17,8,
30,12,8,2023,10,53,27,152,2179,798,3405,-4,14,3,
31,12,8,2023,10,53,27,162,2174,793,3407,-4,15,0,
32,12,8,2023,10,53,27,172,2175,793,3407,-2,14,-1,
33,12,8,2023,10,53,27,182,2180,792,3403,2,11,-3,
34,12,8,2023,10,53,27,192,2176,807,3401,1,10,-3,
35,12,8,2023,10,53,27,202,2185,805,3399,0,7,0,
36,12,8,2023,10,53,27,212,2175,786,3405,-3,11,1,
37,12,8,2023,10,53,27,222,2193,778,3400,6,11,-3,
38,12,8,2023,10,53,27,232,2193,896,3390,-1,11,0,
39,12,8,2023,10,53,27,242,2159,742,3407,-18,9,12,
40,12,8,2023,10,53,27,252,2169,774,3401,0,3,8,
