Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
3,39.275,38.845,0.900,1.340,133.33,89.55,55.56,38.06,44.44,61.94,10.00,9.80,67.00,62.75,23.00,27.45,81.09,81.09,0.087,0.162,0.084,0.232,410.1,650.3,,,-3.7,-0.7,0.45,29.15,-35.83,-27.66,-0.046,-0.020,325.84,299.76,0.187,0.183,,,,,,
6,49.540,48.845,1.450,4.095,82.76,29.30,69.66,88.16,30.34,11.84,4.95,1.39,71.78,91.41,23.27,7.20,36.90,36.90,0.988,0.960,0.734,0.326,341.9,286.5,3.059,2.682,-0.9,-3.8,24.20,20.25,-57.73,-64.35,0.043,-0.033,107.28,108.89,0.265,0.280,0.028,0.022,0.009,0.003,0.160,0.140
7,50.845,50.200,1.305,1.355,91.95,88.56,65.52,69.37,34.48,30.63,7.02,9.57,64.33,65.96,28.65,24.47,31.15,31.15,1.038,0.946,0.790,0.722,353.4,373.9,3.148,3.113,3.5,-0.2,28.73,28.43,-67.00,-57.89,-0.023,-0.045,112.96,113.61,0.322,0.287,0.063,0.051,0.031,0.029,0.210,0.190
8,52.160,51.500,1.315,1.300,91.25,92.31,66.92,65.77,33.08,34.23,14.77,8.77,56.25,63.74,28.98,27.49,33.71,33.71,1.031,1.039,0.856,0.833,366.6,334.2,3.181,3.070,-2.8,-1.6,27.41,28.33,-66.00,-67.09,0.067,-0.059,111.01,110.53,0.294,0.297,0.038,0.039,0.009,0.027,0.192,0.211
9,53.480,52.835,1.320,1.335,90.91,89.89,67.05,66.29,32.95,33.71,13.56,9.60,58.19,62.15,28.25,28.25,33.33,33.33,1.048,1.187,0.817,0.922,349.5,374.4,3.175,3.126,1.5,-1.0,26.74,28.08,-66.24,-75.12,0.033,-0.034,109.29,107.57,0.299,0.335,0.037,0.056,0.003,0.037,0.174,0.225
10,54.770,54.125,1.290,1.290,93.02,93.02,67.44,67.05,32.56,32.95,9.77,10.98,64.37,61.27,25.86,27.75,34.10,34.10,1.035,1.018,0.855,0.804,358.1,347.7,3.182,3.005,-2.3,0.6,25.27,24.50,-64.87,-69.72,0.037,-0.035,105.52,112.78,0.291,0.330,0.035,0.065,0.008,0.041,0.170,0.221
11,56.060,55.430,1.290,1.305,93.02,91.95,67.05,66.28,32.95,33.72,7.51,9.25,64.16,60.12,28.32,30.64,32.05,32.05,1.032,1.024,0.821,0.868,343.9,333.0,3.154,2.947,0.8,0.2,26.07,23.86,-65.26,-72.75,0.032,0.027,107.64,109.53,0.286,0.334,0.026,0.057,,0.025,0.167,0.181
12,57.330,56.725,1.270,1.295,94.49,92.66,66.93,64.86,33.07,35.14,8.82,6.55,64.12,65.48,27.06,27.98,29.72,29.72,1.090,0.879,0.877,0.772,368.4,319.0,3.352,2.823,-0.3,-1.5,24.92,26.22,-67.35,-69.97,0.025,0.046,106.46,125.84,0.302,0.290,0.040,0.021,0.008,,0.176,0.170
13,58.595,57.970,1.265,1.245,94.86,96.39,66.01,63.45,33.99,36.55,11.38,9.49,59.88,62.66,28.74,27.85,30.04,30.04,1.026,1.051,0.842,0.864,354.6,340.2,3.259,3.126,1.5,2.9,27.01,27.66,-67.72,-61.75,0.039,-0.035,110.17,112.64,0.294,0.309,0.028,0.067,,0.046,0.182,0.222
14,59.840,59.235,1.245,1.265,96.39,94.86,66.67,64.03,33.33,35.97,9.64,8.64,60.84,61.73,29.52,29.63,30.61,30.61,1.151,1.137,0.953,0.946,389.5,322.9,3.500,3.261,-1.6,0.2,28.56,28.16,-69.50,-67.87,0.038,0.019,106.70,113.11,0.315,0.318,0.046,0.056,0.011,0.039,0.203,0.234
15,61.095,60.460,1.255,1.225,95.62,97.96,64.94,64.49,35.06,35.51,10.43,9.49,59.51,62.66,30.06,27.85,29.55,29.55,1.094,1.106,0.940,0.947,352.5,359.0,3.323,3.286,2.3,0.8,25.35,29.55,-69.28,-65.40,0.022,-0.040,109.43,112.33,0.312,0.312,0.044,0.061,0.011,0.045,0.182,0.241
16,62.320,61.695,1.225,1.235,97.96,97.17,64.49,65.18,35.51,34.82,6.96,11.18,62.03,60.25,31.01,28.57,30.04,30.04,1.095,1.150,0.935,1.034,368.5,360.2,3.302,3.516,-2.5,3.3,25.15,29.91,-71.39,-64.69,0.031,-0.048,108.87,111.44,0.308,0.295,0.037,0.049,,0.036,0.169,0.244
17,63.570,62.960,1.250,1.265,96.00,94.86,66.40,64.43,33.60,35.57,9.64,11.04,61.45,61.35,28.92,27.61,30.00,30.00,1.054,1.031,0.848,0.849,375.7,343.2,3.384,3.076,0.6,-2.4,27.96,26.46,-70.43,-67.23,0.032,-0.027,110.93,115.02,0.314,0.308,0.042,0.050,0.006,0.029,0.187,0.210
18,64.830,64.210,1.260,1.250,95.24,96.00,65.87,63.60,34.13,36.40,10.84,13.21,59.04,59.75,30.12,27.04,30.08,30.08,1.059,1.044,0.883,0.879,344.6,343.7,3.216,3.126,3.1,-0.2,25.00,27.51,-66.23,-63.52,-0.018,-0.036,108.38,112.40,0.304,0.308,0.043,0.057,0.008,0.020,0.167,0.197
19,66.090,65.440,1.260,1.230,95.24,97.56,63.49,65.04,36.51,34.96,10.00,10.00,60.62,60.62,29.38,29.38,31.30,31.30,1.076,1.173,0.813,1.019,328.7,370.0,3.050,3.389,-0.9,3.6,31.66,30.56,-71.53,-68.82,0.075,-0.113,110.41,112.31,0.314,0.299,0.038,0.035,0.001,0.012,0.206,0.215
20,67.375,66.750,1.285,1.310,93.39,91.60,64.98,66.41,35.02,33.59,13.77,15.52,56.29,59.20,29.94,25.29,28.40,28.40,1.200,1.134,1.071,1.021,368.6,342.6,3.362,3.147,0.4,-1.6,32.38,29.03,-73.04,-72.19,0.033,0.107,109.78,117.64,0.297,0.316,0.025,0.050,0.011,0.014,0.237,0.186
21,68.620,68.000,1.245,1.250,96.39,96.00,65.86,64.40,34.14,35.60,14.63,10.56,56.71,60.87,28.66,28.57,30.36,30.36,1.030,1.130,0.861,0.884,364.6,350.4,3.190,3.255,0.7,1.1,28.92,26.94,-65.82,-66.24,0.053,-0.039,110.89,110.35,0.311,0.310,0.050,0.054,0.021,0.027,0.200,0.210
22,69.885,69.235,1.265,1.235,94.86,97.17,64.03,64.78,35.97,35.22,12.96,11.88,58.02,58.12,29.01,30.00,31.25,31.25,1.134,1.040,0.967,0.930,341.9,367.5,3.244,3.238,2.8,-0.8,25.90,29.94,-68.12,-67.69,0.042,-0.051,108.26,115.73,0.307,0.332,0.047,0.071,0.021,0.048,0.199,0.241
23,71.150,70.515,1.265,1.280,94.86,93.75,64.82,66.80,35.18,33.20,10.98,9.94,58.54,61.99,30.49,28.07,30.04,30.04,1.221,0.992,0.982,0.856,344.9,352.5,3.323,3.188,-3.3,3.0,25.89,29.77,-69.95,-65.61,0.051,-0.028,106.59,119.39,0.319,0.293,0.049,0.041,0.001,0.025,0.175,0.223
24,72.405,71.780,1.255,1.265,95.62,94.86,66.53,65.22,33.47,34.78,13.17,10.30,55.69,61.21,31.14,28.48,30.40,30.40,1.188,1.010,0.948,0.866,359.8,331.7,3.406,3.037,3.6,-2.6,28.97,29.80,-69.73,-65.18,0.035,-0.078,106.21,119.48,0.325,0.314,0.055,0.061,0.019,0.052,0.196,0.236
25,73.670,73.030,1.265,1.250,94.86,96.00,66.01,64.00,33.99,36.00,10.78,11.88,58.68,59.38,30.54,28.75,31.60,31.60,1.096,1.146,0.897,0.995,374.5,346.7,3.366,3.225,-2.3,0.6,27.90,30.03,-70.97,-67.46,0.053,-0.028,110.59,109.25,0.313,0.305,0.044,0.050,0.015,0.032,0.198,0.237
26,74.890,74.280,1.220,1.250,98.36,96.00,64.75,66.00,35.25,34.00,17.72,11.52,53.16,60.00,29.11,28.48,28.16,28.16,1.089,1.194,0.948,0.924,373.4,352.1,3.400,3.309,1.2,-2.1,29.05,28.80,-68.04,-72.99,0.027,0.034,110.86,105.86,0.320,0.324,0.055,0.050,0.024,,0.209,0.186
27,76.115,75.505,1.225,1.225,97.96,97.96,66.53,63.27,33.47,36.73,11.66,12.26,57.67,58.06,30.67,29.68,31.15,31.15,1.046,1.112,0.885,0.982,377.8,347.5,3.257,3.268,-2.0,0.5,28.40,28.56,-69.67,-67.85,0.022,-0.017,110.44,112.13,0.326,0.309,0.057,0.049,0.029,0.027,0.208,0.227
28,77.400,76.725,1.285,1.220,93.39,98.36,61.87,64.75,38.13,35.25,14.47,10.76,55.35,60.76,30.19,28.48,25.82,25.82,1.117,1.056,0.947,0.894,379.9,351.3,3.339,3.049,0.4,1.9,30.72,29.82,-70.18,-63.62,0.066,-0.021,111.02,107.64,0.326,0.288,0.057,0.039,0.028,0.011,0.226,0.185
29,78.565,77.945,1.165,1.220,103.00,98.36,63.09,65.98,36.91,34.02,8.84,10.56,60.54,60.25,30.61,29.19,29.92,29.92,1.064,1.237,0.899,0.973,375.3,379.6,3.298,3.445,-0.5,1.4,27.32,32.01,-70.83,-69.21,0.021,-0.043,108.14,109.09,0.309,0.327,0.037,0.064,0.006,0.052,0.193,0.265
30,79.790,79.165,1.225,1.220,97.96,98.36,65.31,65.16,34.69,34.84,8.75,9.43,62.50,61.64,28.75,28.93,29.88,29.88,1.098,1.024,0.915,0.972,376.0,359.3,3.383,3.252,-0.7,-1.4,25.62,30.10,-71.84,-65.39,0.024,0.027,107.78,118.85,0.312,0.286,0.040,0.035,0.013,0.022,0.196,0.237
31,81.045,80.420,1.255,1.255,95.62,95.62,66.53,63.75,33.47,36.25,12.57,11.88,58.68,60.00,28.74,28.12,31.22,31.22,1.044,1.148,0.886,0.892,367.1,345.9,3.359,3.167,3.1,-2.1,28.43,29.23,-66.88,-60.94,0.043,0.044,112.00,107.45,0.316,0.277,0.054,0.035,0.018,0.012,0.184,0.198
32,82.215,81.605,1.170,1.185,102.56,101.27,63.68,66.67,36.32,33.33,10.74,13.92,60.40,56.96,28.86,29.11,29.63,29.63,1.088,1.087,0.992,1.085,352.3,396.2,3.325,3.461,-1.8,5.8,26.31,25.89,-62.07,-68.47,0.030,-0.035,109.20,109.62,0.300,0.303,0.053,0.045,0.032,0.034,0.195,0.213
33,83.415,82.820,1.200,1.215,100.00,98.77,65.00,64.61,35.00,35.39,11.54,10.83,58.33,59.87,30.13,29.30,29.54,29.54,1.102,1.169,0.923,0.908,364.9,354.3,3.422,3.307,-1.0,-4.1,26.13,29.09,-68.59,-63.33,0.020,-0.047,107.26,108.16,0.301,0.277,0.035,0.029,0.004,0.000,0.170,0.178
34,84.605,84.005,1.190,1.185,100.84,101.27,65.13,64.98,34.87,35.02,9.68,11.69,61.29,60.39,29.03,27.92,31.09,31.09,1.097,1.182,0.962,1.048,393.1,362.8,3.510,3.367,1.4,0.0,28.69,30.21,-68.75,-62.95,0.034,-0.033,107.84,109.99,0.310,0.300,0.043,0.059,0.014,0.057,0.206,0.248
35,85.815,85.195,1.210,1.190,99.17,100.84,64.88,65.97,35.12,34.03,11.46,10.83,59.24,59.87,29.30,29.30,29.53,29.53,1.089,1.028,0.895,0.955,371.1,377.4,3.307,3.196,2.3,3.8,33.02,28.22,-67.96,-68.52,0.044,-0.033,109.62,113.52,0.316,0.318,0.050,0.053,0.017,0.029,0.218,0.209
