Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
4,44.250,43.655,1.200,3.910,100.00,30.69,59.58,89.13,40.42,10.87,7.69,1.43,65.03,90.53,27.27,8.03,22.08,22.08,1.066,0.865,0.907,0.321,315.6,308.1,3.189,2.833,-2.5,16.1,21.11,16.57,-50.36,-57.19,0.081,-0.024,108.76,108.31,0.224,0.216,0.060,0.027,0.044,0.020,0.153,0.097
5,45.380,44.810,1.130,1.155,106.19,103.90,60.62,64.07,39.38,35.93,9.49,6.76,62.04,61.49,28.47,31.76,25.11,25.11,0.972,0.948,0.920,0.838,338.3,373.6,3.124,3.187,5.2,-0.6,18.57,20.40,-53.98,-67.47,0.030,-0.024,108.20,109.37,0.213,0.261,0.043,0.065,0.028,0.053,0.131,0.135
6,46.485,45.945,1.105,1.135,108.60,105.73,61.09,64.32,38.91,35.68,10.37,6.85,62.22,60.27,27.41,32.88,23.26,23.26,0.984,1.019,0.908,0.920,351.9,361.2,3.257,3.387,-3.6,-2.9,19.84,19.83,-58.03,-67.71,0.035,-0.026,110.99,108.00,0.238,0.239,0.061,0.038,0.045,0.024,0.147,0.129
7,47.590,47.020,1.105,1.075,108.60,111.63,57.92,63.26,42.08,36.74,10.16,7.35,64.84,60.29,25.00,32.35,22.77,22.77,1.000,0.954,0.972,0.881,310.8,377.0,3.148,3.235,7.1,2.4,17.47,21.54,-48.14,-64.74,0.049,-0.044,108.91,107.52,0.202,0.238,0.049,0.045,0.039,0.035,0.134,0.138
8,48.690,48.140,1.100,1.120,109.09,107.14,60.45,64.29,39.55,35.71,7.52,8.33,63.16,57.64,29.32,34.03,24.77,24.77,1.025,0.915,0.966,0.851,346.2,376.8,3.412,3.112,-7.1,-1.1,21.23,22.25,-59.76,-69.37,0.049,-0.040,110.90,108.37,0.280,0.252,0.091,0.047,0.057,0.035,0.158,0.136
9,49.815,49.250,1.125,1.110,106.67,108.11,60.89,63.96,39.11,36.04,9.49,7.75,56.93,57.04,33.58,35.21,23.87,23.87,1.080,0.924,1.011,0.876,356.2,372.2,3.435,3.119,0.6,2.5,19.47,21.99,-64.10,-71.15,0.039,-0.070,106.50,113.74,0.270,0.250,0.078,0.045,0.043,0.032,0.138,0.142
10,50.900,50.360,1.085,1.110,110.60,108.11,60.83,63.51,39.17,36.49,8.33,7.80,62.12,56.74,29.55,35.46,24.66,24.66,1.067,1.003,0.957,0.944,339.4,369.9,3.358,3.233,-2.3,-4.0,19.57,20.17,-58.78,-70.98,0.081,-0.050,109.44,107.50,0.258,0.260,0.074,0.055,0.047,0.037,0.142,0.130
11,52.020,51.455,1.120,1.095,107.14,109.59,60.27,63.47,39.73,36.53,8.89,7.19,62.96,56.83,28.15,35.97,21.97,21.97,1.253,1.057,1.169,0.967,328.2,390.8,3.559,3.481,3.3,2.3,19.11,23.49,-55.15,-70.95,0.039,-0.057,104.23,108.07,0.229,0.259,0.058,0.052,0.044,0.034,0.145,0.141
12,53.120,52.570,1.100,1.115,109.09,107.62,60.00,61.88,40.00,38.12,7.58,7.25,60.61,58.70,31.82,34.06,23.64,23.64,1.102,1.027,1.036,0.940,332.2,370.1,3.378,3.288,-2.6,-0.9,18.13,20.22,-64.36,-70.71,0.059,-0.068,106.62,108.54,0.255,0.255,0.063,0.050,0.038,0.038,0.126,0.137
13,54.235,53.670,1.115,1.100,107.62,109.09,60.54,63.64,39.46,36.36,9.63,7.14,65.19,57.86,25.19,35.00,23.66,23.66,1.137,0.994,1.006,0.965,358.0,385.9,3.630,3.260,-0.8,1.8,21.20,20.09,-54.85,-70.71,0.041,-0.043,105.69,107.33,0.244,0.252,0.066,0.047,0.036,0.034,0.145,0.123
14,55.370,54.790,1.135,1.120,105.73,107.14,60.35,62.95,39.65,37.05,8.76,7.09,61.31,56.74,29.93,36.17,23.58,23.58,0.950,1.093,0.870,0.950,345.2,373.1,3.208,3.436,1.5,-0.5,21.15,20.63,-61.70,-76.54,0.037,-0.044,114.39,105.38,0.256,0.270,0.070,0.052,0.051,0.028,0.163,0.120
15,56.490,55.935,1.120,1.145,107.14,104.80,61.61,62.88,38.39,37.12,9.42,6.94,61.59,58.33,28.99,34.72,25.56,25.56,1.091,0.919,1.000,0.831,335.6,368.8,3.399,3.041,-0.1,-2.8,18.35,21.75,-60.93,-72.15,0.041,-0.041,107.02,112.75,0.258,0.276,0.072,0.071,0.045,0.060,0.141,0.157
