Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
4,40.935,40.350,1.160,3.950,103.45,30.38,61.64,89.37,38.36,10.63,9.79,1.42,62.24,89.52,27.97,9.07,28.69,28.69,0.927,1.070,0.852,0.378,326.3,350.8,2.987,3.259,-3.3,8.1,19.32,20.11,-59.38,-71.93,0.043,-0.042,108.98,107.19,0.249,0.264,0.059,0.050,0.036,0.032,0.124,0.130
5,42.065,41.535,1.130,1.185,106.19,101.27,64.60,66.24,35.40,33.76,10.27,8.28,60.27,63.69,29.45,28.03,25.93,25.93,1.125,0.967,1.039,0.878,387.2,351.5,3.801,3.219,-3.8,-0.3,22.90,17.78,-64.13,-64.54,0.054,-0.056,106.04,106.87,0.277,0.248,0.073,0.055,0.037,0.039,0.130,0.115
6,43.170,42.615,1.105,1.080,108.60,111.11,61.09,62.96,38.91,37.04,8.89,8.09,61.48,58.09,29.63,33.82,25.97,25.97,1.068,1.096,0.967,0.995,345.0,370.5,3.479,3.530,4.6,-3.1,21.21,18.90,-57.58,-72.12,0.048,-0.041,106.40,106.74,0.239,0.290,0.048,0.080,0.016,0.053,0.114,0.127
7,44.310,43.770,1.140,1.155,105.26,103.90,63.60,63.20,36.40,36.80,10.34,6.85,60.00,62.33,29.66,30.82,24.20,24.20,1.020,1.042,0.959,0.968,359.5,329.3,3.510,,-2.0,4.6,21.22,17.88,-67.56,-63.77,0.076,-0.087,111.20,109.57,0.257,0.265,0.050,,0.023,,0.125,
8,45.400,44.865,1.090,1.095,110.09,109.59,63.30,62.10,36.70,37.90,9.42,7.35,57.97,60.29,32.61,32.35,22.17,22.17,1.088,1.010,0.986,0.944,396.8,365.9,3.695,3.374,2.6,-0.6,24.09,19.77,-66.15,-69.49,0.034,-0.056,106.38,107.84,0.273,0.250,0.066,0.047,0.031,0.020,0.137,0.109
9,46.525,45.970,1.125,1.105,106.67,108.60,62.67,58.37,37.33,41.63,9.22,9.30,59.57,60.47,31.21,30.23,24.67,24.67,1.111,1.051,1.005,0.983,358.7,303.6,3.590,3.243,-3.2,-1.1,20.36,18.64,-65.83,-56.88,0.040,-0.059,105.64,106.21,0.264,0.225,0.058,0.048,0.030,0.028,0.128,0.112
10,47.665,47.105,1.140,1.135,105.26,105.73,63.60,61.67,36.40,38.33,8.97,7.14,55.86,59.29,35.17,33.57,24.11,24.11,0.957,1.119,0.891,0.977,373.1,336.9,3.252,3.477,0.6,2.1,19.71,17.28,-71.08,-63.54,0.026,-0.055,110.32,105.31,0.279,0.266,0.064,0.072,0.030,0.039,0.120,0.116
11,48.815,48.225,1.150,1.120,104.35,107.14,62.61,61.16,37.39,38.84,9.03,7.30,59.72,63.50,31.25,29.20,26.58,26.58,1.078,0.996,0.930,0.900,355.5,326.9,3.443,3.136,-0.0,-3.1,23.57,17.91,-63.74,-61.16,0.042,-0.044,105.38,107.57,0.260,0.245,0.059,0.057,0.028,0.035,0.132,0.120
12,49.965,49.410,1.150,1.185,104.35,101.27,63.04,62.87,36.96,37.13,9.66,6.71,60.00,62.42,30.34,30.87,26.22,26.22,0.939,1.067,0.895,0.940,351.6,341.0,3.206,3.250,-0.9,-2.6,20.44,19.45,-65.76,-70.32,0.082,-0.069,112.98,107.65,0.261,0.268,0.055,0.064,0.023,0.039,0.113,0.123
13,51.085,50.535,1.120,1.125,107.14,106.67,63.84,64.00,36.16,36.00,9.09,7.64,58.74,58.33,32.17,34.03,26.79,26.79,1.147,1.066,1.013,0.961,399.6,366.4,3.615,3.410,-2.0,6.0,24.36,19.22,-67.63,-71.50,0.063,-0.065,106.85,107.02,0.278,0.279,0.070,0.070,0.039,0.044,0.148,0.118
