Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,12,12,2023,15,41,27,191,129,-4071,54,-3,-1,1,
2,12,12,2023,15,41,27,201,129,-4071,54,-3,-1,1,
3,12,12,2023,15,41,27,211,129,-4071,54,-3,-1,1,
4,12,12,2023,15,41,27,221,129,-4071,54,-3,-1,1,
5,12,12,2023,15,41,27,231,129,-4071,54,-3,-1,1,
6,12,12,2023,15,41,27,241,129,-4071,54,-3,-1,1,
7,12,12,2023,15,41,27,251,129,-4071,54,-3,-1,1,
8,12,12,2023,15,41,27,261,2393,-1377,3049,1,4,7,
9,12,12,2023,15,41,27,271,2387,-1377,3056,-5,6,5,
10,12,12,2023,15,41,27,281,2383,-1369,3058,-4,7,2,
11,12,12,2023,15,41,27,291,2385,-1368,3058,-6,7,4,
12,12,12,2023,15,41,27,301,2388,-1367,3058,-8,7,5,
13,12,12,2023,15,41,27,311,2386,-1363,3052,-8,4,9,
14,12,12,2023,15,41,27,321,2395,-1373,3059,-11,5,9,
15,12,12,2023,15,41,27,331,2396,-1384,3055,-10,9,10,
16,12,12,2023,15,41,27,341,2388,-1378,3060,-11,6,12,
17,12,12,2023,15,41,27,351,2391,-1374,3060,-10,8,12,
18,12,12,2023,15,41,27,361,2395,-1374,3058,-11,8,11,
19,12,12,2023,15,41,27,371,2391,-1383,3058,-12,8,13,
20,12,12,2023,15,41,27,381,2386,-1373,3066,-16,8,12,
21,12,12,2023,15,41,27,391,2382,-1375,3068,-19,4,11,
22,12,12,2023,15,41,27,401,2392,-1382,3054,-14,3,11,
23,12,12,2023,15,41,27,411,2385,-1376,3058,-11,5,14,
24,12,12,2023,15,41,27,421,2387,-1373,3059,-17,4,16,
25,12,12,2023,15,41,27,431,2389,-1376,3056,-14,3,17,
26,12,12,2023,15,41,27,441,2384,-1377,3054,-13,3,12,
27,12,12,2023,15,41,27,451,2387,-1376,3060,-14,2,15,
28,12,12,2023,15,41,27,461,2382,-1380,3058,-15,2,18,
29,12,12,2023,15,41,27,471,2382,-1387,3063,-13,3,16,
30,12,12,2023,15,41,27,481,2385,-1384,3055,-11,2,14,
31,12,12,2023,15,41,27,491,2386,-1384,3052,-12,1,13,
32,12,12,2023,15,41,27,501,2395,-1380,3062,-8,4,6,
33,12,12,2023,15,41,27,511,2398,-1375,3058,-5,5,13,
34,12,12,2023,15,41,27,521,2387,-1385,3057,-6,9,15,
35,12,12,2023,15,41,27,531,2384,-1379,3053,-3,10,13,
36,12,12,2023,15,41,27,541,2379,-1391,3055,-5,14,17,
37,12,12,2023,15,41,27,551,2384,-1387,3054,1,9,14,
38,12,12,2023,15,41,27,561,2380,-1390,3054,4,14,9,
39,12,12,2023,15,41,27,571,2389,-1385,3054,2,11,8,
40,12,12,2023,15,41,27,581,2379,-1384,3060,1,7,9,
41,12,12,2023,15,41,27,591,2373,-1392,3053,3,10,7,
42,12,12,2023,15,41,27,601,2390,-1389,3053,7,10,-1,
43,12,12,2023,15,41,27,611,2389,-1377,3061,5,10,2,
44,12,12,2023,15,41,27,621,2378,-1383,3068,8,11,4,
45,12,12,2023,15,41,27,631,2376,-1383,3064,8,15,-4,
46,12,12,2023,15,41,27,641,2390,-1375,3059,8,12,-1,
47,12,12,2023,15,41,27,651,2385,-1381,3061,6,13,7,
48,12,12,2023,15,41,27,661,2370,-1391,3063,4,11,7,
49,12,12,2023,15,41,27,671,2389,-1388,3063,4,13,-1,
50,12,12,2023,15,41,27,681,2392,-1374,3065,5,16,1,
51,12,12,2023,15,41,27,691,2385,-1377,3063,-3,11,5,
52,12,12,2023,15,41,27,701,2391,-1378,3054,-2,7,4,
53,12,12,2023,15,41,27,711,2381,-1374,3057,-2,9,8,
54,12,12,2023,15,41,27,721,2384,-1385,3061,-1,9,10,
55,12,12,2023,15,41,27,731,2380,-1384,3058,-2,10,9,
56,12,12,2023,15,41,27,741,2388,-1378,3059,-2,8,9,
57,12,12,2023,15,41,27,751,2370,-1393,3053,1,7,10,
58,12,12,2023,15,41,27,761,2356,-1409,3052,3,6,6,
59,12,12,2023,15,41,27,771,2379,-1393,3054,7,2,-5,
60,12,12,2023,15,41,27,781,2381,-1383,3064,8,1,-6,
61,12,12,2023,15,41,27,791,2390,-1360,3071,8,1,-10,
62,12,12,2023,15,41,27,801,2389,-1351,3067,4,0,-6,
63,12,12,2023,15,41,27,811,2379,-1369,3056,-1,-2,3,
64,12,12,2023,15,41,27,821,2383,-1388,3059,-1,-1,3,
65,12,12,2023,15,41,27,831,2386,-1376,3061,0,-4,2,
66,12,12,2023,15,41,27,841,2382,-1375,3070,-3,-3,6,
67,12,12,2023,15,41,27,851,2395,-1377,3063,-7,-2,7,
68,12,12,2023,15,41,27,861,2380,-1374,3061,-12,-2,8,
69,12,12,2023,15,41,27,871,2376,-1380,3063,-8,-7,12,
70,12,12,2023,15,41,27,881,2382,-1385,3062,-10,-2,6,
71,12,12,2023,15,41,27,891,2383,-1381,3058,-9,1,4,
72,12,12,2023,15,41,27,901,2377,-1381,3064,-9,1,4,
73,12,12,2023,15,41,27,911,2383,-1372,3067,-11,-1,4,
74,12,12,2023,15,41,27,921,2377,-1382,3054,-18,-2,6,
75,12,12,2023,15,41,27,931,2382,-1392,3062,-16,-1,8,
76,12,12,2023,15,41,27,941,2390,-1372,3057,-16,0,11,
77,12,12,2023,15,41,27,951,2384,-1391,3055,-15,-4,10,
78,12,12,2023,15,41,27,961,2373,-1395,3061,-12,-4,3,
79,12,12,2023,15,41,27,971,2385,-1389,3065,-9,-3,3,
80,12,12,2023,15,41,27,981,2373,-1383,3063,-11,-4,1,
81,12,12,2023,15,41,27,991,2380,-1395,3057,-10,-7,1,
82,12,12,2023,15,41,28,1,2379,-1395,3060,-8,-6,-4,
83,12,12,2023,15,41,28,11,2388,-1382,3061,-6,-7,-4,
