Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
5,76.460,75.795,1.385,4.570,86.64,26.26,65.34,86.98,34.66,13.02,5.52,1.26,71.27,95.47,23.20,3.27,28.09,28.09,1.039,0.971,0.858,0.296,269.9,262.1,2.695,,-8.9,9.2,22.60,28.33,-59.03,-52.40,0.058,0.030,117.78,107.55,0.240,0.213,0.049,,0.048,,0.200,
6,77.795,77.130,1.335,1.335,89.89,89.89,65.54,64.04,34.46,35.96,7.43,11.11,65.71,60.23,26.86,28.65,30.92,30.92,0.960,1.172,0.811,0.863,310.1,386.8,2.868,3.012,1.2,-1.1,13.18,23.90,-61.69,-67.42,0.028,-0.062,110.97,106.97,0.245,0.287,0.043,0.044,0.023,0.032,0.136,0.176
7,79.115,78.440,1.320,1.310,90.91,91.60,62.50,66.03,37.50,33.97,6.06,5.78,68.48,66.47,25.45,27.75,29.12,29.12,1.083,0.989,0.827,0.785,292.8,362.6,3.028,2.650,0.3,2.1,21.69,26.06,-62.97,-66.12,0.038,-0.029,109.06,112.44,0.240,0.254,0.035,0.019,0.012,0.016,0.171,0.192
8,80.415,79.745,1.300,1.305,92.31,91.95,66.15,67.05,33.85,32.95,6.40,9.71,65.70,61.14,27.91,29.14,29.92,29.92,1.053,0.959,0.811,0.900,305.5,342.9,2.867,2.774,5.5,-5.2,16.84,18.52,-63.58,-64.22,0.026,-0.069,105.50,109.71,0.252,0.273,0.035,0.039,0.007,0.027,0.125,0.125
9,81.710,81.065,1.295,1.320,92.66,90.91,65.25,63.26,34.75,36.74,6.51,5.99,65.09,64.07,28.40,29.94,27.59,27.59,1.169,1.206,0.889,0.907,303.6,379.0,3.199,3.240,-5.6,2.2,24.70,23.05,-67.88,-70.62,0.042,-0.082,110.04,107.98,0.281,0.307,0.054,0.059,0.027,0.039,0.193,0.171
10,83.025,82.370,1.315,1.305,91.25,91.95,64.26,62.07,35.74,37.93,6.51,6.17,65.09,63.58,28.40,30.25,26.56,26.56,1.162,1.135,0.998,0.809,324.5,380.1,,3.046,-1.7,-2.3,25.42,34.34,-69.21,-67.97,0.113,-0.043,113.43,109.32,0.289,0.286,,0.041,,0.023,,0.219
11,84.315,83.650,1.290,1.280,93.02,93.75,63.57,63.28,36.43,36.72,6.10,6.79,64.63,61.11,29.27,32.10,28.73,28.73,1.065,1.087,0.906,1.006,334.5,383.0,2.954,2.880,3.5,-2.2,15.46,24.47,-66.12,-66.71,0.027,-0.068,108.01,108.57,0.245,0.270,0.028,0.032,0.015,0.030,0.141,0.177
12,85.640,84.990,1.325,1.340,90.57,89.55,64.91,63.81,35.09,36.19,5.81,6.43,66.86,63.74,27.33,29.82,28.57,28.57,1.126,1.115,0.856,0.804,305.0,349.6,3.170,2.736,2.2,3.4,19.14,27.28,-68.10,-66.44,0.058,-0.067,110.28,112.07,0.266,0.270,0.042,0.036,0.018,0.034,0.154,0.207
13,86.900,86.320,1.260,1.330,95.24,90.23,63.10,63.53,36.90,36.47,6.29,7.69,72.96,63.31,20.75,28.99,22.49,22.49,0.997,1.273,0.885,1.060,307.8,344.1,,2.789,-10.0,2.1,7.26,25.99,-63.16,-62.77,0.022,-0.035,109.03,105.49,0.252,0.265,,0.040,,0.040,,0.190
14,88.200,87.565,1.300,1.245,92.31,96.39,63.85,59.84,36.15,40.16,6.02,8.72,60.84,63.76,33.13,27.52,25.82,25.82,1.296,1.304,0.952,1.081,357.5,249.2,3.608,2.537,5.2,-2.3,25.45,24.19,-74.26,-50.05,-0.024,-0.032,109.51,105.55,0.282,0.221,0.046,0.044,0.009,0.043,0.204,0.169
15,89.575,88.940,1.375,1.375,87.27,87.27,67.27,60.00,32.73,40.00,7.03,6.06,68.11,60.61,24.86,33.33,24.90,24.90,1.021,1.295,0.809,0.913,321.1,309.2,3.078,2.789,1.5,0.8,12.35,21.67,-66.48,-59.58,-0.022,-0.049,108.65,105.67,0.279,0.247,0.057,0.037,0.018,0.036,0.107,0.160
16,90.840,90.185,1.265,1.245,94.86,96.39,62.85,61.04,37.15,38.96,6.29,6.58,63.52,72.37,30.19,21.05,29.73,29.73,0.985,0.946,0.775,0.765,309.9,331.4,2.915,,7.6,3.8,10.47,26.55,-67.18,-60.75,0.014,-0.055,108.46,112.37,0.261,0.248,0.041,,0.012,,0.107,
17,92.125,91.480,1.285,1.295,93.39,92.66,63.81,66.02,36.19,33.98,6.10,10.53,67.07,60.82,26.83,28.65,28.68,28.68,1.043,1.003,0.878,0.815,296.7,294.3,3.077,,-10.0,-1.9,12.37,19.75,-61.58,-52.61,-0.020,-0.051,109.73,106.20,0.246,0.208,0.048,,0.017,,0.108,
18,93.400,92.770,1.275,1.290,94.12,93.02,64.71,64.73,35.29,35.27,6.06,8.38,64.85,62.87,29.09,28.74,27.82,27.82,0.999,1.008,0.822,0.845,350.3,328.0,3.059,2.518,3.5,2.2,17.21,24.16,-68.67,-61.21,0.027,-0.051,109.76,112.19,0.287,0.246,0.061,0.028,0.028,0.027,0.145,0.178
19,94.640,94.010,1.240,1.240,96.77,96.77,63.71,64.11,36.29,35.89,6.33,6.29,62.03,63.52,31.65,30.19,28.00,28.00,1.064,1.040,0.914,0.860,337.5,366.6,3.115,2.909,-1.7,-1.0,20.32,25.33,-70.68,-66.26,0.040,-0.056,108.59,112.44,0.281,0.267,0.045,0.032,0.014,0.025,0.155,0.176
20,95.895,95.260,1.255,1.250,95.62,96.00,62.95,64.00,37.05,36.00,6.33,6.88,64.56,63.75,29.11,29.38,27.89,27.89,1.229,1.125,0.943,0.962,316.3,365.3,3.302,3.014,2.6,1.0,16.66,20.03,-67.78,-65.83,0.023,-0.063,106.37,107.61,0.275,0.267,0.054,0.035,0.028,0.030,0.152,0.162
21,97.165,96.515,1.270,1.255,94.49,95.62,64.17,64.94,35.83,35.06,7.36,6.75,65.03,60.74,27.61,32.52,28.69,28.69,1.098,1.091,0.895,0.880,328.1,336.9,3.223,3.026,0.4,0.4,17.98,22.57,-65.22,-62.22,0.035,-0.058,109.55,108.94,0.259,0.258,0.048,0.033,0.012,0.028,0.144,0.155
22,98.430,97.770,1.265,1.255,94.86,95.62,63.24,64.94,36.76,35.06,6.25,6.13,63.12,63.80,30.62,30.06,27.69,27.69,1.105,1.055,0.971,0.905,329.6,343.7,3.200,3.049,-1.8,0.6,18.48,23.79,-68.11,-67.44,0.043,-0.042,108.81,111.68,0.301,0.288,0.076,0.051,0.032,0.042,0.145,0.175
23,99.635,99.070,1.205,1.300,99.59,92.31,67.22,63.46,32.78,36.54,6.17,7.27,65.43,62.42,28.40,30.30,32.08,32.08,1.085,1.170,0.866,0.851,329.4,327.4,3.310,2.976,-0.6,-0.6,16.01,24.40,-69.78,-64.16,0.025,-0.067,108.95,109.02,0.279,0.275,0.056,0.046,0.020,0.042,0.125,0.167
24,100.900,100.270,1.265,1.200,94.86,100.00,64.82,65.00,35.18,35.00,6.71,7.69,64.02,62.18,29.27,30.13,29.29,29.29,1.111,1.213,0.965,1.063,337.1,355.1,3.261,,8.0,2.3,13.54,30.85,-68.89,-62.11,-0.016,-0.038,109.18,106.64,0.284,0.234,0.064,,0.015,,0.107,
25,102.120,101.465,1.220,1.195,98.36,100.42,61.48,66.53,38.52,33.47,6.67,8.18,64.67,61.64,28.67,30.19,27.13,27.13,1.119,1.130,0.927,1.073,298.9,351.0,3.187,,-6.6,2.2,20.13,23.39,-66.44,-60.58,0.024,-0.061,109.90,106.33,0.274,0.249,0.057,,0.033,,0.172,
26,103.350,102.700,1.230,1.235,97.56,97.17,61.38,65.18,38.62,34.82,6.62,6.83,62.25,62.11,31.13,31.06,27.53,27.53,1.162,1.167,0.965,0.939,322.9,384.2,3.156,3.199,3.7,1.4,16.27,24.70,-68.92,-69.76,0.028,-0.057,106.24,106.82,0.264,0.281,0.040,0.036,0.015,0.019,0.138,0.168
27,104.575,103.935,1.225,1.235,97.96,97.17,57.96,65.99,42.04,34.01,7.75,6.13,65.49,61.96,26.76,31.90,20.83,20.83,1.179,1.116,0.992,0.902,349.3,379.4,,3.274,-1.5,-3.4,22.87,23.05,-69.22,-68.55,-0.028,-0.044,108.81,107.38,0.282,0.280,,0.034,,0.015,,0.137
