Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
3,23.630,24.470,2.175,3.115,55.17,38.52,75.86,82.02,24.14,17.98,3.03,1.96,87.27,86.69,9.70,11.35,80.79,80.79,0.895,0.730,0.287,0.227,484.4,330.0,,,-1.6,-4.9,14.77,8.91,-37.21,-76.37,0.055,-0.070,123.63,128.74,0.183,0.361,,,,,,
4,28.470,29.195,4.840,1.300,24.79,92.31,92.36,58.46,7.64,41.54,1.34,6.58,93.29,69.74,5.37,23.68,30.51,30.51,0.917,1.077,0.283,0.872,318.3,327.2,3.001,2.369,-3.8,10.4,22.85,35.08,-56.19,-44.93,0.019,-0.058,110.04,108.50,0.254,0.218,0.031,0.039,0.013,0.035,0.128,0.218
5,29.830,30.505,1.360,1.310,88.24,91.60,70.22,60.69,29.78,39.31,8.38,9.43,63.35,60.38,28.27,30.19,19.62,19.62,1.313,1.243,0.946,0.977,363.1,391.5,3.447,,-1.6,-0.6,37.79,27.89,-65.92,-70.45,0.034,-0.102,106.99,114.49,0.326,0.279,0.087,,0.071,,0.217,
6,31.130,31.800,1.300,1.295,92.31,92.66,59.23,57.53,40.77,42.47,14.94,11.41,64.29,65.77,20.78,22.82,15.48,15.48,1.153,1.334,0.961,1.086,385.6,377.7,,,2.2,-1.2,35.11,23.96,-67.24,-68.02,0.040,-0.074,108.09,105.60,0.297,0.287,,,,,,
7,32.390,33.015,1.260,1.215,95.24,98.77,59.13,62.96,40.87,37.04,10.74,8.50,61.74,60.13,27.52,31.37,30.36,30.36,1.069,1.070,0.883,0.903,348.1,410.5,3.121,3.142,0.4,3.4,28.65,27.33,-67.98,-71.15,0.038,-0.065,111.45,113.17,0.329,0.289,0.084,0.041,0.024,0.038,0.171,0.186
8,33.625,34.220,1.235,1.205,97.17,99.59,66.80,60.58,33.20,39.42,9.70,8.22,61.82,65.07,28.48,26.71,23.67,23.67,1.164,1.105,0.960,1.013,328.8,461.8,3.242,3.405,-2.0,1.0,28.22,25.43,-60.65,-75.88,0.042,-0.029,106.96,109.67,0.291,0.298,0.056,0.043,0.008,0.029,0.142,0.173
9,34.850,35.480,1.225,1.260,97.96,95.24,62.45,63.10,37.55,36.90,6.54,6.29,63.40,66.04,30.07,27.67,25.10,25.10,0.954,1.197,0.813,0.915,301.1,435.1,2.738,,0.5,-7.9,23.61,18.84,-55.93,-71.39,0.036,-0.046,108.39,105.94,0.250,0.281,0.032,,0.012,,0.132,
10,36.105,36.735,1.255,1.255,95.62,95.62,62.15,56.97,37.85,43.03,7.69,10.49,60.26,65.03,32.05,24.48,19.58,19.58,1.116,1.063,0.966,0.862,330.8,393.0,3.171,3.080,3.8,0.9,22.62,12.93,-64.55,-73.20,-0.028,0.047,112.98,109.71,0.278,0.304,0.040,0.053,,0.023,0.130,0.076
11,37.305,37.945,1.200,1.210,100.00,99.17,64.58,59.92,35.42,40.08,6.45,6.90,67.10,62.76,26.45,30.34,27.31,27.31,1.182,1.119,0.963,1.152,354.9,376.3,3.242,3.161,1.2,2.2,33.46,14.73,-60.89,-70.26,0.057,-0.085,109.09,107.57,0.311,0.299,0.079,0.056,0.045,0.032,0.193,0.113
12,38.495,39.125,1.190,1.180,100.84,101.69,68.07,60.17,31.93,39.83,12.96,7.04,63.58,61.27,23.46,31.69,26.07,26.07,1.026,1.074,0.950,0.993,375.1,401.3,3.256,3.296,-4.6,-5.5,31.07,13.40,-55.03,-72.68,-0.031,-0.060,111.03,120.97,0.255,0.310,0.044,0.067,0.021,0.045,0.168,0.118
13,39.665,40.315,1.170,1.190,102.56,100.84,66.24,57.98,33.76,42.02,11.61,7.25,60.65,61.59,27.74,31.16,25.41,25.41,1.066,1.215,0.893,0.928,359.7,371.2,3.332,3.174,1.9,6.0,31.23,20.65,-54.72,-67.69,0.034,-0.053,111.12,107.86,0.276,0.310,0.060,0.070,0.030,0.045,0.181,0.145
14,40.885,41.555,1.220,1.240,98.36,96.77,66.39,58.47,33.61,41.53,11.73,6.90,62.96,61.38,25.31,31.72,25.50,25.50,1.202,1.081,0.909,0.975,340.2,516.9,3.314,3.151,-1.4,0.4,35.05,19.06,-52.75,-73.33,0.026,-0.052,106.61,113.92,0.283,0.304,0.072,0.056,0.057,0.055,0.215,0.191
15,42.140,42.815,1.255,1.260,95.62,95.24,66.53,52.38,33.47,47.62,7.19,7.58,65.87,68.94,26.95,23.48,19.01,19.01,1.045,1.048,0.927,0.934,342.7,286.5,3.091,2.597,0.9,-2.8,33.53,13.33,-57.30,-60.43,0.017,-0.034,113.67,109.60,0.259,0.280,0.036,0.072,0.026,0.061,0.215,0.116
16,43.350,43.935,1.210,1.120,99.17,107.14,68.60,60.71,31.40,39.29,7.83,9.56,66.27,52.21,25.90,38.24,28.39,28.39,1.217,1.238,1.080,1.040,343.3,403.4,3.480,3.549,-1.6,7.1,34.02,24.99,-53.17,-75.07,0.019,-0.035,107.44,109.40,0.227,0.321,0.021,0.076,0.006,0.056,0.192,0.176
17,44.530,45.175,1.180,1.240,101.69,96.77,65.68,61.69,34.32,38.31,12.26,11.11,61.29,60.78,26.45,28.10,28.69,28.69,1.130,1.059,0.948,0.941,348.5,348.9,3.394,,-1.3,-5.1,29.20,15.11,-56.96,-63.89,0.025,-0.084,109.15,108.78,0.265,0.252,0.050,,0.036,,0.190,
18,45.750,46.370,1.220,1.195,98.36,100.42,67.62,62.76,32.38,37.24,7.27,6.67,67.27,63.33,25.45,30.00,26.69,26.69,0.935,1.139,0.776,1.016,300.1,358.4,2.903,3.272,-1.7,3.0,28.78,17.15,-47.99,-62.97,0.036,-0.066,113.10,108.83,0.245,0.294,0.045,0.070,0.027,0.048,0.154,0.125
19,46.930,47.475,1.180,1.105,101.69,108.60,64.41,57.47,35.59,42.53,13.16,7.87,59.21,64.57,27.63,27.56,21.33,21.33,1.190,1.037,1.138,0.930,304.1,410.1,3.287,3.218,-0.3,0.4,28.96,12.92,-52.42,-73.52,-0.018,-0.072,108.43,110.37,0.269,0.341,0.067,0.094,0.064,0.062,0.216,0.114
20,48.055,48.620,1.125,1.145,106.67,104.80,63.11,64.19,36.89,35.81,7.75,6.80,65.49,59.86,26.76,33.33,28.07,28.07,1.037,1.065,0.907,0.891,295.8,364.8,3.049,3.259,3.8,-5.7,30.46,16.82,-42.31,-68.48,-0.029,-0.020,109.73,107.84,0.219,0.292,0.041,0.059,0.024,0.038,0.173,0.116
21,49.195,49.775,1.140,1.155,105.26,103.90,64.04,64.94,35.96,35.06,13.70,6.67,60.27,60.67,26.03,32.67,22.75,22.75,0.956,1.072,0.848,1.039,268.5,396.8,2.950,3.150,-0.6,10.9,26.74,21.60,-45.91,-73.24,0.011,-0.106,111.46,110.51,0.257,0.295,0.066,0.047,0.043,0.041,0.163,0.136
22,50.360,50.935,1.165,1.160,103.00,103.45,57.51,61.64,42.49,38.36,13.43,13.29,63.43,55.24,23.13,31.47,24.89,24.89,1.025,0.995,0.918,0.994,300.3,328.5,3.024,,-3.7,-1.5,24.73,15.37,-53.20,-60.97,0.037,-0.079,109.63,110.20,0.292,0.262,0.076,,0.050,,0.166,
23,51.485,52.120,1.125,1.185,106.67,101.27,64.44,59.49,35.56,40.51,6.90,8.51,63.45,58.87,29.66,32.62,23.79,23.79,1.046,0.962,0.956,0.870,325.0,359.4,3.075,2.935,2.2,-5.2,28.04,14.93,-53.99,-64.44,0.018,-0.081,108.68,111.31,0.260,0.283,0.051,0.053,0.033,0.032,0.181,0.089
24,52.620,53.200,1.135,1.080,105.73,111.11,66.08,60.19,33.92,39.81,12.67,7.69,62.67,51.54,24.67,40.77,25.11,25.11,0.976,1.106,0.932,1.017,299.9,392.1,2.995,3.359,-1.3,8.2,32.62,21.71,-43.53,-74.10,0.045,0.032,113.52,110.31,0.239,0.283,0.054,0.042,0.046,0.035,0.200,0.150
25,53.775,54.370,1.155,1.170,103.90,102.56,62.34,62.82,37.66,37.18,9.03,8.84,64.58,59.18,26.39,31.97,27.35,27.35,0.963,0.955,0.885,0.851,326.8,370.0,2.892,3.049,4.8,-9.9,29.69,14.26,-47.46,-68.46,0.040,0.042,110.00,114.37,0.248,0.290,0.053,0.048,0.036,0.032,0.181,0.098
26,54.945,55.540,1.170,1.170,102.56,102.56,64.53,61.54,35.47,38.46,11.26,7.64,58.94,58.33,29.80,34.03,25.42,25.42,0.891,0.994,0.777,0.870,366.4,366.9,3.073,2.819,-5.5,-11.2,28.46,18.44,-59.92,-68.71,0.039,-0.102,121.82,113.84,0.293,0.284,0.064,0.054,0.028,0.050,0.157,0.142
27,56.125,56.700,1.180,1.160,101.69,103.45,63.56,62.50,36.44,37.50,9.33,10.34,64.00,57.24,26.67,32.41,26.43,26.43,0.995,1.153,0.904,1.123,326.5,375.2,3.064,3.148,1.3,8.5,30.23,18.33,-48.95,-74.40,0.032,-0.088,110.25,107.62,0.255,0.330,0.053,0.085,0.036,0.044,0.174,0.119
28,57.260,57.825,1.135,1.125,105.73,106.67,64.76,58.22,35.24,41.78,12.24,10.69,58.50,61.07,29.25,28.24,25.00,25.00,1.139,1.018,1.106,1.038,353.8,398.7,3.383,3.082,1.4,4.4,29.55,8.26,-58.81,-67.87,0.032,-0.069,108.22,107.47,0.266,0.309,0.043,0.076,0.025,0.032,0.187,0.070
