Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,15,2024,14,38,17,285,61,-4013,481,255,-6,0,
2,1,15,2024,14,38,17,295,61,-4013,481,255,-6,0,
3,1,15,2024,14,38,17,305,61,-4013,481,255,-6,0,
4,1,15,2024,14,38,17,315,61,-4013,481,255,-6,0,
5,1,15,2024,14,38,17,325,61,-4013,481,255,-6,0,
6,1,15,2024,14,38,17,335,61,-4013,481,255,-6,0,
7,1,15,2024,14,38,17,345,2221,-1344,3153,-2,2,-8,
8,1,15,2024,14,38,17,355,2227,-1357,3158,-4,-5,-2,
9,1,15,2024,14,38,17,365,2228,-1352,3151,1,-7,4,
10,1,15,2024,14,38,17,375,2220,-1341,3148,-2,-7,5,
11,1,15,2024,14,38,17,385,2220,-1349,3157,0,-6,7,
12,1,15,2024,14,38,17,395,2225,-1356,3153,3,-7,8,
13,1,15,2024,14,38,17,405,2223,-1353,3154,2,-5,6,
14,1,15,2024,14,38,17,415,2231,-1358,3147,-2,-6,2,
15,1,15,2024,14,38,17,425,2229,-1359,3155,0,-5,2,
16,1,15,2024,14,38,17,435,2231,-1362,3156,3,-3,0,
17,1,15,2024,14,38,17,445,2224,-1349,3158,6,0,0,
18,1,15,2024,14,38,17,455,2218,-1339,3156,2,-1,4,
19,1,15,2024,14,38,17,465,2219,-1347,3152,-3,-1,-2,
20,1,15,2024,14,38,17,475,2226,-1352,3155,3,-6,3,
21,1,15,2024,14,38,17,485,2223,-1355,3159,0,-1,4,
22,1,15,2024,14,38,17,495,2231,-1369,3157,1,-5,5,
23,1,15,2024,14,38,17,505,2230,-1360,3154,-1,-3,3,
24,1,15,2024,14,38,17,515,2220,-1352,3150,-1,-1,0,
25,1,15,2024,14,38,17,525,2211,-1343,3145,-1,-2,2,
26,1,15,2024,14,38,17,535,2221,-1343,3146,-3,-2,5,
27,1,15,2024,14,38,17,545,2226,-1352,3158,-5,-7,4,
28,1,15,2024,14,38,17,555,2234,-1362,3159,-8,-5,4,
29,1,15,2024,14,38,17,565,2221,-1359,3156,-1,-2,4,
30,1,15,2024,14,38,17,575,2221,-1353,3157,-6,1,3,
31,1,15,2024,14,38,17,585,2223,-1344,3157,-7,-2,6,
32,1,15,2024,14,38,17,595,2211,-1345,3160,-7,-5,4,
33,1,15,2024,14,38,17,605,2224,-1354,3152,-10,-8,1,
34,1,15,2024,14,38,17,615,2227,-1354,3163,-9,-7,0,
35,1,15,2024,14,38,17,625,2221,-1355,3157,-6,-4,0,
36,1,15,2024,14,38,17,635,2218,-1350,3155,-5,-7,2,
37,1,15,2024,14,38,17,645,2215,-1350,3153,-9,-8,6,
38,1,15,2024,14,38,17,655,2216,-1347,3151,-7,-9,6,
39,1,15,2024,14,38,17,665,2217,-1347,3155,-11,-9,5,
40,1,15,2024,14,38,17,675,2221,-1348,3155,-13,-9,8,
41,1,15,2024,14,38,17,685,2226,-1353,3154,-12,-11,8,
42,1,15,2024,14,38,17,695,2232,-1359,3156,-9,-7,6,
43,1,15,2024,14,38,17,705,2219,-1359,3154,-7,-6,3,
44,1,15,2024,14,38,17,715,2223,-1351,3150,-3,-10,8,
45,1,15,2024,14,38,17,725,2224,-1351,3159,-8,-9,5,
46,1,15,2024,14,38,17,735,2228,-1356,3156,-9,-10,4,
47,1,15,2024,14,38,17,745,2216,-1354,3161,-5,-9,7,
48,1,15,2024,14,38,17,755,2217,-1354,3150,-5,-9,10,
49,1,15,2024,14,38,17,765,2222,-1358,3149,-5,-11,9,
50,1,15,2024,14,38,17,775,2220,-1358,3150,-7,-12,6,
51,1,15,2024,14,38,17,785,2224,-1357,3159,-8,-12,7,
52,1,15,2024,14,38,17,795,2225,-1357,3154,-6,-10,7,
53,1,15,2024,14,38,17,805,2225,-1353,3156,-8,-8,13,
54,1,15,2024,14,38,17,815,2224,-1359,3160,-8,-11,9,
55,1,15,2024,14,38,17,825,2248,-1383,3159,-5,-13,7,
56,1,15,2024,14,38,17,835,2226,-1359,3157,1,-7,7,
57,1,15,2024,14,38,17,845,2212,-1354,3153,2,-3,5,
58,1,15,2024,14,38,17,855,2220,-1361,3150,1,-2,3,
59,1,15,2024,14,38,17,865,2222,-1358,3155,2,-5,4,
60,1,15,2024,14,38,17,875,2226,-1356,3149,-1,-7,3,
61,1,15,2024,14,38,17,885,2224,-1346,3161,-3,-8,6,
62,1,15,2024,14,38,17,895,2223,-1350,3163,-2,-8,7,
63,1,15,2024,14,38,17,905,2222,-1347,3160,-3,-7,8,
64,1,15,2024,14,38,17,915,2223,-1350,3157,-5,-11,8,
65,1,15,2024,14,38,17,925,2226,-1358,3154,-6,-10,7,
66,1,15,2024,14,38,17,935,2216,-1362,3146,-3,-7,6,
67,1,15,2024,14,38,17,945,2221,-1362,3148,-5,-6,9,
68,1,15,2024,14,38,17,955,2219,-1361,3151,-2,-5,4,
69,1,15,2024,14,38,17,965,2225,-1367,3152,-2,-3,0,
70,1,15,2024,14,38,17,975,2238,-1361,3160,0,-5,0,
71,1,15,2024,14,38,17,985,2228,-1359,3151,5,-3,1,
72,1,15,2024,14,38,17,995,2217,-1351,3150,3,-4,3,
73,1,15,2024,14,38,18,5,2224,-1349,3156,1,-4,2,
74,1,15,2024,14,38,18,15,2226,-1359,3152,0,-2,0,
75,1,15,2024,14,38,18,25,2221,-1359,3160,-1,-5,3,
76,1,15,2024,14,38,18,35,2222,-1356,3148,0,-6,5,
77,1,15,2024,14,38,18,45,2221,-1354,3147,-2,-5,2,
78,1,15,2024,14,38,18,55,2218,-1357,3151,0,-6,1,
79,1,15,2024,14,38,18,65,2228,-1361,3152,-1,-5,1,
80,1,15,2024,14,38,18,75,2228,-1359,3150,1,-6,0,
81,1,15,2024,14,38,18,85,2235,-1376,3153,2,-4,-4,
82,1,15,2024,14,38,18,95,2231,-1361,3146,9,2,-2,
83,1,15,2024,14,38,18,105,2215,-1340,3151,10,4,-1,
84,1,15,2024,14,38,18,115,2214,-1336,3149,7,-2,2,
85,1,15,2024,14,38,18,125,2217,-1350,3140,4,-1,5,
86,1,15,2024,14,38,18,145,2223,-1340,3150,2,-6,2,
87,1,15,2024,14,38,18,155,2230,-1351,3152,2,-6,0,
88,1,15,2024,14,38,18,165,2230,-1356,3156,0,-7,3,
89,1,15,2024,14,38,18,175,2227,-1352,3163,0,-7,6,
90,1,15,2024,14,38,18,185,2232,-1356,3165,-2,-6,9,
91,1,15,2024,14,38,18,195,2230,-1358,3162,-2,-2,11,
92,1,15,2024,14,38,18,205,2228,-1358,3157,2,-2,11,
93,1,15,2024,14,38,18,215,2229,-1361,3164,1,-2,7,
94,1,15,2024,14,38,18,225,2238,-1370,3168,2,-5,2,
95,1,15,2024,14,38,18,235,2230,-1361,3160,0,-5,5,
96,1,15,2024,14,38,18,245,2229,-1369,3163,1,-6,3,
97,1,15,2024,14,38,18,255,2236,-1363,3159,0,-5,6,
98,1,15,2024,14,38,18,265,2216,-1347,3161,-1,-6,3,
99,1,15,2024,14,38,18,275,2219,-1351,3151,-1,-4,4,
100,1,15,2024,14,38,18,285,2220,-1353,3144,1,-2,3,
101,1,15,2024,14,38,18,295,2224,-1360,3156,0,-4,2,
102,1,15,2024,14,38,18,305,2216,-1359,3142,2,-4,3,
103,1,15,2024,14,38,18,315,2202,-1344,3142,2,-3,3,
104,1,15,2024,14,38,18,325,2206,-1341,3147,-3,-4,4,
105,1,15,2024,14,38,18,335,2218,-1348,3145,0,-8,3,
106,1,15,2024,14,38,18,345,2217,-1360,3151,-4,-8,2,
107,1,15,2024,14,38,18,355,2225,-1360,3157,-1,-6,4,
108,1,15,2024,14,38,18,365,2225,-1350,3154,0,-4,2,
109,1,15,2024,14,38,18,375,2223,-1356,3157,0,-5,1,
110,1,15,2024,14,38,18,385,2222,-1359,3160,-2,-6,2,
111,1,15,2024,14,38,18,395,2226,-1362,3155,0,-8,3,
112,1,15,2024,14,38,18,405,2221,-1353,3156,4,-6,3,
113,1,15,2024,14,38,18,415,2246,-1370,3157,5,-4,0,
114,1,15,2024,14,38,18,425,2235,-1367,3151,9,3,2,
115,1,15,2024,14,38,18,435,2214,-1353,3161,10,4,-3,
116,1,15,2024,14,38,18,445,2215,-1348,3147,5,-3,-4,
117,1,15,2024,14,38,18,455,2218,-1341,3152,6,-5,-2,
118,1,15,2024,14,38,18,465,2220,-1348,3161,1,0,1,
119,1,15,2024,14,38,18,475,2227,-1353,3155,0,-3,0,
120,1,15,2024,14,38,18,485,2225,-1348,3158,-1,-4,-2,
121,1,15,2024,14,38,18,495,2210,-1346,3155,0,-2,4,
122,1,15,2024,14,38,18,505,2218,-1347,3150,0,-4,2,
123,1,15,2024,14,38,18,515,2230,-1351,3164,0,-6,5,
124,1,15,2024,14,38,18,525,2228,-1351,3160,-2,-8,8,
125,1,15,2024,14,38,18,535,2225,-1351,3159,-2,-8,9,
126,1,15,2024,14,38,18,545,2255,-1385,3158,-1,-6,4,
127,1,15,2024,14,38,18,555,2254,-1384,3155,9,3,6,
