Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,15,2024,14,38,23,409,104,-4064,466,5,1,4,
2,1,15,2024,14,38,23,419,104,-4064,466,5,1,4,
3,1,15,2024,14,38,23,429,104,-4064,466,5,1,4,
4,1,15,2024,14,38,23,439,104,-4064,466,5,1,4,
5,1,15,2024,14,38,23,449,104,-4064,466,5,1,4,
6,1,15,2024,14,38,23,459,2433,1172,3085,-8,9,15,
7,1,15,2024,14,38,23,469,2430,1165,3086,-14,-1,-3,
8,1,15,2024,14,38,23,479,2429,1175,3089,-10,-4,7,
9,1,15,2024,14,38,23,489,2435,1176,3081,-10,0,11,
10,1,15,2024,14,38,23,499,2419,1171,3083,-7,-4,11,
11,1,15,2024,14,38,23,509,2425,1165,3075,-7,-2,9,
12,1,15,2024,14,38,23,519,2419,1164,3075,-8,-2,6,
13,1,15,2024,14,38,23,529,2429,1172,3083,-3,0,9,
14,1,15,2024,14,38,23,539,2435,1162,3078,-3,1,9,
15,1,15,2024,14,38,23,549,2434,1171,3077,-4,3,5,
16,1,15,2024,14,38,23,559,2429,1173,3077,-3,3,3,
17,1,15,2024,14,38,23,569,2429,1168,3080,-6,-2,7,
18,1,15,2024,14,38,23,579,2425,1169,3079,-7,0,8,
19,1,15,2024,14,38,23,589,2427,1169,3085,-4,1,7,
20,1,15,2024,14,38,23,599,2429,1172,3084,-5,-1,6,
21,1,15,2024,14,38,23,609,2428,1170,3082,-2,-2,5,
22,1,15,2024,14,38,23,619,2429,1163,3076,1,-2,4,
23,1,15,2024,14,38,23,629,2429,1169,3077,2,1,3,
24,1,15,2024,14,38,23,639,2427,1171,3074,1,4,7,
25,1,15,2024,14,38,23,649,2422,1174,3074,6,0,8,
26,1,15,2024,14,38,23,659,2430,1161,3082,6,-1,7,
27,1,15,2024,14,38,23,669,2426,1169,3081,3,1,8,
28,1,15,2024,14,38,23,679,2429,1160,3078,6,0,8,
29,1,15,2024,14,38,23,689,2435,1160,3075,4,2,5,
30,1,15,2024,14,38,23,699,2426,1174,3084,7,4,7,
31,1,15,2024,14,38,23,709,2433,1171,3086,12,4,6,
32,1,15,2024,14,38,23,719,2437,1169,3081,11,1,5,
33,1,15,2024,14,38,23,729,2434,1171,3087,12,4,3,
34,1,15,2024,14,38,23,739,2437,1176,3088,9,4,2,
35,1,15,2024,14,38,23,749,2436,1167,3080,4,4,3,
36,1,15,2024,14,38,23,759,2427,1173,3075,5,1,3,
37,1,15,2024,14,38,23,769,2429,1168,3070,5,5,4,
38,1,15,2024,14,38,23,779,2425,1167,3079,2,5,0,
39,1,15,2024,14,38,23,789,2427,1172,3079,8,3,4,
40,1,15,2024,14,38,23,799,2434,1173,3081,9,0,5,
41,1,15,2024,14,38,23,809,2423,1167,3078,9,1,4,
42,1,15,2024,14,38,23,819,2431,1170,3081,9,4,3,
43,1,15,2024,14,38,23,829,2436,1170,3079,11,5,2,
44,1,15,2024,14,38,23,839,2425,1166,3082,11,2,1,
45,1,15,2024,14,38,23,849,2424,1175,3089,10,4,-1,
46,1,15,2024,14,38,23,859,2433,1181,3081,10,2,0,
47,1,15,2024,14,38,23,869,2427,1165,3077,8,3,1,
48,1,15,2024,14,38,23,879,2431,1168,3078,11,4,5,
49,1,15,2024,14,38,23,889,2427,1164,3076,12,3,4,
50,1,15,2024,14,38,23,899,2425,1173,3077,10,3,4,
51,1,15,2024,14,38,23,909,2430,1176,3085,12,1,0,
52,1,15,2024,14,38,23,919,2435,1171,3085,9,1,0,
53,1,15,2024,14,38,23,929,2437,1170,3077,12,-1,2,
54,1,15,2024,14,38,23,939,2422,1171,3079,13,1,1,
55,1,15,2024,14,38,23,949,2430,1171,3080,12,6,0,
56,1,15,2024,14,38,23,959,2439,1177,3074,9,5,0,
57,1,15,2024,14,38,23,969,2432,1176,3084,6,7,1,
58,1,15,2024,14,38,23,979,2441,1184,3086,4,5,7,
59,1,15,2024,14,38,23,989,2427,1170,3080,-1,5,7,
60,1,15,2024,14,38,23,999,2424,1177,3065,-4,5,6,
61,1,15,2024,14,38,24,9,2430,1172,3085,-6,0,7,
62,1,15,2024,14,38,24,19,2446,1199,3091,-6,3,5,
63,1,15,2024,14,38,24,29,2434,1163,3092,-16,-1,9,
64,1,15,2024,14,38,24,39,2426,1168,3080,-19,-5,7,
65,1,15,2024,14,38,24,49,2425,1180,3080,-21,4,6,
66,1,15,2024,14,38,24,59,2415,1171,3084,-21,1,9,
67,1,15,2024,14,38,24,69,2426,1178,3070,-15,-4,12,
68,1,15,2024,14,38,24,79,2428,1164,3080,-11,-5,12,
69,1,15,2024,14,38,24,89,2432,1173,3084,-13,-2,12,
70,1,15,2024,14,38,24,99,2437,1174,3078,-13,-6,11,
71,1,15,2024,14,38,24,109,2429,1168,3087,-14,1,8,
72,1,15,2024,14,38,24,119,2428,1175,3078,-13,-3,12,
73,1,15,2024,14,38,24,129,2431,1175,3074,-7,0,12,
74,1,15,2024,14,38,24,139,2418,1163,3078,-8,0,8,
75,1,15,2024,14,38,24,149,2428,1156,3073,-8,-1,7,
76,1,15,2024,14,38,24,159,2435,1178,3069,-11,-1,8,
77,1,15,2024,14,38,24,169,2431,1174,3082,-9,2,9,
78,1,15,2024,14,38,24,179,2419,1160,3081,-6,1,9,
79,1,15,2024,14,38,24,189,2422,1162,3075,-9,0,8,
80,1,15,2024,14,38,24,199,2431,1168,3070,-8,3,4,
81,1,15,2024,14,38,24,209,2428,1176,3075,-4,1,4,
82,1,15,2024,14,38,24,219,2432,1165,3088,-3,4,4,
83,1,15,2024,14,38,24,229,2432,1165,3079,-7,-1,4,
84,1,15,2024,14,38,24,239,2425,1167,3061,-8,-3,6,
85,1,15,2024,14,38,24,249,2433,1164,3072,-7,1,7,
86,1,15,2024,14,38,24,269,2437,1170,3077,0,4,9,
87,1,15,2024,14,38,24,279,2424,1161,3084,0,6,5,
88,1,15,2024,14,38,24,289,2426,1161,3079,0,0,7,
