Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
3,39.345,,2.650,,45.28,,78.30,,21.70,,2.41,,90.84,,6.75,,,,0.743,,0.255,,411.0,,0.179,,-1.6,,2.47,,-45.95,,-0.103,,126.71,,0.314,,0.191,,0.039,,0.040,
4,43.525,44.120,4.180,5.655,28.71,21.22,91.39,91.16,8.61,8.84,1.31,0.97,94.24,93.70,4.45,5.33,22.98,22.98,0.493,1.196,0.174,0.306,283.4,267.7,,2.784,-1.9,9.8,14.98,23.25,-30.97,-61.07,0.006,-0.011,111.29,103.77,0.141,0.208,,0.024,,0.008,,0.146
5,44.765,45.370,1.240,1.250,96.77,96.00,63.31,59.60,36.69,40.40,6.37,11.41,63.06,66.44,30.57,22.15,21.72,21.72,0.862,0.964,0.714,0.811,320.4,319.2,2.631,2.775,0.4,7.8,18.30,19.82,-66.14,-63.70,0.069,-0.070,112.15,110.51,0.248,0.243,0.061,0.066,0.049,0.048,0.119,0.168
6,45.985,46.555,1.220,1.185,98.36,101.27,63.11,65.40,36.89,34.60,6.49,9.03,64.94,60.00,28.57,30.97,29.22,29.22,1.108,1.014,0.908,0.870,340.0,308.1,3.186,2.862,4.0,1.7,19.55,21.29,-68.46,-64.87,-0.012,-0.017,104.60,107.55,0.254,0.244,0.059,0.060,0.038,0.033,0.124,0.152
7,47.200,47.810,1.215,1.255,98.77,95.62,62.96,63.75,37.04,36.25,7.84,13.12,65.36,57.50,26.80,29.38,25.71,25.71,1.121,1.139,0.930,0.886,356.8,355.8,3.189,3.148,3.0,0.1,21.00,23.90,-71.16,-69.64,0.062,-0.021,106.57,107.13,0.262,0.269,0.062,0.076,0.036,0.051,0.133,0.189
8,48.425,49.090,1.225,1.280,97.96,93.75,62.86,56.25,37.14,43.75,9.74,11.81,61.04,63.89,29.22,24.31,21.15,21.15,1.106,1.027,0.888,0.865,369.5,330.2,3.088,2.785,-0.5,2.9,23.20,23.46,-70.32,-68.63,0.023,-0.058,106.62,111.49,0.257,0.268,0.057,0.074,0.036,0.054,0.140,0.191
9,49.725,50.360,1.300,1.270,92.31,94.49,64.23,61.81,35.77,38.19,10.18,10.19,61.08,59.24,28.74,30.57,25.68,25.68,1.177,1.069,0.965,0.864,360.2,330.8,3.222,2.910,-2.6,0.9,20.58,23.96,-70.42,-67.70,0.080,-0.082,107.34,111.06,0.252,0.242,0.056,0.054,0.044,0.039,0.132,0.182
10,51.010,51.660,1.285,1.300,93.39,92.31,63.42,62.31,36.58,37.69,8.59,9.88,61.35,61.73,30.06,28.40,26.25,26.25,1.126,1.132,0.878,0.877,338.1,341.1,3.038,2.996,0.1,-2.3,22.10,25.12,-71.73,-68.50,0.057,-0.064,106.79,106.54,0.255,0.259,0.053,0.068,0.035,0.046,0.131,0.185
11,52.305,52.975,1.295,1.315,92.66,91.25,64.09,61.60,35.91,38.40,9.04,9.88,63.25,59.26,27.71,30.86,21.59,21.59,1.205,0.921,0.924,0.758,362.7,387.6,3.235,2.761,2.6,0.9,23.78,21.29,-69.92,-67.81,0.066,-0.062,106.22,115.12,0.259,0.260,0.060,0.069,0.045,0.049,0.151,0.177
12,53.625,54.255,1.320,1.280,90.91,93.75,59.85,62.89,40.15,37.11,12.03,8.70,66.46,63.35,21.52,27.95,26.56,26.56,1.156,1.229,0.908,0.940,323.8,348.3,3.106,3.200,-3.5,0.9,21.48,23.47,-65.88,-66.15,0.073,-0.032,106.10,106.73,0.253,0.256,0.063,0.069,0.039,0.045,0.126,0.176
13,54.905,55.555,1.280,1.300,93.75,92.31,63.67,63.85,36.33,36.15,7.98,10.24,62.58,60.84,29.45,28.92,27.59,27.59,1.226,1.128,0.970,0.894,379.2,341.2,3.241,3.008,1.0,2.3,25.24,27.00,-73.21,-69.42,0.055,-0.019,107.18,106.92,0.260,0.255,0.055,0.061,0.041,0.031,0.156,0.181
14,56.210,56.860,1.305,1.305,91.95,91.95,63.60,63.98,36.40,36.02,11.45,8.98,59.64,59.28,28.92,31.74,26.89,26.89,1.124,1.178,0.870,0.889,341.8,324.0,2.958,3.006,-0.6,-0.5,23.21,23.35,-72.29,-69.60,0.060,-0.018,107.31,105.36,0.274,0.240,0.076,0.049,0.056,0.034,0.149,0.168
15,57.530,58.150,1.320,1.290,90.91,93.02,62.50,65.50,37.50,34.50,10.91,8.88,62.42,61.54,26.67,29.59,30.35,30.35,1.208,1.283,0.933,0.972,331.0,346.6,3.118,3.197,0.0,0.1,23.49,24.96,-64.89,-68.45,0.029,-0.037,105.93,104.36,0.255,0.262,0.063,0.070,0.037,0.044,0.145,0.180
16,58.815,59.470,1.285,1.320,93.39,90.91,64.98,63.64,35.02,36.36,9.58,14.29,62.28,56.55,28.14,29.17,26.85,26.85,1.125,1.224,0.893,0.971,365.4,352.7,3.084,3.111,-3.1,-0.6,20.56,22.76,-75.80,-68.06,0.048,-0.036,105.49,104.05,0.257,0.252,0.048,0.061,0.032,0.029,0.119,0.157
17,60.100,60.765,1.285,1.295,93.39,92.66,64.20,56.76,35.80,43.24,9.09,9.52,62.42,65.99,28.48,24.49,22.05,22.05,1.189,1.123,0.936,0.871,315.8,333.5,3.140,2.958,1.1,1.4,19.71,25.21,-71.68,-65.96,0.057,-0.085,107.32,110.23,0.273,0.252,0.075,0.067,0.060,0.044,0.140,0.187
18,61.415,62.040,1.315,1.275,91.25,94.12,64.64,65.10,35.36,34.90,6.47,10.24,65.88,60.84,27.65,28.92,32.03,32.03,1.130,1.190,0.882,0.918,337.2,332.8,2.971,3.088,-0.3,-0.7,21.45,22.42,-71.24,-65.88,0.077,-0.038,106.44,105.06,0.256,0.261,0.054,0.072,0.036,0.038,0.124,0.153
19,62.695,63.360,1.280,1.320,93.75,90.91,66.80,64.39,33.20,35.61,8.77,12.94,63.16,57.65,28.07,29.41,29.17,29.17,1.092,1.008,0.864,0.828,336.1,336.8,2.993,2.808,-1.6,1.6,20.78,22.79,-70.84,-69.74,0.054,-0.058,107.10,110.45,0.254,0.258,0.053,0.062,0.035,0.033,0.122,0.163
20,64.015,64.650,1.320,1.290,90.91,93.02,64.77,64.73,35.23,35.27,11.70,10.18,60.23,60.48,28.07,29.34,29.50,29.50,0.990,0.990,0.783,0.808,372.8,354.2,2.792,2.847,2.5,-0.0,21.47,23.55,-72.39,-68.89,0.050,-0.050,108.97,111.37,0.261,0.247,0.057,0.054,0.044,0.026,0.133,0.159
21,65.320,65.955,1.305,1.305,91.95,91.95,64.37,64.75,35.63,35.25,10.12,9.47,60.71,63.31,29.17,27.22,27.63,27.63,1.133,1.144,0.886,0.902,315.8,334.8,2.966,3.085,3.1,3.6,22.08,24.56,-70.88,-66.16,0.035,-0.062,105.90,107.55,0.252,0.243,0.054,0.057,0.037,0.034,0.130,0.177
22,66.605,67.255,1.285,1.300,93.39,92.31,63.42,64.23,36.58,35.77,10.43,8.98,62.58,62.87,26.99,28.14,28.12,28.12,1.109,1.037,0.872,0.821,338.4,334.2,2.974,2.871,-4.0,-2.5,19.79,23.23,-71.28,-65.36,0.068,-0.049,105.77,107.83,0.256,0.239,0.057,0.054,0.041,0.029,0.124,0.156
23,67.885,68.535,1.280,1.280,93.75,93.75,64.45,62.89,35.55,37.11,9.09,9.32,63.64,62.11,27.27,28.57,27.95,27.95,1.126,1.097,0.886,0.855,344.4,329.3,3.114,2.920,1.9,-1.3,24.71,23.86,-70.02,-67.00,0.044,-0.055,107.45,106.02,0.260,0.253,0.062,0.065,0.047,0.033,0.151,0.164
24,69.155,69.790,1.270,1.255,94.49,95.62,65.35,58.96,34.65,41.04,10.84,10.81,61.45,65.54,27.71,23.65,22.22,22.22,1.167,1.099,0.940,0.903,358.7,359.9,3.206,3.010,-0.1,1.5,23.92,25.20,-70.97,-68.02,0.036,-0.054,107.17,107.83,0.258,0.253,0.058,0.061,0.046,0.032,0.148,0.169
25,70.415,71.040,1.260,1.250,95.24,96.00,63.10,62.40,36.90,37.60,10.69,9.62,62.89,61.54,26.42,28.85,25.00,25.00,1.138,1.175,0.944,0.944,349.1,334.7,3.079,3.164,0.5,-0.4,22.65,25.31,-71.11,-66.04,0.059,-0.054,107.22,106.89,0.257,0.248,0.057,0.063,0.038,0.033,0.133,0.173
26,71.695,72.305,1.280,1.265,93.75,94.86,61.72,64.03,38.28,35.97,6.96,9.26,63.92,62.35,29.11,28.40,25.61,25.61,1.157,1.080,0.897,0.873,330.0,360.2,3.057,3.120,1.4,-1.6,23.84,25.56,-69.32,-69.40,0.053,-0.012,106.64,108.79,0.259,0.255,0.063,0.065,0.045,0.037,0.150,0.183
27,72.925,73.560,1.230,1.255,97.56,95.62,62.60,62.15,37.40,37.85,10.39,9.62,63.64,61.54,25.97,28.85,25.88,25.88,1.091,1.223,0.902,0.974,342.0,337.2,3.064,3.173,0.5,2.8,22.27,24.39,-65.42,-69.45,0.017,-0.044,107.84,105.08,0.259,0.249,0.072,0.057,0.039,0.035,0.139,0.174
28,74.200,74.825,1.275,1.265,94.12,94.86,63.14,64.43,36.86,35.57,10.56,9.20,59.63,61.35,29.81,29.45,24.28,24.28,1.207,1.061,0.963,0.847,358.7,349.4,3.241,2.970,-2.5,-4.0,22.00,24.94,-73.44,-69.21,0.043,-0.026,105.89,108.06,0.257,0.258,0.052,0.062,0.040,0.030,0.143,0.175
29,75.415,76.080,1.215,1.255,98.77,95.62,61.32,57.37,38.68,42.63,10.74,12.50,67.11,63.19,22.15,24.31,17.90,17.90,1.074,1.372,0.893,1.092,341.6,346.0,3.090,3.471,1.6,3.3,21.43,26.06,-70.88,-66.74,0.016,-0.025,107.29,104.36,0.269,0.247,0.069,0.058,0.037,0.038,0.119,0.189
30,76.700,77.320,1.285,1.240,93.39,96.77,59.53,58.87,40.47,41.13,11.11,10.96,66.01,64.38,22.88,24.66,21.95,21.95,1.113,1.143,0.882,0.926,329.4,337.4,3.065,3.074,-1.4,-2.7,20.82,24.26,-72.40,-67.37,0.046,-0.025,107.15,105.20,0.261,0.259,0.060,0.070,0.039,0.043,0.132,0.169
31,77.930,78.555,1.230,1.235,97.56,97.17,63.41,63.16,36.59,36.84,8.97,10.90,62.18,60.90,28.85,28.21,28.45,28.45,1.133,1.161,0.950,0.971,356.0,351.6,3.171,3.149,0.1,5.0,20.90,24.64,-72.51,-66.89,0.046,-0.048,107.42,106.35,0.274,0.247,0.071,0.062,0.037,0.043,0.134,0.177
32,79.125,79.785,1.195,1.230,100.42,97.56,66.53,63.01,33.47,36.99,10.69,8.39,59.12,61.29,30.19,30.32,30.61,30.61,1.090,1.062,0.895,0.873,353.3,345.8,3.120,2.976,1.4,-1.3,21.15,23.94,-73.70,-67.19,0.036,-0.029,105.92,108.57,0.257,0.249,0.051,0.060,0.023,0.034,0.117,0.171
33,80.350,80.995,1.225,1.210,97.96,99.17,67.76,61.57,32.24,38.43,13.86,10.07,59.04,59.06,27.11,30.87,28.12,28.12,1.143,1.230,0.955,0.998,337.5,351.9,3.177,3.261,-3.9,0.4,22.27,25.22,-71.68,-65.99,0.060,-0.036,106.76,105.72,0.267,0.251,0.066,0.065,0.044,0.044,0.136,0.187
34,81.630,82.250,1.280,1.255,93.75,95.62,64.45,64.14,35.55,35.86,12.12,11.18,58.79,59.01,29.09,29.81,26.94,26.94,1.108,1.217,0.911,0.991,343.7,373.8,3.091,3.196,1.4,-0.8,19.32,23.10,-71.36,-71.88,0.037,-0.033,106.32,105.63,0.261,0.263,0.059,0.064,0.040,0.041,0.122,0.176
35,82.855,83.455,1.225,1.205,97.96,99.59,63.67,59.34,36.33,40.66,9.62,9.79,60.90,65.73,29.49,24.48,26.02,26.02,1.171,1.110,0.948,0.901,369.4,353.7,3.235,3.103,-1.2,3.9,22.05,25.64,-72.88,-68.58,0.036,-0.056,104.54,108.45,0.267,0.261,0.062,0.067,0.036,0.039,0.133,0.174
36,84.085,84.755,1.230,1.300,97.56,92.31,65.85,59.62,34.15,40.38,10.49,15.48,61.73,62.58,27.78,21.94,23.85,23.85,1.107,1.126,0.891,0.911,364.7,347.4,3.112,3.027,-3.0,-0.3,20.39,24.86,-71.01,-68.17,0.051,-0.056,106.03,108.84,0.263,0.245,0.062,0.056,0.042,0.037,0.124,0.184
37,85.385,86.040,1.300,1.285,92.31,93.39,64.23,62.26,35.77,37.74,13.77,11.25,56.89,58.75,29.34,30.00,27.73,27.73,1.274,1.200,1.007,0.947,358.5,347.0,3.350,3.159,2.0,-1.0,23.86,25.32,-73.52,-69.18,0.038,-0.062,105.39,107.44,0.263,0.256,0.058,0.064,0.041,0.041,0.150,0.195
38,86.665,87.385,1.280,1.345,93.75,89.22,65.62,60.59,34.38,39.41,8.93,10.43,61.90,58.90,29.17,30.67,22.55,22.55,1.056,1.205,0.835,0.916,359.1,309.7,3.006,2.899,-1.6,0.2,22.87,26.23,-73.63,-70.82,0.064,-0.045,110.22,107.57,0.276,0.251,0.070,0.055,0.049,0.028,0.144,0.179
39,88.195,88.775,1.530,1.390,78.43,86.33,57.19,67.27,42.81,32.73,13.71,10.16,54.29,53.48,32.00,36.36,24.05,24.05,1.206,1.255,0.840,0.884,357.8,349.8,2.969,3.375,-0.2,2.9,28.40,24.42,-74.67,-76.07,0.057,-0.037,111.81,106.79,0.270,0.260,0.063,0.058,0.056,0.042,0.208,0.187
40,89.380,90.005,1.185,1.230,101.27,97.56,62.45,58.94,37.55,41.06,12.16,12.41,58.78,65.52,29.05,22.07,22.76,22.76,1.174,0.982,0.987,0.860,366.2,328.9,3.338,2.844,1.3,-2.3,22.45,23.27,-68.06,-65.48,0.025,-0.027,104.83,110.07,0.253,0.255,0.056,0.070,0.036,0.043,0.137,0.163
41,90.610,91.230,1.230,1.225,97.56,97.96,63.82,59.18,36.18,40.82,10.19,8.97,63.06,67.59,26.75,23.45,19.59,19.59,1.080,1.103,0.899,0.903,353.0,350.8,3.048,3.075,2.2,-0.9,19.80,23.28,-67.86,-66.17,0.037,-0.033,105.93,105.29,0.248,0.253,0.057,0.068,0.039,0.042,0.125,0.158
