Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
3,31.125,31.730,7.100,1.180,16.90,101.69,97.25,74.15,2.75,25.85,0.72,5.71,97.03,78.29,2.24,16.00,59.19,59.19,0.249,0.433,0.056,0.074,221.8,130.3,,1.459,-10.6,1.2,0.41,0.44,-24.22,-20.75,-0.006,0.024,110.28,104.05,0.106,0.105,,0.028,,0.027,,0.034
4,32.485,,1.360,,88.24,,81.62,,18.38,,4.50,,72.52,,22.97,,,,0.308,,0.055,,182.8,,0.963,,2.6,,0.58,,-31.38,,0.018,,105.20,,0.122,,0.008,,0.027,,0.019,
5,44.745,45.360,12.260,13.630,9.79,8.80,97.23,96.55,2.77,3.45,0.42,0.38,98.32,97.07,1.26,2.55,25.30,25.30,0.564,1.126,0.076,0.130,212.6,362.9,,2.850,-9.6,-10.6,14.82,21.56,-23.26,-78.16,0.032,-0.030,110.35,105.71,0.116,0.251,,0.024,,0.015,,0.117
6,46.010,46.595,1.265,1.235,94.86,97.17,62.45,64.78,37.55,35.22,7.59,9.38,61.39,63.75,31.01,26.88,26.50,26.50,0.971,0.953,0.798,0.795,344.5,323.8,,2.844,9.0,2.8,14.02,19.16,-69.57,-61.73,0.055,-0.057,106.40,106.71,0.256,0.248,,0.061,,0.040,,0.108
7,47.180,47.805,1.170,1.210,102.56,99.17,63.68,63.64,36.32,36.36,6.71,6.49,64.43,66.23,28.86,27.27,29.66,29.66,0.970,0.819,0.795,0.655,350.1,297.6,2.828,2.379,-1.7,-5.5,17.78,16.14,-68.84,-60.92,-0.016,0.025,104.84,107.89,0.245,0.237,0.050,0.054,0.035,0.042,0.125,0.099
8,48.495,49.250,1.315,1.445,91.25,83.04,63.12,60.21,36.88,39.79,9.04,8.62,65.06,62.64,25.90,28.74,24.57,24.57,0.964,0.949,0.741,0.728,298.8,300.6,2.599,2.589,-3.1,2.2,20.75,21.76,-59.65,-63.50,0.014,-0.040,106.01,114.19,0.232,0.245,0.055,0.049,0.037,0.021,0.138,0.140
9,49.940,50.625,1.445,1.375,83.04,87.27,64.36,63.27,35.64,36.73,7.53,6.32,62.90,64.37,29.57,29.31,20.80,20.80,1.052,1.155,0.757,0.862,315.4,357.8,2.858,,-2.8,0.5,21.84,21.35,-68.45,-68.22,0.053,-0.065,109.89,107.95,0.246,0.271,0.050,,0.034,,0.156,
10,51.310,51.990,1.370,1.365,87.59,87.91,57.66,64.10,42.34,35.90,9.49,5.71,66.46,65.14,24.05,29.14,23.36,23.36,1.014,1.055,0.758,0.772,348.8,325.7,2.706,2.849,1.3,-2.2,21.21,23.02,-67.90,-67.63,0.097,-0.044,110.18,108.92,0.252,0.260,0.059,0.061,0.046,0.044,0.153,0.145
11,52.680,53.340,1.370,1.350,87.59,88.89,59.12,64.81,40.88,35.19,10.49,8.57,66.67,62.29,22.84,29.14,29.32,29.32,1.045,1.161,0.777,0.870,364.7,321.2,,2.976,-0.8,1.6,20.55,19.49,-70.74,-68.92,0.027,-0.030,105.99,104.14,0.250,0.271,,0.067,,0.039,,0.122
12,54.010,54.655,1.330,1.315,90.23,91.25,65.04,62.36,34.96,37.64,8.09,8.54,63.58,60.98,28.32,30.49,20.61,20.61,1.135,0.982,0.863,0.781,327.8,337.8,2.962,2.754,1.1,1.3,23.25,21.51,-69.72,-70.07,0.022,-0.031,106.02,110.75,0.250,0.283,0.051,0.076,0.042,0.039,0.163,0.130
13,55.320,55.970,1.310,1.315,91.60,91.25,58.40,58.17,41.60,41.83,9.15,8.50,67.32,67.97,23.53,23.53,20.85,20.85,1.107,1.070,0.857,0.849,324.3,338.6,,2.996,0.2,1.6,20.73,23.10,-68.23,-70.46,0.040,-0.049,105.09,109.58,0.243,0.262,,0.056,,0.036,,0.149
14,56.615,57.265,1.295,1.295,92.66,92.66,63.32,61.78,36.68,38.22,7.32,7.50,61.59,61.88,31.10,30.62,25.87,25.87,1.108,1.136,0.851,0.892,343.1,321.0,3.003,3.020,-0.2,-3.1,22.05,23.41,-70.93,-66.92,0.030,0.009,105.15,108.52,0.255,0.273,0.053,0.072,0.026,0.045,0.134,0.138
15,57.910,58.560,1.295,1.295,92.66,92.66,64.09,62.16,35.91,37.84,9.64,9.32,62.05,60.87,28.31,29.81,20.46,20.46,1.166,1.188,0.932,0.936,337.9,356.6,3.138,3.192,-2.1,3.1,22.53,23.60,-71.16,-68.74,0.037,-0.040,107.05,106.18,0.252,0.274,0.051,0.070,0.035,0.036,0.152,0.141
16,59.205,59.835,1.295,1.275,92.66,94.12,58.30,62.35,41.70,37.65,8.61,7.55,67.55,63.52,23.84,28.93,25.48,25.48,1.120,1.200,0.876,0.934,374.4,348.8,3.112,3.294,-1.2,-1.8,22.96,23.66,-72.70,-69.09,0.050,-0.028,107.07,106.20,0.259,0.262,0.055,0.059,0.036,0.034,0.147,0.144
17,60.500,61.100,1.295,1.265,92.66,94.86,62.55,64.43,37.45,35.57,8.64,7.98,60.49,63.19,30.86,28.83,25.00,25.00,1.190,1.154,0.950,0.951,307.7,345.0,3.005,3.300,4.1,5.3,20.98,21.14,-68.20,-68.57,0.053,-0.038,106.91,106.42,0.252,0.268,0.058,0.069,0.034,0.049,0.146,0.127
