Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,24,2024,15,37,14,475,106,-4125,8,2,8,-6,
2,1,24,2024,15,37,14,485,106,-4125,8,2,8,-6,
3,1,24,2024,15,37,14,495,106,-4125,8,2,8,-6,
4,1,24,2024,15,37,14,505,106,-4125,8,2,8,-6,
5,1,24,2024,15,37,14,515,106,-4125,8,2,8,-6,
6,1,24,2024,15,37,14,525,106,-4125,8,2,8,-6,
7,1,24,2024,15,37,14,535,1843,2283,2849,-44,-7,-13,
8,1,24,2024,15,37,14,545,1840,2281,2841,-58,0,-9,
9,1,24,2024,15,37,14,555,1828,2269,2848,-71,-11,-12,
10,1,24,2024,15,37,14,565,1844,2237,2875,-66,-22,-14,
11,1,24,2024,15,37,14,575,1849,2250,2866,-44,-8,-22,
12,1,24,2024,15,37,14,585,1855,2267,2868,-26,9,-26,
13,1,24,2024,15,37,14,595,1752,2259,2878,-3,17,-24,
14,1,24,2024,15,37,14,605,1873,2274,2850,44,8,4,
15,1,24,2024,15,37,14,615,1839,2272,2833,24,29,-9,
16,1,24,2024,15,37,14,625,1822,2253,2853,9,18,-13,
17,1,24,2024,15,37,14,635,1841,2276,2849,-1,-1,-2,
18,1,24,2024,15,37,14,645,1817,2270,2849,-10,3,-4,
19,1,24,2024,15,37,14,655,1816,2249,2860,1,-4,2,
20,1,24,2024,15,37,14,665,1846,2275,2849,4,-10,8,
21,1,24,2024,15,37,14,675,1837,2262,2869,0,-9,7,
22,1,24,2024,15,37,14,685,1869,2271,2858,4,-4,1,
23,1,24,2024,15,37,14,695,1846,2250,2866,2,30,-15,
24,1,24,2024,15,37,14,705,1821,2275,2842,-5,40,-18,
25,1,24,2024,15,37,14,715,1824,2269,2843,-15,20,-11,
26,1,24,2024,15,37,14,725,1818,2263,2855,-28,0,-2,
27,1,24,2024,15,37,14,735,1848,2251,2861,-46,-21,-1,
28,1,24,2024,15,37,14,745,1826,2257,2872,-44,-12,-6,
29,1,24,2024,15,37,14,755,1830,2272,2867,-18,-10,-5,
30,1,24,2024,15,37,14,765,1825,2260,2854,13,-8,-6,
31,1,24,2024,15,37,14,775,1764,2307,2846,44,-23,11,
32,1,24,2024,15,37,14,785,1944,2179,2902,56,-46,32,
33,1,24,2024,15,37,14,795,1819,2236,2871,27,40,-10,
34,1,24,2024,15,37,14,805,1828,2267,2848,-2,-21,11,
35,1,24,2024,15,37,14,815,1856,2214,2874,-3,-36,17,
36,1,24,2024,15,37,14,825,1855,2264,2853,-19,-33,9,
