Packet #, Month, Day, Year, Hour, Minute, Second, MS, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z
1,1,24,2024,15,36,59,696,81,-4060,482,-1,5,2,
2,1,24,2024,15,36,59,706,81,-4060,482,-1,5,2,
3,1,24,2024,15,36,59,716,81,-4060,482,-1,5,2,
4,1,24,2024,15,36,59,726,81,-4060,482,-1,5,2,
5,1,24,2024,15,36,59,736,81,-4060,482,-1,5,2,
6,1,24,2024,15,36,59,746,81,-4060,482,-1,5,2,
7,1,24,2024,15,36,59,756,1889,1556,3296,147,-25,-99,
8,1,24,2024,15,36,59,766,1892,1577,3299,141,-39,-97,
9,1,24,2024,15,36,59,776,1910,1605,3311,146,-42,-88,
10,1,24,2024,15,36,59,786,1896,1606,3296,139,-36,-88,
11,1,24,2024,15,36,59,796,1900,1622,3284,133,-33,-83,
12,1,24,2024,15,36,59,806,1895,1643,3281,117,-24,-72,
13,1,24,2024,15,36,59,816,1899,1628,3275,104,-22,-59,
14,1,24,2024,15,36,59,826,1894,1601,3283,97,-14,-57,
15,1,24,2024,15,36,59,836,1920,1653,3294,98,-11,-49,
16,1,24,2024,15,36,59,846,1907,1644,3297,74,-6,-35,
17,1,24,2024,15,36,59,856,1897,1653,3286,66,2,-27,
18,1,24,2024,15,36,59,866,1878,1646,3265,45,3,-17,
19,1,24,2024,15,36,59,876,1880,1655,3260,20,7,-7,
20,1,24,2024,15,36,59,886,1873,1649,3263,3,5,-4,
21,1,24,2024,15,36,59,896,1880,1594,3270,-9,3,-4,
22,1,24,2024,15,36,59,906,1879,1596,3281,-6,7,-9,
23,1,24,2024,15,36,59,916,1878,1592,3277,4,7,-15,
24,1,24,2024,15,36,59,926,1858,1563,3278,9,11,-21,
25,1,24,2024,15,36,59,936,1883,1588,3289,23,6,-28,
26,1,24,2024,15,36,59,946,1904,1596,3306,27,-2,-41,
27,1,24,2024,15,36,59,956,1903,1719,3271,23,1,-40,
28,1,24,2024,15,36,59,966,1873,1628,3292,-7,0,-23,
29,1,24,2024,15,36,59,976,1883,1642,3296,-21,-3,-15,
30,1,24,2024,15,36,59,986,1873,1553,3312,-28,-11,-8,
31,1,24,2024,15,36,59,996,1904,1597,3300,-10,-16,-10,
32,1,24,2024,15,37,0,6,1894,1556,3293,-2,-8,-13,
33,1,24,2024,15,37,0,16,1894,1591,3288,21,0,-18,
34,1,24,2024,15,37,0,26,1908,1621,3285,26,7,-19,
35,1,24,2024,15,37,0,36,1896,1647,3288,25,13,-14,
36,1,24,2024,15,37,0,46,1899,1657,3288,12,6,-9,
37,1,24,2024,15,37,0,56,1918,1655,3299,-12,7,9,
38,1,24,2024,15,37,0,66,1891,1646,3290,-34,14,24,
39,1,24,2024,15,37,0,76,1882,1602,3294,-42,17,23,
40,1,24,2024,15,37,0,86,1903,1587,3295,-39,18,27,
41,1,24,2024,15,37,0,96,1922,1560,3303,-35,25,26,
42,1,24,2024,15,37,0,106,1954,1561,3315,-21,38,24,
43,1,24,2024,15,37,0,116,1931,1558,3311,0,58,26,
44,1,24,2024,15,37,0,126,1865,1565,3294,17,81,29,
45,1,24,2024,15,37,0,136,1844,1615,3263,38,84,17,
46,1,24,2024,15,37,0,146,1838,1657,3257,38,70,10,
47,1,24,2024,15,37,0,156,1838,1647,3279,26,54,6,
48,1,24,2024,15,37,0,166,1860,1602,3289,14,33,12,
49,1,24,2024,15,37,0,176,1861,1580,3301,27,20,0,
50,1,24,2024,15,37,0,186,1907,1591,3283,32,22,0,
51,1,24,2024,15,37,0,196,1839,1540,3279,46,26,-9,
52,1,24,2024,15,37,0,206,1841,1635,3271,69,16,-22,
53,1,24,2024,15,37,0,216,1865,1606,3290,62,7,-25,
54,1,24,2024,15,37,0,226,1865,1604,3291,61,1,-27,
55,1,24,2024,15,37,0,236,1872,1661,3294,60,-10,-23,
56,1,24,2024,15,37,0,246,1903,1652,3295,44,-17,-14,
57,1,24,2024,15,37,0,256,1866,1646,3287,24,-14,-8,
58,1,24,2024,15,37,0,266,1865,1611,3281,12,-25,0,
59,1,24,2024,15,37,0,276,1875,1650,3281,13,-32,-2,
60,1,24,2024,15,37,0,286,1887,1628,3285,1,-33,3,
61,1,24,2024,15,37,0,296,1910,1631,3279,-6,-28,8,
62,1,24,2024,15,37,0,306,1881,1632,3275,-7,-17,8,
63,1,24,2024,15,37,0,316,1892,1637,3279,-16,-14,15,
64,1,24,2024,15,37,0,326,1887,1580,3283,-24,-11,17,
65,1,24,2024,15,37,0,336,1893,1637,3286,-15,-10,12,
66,1,24,2024,15,37,0,346,1893,1616,3297,-19,-6,13,
67,1,24,2024,15,37,0,356,1881,1610,3286,-20,-3,13,
68,1,24,2024,15,37,0,366,1895,1618,3299,-26,-8,16,
69,1,24,2024,15,37,0,376,1872,1596,3293,-28,-8,15,
70,1,24,2024,15,37,0,386,1885,1618,3291,-22,-11,10,
71,1,24,2024,15,37,0,396,1883,1606,3298,-24,-11,12,
72,1,24,2024,15,37,0,406,1865,1608,3292,-22,-11,9,
73,1,24,2024,15,37,0,416,1885,1596,3293,-27,-20,13,
74,1,24,2024,15,37,0,426,1875,1540,3304,-21,-22,9,
75,1,24,2024,15,37,0,436,1902,1611,3284,4,-29,-3,
76,1,24,2024,15,37,0,446,1901,1656,3274,2,-23,-4,
77,1,24,2024,15,37,0,456,1878,1592,3291,-11,-20,-2,
78,1,24,2024,15,37,0,466,1894,1658,3284,-6,-25,-2,
79,1,24,2024,15,37,0,476,1909,1565,3306,-20,-21,1,
80,1,24,2024,15,37,0,486,1898,1622,3286,-7,-16,1,
81,1,24,2024,15,37,0,496,1932,1576,3297,-4,-10,5,
82,1,24,2024,15,37,0,506,1885,1571,3293,8,6,0,
83,1,24,2024,15,37,0,516,1889,1600,3284,21,5,-9,
84,1,24,2024,15,37,0,526,1895,1591,3286,23,2,-10,
85,1,24,2024,15,37,0,536,1874,1609,3285,21,6,-10,
86,1,24,2024,15,37,0,556,1885,1623,3289,24,-1,-11,
87,1,24,2024,15,37,0,566,1892,1624,3291,15,-2,-7,
88,1,24,2024,15,37,0,576,1896,1613,3284,14,-2,-2,
89,1,24,2024,15,37,0,586,1887,1611,3277,11,-2,-2,
90,1,24,2024,15,37,0,596,1881,1601,3274,7,-4,-2,
91,1,24,2024,15,37,0,606,1881,1600,3282,13,-7,-4,
92,1,24,2024,15,37,0,616,1881,1606,3283,22,-13,-9,
93,1,24,2024,15,37,0,626,1872,1606,3298,25,-17,-13,
94,1,24,2024,15,37,0,636,1905,1623,3300,30,-20,-14,
95,1,24,2024,15,37,0,646,1901,1656,3271,26,-17,-13,
96,1,24,2024,15,37,0,656,1880,1642,3272,15,-16,-10,
97,1,24,2024,15,37,0,666,1892,1627,3275,9,-16,-5,
98,1,24,2024,15,37,0,676,1892,1628,3267,10,-17,-1,
99,1,24,2024,15,37,0,686,1901,1603,3285,1,-10,1,
100,1,24,2024,15,37,0,696,1893,1607,3285,4,-6,1,
101,1,24,2024,15,37,0,706,1893,1607,3290,12,-7,1,
102,1,24,2024,15,37,0,716,1883,1620,3267,14,-5,-2,
103,1,24,2024,15,37,0,726,1882,1620,3264,15,-4,3,
104,1,24,2024,15,37,0,736,1884,1651,3274,18,-3,7,
105,1,24,2024,15,37,0,746,1916,1649,3287,9,-8,9,
106,1,24,2024,15,37,0,756,1884,1637,3275,-7,-4,16,
107,1,24,2024,15,37,0,766,1889,1631,3287,-4,-10,20,
108,1,24,2024,15,37,0,776,1932,1695,3294,-20,-12,32,
109,1,24,2024,15,37,0,786,1888,1620,3272,-51,-5,43,
110,1,24,2024,15,37,0,796,1903,1603,3272,-52,-8,47,
111,1,24,2024,15,37,0,806,1904,1627,3267,-51,-4,48,
112,1,24,2024,15,37,0,816,1884,1584,3266,-49,3,44,
113,1,24,2024,15,37,0,826,1902,1635,3283,-38,9,43,
114,1,24,2024,15,37,0,836,1891,1609,3279,-46,16,52,
115,1,24,2024,15,37,0,846,1882,1515,3338,-30,8,46,
116,1,24,2024,15,37,0,856,1946,1672,3306,-11,0,37,
117,1,24,2024,15,37,0,866,1884,1582,3287,-32,1,51,
118,1,24,2024,15,37,0,876,1897,1559,3301,-17,-4,46,
119,1,24,2024,15,37,0,886,1909,1595,3288,-7,-7,31,
120,1,24,2024,15,37,0,896,1906,1639,3265,-11,0,31,
121,1,24,2024,15,37,0,906,1895,1583,3286,-21,6,37,
122,1,24,2024,15,37,0,916,1897,1593,3279,-11,4,39,
123,1,24,2024,15,37,0,926,1897,1579,3283,-3,6,34,
124,1,24,2024,15,37,0,936,1910,1606,3278,9,9,30,
125,1,24,2024,15,37,0,946,1901,1616,3262,6,21,32,
126,1,24,2024,15,37,0,956,1886,1533,3275,18,24,30,
127,1,24,2024,15,37,0,966,1913,1635,3272,43,33,20,
128,1,24,2024,15,37,0,976,1879,1558,3291,44,39,24,
129,1,24,2024,15,37,0,986,1904,1603,3283,65,40,16,
130,1,24,2024,15,37,0,996,1918,1611,3278,62,43,14,
131,1,24,2024,15,37,1,6,1900,1625,3279,56,52,19,
